,date,value,name_B08HND3XFR
145,2021-02-21,15709.0,Throw Pillow Covers
146,2021-02-22,14220.0,Throw Pillow Covers
147,2021-02-23,11541.0,Throw Pillow Covers
148,2021-02-24,9291.0,Throw Pillow Covers
149,2021-02-25,12320.0,Throw Pillow Covers
150,2021-02-26,12320.0,Throw Pillow Covers
151,2021-02-27,8551.0,Throw Pillow Covers
152,2021-02-28,8851.0,Throw Pillow Covers
153,2021-03-01,12396.0,Throw Pillow Covers
154,2021-03-02,12992.0,Throw Pillow Covers
155,2021-03-03,11003.0,Throw Pillow Covers
156,2021-03-04,8906.0,Throw Pillow Covers
157,2021-03-05,8906.0,Throw Pillow Covers
158,2021-03-06,12652.0,Throw Pillow Covers
159,2021-03-07,12652.0,Throw Pillow Covers
160,2021-03-08,10856.0,Throw Pillow Covers
161,2021-03-09,10856.0,Throw Pillow Covers
162,2021-03-10,9713.0,Throw Pillow Covers
163,2021-03-11,9713.0,Throw Pillow Covers
164,2021-03-12,10859.0,Throw Pillow Covers
165,2021-03-13,10859.0,Throw Pillow Covers
166,2021-03-14,10859.0,Throw Pillow Covers
167,2021-03-15,11738.0,Throw Pillow Covers
168,2021-03-16,8542.0,Throw Pillow Covers
169,2021-03-17,9156.0,Throw Pillow Covers
170,2021-03-18,7441.0,Throw Pillow Covers
171,2021-03-19,7441.0,Throw Pillow Covers
172,2021-03-20,8084.0,Throw Pillow Covers
173,2021-03-21,7243.0,Throw Pillow Covers
174,2021-03-22,10580.0,Throw Pillow Covers
175,2021-03-23,10580.0,Throw Pillow Covers
176,2021-03-24,9620.0,Throw Pillow Covers
177,2021-03-25,10943.0,Throw Pillow Covers
178,2021-03-26,8488.0,Throw Pillow Covers
179,2021-03-27,8488.0,Throw Pillow Covers
180,2021-03-28,7542.0,Throw Pillow Covers
181,2021-03-29,13076.0,Throw Pillow Covers
182,2021-03-30,13076.0,Throw Pillow Covers
183,2021-03-31,12261.0,Throw Pillow Covers
184,2021-04-01,12901.0,Throw Pillow Covers
185,2021-04-02,13136.0,Throw Pillow Covers
186,2021-04-03,13136.0,Throw Pillow Covers
187,2021-04-04,13136.0,Throw Pillow Covers
188,2021-04-05,14155.0,Throw Pillow Covers
189,2021-04-06,9684.0,Throw Pillow Covers
190,2021-04-07,10851.0,Throw Pillow Covers
191,2021-04-08,10851.0,Throw Pillow Covers
192,2021-04-09,11627.0,Throw Pillow Covers
193,2021-04-10,11257.0,Throw Pillow Covers
194,2021-04-11,11257.0,Throw Pillow Covers
195,2021-04-12,16192.0,Throw Pillow Covers
196,2021-04-13,16192.0,Throw Pillow Covers
197,2021-04-14,14819.0,Throw Pillow Covers
198,2021-04-15,13691.0,Throw Pillow Covers
199,2021-04-16,13691.0,Throw Pillow Covers
200,2021-04-17,13691.0,Throw Pillow Covers
201,2021-04-18,13691.0,Throw Pillow Covers
202,2021-04-19,13691.0,Throw Pillow Covers
203,2021-04-20,18781.0,Throw Pillow Covers
204,2021-04-21,18781.0,Throw Pillow Covers
205,2021-04-22,14899.0,Throw Pillow Covers
206,2021-04-23,14899.0,Throw Pillow Covers
207,2021-04-24,13421.0,Throw Pillow Covers
208,2021-04-25,13421.0,Throw Pillow Covers
209,2021-04-26,13034.0,Throw Pillow Covers
210,2021-04-27,13034.0,Throw Pillow Covers
211,2021-04-28,14978.0,Throw Pillow Covers
212,2021-04-29,16753.0,Throw Pillow Covers
213,2021-04-30,16753.0,Throw Pillow Covers
214,2021-05-01,17236.0,Throw Pillow Covers
215,2021-05-02,17236.0,Throw Pillow Covers
216,2021-05-03,17236.0,Throw Pillow Covers
217,2021-05-04,17985.0,Throw Pillow Covers
218,2021-05-05,17985.0,Throw Pillow Covers
219,2021-05-06,17985.0,Throw Pillow Covers
220,2021-05-07,15088.0,Throw Pillow Covers
221,2021-05-08,11706.0,Throw Pillow Covers
222,2021-05-09,11706.0,Throw Pillow Covers
223,2021-05-10,11706.0,Throw Pillow Covers
224,2021-05-11,15383.0,Throw Pillow Covers
225,2021-05-12,21047.0,Throw Pillow Covers
226,2021-05-13,14418.0,Throw Pillow Covers
227,2021-05-14,17370.0,Throw Pillow Covers
228,2021-05-15,17370.0,Throw Pillow Covers
229,2021-05-16,17370.0,Throw Pillow Covers
230,2021-05-17,18487.0,Throw Pillow Covers
231,2021-05-18,19290.0,Throw Pillow Covers
232,2021-05-19,18839.0,Throw Pillow Covers
233,2021-05-20,16175.0,Throw Pillow Covers
234,2021-05-21,16175.0,Throw Pillow Covers
235,2021-05-22,16175.0,Throw Pillow Covers
236,2021-05-23,16175.0,Throw Pillow Covers
237,2021-05-24,21262.0,Throw Pillow Covers
238,2021-05-25,24306.0,Throw Pillow Covers
239,2021-05-26,19633.0,Throw Pillow Covers
240,2021-05-27,19633.0,Throw Pillow Covers
241,2021-05-28,20535.0,Throw Pillow Covers
242,2021-05-29,20535.0,Throw Pillow Covers
243,2021-05-30,20535.0,Throw Pillow Covers
244,2021-05-31,20535.0,Throw Pillow Covers
245,2021-06-01,20535.0,Throw Pillow Covers
246,2021-06-02,20535.0,Throw Pillow Covers
247,2021-06-03,29536.0,Throw Pillow Covers
248,2021-06-04,26169.0,Throw Pillow Covers
249,2021-06-05,26169.0,Throw Pillow Covers
250,2021-06-06,26169.0,Throw Pillow Covers
251,2021-06-07,26169.0,Throw Pillow Covers
252,2021-06-08,22722.0,Throw Pillow Covers
253,2021-06-09,22722.0,Throw Pillow Covers
254,2021-06-10,28455.0,Throw Pillow Covers
255,2021-06-11,22969.0,Throw Pillow Covers
256,2021-06-12,22969.0,Throw Pillow Covers
257,2021-06-13,23361.0,Throw Pillow Covers
258,2021-06-14,23361.0,Throw Pillow Covers
259,2021-06-15,23361.0,Throw Pillow Covers
260,2021-06-16,27529.0,Throw Pillow Covers
261,2021-06-17,27529.0,Throw Pillow Covers
262,2021-06-18,27529.0,Throw Pillow Covers
263,2021-06-19,27529.0,Throw Pillow Covers
264,2021-06-20,35615.0,Throw Pillow Covers
265,2021-06-21,41307.0,Throw Pillow Covers
266,2021-06-22,16867.0,Throw Pillow Covers
267,2021-06-23,16867.0,Throw Pillow Covers
268,2021-06-24,13559.0,Throw Pillow Covers
269,2021-06-25,13559.0,Throw Pillow Covers
270,2021-06-26,14404.0,Throw Pillow Covers
271,2021-06-27,14404.0,Throw Pillow Covers
272,2021-06-28,21538.0,Throw Pillow Covers
273,2021-06-29,25264.0,Throw Pillow Covers
274,2021-06-30,26425.0,Throw Pillow Covers
275,2021-07-01,26425.0,Throw Pillow Covers
276,2021-07-02,26425.0,Throw Pillow Covers
277,2021-07-03,26425.0,Throw Pillow Covers
278,2021-07-04,22837.0,Throw Pillow Covers
279,2021-07-05,22837.0,Throw Pillow Covers
280,2021-07-06,26468.0,Throw Pillow Covers
281,2021-07-07,32990.0,Throw Pillow Covers
282,2021-07-08,23087.0,Throw Pillow Covers
283,2021-07-09,22463.0,Throw Pillow Covers
284,2021-07-10,20388.0,Throw Pillow Covers
