,date,value,name_B08PPBBRWC
119,2021-06-09,14724.0,Plush Pillows
120,2021-06-10,14724.0,Plush Pillows
121,2021-06-11,13652.0,Plush Pillows
122,2021-06-12,13652.0,Plush Pillows
123,2021-06-13,13652.0,Plush Pillows
124,2021-06-14,25061.0,Plush Pillows
125,2021-06-15,25061.0,Plush Pillows
126,2021-06-16,25061.0,Plush Pillows
127,2021-06-17,35394.0,Plush Pillows
128,2021-06-18,35394.0,Plush Pillows
129,2021-06-19,35394.0,Plush Pillows
130,2021-06-20,22307.0,Plush Pillows
131,2021-06-21,25657.0,Plush Pillows
132,2021-06-22,25657.0,Plush Pillows
133,2021-06-23,25657.0,Plush Pillows
134,2021-06-24,7330.0,Plush Pillows
135,2021-06-25,10778.0,Plush Pillows
136,2021-06-26,10778.0,Plush Pillows
137,2021-06-27,10778.0,Plush Pillows
138,2021-06-28,13843.0,Plush Pillows
139,2021-06-29,12766.0,Plush Pillows
140,2021-06-30,12766.0,Plush Pillows
141,2021-07-01,9396.0,Plush Pillows
142,2021-07-02,9396.0,Plush Pillows
143,2021-07-03,13265.0,Plush Pillows
144,2021-07-04,13265.0,Plush Pillows
145,2021-07-05,13265.0,Plush Pillows
146,2021-07-06,11302.0,Plush Pillows
147,2021-07-07,11302.0,Plush Pillows
148,2021-07-08,11302.0,Plush Pillows
149,2021-07-09,9735.0,Plush Pillows
