,date,value,name_B06ZZYDJYL
63,2018-09-14,5276.0,Disposable Cookware
64,2018-09-15,3518.0,Disposable Cookware
65,2018-09-16,3842.0,Disposable Cookware
66,2018-09-17,3842.0,Disposable Cookware
67,2018-09-18,4948.0,Disposable Cookware
68,2018-09-19,4434.0,Disposable Cookware
69,2018-09-20,4434.0,Disposable Cookware
70,2018-09-21,4203.0,Disposable Cookware
71,2018-09-22,4203.0,Disposable Cookware
72,2018-09-23,5007.0,Disposable Cookware
73,2018-09-24,4513.0,Disposable Cookware
74,2018-09-25,3948.0,Disposable Cookware
75,2018-09-26,4925.0,Disposable Cookware
76,2018-09-27,4115.0,Disposable Cookware
77,2018-09-28,3951.0,Disposable Cookware
78,2018-09-29,3951.0,Disposable Cookware
79,2018-09-30,4339.0,Disposable Cookware
80,2018-10-01,4339.0,Disposable Cookware
81,2018-10-02,3585.0,Disposable Cookware
82,2018-10-03,3585.0,Disposable Cookware
83,2018-10-04,2827.0,Disposable Cookware
84,2018-10-05,2827.0,Disposable Cookware
85,2018-10-06,3617.0,Disposable Cookware
86,2018-10-07,4250.0,Disposable Cookware
87,2018-10-08,4185.0,Disposable Cookware
88,2018-10-09,4293.0,Disposable Cookware
89,2018-10-10,4293.0,Disposable Cookware
90,2018-10-11,4302.0,Disposable Cookware
91,2018-10-12,4302.0,Disposable Cookware
92,2018-10-13,3170.0,Disposable Cookware
93,2018-10-14,3170.0,Disposable Cookware
94,2018-10-15,3170.0,Disposable Cookware
95,2018-10-16,3170.0,Disposable Cookware
96,2018-10-17,3170.0,Disposable Cookware
97,2018-10-18,3714.0,Disposable Cookware
98,2018-10-19,3417.0,Disposable Cookware
99,2018-10-20,3417.0,Disposable Cookware
100,2018-10-21,5479.0,Disposable Cookware
101,2018-10-22,5479.0,Disposable Cookware
102,2018-10-23,5479.0,Disposable Cookware
103,2018-10-24,5479.0,Disposable Cookware
104,2018-10-25,5479.0,Disposable Cookware
105,2018-10-26,3343.0,Disposable Cookware
106,2018-10-27,3755.0,Disposable Cookware
107,2018-10-28,5395.0,Disposable Cookware
108,2018-10-29,5395.0,Disposable Cookware
109,2018-10-30,5395.0,Disposable Cookware
110,2018-10-31,4281.0,Disposable Cookware
111,2018-11-01,5806.0,Disposable Cookware
112,2018-11-02,5794.0,Disposable Cookware
113,2018-11-03,5794.0,Disposable Cookware
114,2018-11-04,5920.0,Disposable Cookware
115,2018-11-05,5920.0,Disposable Cookware
116,2018-11-06,5920.0,Disposable Cookware
117,2018-11-07,5920.0,Disposable Cookware
118,2018-11-08,5920.0,Disposable Cookware
119,2018-11-09,5920.0,Disposable Cookware
120,2018-11-10,5920.0,Disposable Cookware
121,2018-11-11,6404.0,Disposable Cookware
122,2018-11-12,6404.0,Disposable Cookware
123,2018-11-13,5961.0,Disposable Cookware
124,2018-11-14,6166.0,Disposable Cookware
125,2018-11-15,6166.0,Disposable Cookware
126,2018-11-16,8120.0,Disposable Cookware
127,2018-11-17,6698.0,Disposable Cookware
128,2018-11-18,8370.0,Disposable Cookware
129,2018-11-19,8370.0,Disposable Cookware
130,2018-11-20,7053.0,Disposable Cookware
131,2018-11-21,9898.0,Disposable Cookware
132,2018-11-22,9898.0,Disposable Cookware
133,2018-11-23,9898.0,Disposable Cookware
134,2018-11-24,9898.0,Disposable Cookware
135,2018-11-25,9898.0,Disposable Cookware
136,2018-11-26,9898.0,Disposable Cookware
137,2018-11-27,9898.0,Disposable Cookware
138,2018-11-28,9898.0,Disposable Cookware
139,2018-11-29,25169.0,Disposable Cookware
140,2018-11-30,25169.0,Disposable Cookware
141,2018-12-01,29484.0,Disposable Cookware
142,2018-12-02,29484.0,Disposable Cookware
143,2018-12-03,29484.0,Disposable Cookware
144,2018-12-04,20255.0,Disposable Cookware
145,2018-12-05,28041.0,Disposable Cookware
146,2018-12-06,28041.0,Disposable Cookware
147,2018-12-07,13044.0,Disposable Cookware
148,2018-12-08,13044.0,Disposable Cookware
149,2018-12-09,13044.0,Disposable Cookware
150,2018-12-10,13044.0,Disposable Cookware
151,2018-12-11,11045.0,Disposable Cookware
152,2018-12-12,11045.0,Disposable Cookware
153,2018-12-13,17288.0,Disposable Cookware
154,2018-12-14,17288.0,Disposable Cookware
155,2018-12-15,19003.0,Disposable Cookware
156,2018-12-16,19003.0,Disposable Cookware
157,2018-12-17,19003.0,Disposable Cookware
158,2018-12-18,13147.0,Disposable Cookware
159,2018-12-19,15269.0,Disposable Cookware
160,2018-12-20,15269.0,Disposable Cookware
161,2018-12-21,15269.0,Disposable Cookware
162,2018-12-22,14384.0,Disposable Cookware
163,2018-12-23,14384.0,Disposable Cookware
164,2018-12-24,14384.0,Disposable Cookware
165,2018-12-25,14384.0,Disposable Cookware
166,2018-12-26,14384.0,Disposable Cookware
167,2018-12-27,7123.0,Disposable Cookware
168,2018-12-28,7123.0,Disposable Cookware
169,2018-12-29,4678.0,Disposable Cookware
170,2018-12-30,6748.0,Disposable Cookware
171,2018-12-31,7231.0,Disposable Cookware
172,2019-01-01,7231.0,Disposable Cookware
173,2019-01-02,5380.0,Disposable Cookware
174,2019-01-03,5380.0,Disposable Cookware
175,2019-01-04,5380.0,Disposable Cookware
176,2019-01-05,8511.0,Disposable Cookware
177,2019-01-06,8511.0,Disposable Cookware
178,2019-01-07,6680.0,Disposable Cookware
179,2019-01-08,6680.0,Disposable Cookware
180,2019-01-09,6986.0,Disposable Cookware
181,2019-01-10,6986.0,Disposable Cookware
182,2019-01-11,6986.0,Disposable Cookware
183,2019-01-12,5733.0,Disposable Cookware
184,2019-01-13,5733.0,Disposable Cookware
185,2019-01-14,5024.0,Disposable Cookware
186,2019-01-15,4208.0,Disposable Cookware
187,2019-01-16,4391.0,Disposable Cookware
188,2019-01-17,4391.0,Disposable Cookware
189,2019-01-18,4391.0,Disposable Cookware
190,2019-01-19,4391.0,Disposable Cookware
191,2019-01-20,5901.0,Disposable Cookware
192,2019-01-21,5901.0,Disposable Cookware
193,2019-01-22,7667.0,Disposable Cookware
194,2019-01-23,7667.0,Disposable Cookware
195,2019-01-24,7667.0,Disposable Cookware
196,2019-01-25,7667.0,Disposable Cookware
197,2019-01-26,5212.0,Disposable Cookware
198,2019-01-27,5212.0,Disposable Cookware
199,2019-01-28,5009.0,Disposable Cookware
200,2019-01-29,5134.0,Disposable Cookware
201,2019-01-30,4520.0,Disposable Cookware
202,2019-01-31,4853.0,Disposable Cookware
203,2019-02-01,5271.0,Disposable Cookware
204,2019-02-02,5188.0,Disposable Cookware
205,2019-02-03,4106.0,Disposable Cookware
206,2019-02-04,4106.0,Disposable Cookware
207,2019-02-05,4212.0,Disposable Cookware
208,2019-02-06,4212.0,Disposable Cookware
209,2019-02-07,3856.0,Disposable Cookware
210,2019-02-08,3548.0,Disposable Cookware
211,2019-02-09,5692.0,Disposable Cookware
212,2019-02-10,5692.0,Disposable Cookware
213,2019-02-11,4690.0,Disposable Cookware
214,2019-02-12,4690.0,Disposable Cookware
215,2019-02-13,4896.0,Disposable Cookware
216,2019-02-14,4338.0,Disposable Cookware
217,2019-02-15,4338.0,Disposable Cookware
218,2019-02-16,5105.0,Disposable Cookware
219,2019-02-17,5303.0,Disposable Cookware
220,2019-02-18,5701.0,Disposable Cookware
221,2019-02-19,4867.0,Disposable Cookware
222,2019-02-20,3612.0,Disposable Cookware
223,2019-02-21,3612.0,Disposable Cookware
224,2019-02-22,4301.0,Disposable Cookware
225,2019-02-23,5650.0,Disposable Cookware
226,2019-02-24,4117.0,Disposable Cookware
227,2019-02-25,4236.0,Disposable Cookware
228,2019-02-26,4969.0,Disposable Cookware
229,2019-02-27,4969.0,Disposable Cookware
230,2019-02-28,4969.0,Disposable Cookware
231,2019-03-01,4969.0,Disposable Cookware
232,2019-03-02,6198.0,Disposable Cookware
233,2019-03-03,3685.0,Disposable Cookware
234,2019-03-04,3685.0,Disposable Cookware
235,2019-03-05,3314.0,Disposable Cookware
236,2019-03-06,3157.0,Disposable Cookware
237,2019-03-07,3157.0,Disposable Cookware
238,2019-03-08,4524.0,Disposable Cookware
239,2019-03-09,4487.0,Disposable Cookware
240,2019-03-10,4487.0,Disposable Cookware
241,2019-03-11,4487.0,Disposable Cookware
242,2019-03-12,4487.0,Disposable Cookware
243,2019-03-13,3809.0,Disposable Cookware
244,2019-03-14,3809.0,Disposable Cookware
245,2019-03-15,3809.0,Disposable Cookware
246,2019-03-16,5513.0,Disposable Cookware
247,2019-03-17,5513.0,Disposable Cookware
248,2019-03-18,8565.0,Disposable Cookware
249,2019-03-19,8040.0,Disposable Cookware
250,2019-03-20,8040.0,Disposable Cookware
251,2019-03-21,5779.0,Disposable Cookware
252,2019-03-22,7119.0,Disposable Cookware
253,2019-03-23,4367.0,Disposable Cookware
254,2019-03-24,7403.0,Disposable Cookware
255,2019-03-25,4382.0,Disposable Cookware
256,2019-03-26,3325.0,Disposable Cookware
257,2019-03-27,3325.0,Disposable Cookware
258,2019-03-28,3578.0,Disposable Cookware
259,2019-03-29,3753.0,Disposable Cookware
260,2019-03-30,4141.0,Disposable Cookware
261,2019-03-31,4141.0,Disposable Cookware
262,2019-04-01,4141.0,Disposable Cookware
263,2019-04-02,3049.0,Disposable Cookware
264,2019-04-03,3186.0,Disposable Cookware
265,2019-04-04,3923.0,Disposable Cookware
266,2019-04-05,3923.0,Disposable Cookware
267,2019-04-06,3104.0,Disposable Cookware
268,2019-04-07,2378.0,Disposable Cookware
269,2019-04-08,2378.0,Disposable Cookware
270,2019-04-09,2209.0,Disposable Cookware
271,2019-04-10,2209.0,Disposable Cookware
272,2019-04-11,2209.0,Disposable Cookware
273,2019-04-12,2316.0,Disposable Cookware
274,2019-04-13,2045.0,Disposable Cookware
275,2019-04-14,2045.0,Disposable Cookware
276,2019-04-15,2624.0,Disposable Cookware
277,2019-04-16,1430.0,Disposable Cookware
278,2019-04-17,1430.0,Disposable Cookware
279,2019-04-18,2121.0,Disposable Cookware
280,2019-04-19,2268.0,Disposable Cookware
281,2019-04-20,3194.0,Disposable Cookware
282,2019-04-21,2997.0,Disposable Cookware
283,2019-04-22,2997.0,Disposable Cookware
284,2019-04-23,1923.0,Disposable Cookware
285,2019-04-24,1993.0,Disposable Cookware
286,2019-04-25,1993.0,Disposable Cookware
287,2019-04-26,2520.0,Disposable Cookware
288,2019-04-27,2520.0,Disposable Cookware
289,2019-04-28,2091.0,Disposable Cookware
290,2019-04-29,2296.0,Disposable Cookware
291,2019-04-30,2371.0,Disposable Cookware
292,2019-05-01,2344.0,Disposable Cookware
293,2019-05-02,1873.0,Disposable Cookware
294,2019-05-03,2371.0,Disposable Cookware
295,2019-05-04,2371.0,Disposable Cookware
296,2019-05-05,2706.0,Disposable Cookware
297,2019-05-06,2494.0,Disposable Cookware
298,2019-05-07,2099.0,Disposable Cookware
299,2019-05-08,2541.0,Disposable Cookware
300,2019-05-09,2181.0,Disposable Cookware
301,2019-05-10,1872.0,Disposable Cookware
302,2019-05-11,2396.0,Disposable Cookware
303,2019-05-12,2609.0,Disposable Cookware
304,2019-05-13,2561.0,Disposable Cookware
305,2019-05-14,1806.0,Disposable Cookware
306,2019-05-15,1806.0,Disposable Cookware
307,2019-05-16,1806.0,Disposable Cookware
308,2019-05-17,4138.0,Disposable Cookware
309,2019-05-18,4937.0,Disposable Cookware
310,2019-05-19,3988.0,Disposable Cookware
311,2019-05-20,4370.0,Disposable Cookware
312,2019-05-21,4623.0,Disposable Cookware
313,2019-05-22,5457.0,Disposable Cookware
314,2019-05-23,3697.0,Disposable Cookware
315,2019-05-24,3986.0,Disposable Cookware
316,2019-05-25,5614.0,Disposable Cookware
317,2019-05-26,6050.0,Disposable Cookware
318,2019-05-27,6050.0,Disposable Cookware
319,2019-05-28,7356.0,Disposable Cookware
320,2019-05-29,5885.0,Disposable Cookware
321,2019-05-30,5885.0,Disposable Cookware
322,2019-05-31,5885.0,Disposable Cookware
323,2019-06-01,5111.0,Disposable Cookware
324,2019-06-02,5111.0,Disposable Cookware
325,2019-06-03,7665.0,Disposable Cookware
326,2019-06-04,5926.0,Disposable Cookware
327,2019-06-05,3697.0,Disposable Cookware
328,2019-06-06,4676.0,Disposable Cookware
329,2019-06-07,4676.0,Disposable Cookware
330,2019-06-08,6600.0,Disposable Cookware
331,2019-06-09,5110.0,Disposable Cookware
332,2019-06-10,5110.0,Disposable Cookware
333,2019-06-11,6572.0,Disposable Cookware
334,2019-06-12,6800.0,Disposable Cookware
335,2019-06-13,5191.0,Disposable Cookware
336,2019-06-14,5191.0,Disposable Cookware
337,2019-06-15,5191.0,Disposable Cookware
338,2019-06-16,7752.0,Disposable Cookware
339,2019-06-17,6421.0,Disposable Cookware
340,2019-06-18,5430.0,Disposable Cookware
341,2019-06-19,1919.0,Disposable Cookware
342,2019-06-20,2136.0,Disposable Cookware
343,2019-06-21,1740.0,Disposable Cookware
344,2019-06-22,1740.0,Disposable Cookware
345,2019-06-23,-1.0,Disposable Cookware
346,2019-06-24,-1.0,Disposable Cookware
347,2019-06-25,-1.0,Disposable Cookware
348,2019-06-26,-1.0,Disposable Cookware
349,2019-06-27,-1.0,Disposable Cookware
350,2019-06-28,-1.0,Disposable Cookware
351,2019-06-29,-1.0,Disposable Cookware
352,2019-06-30,-1.0,Disposable Cookware
353,2019-07-01,-1.0,Disposable Cookware
354,2019-07-02,2301.0,Disposable Cookware
355,2019-07-03,2301.0,Disposable Cookware
356,2019-07-04,2301.0,Disposable Cookware
357,2019-07-05,2301.0,Disposable Cookware
358,2019-07-06,2309.0,Disposable Cookware
359,2019-07-07,2185.0,Disposable Cookware
360,2019-07-08,2185.0,Disposable Cookware
361,2019-07-09,2215.0,Disposable Cookware
362,2019-07-10,1683.0,Disposable Cookware
363,2019-07-11,2319.0,Disposable Cookware
364,2019-07-12,2319.0,Disposable Cookware
365,2019-07-13,2319.0,Disposable Cookware
366,2019-07-14,2350.0,Disposable Cookware
367,2019-07-15,2350.0,Disposable Cookware
368,2019-07-16,4598.0,Disposable Cookware
369,2019-07-17,3671.0,Disposable Cookware
370,2019-07-18,3671.0,Disposable Cookware
371,2019-07-19,3671.0,Disposable Cookware
372,2019-07-20,2460.0,Disposable Cookware
373,2019-07-21,2460.0,Disposable Cookware
374,2019-07-22,2013.0,Disposable Cookware
375,2019-07-23,1868.0,Disposable Cookware
376,2019-07-24,1837.0,Disposable Cookware
377,2019-07-25,1837.0,Disposable Cookware
378,2019-07-26,1837.0,Disposable Cookware
379,2019-07-27,1714.0,Disposable Cookware
380,2019-07-28,1714.0,Disposable Cookware
381,2019-07-29,1714.0,Disposable Cookware
382,2019-07-30,2092.0,Disposable Cookware
383,2019-07-31,1987.0,Disposable Cookware
384,2019-08-01,2148.0,Disposable Cookware
385,2019-08-02,2148.0,Disposable Cookware
386,2019-08-03,2148.0,Disposable Cookware
387,2019-08-04,1758.0,Disposable Cookware
388,2019-08-05,1758.0,Disposable Cookware
389,2019-08-06,2017.0,Disposable Cookware
390,2019-08-07,2017.0,Disposable Cookware
391,2019-08-08,1957.0,Disposable Cookware
392,2019-08-09,1957.0,Disposable Cookware
393,2019-08-10,1562.0,Disposable Cookware
394,2019-08-11,1562.0,Disposable Cookware
395,2019-08-12,1562.0,Disposable Cookware
396,2019-08-13,2406.0,Disposable Cookware
397,2019-08-14,2406.0,Disposable Cookware
398,2019-08-15,1858.0,Disposable Cookware
399,2019-08-16,2453.0,Disposable Cookware
400,2019-08-17,2116.0,Disposable Cookware
401,2019-08-18,2225.0,Disposable Cookware
402,2019-08-19,2670.0,Disposable Cookware
403,2019-08-20,2670.0,Disposable Cookware
404,2019-08-21,2148.0,Disposable Cookware
405,2019-08-22,2148.0,Disposable Cookware
406,2019-08-23,2155.0,Disposable Cookware
407,2019-08-24,1906.0,Disposable Cookware
408,2019-08-25,1906.0,Disposable Cookware
409,2019-08-26,1906.0,Disposable Cookware
410,2019-08-27,2207.0,Disposable Cookware
411,2019-08-28,2198.0,Disposable Cookware
412,2019-08-29,2067.0,Disposable Cookware
413,2019-08-30,2067.0,Disposable Cookware
414,2019-08-31,2067.0,Disposable Cookware
415,2019-09-01,2132.0,Disposable Cookware
416,2019-09-02,2132.0,Disposable Cookware
417,2019-09-03,2449.0,Disposable Cookware
418,2019-09-04,1999.0,Disposable Cookware
419,2019-09-05,1985.0,Disposable Cookware
420,2019-09-06,2403.0,Disposable Cookware
421,2019-09-07,2546.0,Disposable Cookware
422,2019-09-08,2897.0,Disposable Cookware
423,2019-09-09,1949.0,Disposable Cookware
424,2019-09-10,1800.0,Disposable Cookware
425,2019-09-11,1826.0,Disposable Cookware
426,2019-09-12,1903.0,Disposable Cookware
427,2019-09-13,1907.0,Disposable Cookware
428,2019-09-14,2205.0,Disposable Cookware
429,2019-09-15,2205.0,Disposable Cookware
430,2019-09-16,2611.0,Disposable Cookware
431,2019-09-17,1838.0,Disposable Cookware
432,2019-09-18,2034.0,Disposable Cookware
433,2019-09-19,2034.0,Disposable Cookware
434,2019-09-20,2034.0,Disposable Cookware
435,2019-09-21,1823.0,Disposable Cookware
436,2019-09-22,2898.0,Disposable Cookware
437,2019-09-23,2268.0,Disposable Cookware
438,2019-09-24,2045.0,Disposable Cookware
439,2019-09-25,1895.0,Disposable Cookware
440,2019-09-26,1922.0,Disposable Cookware
441,2019-09-27,1863.0,Disposable Cookware
442,2019-09-28,2022.0,Disposable Cookware
443,2019-09-29,2022.0,Disposable Cookware
444,2019-09-30,2035.0,Disposable Cookware
445,2019-10-01,2035.0,Disposable Cookware
446,2019-10-02,1965.0,Disposable Cookware
447,2019-10-03,2010.0,Disposable Cookware
448,2019-10-04,1747.0,Disposable Cookware
449,2019-10-05,1747.0,Disposable Cookware
450,2019-10-06,1747.0,Disposable Cookware
451,2019-10-07,1883.0,Disposable Cookware
452,2019-10-08,1954.0,Disposable Cookware
453,2019-10-09,1954.0,Disposable Cookware
454,2019-10-10,1701.0,Disposable Cookware
455,2019-10-11,1581.0,Disposable Cookware
456,2019-10-12,1581.0,Disposable Cookware
457,2019-10-13,2444.0,Disposable Cookware
458,2019-10-14,2195.0,Disposable Cookware
459,2019-10-15,2195.0,Disposable Cookware
460,2019-10-16,2011.0,Disposable Cookware
461,2019-10-17,1964.0,Disposable Cookware
462,2019-10-18,1964.0,Disposable Cookware
463,2019-10-19,2339.0,Disposable Cookware
464,2019-10-20,2277.0,Disposable Cookware
465,2019-10-21,2277.0,Disposable Cookware
466,2019-10-22,2277.0,Disposable Cookware
467,2019-10-23,2049.0,Disposable Cookware
468,2019-10-24,2209.0,Disposable Cookware
469,2019-10-25,2209.0,Disposable Cookware
470,2019-10-26,2209.0,Disposable Cookware
471,2019-10-27,2037.0,Disposable Cookware
472,2019-10-28,2595.0,Disposable Cookware
473,2019-10-29,2066.0,Disposable Cookware
474,2019-10-30,2066.0,Disposable Cookware
475,2019-10-31,1801.0,Disposable Cookware
476,2019-11-01,1801.0,Disposable Cookware
477,2019-11-02,2141.0,Disposable Cookware
478,2019-11-03,2141.0,Disposable Cookware
479,2019-11-04,2435.0,Disposable Cookware
480,2019-11-05,2435.0,Disposable Cookware
481,2019-11-06,1808.0,Disposable Cookware
482,2019-11-07,1808.0,Disposable Cookware
483,2019-11-08,1808.0,Disposable Cookware
484,2019-11-09,1841.0,Disposable Cookware
485,2019-11-10,1841.0,Disposable Cookware
486,2019-11-11,1841.0,Disposable Cookware
487,2019-11-12,1811.0,Disposable Cookware
488,2019-11-13,1811.0,Disposable Cookware
489,2019-11-14,1811.0,Disposable Cookware
490,2019-11-15,1811.0,Disposable Cookware
491,2019-11-16,1811.0,Disposable Cookware
492,2019-11-17,1755.0,Disposable Cookware
493,2019-11-18,2115.0,Disposable Cookware
494,2019-11-19,1241.0,Disposable Cookware
495,2019-11-20,1241.0,Disposable Cookware
496,2019-11-21,1045.0,Disposable Cookware
497,2019-11-22,880.0,Disposable Cookware
498,2019-11-23,767.0,Disposable Cookware
499,2019-11-24,767.0,Disposable Cookware
500,2019-11-25,732.0,Disposable Cookware
501,2019-11-26,631.0,Disposable Cookware
502,2019-11-27,768.0,Disposable Cookware
503,2019-11-28,768.0,Disposable Cookware
504,2019-11-29,2844.0,Disposable Cookware
505,2019-11-30,3235.0,Disposable Cookware
506,2019-12-01,3235.0,Disposable Cookware
507,2019-12-02,3235.0,Disposable Cookware
508,2019-12-03,3235.0,Disposable Cookware
509,2019-12-04,3235.0,Disposable Cookware
510,2019-12-05,4029.0,Disposable Cookware
511,2019-12-06,4029.0,Disposable Cookware
512,2019-12-07,4029.0,Disposable Cookware
513,2019-12-08,4029.0,Disposable Cookware
514,2019-12-09,3523.0,Disposable Cookware
515,2019-12-10,3523.0,Disposable Cookware
516,2019-12-11,3306.0,Disposable Cookware
517,2019-12-12,3306.0,Disposable Cookware
518,2019-12-13,3617.0,Disposable Cookware
519,2019-12-14,3617.0,Disposable Cookware
520,2019-12-15,3617.0,Disposable Cookware
521,2019-12-16,3617.0,Disposable Cookware
522,2019-12-17,3617.0,Disposable Cookware
523,2019-12-18,3975.0,Disposable Cookware
524,2019-12-19,3975.0,Disposable Cookware
525,2019-12-20,3950.0,Disposable Cookware
526,2019-12-21,3950.0,Disposable Cookware
527,2019-12-22,3950.0,Disposable Cookware
528,2019-12-23,3950.0,Disposable Cookware
529,2019-12-24,3950.0,Disposable Cookware
530,2019-12-25,3950.0,Disposable Cookware
531,2019-12-26,3950.0,Disposable Cookware
532,2019-12-27,2970.0,Disposable Cookware
533,2019-12-28,2970.0,Disposable Cookware
534,2019-12-29,2970.0,Disposable Cookware
535,2019-12-30,2890.0,Disposable Cookware
536,2019-12-31,2475.0,Disposable Cookware
537,2020-01-01,2475.0,Disposable Cookware
538,2020-01-02,2475.0,Disposable Cookware
539,2020-01-03,2475.0,Disposable Cookware
540,2020-01-04,2475.0,Disposable Cookware
541,2020-01-05,2475.0,Disposable Cookware
542,2020-01-06,1964.0,Disposable Cookware
543,2020-01-07,1964.0,Disposable Cookware
544,2020-01-08,1976.0,Disposable Cookware
545,2020-01-09,1976.0,Disposable Cookware
546,2020-01-10,1565.0,Disposable Cookware
547,2020-01-11,1565.0,Disposable Cookware
548,2020-01-12,1565.0,Disposable Cookware
549,2020-01-13,1565.0,Disposable Cookware
550,2020-01-14,1503.0,Disposable Cookware
551,2020-01-15,1503.0,Disposable Cookware
552,2020-01-16,1503.0,Disposable Cookware
553,2020-01-17,1503.0,Disposable Cookware
554,2020-01-18,1503.0,Disposable Cookware
555,2020-01-19,1721.0,Disposable Cookware
556,2020-01-20,1721.0,Disposable Cookware
557,2020-01-21,1721.0,Disposable Cookware
558,2020-01-22,1721.0,Disposable Cookware
559,2020-01-23,1721.0,Disposable Cookware
560,2020-01-24,2393.0,Disposable Cookware
561,2020-01-25,2393.0,Disposable Cookware
562,2020-01-26,2393.0,Disposable Cookware
563,2020-01-27,2393.0,Disposable Cookware
564,2020-01-28,2393.0,Disposable Cookware
565,2020-01-29,1903.0,Disposable Cookware
566,2020-01-30,2015.0,Disposable Cookware
567,2020-01-31,2015.0,Disposable Cookware
568,2020-02-01,2015.0,Disposable Cookware
569,2020-02-02,2015.0,Disposable Cookware
570,2020-02-03,2953.0,Disposable Cookware
571,2020-02-04,2953.0,Disposable Cookware
572,2020-02-05,2505.0,Disposable Cookware
573,2020-02-06,2505.0,Disposable Cookware
574,2020-02-07,2505.0,Disposable Cookware
575,2020-02-08,2325.0,Disposable Cookware
576,2020-02-09,2325.0,Disposable Cookware
577,2020-02-10,2325.0,Disposable Cookware
578,2020-02-11,2886.0,Disposable Cookware
579,2020-02-12,2517.0,Disposable Cookware
580,2020-02-13,2517.0,Disposable Cookware
581,2020-02-14,2517.0,Disposable Cookware
582,2020-02-15,2124.0,Disposable Cookware
583,2020-02-16,2124.0,Disposable Cookware
584,2020-02-17,2124.0,Disposable Cookware
585,2020-02-18,2654.0,Disposable Cookware
586,2020-02-19,2086.0,Disposable Cookware
587,2020-02-20,2086.0,Disposable Cookware
588,2020-02-21,2086.0,Disposable Cookware
589,2020-02-22,2081.0,Disposable Cookware
590,2020-02-23,2257.0,Disposable Cookware
591,2020-02-24,2222.0,Disposable Cookware
592,2020-02-25,2222.0,Disposable Cookware
593,2020-02-26,1959.0,Disposable Cookware
594,2020-02-27,1959.0,Disposable Cookware
595,2020-02-28,1959.0,Disposable Cookware
596,2020-02-29,1959.0,Disposable Cookware
597,2020-03-01,2471.0,Disposable Cookware
598,2020-03-02,2471.0,Disposable Cookware
599,2020-03-03,2471.0,Disposable Cookware
600,2020-03-04,2052.0,Disposable Cookware
601,2020-03-05,2052.0,Disposable Cookware
602,2020-03-06,2052.0,Disposable Cookware
603,2020-03-07,2052.0,Disposable Cookware
604,2020-03-08,2052.0,Disposable Cookware
605,2020-03-09,2052.0,Disposable Cookware
606,2020-03-10,-1.0,Disposable Cookware
