,date,value,name_B08J2XTG8N
95,2020-12-23,1585.0,Sanitary Napkins
96,2020-12-24,1723.0,Sanitary Napkins
97,2020-12-25,1655.0,Sanitary Napkins
98,2020-12-26,1852.0,Sanitary Napkins
99,2020-12-27,1511.0,Sanitary Napkins
100,2020-12-28,1649.0,Sanitary Napkins
101,2020-12-29,1578.0,Sanitary Napkins
102,2020-12-30,1625.0,Sanitary Napkins
103,2020-12-31,1578.0,Sanitary Napkins
104,2021-01-01,1578.0,Sanitary Napkins
105,2021-01-02,1578.0,Sanitary Napkins
106,2021-01-03,1579.0,Sanitary Napkins
107,2021-01-04,1579.0,Sanitary Napkins
108,2021-01-05,1525.0,Sanitary Napkins
109,2021-01-06,1525.0,Sanitary Napkins
110,2021-01-07,1525.0,Sanitary Napkins
111,2021-01-08,1755.0,Sanitary Napkins
112,2021-01-09,1755.0,Sanitary Napkins
113,2021-01-10,1551.0,Sanitary Napkins
114,2021-01-11,1473.0,Sanitary Napkins
115,2021-01-12,1473.0,Sanitary Napkins
116,2021-01-13,1473.0,Sanitary Napkins
117,2021-01-14,1402.0,Sanitary Napkins
118,2021-01-15,1408.0,Sanitary Napkins
119,2021-01-16,1408.0,Sanitary Napkins
120,2021-01-17,1244.0,Sanitary Napkins
121,2021-01-18,1244.0,Sanitary Napkins
122,2021-01-19,1244.0,Sanitary Napkins
123,2021-01-20,1236.0,Sanitary Napkins
124,2021-01-21,1236.0,Sanitary Napkins
125,2021-01-22,1236.0,Sanitary Napkins
126,2021-01-23,1236.0,Sanitary Napkins
127,2021-01-24,1051.0,Sanitary Napkins
128,2021-01-25,1051.0,Sanitary Napkins
129,2021-01-26,1060.0,Sanitary Napkins
130,2021-01-27,1060.0,Sanitary Napkins
131,2021-01-28,1231.0,Sanitary Napkins
132,2021-01-29,1231.0,Sanitary Napkins
133,2021-01-30,1231.0,Sanitary Napkins
134,2021-01-31,1188.0,Sanitary Napkins
135,2021-02-01,1188.0,Sanitary Napkins
136,2021-02-02,1188.0,Sanitary Napkins
137,2021-02-03,1164.0,Sanitary Napkins
138,2021-02-04,1164.0,Sanitary Napkins
139,2021-02-05,1207.0,Sanitary Napkins
140,2021-02-06,1207.0,Sanitary Napkins
141,2021-02-07,1207.0,Sanitary Napkins
142,2021-02-08,978.0,Sanitary Napkins
143,2021-02-09,978.0,Sanitary Napkins
144,2021-02-10,978.0,Sanitary Napkins
145,2021-02-11,1137.0,Sanitary Napkins
146,2021-02-12,1137.0,Sanitary Napkins
147,2021-02-13,1136.0,Sanitary Napkins
148,2021-02-14,1078.0,Sanitary Napkins
149,2021-02-15,1078.0,Sanitary Napkins
150,2021-02-16,1078.0,Sanitary Napkins
151,2021-02-17,978.0,Sanitary Napkins
152,2021-02-18,978.0,Sanitary Napkins
153,2021-02-19,1033.0,Sanitary Napkins
154,2021-02-20,1021.0,Sanitary Napkins
155,2021-02-21,1021.0,Sanitary Napkins
156,2021-02-22,1066.0,Sanitary Napkins
157,2021-02-23,1066.0,Sanitary Napkins
158,2021-02-24,1066.0,Sanitary Napkins
159,2021-02-25,1044.0,Sanitary Napkins
160,2021-02-26,1044.0,Sanitary Napkins
161,2021-02-27,998.0,Sanitary Napkins
162,2021-02-28,998.0,Sanitary Napkins
163,2021-03-01,998.0,Sanitary Napkins
164,2021-03-02,958.0,Sanitary Napkins
165,2021-03-03,958.0,Sanitary Napkins
166,2021-03-04,992.0,Sanitary Napkins
167,2021-03-05,992.0,Sanitary Napkins
168,2021-03-06,992.0,Sanitary Napkins
169,2021-03-07,981.0,Sanitary Napkins
170,2021-03-08,925.0,Sanitary Napkins
171,2021-03-09,925.0,Sanitary Napkins
172,2021-03-10,909.0,Sanitary Napkins
173,2021-03-11,909.0,Sanitary Napkins
174,2021-03-12,909.0,Sanitary Napkins
175,2021-03-13,1079.0,Sanitary Napkins
176,2021-03-14,1079.0,Sanitary Napkins
177,2021-03-15,1135.0,Sanitary Napkins
178,2021-03-16,1220.0,Sanitary Napkins
179,2021-03-17,1148.0,Sanitary Napkins
180,2021-03-18,1067.0,Sanitary Napkins
181,2021-03-19,1067.0,Sanitary Napkins
182,2021-03-20,1371.0,Sanitary Napkins
183,2021-03-21,1371.0,Sanitary Napkins
184,2021-03-22,1064.0,Sanitary Napkins
185,2021-03-23,1173.0,Sanitary Napkins
186,2021-03-24,1305.0,Sanitary Napkins
187,2021-03-25,1529.0,Sanitary Napkins
188,2021-03-26,1529.0,Sanitary Napkins
189,2021-03-27,1491.0,Sanitary Napkins
190,2021-03-28,1491.0,Sanitary Napkins
191,2021-03-29,1480.0,Sanitary Napkins
192,2021-03-30,1480.0,Sanitary Napkins
193,2021-03-31,1790.0,Sanitary Napkins
194,2021-04-01,1790.0,Sanitary Napkins
195,2021-04-02,1790.0,Sanitary Napkins
196,2021-04-03,3078.0,Sanitary Napkins
197,2021-04-04,3078.0,Sanitary Napkins
198,2021-04-05,3078.0,Sanitary Napkins
199,2021-04-06,4872.0,Sanitary Napkins
200,2021-04-07,4872.0,Sanitary Napkins
201,2021-04-08,4872.0,Sanitary Napkins
202,2021-04-09,5624.0,Sanitary Napkins
203,2021-04-10,4511.0,Sanitary Napkins
204,2021-04-11,4511.0,Sanitary Napkins
205,2021-04-12,4927.0,Sanitary Napkins
206,2021-04-13,4927.0,Sanitary Napkins
207,2021-04-14,5024.0,Sanitary Napkins
208,2021-04-15,4902.0,Sanitary Napkins
209,2021-04-16,4902.0,Sanitary Napkins
210,2021-04-17,4040.0,Sanitary Napkins
211,2021-04-18,4563.0,Sanitary Napkins
212,2021-04-19,4563.0,Sanitary Napkins
213,2021-04-20,5538.0,Sanitary Napkins
214,2021-04-21,5538.0,Sanitary Napkins
215,2021-04-22,5230.0,Sanitary Napkins
216,2021-04-23,4700.0,Sanitary Napkins
217,2021-04-24,4700.0,Sanitary Napkins
218,2021-04-25,4700.0,Sanitary Napkins
219,2021-04-26,5327.0,Sanitary Napkins
220,2021-04-27,5327.0,Sanitary Napkins
221,2021-04-28,5583.0,Sanitary Napkins
222,2021-04-29,5583.0,Sanitary Napkins
223,2021-04-30,5776.0,Sanitary Napkins
224,2021-05-01,5776.0,Sanitary Napkins
225,2021-05-02,5731.0,Sanitary Napkins
226,2021-05-03,5731.0,Sanitary Napkins
227,2021-05-04,5662.0,Sanitary Napkins
228,2021-05-05,5662.0,Sanitary Napkins
229,2021-05-06,5662.0,Sanitary Napkins
230,2021-05-07,6011.0,Sanitary Napkins
231,2021-05-08,6011.0,Sanitary Napkins
232,2021-05-09,5410.0,Sanitary Napkins
233,2021-05-10,5410.0,Sanitary Napkins
234,2021-05-11,5736.0,Sanitary Napkins
235,2021-05-12,5736.0,Sanitary Napkins
236,2021-05-13,5736.0,Sanitary Napkins
237,2021-05-14,6411.0,Sanitary Napkins
238,2021-05-15,6411.0,Sanitary Napkins
239,2021-05-16,6411.0,Sanitary Napkins
240,2021-05-17,6905.0,Sanitary Napkins
241,2021-05-18,6977.0,Sanitary Napkins
242,2021-05-19,6977.0,Sanitary Napkins
243,2021-05-20,7589.0,Sanitary Napkins
244,2021-05-21,9766.0,Sanitary Napkins
245,2021-05-22,9766.0,Sanitary Napkins
246,2021-05-23,4841.0,Sanitary Napkins
247,2021-05-24,4841.0,Sanitary Napkins
248,2021-05-25,7645.0,Sanitary Napkins
249,2021-05-26,7500.0,Sanitary Napkins
250,2021-05-27,8651.0,Sanitary Napkins
251,2021-05-28,8651.0,Sanitary Napkins
252,2021-05-29,8476.0,Sanitary Napkins
253,2021-05-30,9661.0,Sanitary Napkins
254,2021-05-31,9661.0,Sanitary Napkins
255,2021-06-01,10363.0,Sanitary Napkins
256,2021-06-02,10363.0,Sanitary Napkins
257,2021-06-03,7453.0,Sanitary Napkins
258,2021-06-04,8375.0,Sanitary Napkins
259,2021-06-05,8375.0,Sanitary Napkins
260,2021-06-06,6279.0,Sanitary Napkins
261,2021-06-07,6279.0,Sanitary Napkins
262,2021-06-08,4830.0,Sanitary Napkins
263,2021-06-09,4830.0,Sanitary Napkins
264,2021-06-10,4830.0,Sanitary Napkins
265,2021-06-11,7064.0,Sanitary Napkins
266,2021-06-12,8189.0,Sanitary Napkins
267,2021-06-13,8189.0,Sanitary Napkins
268,2021-06-14,7336.0,Sanitary Napkins
269,2021-06-15,7336.0,Sanitary Napkins
270,2021-06-16,8019.0,Sanitary Napkins
271,2021-06-17,6482.0,Sanitary Napkins
272,2021-06-18,6920.0,Sanitary Napkins
273,2021-06-19,6920.0,Sanitary Napkins
274,2021-06-20,6798.0,Sanitary Napkins
275,2021-06-21,6134.0,Sanitary Napkins
276,2021-06-22,8119.0,Sanitary Napkins
277,2021-06-23,8119.0,Sanitary Napkins
278,2021-06-24,6831.0,Sanitary Napkins
279,2021-06-25,2468.0,Sanitary Napkins
280,2021-06-26,2468.0,Sanitary Napkins
281,2021-06-27,3882.0,Sanitary Napkins
282,2021-06-28,3882.0,Sanitary Napkins
283,2021-06-29,3882.0,Sanitary Napkins
284,2021-06-30,4846.0,Sanitary Napkins
285,2021-07-01,4932.0,Sanitary Napkins
286,2021-07-02,4932.0,Sanitary Napkins
287,2021-07-03,4895.0,Sanitary Napkins
288,2021-07-04,4895.0,Sanitary Napkins
289,2021-07-05,1523.0,Sanitary Napkins
290,2021-07-06,1523.0,Sanitary Napkins
291,2021-07-07,2448.0,Sanitary Napkins
292,2021-07-08,2641.0,Sanitary Napkins
293,2021-07-09,2627.0,Sanitary Napkins
294,2021-07-10,2764.0,Sanitary Napkins
