,date,value,name_B07NJBPF2L
344,2020-01-22,3904.0,Moscow Mule Mugs
345,2020-01-23,3904.0,Moscow Mule Mugs
346,2020-01-24,3904.0,Moscow Mule Mugs
347,2020-01-25,3379.0,Moscow Mule Mugs
348,2020-01-26,3379.0,Moscow Mule Mugs
349,2020-01-27,3379.0,Moscow Mule Mugs
350,2020-01-28,3379.0,Moscow Mule Mugs
351,2020-01-29,3379.0,Moscow Mule Mugs
352,2020-01-30,3379.0,Moscow Mule Mugs
353,2020-01-31,3379.0,Moscow Mule Mugs
354,2020-02-01,4238.0,Moscow Mule Mugs
355,2020-02-02,5625.0,Moscow Mule Mugs
356,2020-02-03,5625.0,Moscow Mule Mugs
357,2020-02-04,5625.0,Moscow Mule Mugs
358,2020-02-05,4484.0,Moscow Mule Mugs
359,2020-02-06,4484.0,Moscow Mule Mugs
360,2020-02-07,4484.0,Moscow Mule Mugs
361,2020-02-08,2500.0,Moscow Mule Mugs
362,2020-02-09,2500.0,Moscow Mule Mugs
363,2020-02-10,2500.0,Moscow Mule Mugs
364,2020-02-11,2730.0,Moscow Mule Mugs
365,2020-02-12,2775.0,Moscow Mule Mugs
366,2020-02-13,2775.0,Moscow Mule Mugs
367,2020-02-14,2775.0,Moscow Mule Mugs
368,2020-02-15,4292.0,Moscow Mule Mugs
369,2020-02-16,4292.0,Moscow Mule Mugs
370,2020-02-17,4947.0,Moscow Mule Mugs
371,2020-02-18,7251.0,Moscow Mule Mugs
372,2020-02-19,7404.0,Moscow Mule Mugs
373,2020-02-20,7404.0,Moscow Mule Mugs
374,2020-02-21,7404.0,Moscow Mule Mugs
375,2020-02-22,7404.0,Moscow Mule Mugs
376,2020-02-23,4692.0,Moscow Mule Mugs
377,2020-02-24,7484.0,Moscow Mule Mugs
378,2020-02-25,7484.0,Moscow Mule Mugs
379,2020-02-26,12574.0,Moscow Mule Mugs
380,2020-02-27,9590.0,Moscow Mule Mugs
381,2020-02-28,9590.0,Moscow Mule Mugs
382,2020-02-29,9590.0,Moscow Mule Mugs
383,2020-03-01,8783.0,Moscow Mule Mugs
384,2020-03-02,8783.0,Moscow Mule Mugs
385,2020-03-03,8783.0,Moscow Mule Mugs
386,2020-03-04,11490.0,Moscow Mule Mugs
387,2020-03-05,11490.0,Moscow Mule Mugs
388,2020-03-06,11490.0,Moscow Mule Mugs
389,2020-03-07,11490.0,Moscow Mule Mugs
390,2020-03-08,11490.0,Moscow Mule Mugs
391,2020-03-09,11490.0,Moscow Mule Mugs
392,2020-03-10,11490.0,Moscow Mule Mugs
393,2020-03-11,-1.0,Moscow Mule Mugs
