,date,value,name_B08YY8LXTD
45,2021-05-03,12971.0,Pond Liners & Seals
46,2021-05-04,12971.0,Pond Liners & Seals
47,2021-05-05,12971.0,Pond Liners & Seals
48,2021-05-06,31109.0,Pond Liners & Seals
49,2021-05-07,31109.0,Pond Liners & Seals
50,2021-05-08,23160.0,Pond Liners & Seals
51,2021-05-09,23160.0,Pond Liners & Seals
52,2021-05-10,27149.0,Pond Liners & Seals
53,2021-05-11,27149.0,Pond Liners & Seals
54,2021-05-12,27149.0,Pond Liners & Seals
55,2021-05-13,27149.0,Pond Liners & Seals
56,2021-05-14,27149.0,Pond Liners & Seals
57,2021-05-15,27149.0,Pond Liners & Seals
58,2021-05-16,27149.0,Pond Liners & Seals
59,2021-05-17,33713.0,Pond Liners & Seals
60,2021-05-18,33713.0,Pond Liners & Seals
61,2021-05-19,33713.0,Pond Liners & Seals
62,2021-05-20,58177.0,Pond Liners & Seals
63,2021-05-21,58177.0,Pond Liners & Seals
64,2021-05-22,58177.0,Pond Liners & Seals
65,2021-05-23,58177.0,Pond Liners & Seals
66,2021-05-24,58177.0,Pond Liners & Seals
67,2021-05-25,38909.0,Pond Liners & Seals
68,2021-05-26,38909.0,Pond Liners & Seals
69,2021-05-27,38909.0,Pond Liners & Seals
70,2021-05-28,38909.0,Pond Liners & Seals
71,2021-05-29,55265.0,Pond Liners & Seals
72,2021-05-30,55265.0,Pond Liners & Seals
73,2021-05-31,55265.0,Pond Liners & Seals
74,2021-06-01,55265.0,Pond Liners & Seals
75,2021-06-02,55265.0,Pond Liners & Seals
76,2021-06-03,55265.0,Pond Liners & Seals
77,2021-06-04,55265.0,Pond Liners & Seals
78,2021-06-05,25627.0,Pond Liners & Seals
79,2021-06-06,25627.0,Pond Liners & Seals
80,2021-06-07,25627.0,Pond Liners & Seals
81,2021-06-08,28271.0,Pond Liners & Seals
82,2021-06-09,13796.0,Pond Liners & Seals
83,2021-06-10,17693.0,Pond Liners & Seals
84,2021-06-11,16198.0,Pond Liners & Seals
85,2021-06-12,16198.0,Pond Liners & Seals
86,2021-06-13,16198.0,Pond Liners & Seals
87,2021-06-14,16198.0,Pond Liners & Seals
88,2021-06-15,13176.0,Pond Liners & Seals
89,2021-06-16,13176.0,Pond Liners & Seals
90,2021-06-17,14752.0,Pond Liners & Seals
91,2021-06-18,14752.0,Pond Liners & Seals
92,2021-06-19,11919.0,Pond Liners & Seals
93,2021-06-20,11919.0,Pond Liners & Seals
94,2021-06-21,14156.0,Pond Liners & Seals
95,2021-06-22,14156.0,Pond Liners & Seals
96,2021-06-23,12304.0,Pond Liners & Seals
97,2021-06-24,10499.0,Pond Liners & Seals
98,2021-06-25,18176.0,Pond Liners & Seals
99,2021-06-26,18176.0,Pond Liners & Seals
100,2021-06-27,18176.0,Pond Liners & Seals
101,2021-06-28,48054.0,Pond Liners & Seals
102,2021-06-29,48054.0,Pond Liners & Seals
103,2021-06-30,48054.0,Pond Liners & Seals
104,2021-07-01,38388.0,Pond Liners & Seals
105,2021-07-02,48408.0,Pond Liners & Seals
106,2021-07-03,41831.0,Pond Liners & Seals
107,2021-07-04,41831.0,Pond Liners & Seals
108,2021-07-05,41831.0,Pond Liners & Seals
109,2021-07-06,45911.0,Pond Liners & Seals
110,2021-07-07,45911.0,Pond Liners & Seals
111,2021-07-08,58658.0,Pond Liners & Seals
112,2021-07-09,39260.0,Pond Liners & Seals
