,date,value,name_B07H8B9FMZ
104,2020-09-07,982.0,Vest Harnesses
105,2020-09-08,1136.0,Vest Harnesses
106,2020-09-09,909.0,Vest Harnesses
107,2020-09-10,909.0,Vest Harnesses
108,2020-09-11,1005.0,Vest Harnesses
109,2020-09-12,1005.0,Vest Harnesses
110,2020-09-13,952.0,Vest Harnesses
111,2020-09-14,994.0,Vest Harnesses
112,2020-09-15,1199.0,Vest Harnesses
113,2020-09-16,1111.0,Vest Harnesses
114,2020-09-17,1043.0,Vest Harnesses
115,2020-09-18,991.0,Vest Harnesses
116,2020-09-19,991.0,Vest Harnesses
117,2020-09-20,976.0,Vest Harnesses
118,2020-09-21,976.0,Vest Harnesses
119,2020-09-22,976.0,Vest Harnesses
120,2020-09-23,597.0,Vest Harnesses
121,2020-09-24,603.0,Vest Harnesses
122,2020-09-25,520.0,Vest Harnesses
123,2020-09-26,503.0,Vest Harnesses
124,2020-09-27,406.0,Vest Harnesses
125,2020-09-28,509.0,Vest Harnesses
126,2020-09-29,587.0,Vest Harnesses
127,2020-09-30,674.0,Vest Harnesses
128,2020-10-01,683.0,Vest Harnesses
129,2020-10-02,865.0,Vest Harnesses
130,2020-10-03,866.0,Vest Harnesses
131,2020-10-04,909.0,Vest Harnesses
132,2020-10-05,761.0,Vest Harnesses
133,2020-10-06,761.0,Vest Harnesses
134,2020-10-07,792.0,Vest Harnesses
135,2020-10-08,908.0,Vest Harnesses
136,2020-10-09,869.0,Vest Harnesses
137,2020-10-10,845.0,Vest Harnesses
138,2020-10-11,845.0,Vest Harnesses
139,2020-10-12,298.0,Vest Harnesses
140,2020-10-13,635.0,Vest Harnesses
141,2020-10-14,884.0,Vest Harnesses
142,2020-10-15,884.0,Vest Harnesses
143,2020-10-16,1089.0,Vest Harnesses
144,2020-10-17,1073.0,Vest Harnesses
145,2020-10-18,1073.0,Vest Harnesses
146,2020-10-19,996.0,Vest Harnesses
147,2020-10-20,1043.0,Vest Harnesses
148,2020-10-21,1056.0,Vest Harnesses
149,2020-10-22,1056.0,Vest Harnesses
150,2020-10-23,1184.0,Vest Harnesses
151,2020-10-24,1184.0,Vest Harnesses
152,2020-10-25,1093.0,Vest Harnesses
153,2020-10-26,949.0,Vest Harnesses
154,2020-10-27,1192.0,Vest Harnesses
155,2020-10-28,1199.0,Vest Harnesses
156,2020-10-29,1055.0,Vest Harnesses
157,2020-10-30,1055.0,Vest Harnesses
158,2020-10-31,1097.0,Vest Harnesses
159,2020-11-01,1097.0,Vest Harnesses
160,2020-11-02,1059.0,Vest Harnesses
161,2020-11-03,629.0,Vest Harnesses
162,2020-11-04,629.0,Vest Harnesses
163,2020-11-05,992.0,Vest Harnesses
164,2020-11-06,937.0,Vest Harnesses
165,2020-11-07,1038.0,Vest Harnesses
166,2020-11-08,1038.0,Vest Harnesses
167,2020-11-09,801.0,Vest Harnesses
168,2020-11-10,1044.0,Vest Harnesses
169,2020-11-11,1025.0,Vest Harnesses
170,2020-11-12,1025.0,Vest Harnesses
171,2020-11-13,1182.0,Vest Harnesses
172,2020-11-14,1182.0,Vest Harnesses
173,2020-11-15,1182.0,Vest Harnesses
174,2020-11-16,1182.0,Vest Harnesses
175,2020-11-17,1388.0,Vest Harnesses
176,2020-11-18,1249.0,Vest Harnesses
177,2020-11-19,1249.0,Vest Harnesses
178,2020-11-20,1167.0,Vest Harnesses
179,2020-11-21,1223.0,Vest Harnesses
180,2020-11-22,1276.0,Vest Harnesses
181,2020-11-23,1401.0,Vest Harnesses
182,2020-11-24,1229.0,Vest Harnesses
183,2020-11-25,1060.0,Vest Harnesses
184,2020-11-26,816.0,Vest Harnesses
185,2020-11-27,800.0,Vest Harnesses
186,2020-11-28,665.0,Vest Harnesses
187,2020-11-29,765.0,Vest Harnesses
188,2020-11-30,853.0,Vest Harnesses
189,2020-12-01,1145.0,Vest Harnesses
190,2020-12-02,1223.0,Vest Harnesses
191,2020-12-03,1223.0,Vest Harnesses
192,2020-12-04,1187.0,Vest Harnesses
193,2020-12-05,1274.0,Vest Harnesses
194,2020-12-06,1274.0,Vest Harnesses
195,2020-12-07,1344.0,Vest Harnesses
196,2020-12-08,1281.0,Vest Harnesses
197,2020-12-09,1534.0,Vest Harnesses
198,2020-12-10,1614.0,Vest Harnesses
199,2020-12-11,1509.0,Vest Harnesses
200,2020-12-12,1479.0,Vest Harnesses
201,2020-12-13,1634.0,Vest Harnesses
202,2020-12-14,1336.0,Vest Harnesses
203,2020-12-15,1480.0,Vest Harnesses
204,2020-12-16,1516.0,Vest Harnesses
205,2020-12-17,1802.0,Vest Harnesses
206,2020-12-18,1859.0,Vest Harnesses
207,2020-12-19,1859.0,Vest Harnesses
208,2020-12-20,1804.0,Vest Harnesses
209,2020-12-21,2061.0,Vest Harnesses
210,2020-12-22,1802.0,Vest Harnesses
211,2020-12-23,1651.0,Vest Harnesses
212,2020-12-24,1741.0,Vest Harnesses
213,2020-12-25,1623.0,Vest Harnesses
214,2020-12-26,1610.0,Vest Harnesses
215,2020-12-27,1720.0,Vest Harnesses
216,2020-12-28,1355.0,Vest Harnesses
217,2020-12-29,787.0,Vest Harnesses
218,2020-12-30,651.0,Vest Harnesses
219,2020-12-31,658.0,Vest Harnesses
