,date,value,name_B08X6W5ZWY
35,2021-04-13,16516.0,Stuffed Animals & Teddy Bears
36,2021-04-14,16516.0,Stuffed Animals & Teddy Bears
37,2021-04-15,19033.0,Stuffed Animals & Teddy Bears
38,2021-04-16,19033.0,Stuffed Animals & Teddy Bears
39,2021-04-17,19033.0,Stuffed Animals & Teddy Bears
40,2021-04-18,19033.0,Stuffed Animals & Teddy Bears
41,2021-04-19,27061.0,Stuffed Animals & Teddy Bears
42,2021-04-20,27061.0,Stuffed Animals & Teddy Bears
43,2021-04-21,43235.0,Stuffed Animals & Teddy Bears
44,2021-04-22,43235.0,Stuffed Animals & Teddy Bears
45,2021-04-23,21226.0,Stuffed Animals & Teddy Bears
46,2021-04-24,21226.0,Stuffed Animals & Teddy Bears
47,2021-04-25,21226.0,Stuffed Animals & Teddy Bears
48,2021-04-26,21226.0,Stuffed Animals & Teddy Bears
49,2021-04-27,19071.0,Stuffed Animals & Teddy Bears
50,2021-04-28,19071.0,Stuffed Animals & Teddy Bears
51,2021-04-29,29145.0,Stuffed Animals & Teddy Bears
52,2021-04-30,29145.0,Stuffed Animals & Teddy Bears
53,2021-05-01,26140.0,Stuffed Animals & Teddy Bears
54,2021-05-02,26140.0,Stuffed Animals & Teddy Bears
55,2021-05-03,26140.0,Stuffed Animals & Teddy Bears
56,2021-05-04,26140.0,Stuffed Animals & Teddy Bears
57,2021-05-05,19042.0,Stuffed Animals & Teddy Bears
58,2021-05-06,19042.0,Stuffed Animals & Teddy Bears
59,2021-05-07,19042.0,Stuffed Animals & Teddy Bears
60,2021-05-08,14616.0,Stuffed Animals & Teddy Bears
61,2021-05-09,14616.0,Stuffed Animals & Teddy Bears
62,2021-05-10,14616.0,Stuffed Animals & Teddy Bears
63,2021-05-11,13573.0,Stuffed Animals & Teddy Bears
64,2021-05-12,13573.0,Stuffed Animals & Teddy Bears
65,2021-05-13,19912.0,Stuffed Animals & Teddy Bears
66,2021-05-14,19912.0,Stuffed Animals & Teddy Bears
67,2021-05-15,19912.0,Stuffed Animals & Teddy Bears
68,2021-05-16,19912.0,Stuffed Animals & Teddy Bears
69,2021-05-17,19912.0,Stuffed Animals & Teddy Bears
70,2021-05-18,22608.0,Stuffed Animals & Teddy Bears
71,2021-05-19,22608.0,Stuffed Animals & Teddy Bears
72,2021-05-20,32352.0,Stuffed Animals & Teddy Bears
73,2021-05-21,32352.0,Stuffed Animals & Teddy Bears
74,2021-05-22,32352.0,Stuffed Animals & Teddy Bears
75,2021-05-23,17143.0,Stuffed Animals & Teddy Bears
76,2021-05-24,17143.0,Stuffed Animals & Teddy Bears
77,2021-05-25,17143.0,Stuffed Animals & Teddy Bears
78,2021-05-26,19297.0,Stuffed Animals & Teddy Bears
79,2021-05-27,19839.0,Stuffed Animals & Teddy Bears
80,2021-05-28,23930.0,Stuffed Animals & Teddy Bears
81,2021-05-29,20534.0,Stuffed Animals & Teddy Bears
82,2021-05-30,20534.0,Stuffed Animals & Teddy Bears
83,2021-05-31,26631.0,Stuffed Animals & Teddy Bears
84,2021-06-01,26631.0,Stuffed Animals & Teddy Bears
85,2021-06-02,26631.0,Stuffed Animals & Teddy Bears
86,2021-06-03,14408.0,Stuffed Animals & Teddy Bears
87,2021-06-04,14408.0,Stuffed Animals & Teddy Bears
88,2021-06-05,14408.0,Stuffed Animals & Teddy Bears
89,2021-06-06,25547.0,Stuffed Animals & Teddy Bears
90,2021-06-07,18347.0,Stuffed Animals & Teddy Bears
91,2021-06-08,14140.0,Stuffed Animals & Teddy Bears
92,2021-06-09,14140.0,Stuffed Animals & Teddy Bears
93,2021-06-10,8552.0,Stuffed Animals & Teddy Bears
94,2021-06-11,8552.0,Stuffed Animals & Teddy Bears
95,2021-06-12,8552.0,Stuffed Animals & Teddy Bears
96,2021-06-13,8552.0,Stuffed Animals & Teddy Bears
97,2021-06-14,14492.0,Stuffed Animals & Teddy Bears
98,2021-06-15,14492.0,Stuffed Animals & Teddy Bears
99,2021-06-16,14492.0,Stuffed Animals & Teddy Bears
100,2021-06-17,9511.0,Stuffed Animals & Teddy Bears
101,2021-06-18,9511.0,Stuffed Animals & Teddy Bears
102,2021-06-19,9293.0,Stuffed Animals & Teddy Bears
103,2021-06-20,9293.0,Stuffed Animals & Teddy Bears
104,2021-06-21,13095.0,Stuffed Animals & Teddy Bears
105,2021-06-22,14741.0,Stuffed Animals & Teddy Bears
106,2021-06-23,14741.0,Stuffed Animals & Teddy Bears
107,2021-06-24,14741.0,Stuffed Animals & Teddy Bears
108,2021-06-25,8595.0,Stuffed Animals & Teddy Bears
109,2021-06-26,10308.0,Stuffed Animals & Teddy Bears
110,2021-06-27,10626.0,Stuffed Animals & Teddy Bears
111,2021-06-28,9454.0,Stuffed Animals & Teddy Bears
112,2021-06-29,8003.0,Stuffed Animals & Teddy Bears
113,2021-06-30,12466.0,Stuffed Animals & Teddy Bears
114,2021-07-01,9364.0,Stuffed Animals & Teddy Bears
115,2021-07-02,9364.0,Stuffed Animals & Teddy Bears
116,2021-07-03,10186.0,Stuffed Animals & Teddy Bears
117,2021-07-04,10186.0,Stuffed Animals & Teddy Bears
118,2021-07-05,8706.0,Stuffed Animals & Teddy Bears
119,2021-07-06,7657.0,Stuffed Animals & Teddy Bears
120,2021-07-07,7657.0,Stuffed Animals & Teddy Bears
121,2021-07-08,6041.0,Stuffed Animals & Teddy Bears
122,2021-07-09,6749.0,Stuffed Animals & Teddy Bears
