,date,value,name_B08R7DQ5DS
82,2021-05-25,4399,Food Jars & Canisters
83,2021-05-26,9072,Food Jars & Canisters
84,2021-05-27,11599,Food Jars & Canisters
85,2021-05-28,16264,Food Jars & Canisters
86,2021-05-29,18268,Food Jars & Canisters
87,2021-05-30,24918,Food Jars & Canisters
88,2021-05-31,33197,Food Jars & Canisters
89,2021-06-01,33060,Food Jars & Canisters
90,2021-06-02,25591,Food Jars & Canisters
91,2021-06-03,32418,Food Jars & Canisters
92,2021-06-04,22882,Food Jars & Canisters
93,2021-06-05,15780,Food Jars & Canisters
94,2021-06-06,11344,Food Jars & Canisters
95,2021-06-07,9535,Food Jars & Canisters
96,2021-06-08,9341,Food Jars & Canisters
97,2021-06-09,9484,Food Jars & Canisters
98,2021-06-10,4561,Food Jars & Canisters
99,2021-06-11,3086,Food Jars & Canisters
100,2021-06-12,2593,Food Jars & Canisters
101,2021-06-13,2267,Food Jars & Canisters
102,2021-06-14,2377,Food Jars & Canisters
103,2021-06-15,1889,Food Jars & Canisters
104,2021-06-16,2015,Food Jars & Canisters
105,2021-06-17,1890,Food Jars & Canisters
106,2021-06-18,1796,Food Jars & Canisters
107,2021-06-19,1788,Food Jars & Canisters
108,2021-06-20,1706,Food Jars & Canisters
109,2021-06-21,2158,Food Jars & Canisters
110,2021-06-22,1257,Food Jars & Canisters
111,2021-06-23,1179,Food Jars & Canisters
112,2021-06-24,1233,Food Jars & Canisters
113,2021-06-25,1290,Food Jars & Canisters
114,2021-06-26,1327,Food Jars & Canisters
115,2021-06-27,1504,Food Jars & Canisters
116,2021-06-28,1447,Food Jars & Canisters
117,2021-06-29,1346,Food Jars & Canisters
118,2021-06-30,1206,Food Jars & Canisters
119,2021-07-01,1203,Food Jars & Canisters
120,2021-07-02,1215,Food Jars & Canisters
121,2021-07-03,1213,Food Jars & Canisters
122,2021-07-04,1012,Food Jars & Canisters
123,2021-07-05,1061,Food Jars & Canisters
124,2021-07-06,953,Food Jars & Canisters
125,2021-07-07,1023,Food Jars & Canisters
126,2021-07-08,972,Food Jars & Canisters
127,2021-07-09,1032,Food Jars & Canisters
128,2021-07-10,1228,Food Jars & Canisters
129,2021-07-11,1440,Food Jars & Canisters
