,date,value,name_B08P18CP3V
140,2021-04-20,37762.0,Closet Systems
141,2021-04-21,26363.0,Closet Systems
142,2021-04-22,26363.0,Closet Systems
143,2021-04-23,26302.0,Closet Systems
144,2021-04-24,26302.0,Closet Systems
145,2021-04-25,36797.0,Closet Systems
146,2021-04-26,36797.0,Closet Systems
147,2021-04-27,36797.0,Closet Systems
148,2021-04-28,26736.0,Closet Systems
149,2021-04-29,26736.0,Closet Systems
150,2021-04-30,26736.0,Closet Systems
151,2021-05-01,30655.0,Closet Systems
152,2021-05-02,30655.0,Closet Systems
153,2021-05-03,30655.0,Closet Systems
154,2021-05-04,31142.0,Closet Systems
155,2021-05-05,31142.0,Closet Systems
156,2021-05-06,31142.0,Closet Systems
157,2021-05-07,39841.0,Closet Systems
158,2021-05-08,41016.0,Closet Systems
159,2021-05-09,41016.0,Closet Systems
160,2021-05-10,42832.0,Closet Systems
161,2021-05-11,42832.0,Closet Systems
162,2021-05-12,42832.0,Closet Systems
163,2021-05-13,41764.0,Closet Systems
164,2021-05-14,41764.0,Closet Systems
165,2021-05-15,41764.0,Closet Systems
166,2021-05-16,41764.0,Closet Systems
167,2021-05-17,41764.0,Closet Systems
168,2021-05-18,28319.0,Closet Systems
169,2021-05-19,38443.0,Closet Systems
170,2021-05-20,34443.0,Closet Systems
171,2021-05-21,34443.0,Closet Systems
172,2021-05-22,34443.0,Closet Systems
173,2021-05-23,34443.0,Closet Systems
174,2021-05-24,34629.0,Closet Systems
175,2021-05-25,27773.0,Closet Systems
176,2021-05-26,27773.0,Closet Systems
177,2021-05-27,27773.0,Closet Systems
178,2021-05-28,28521.0,Closet Systems
179,2021-05-29,28521.0,Closet Systems
180,2021-05-30,28521.0,Closet Systems
181,2021-05-31,21037.0,Closet Systems
182,2021-06-01,23117.0,Closet Systems
183,2021-06-02,21772.0,Closet Systems
184,2021-06-03,22714.0,Closet Systems
185,2021-06-04,22714.0,Closet Systems
186,2021-06-05,22714.0,Closet Systems
187,2021-06-06,22948.0,Closet Systems
188,2021-06-07,33657.0,Closet Systems
189,2021-06-08,33657.0,Closet Systems
190,2021-06-09,23842.0,Closet Systems
191,2021-06-10,23842.0,Closet Systems
192,2021-06-11,23989.0,Closet Systems
193,2021-06-12,21084.0,Closet Systems
194,2021-06-13,21084.0,Closet Systems
195,2021-06-14,21084.0,Closet Systems
196,2021-06-15,28870.0,Closet Systems
197,2021-06-16,28870.0,Closet Systems
198,2021-06-17,35196.0,Closet Systems
199,2021-06-18,35196.0,Closet Systems
200,2021-06-19,35196.0,Closet Systems
201,2021-06-20,35196.0,Closet Systems
202,2021-06-21,48294.0,Closet Systems
203,2021-06-22,48294.0,Closet Systems
204,2021-06-23,48294.0,Closet Systems
205,2021-06-24,35396.0,Closet Systems
206,2021-06-25,40473.0,Closet Systems
207,2021-06-26,35601.0,Closet Systems
208,2021-06-27,35601.0,Closet Systems
209,2021-06-28,35601.0,Closet Systems
210,2021-06-29,40260.0,Closet Systems
211,2021-06-30,40260.0,Closet Systems
212,2021-07-01,40260.0,Closet Systems
213,2021-07-02,33748.0,Closet Systems
214,2021-07-03,33748.0,Closet Systems
215,2021-07-04,33748.0,Closet Systems
216,2021-07-05,33748.0,Closet Systems
217,2021-07-06,33748.0,Closet Systems
218,2021-07-07,53808.0,Closet Systems
219,2021-07-08,53808.0,Closet Systems
220,2021-07-09,25513.0,Closet Systems
221,2021-07-10,25513.0,Closet Systems
222,2021-07-11,31082.0,Closet Systems
