,date,value,name_B08J7KYZ4H
59,2021-01-28,13742.0,Utility Carts
60,2021-01-29,10413.0,Utility Carts
61,2021-01-30,10413.0,Utility Carts
62,2021-01-31,10413.0,Utility Carts
63,2021-02-01,10077.0,Utility Carts
64,2021-02-02,9038.0,Utility Carts
65,2021-02-03,10225.0,Utility Carts
66,2021-02-04,8746.0,Utility Carts
67,2021-02-05,10412.0,Utility Carts
68,2021-02-06,12079.0,Utility Carts
69,2021-02-07,12079.0,Utility Carts
70,2021-02-08,8638.0,Utility Carts
71,2021-02-09,16168.0,Utility Carts
72,2021-02-10,15369.0,Utility Carts
73,2021-02-11,12789.0,Utility Carts
74,2021-02-12,12362.0,Utility Carts
75,2021-02-13,10575.0,Utility Carts
76,2021-02-14,10575.0,Utility Carts
77,2021-02-15,9902.0,Utility Carts
78,2021-02-16,13050.0,Utility Carts
79,2021-02-17,12291.0,Utility Carts
80,2021-02-18,12153.0,Utility Carts
81,2021-02-19,91596.0,Utility Carts
82,2021-02-20,103246.0,Utility Carts
83,2021-02-21,19303.0,Utility Carts
84,2021-02-22,19303.0,Utility Carts
85,2021-02-23,19303.0,Utility Carts
86,2021-02-24,8137.0,Utility Carts
87,2021-02-25,8137.0,Utility Carts
88,2021-02-26,4761.0,Utility Carts
89,2021-02-27,4761.0,Utility Carts
90,2021-02-28,2365.0,Utility Carts
91,2021-03-01,2365.0,Utility Carts
92,2021-03-02,2473.0,Utility Carts
93,2021-03-03,3131.0,Utility Carts
94,2021-03-04,3131.0,Utility Carts
95,2021-03-05,3131.0,Utility Carts
96,2021-03-06,3131.0,Utility Carts
97,2021-03-07,2402.0,Utility Carts
98,2021-03-08,2402.0,Utility Carts
99,2021-03-09,3741.0,Utility Carts
100,2021-03-10,3741.0,Utility Carts
101,2021-03-11,3741.0,Utility Carts
102,2021-03-12,3741.0,Utility Carts
103,2021-03-13,9314.0,Utility Carts
104,2021-03-14,14174.0,Utility Carts
105,2021-03-15,14174.0,Utility Carts
106,2021-03-16,14174.0,Utility Carts
107,2021-03-17,14174.0,Utility Carts
108,2021-03-18,14174.0,Utility Carts
109,2021-03-19,14174.0,Utility Carts
110,2021-03-20,39616.0,Utility Carts
111,2021-03-21,39616.0,Utility Carts
112,2021-03-22,47445.0,Utility Carts
113,2021-03-23,47445.0,Utility Carts
114,2021-03-24,52077.0,Utility Carts
115,2021-03-25,52077.0,Utility Carts
116,2021-03-26,52077.0,Utility Carts
117,2021-03-27,52077.0,Utility Carts
118,2021-03-28,52077.0,Utility Carts
119,2021-03-29,52077.0,Utility Carts
120,2021-03-30,52077.0,Utility Carts
121,2021-03-31,52077.0,Utility Carts
122,2021-04-01,95923.0,Utility Carts
123,2021-04-02,95923.0,Utility Carts
124,2021-04-03,95923.0,Utility Carts
125,2021-04-04,50298.0,Utility Carts
126,2021-04-05,50298.0,Utility Carts
127,2021-04-06,50298.0,Utility Carts
128,2021-04-07,50298.0,Utility Carts
129,2021-04-08,50298.0,Utility Carts
130,2021-04-09,50298.0,Utility Carts
131,2021-04-10,72874.0,Utility Carts
132,2021-04-11,72874.0,Utility Carts
133,2021-04-12,72874.0,Utility Carts
134,2021-04-13,72874.0,Utility Carts
135,2021-04-14,72874.0,Utility Carts
136,2021-04-15,72874.0,Utility Carts
137,2021-04-16,72874.0,Utility Carts
138,2021-04-17,72874.0,Utility Carts
139,2021-04-18,72874.0,Utility Carts
140,2021-04-19,72874.0,Utility Carts
141,2021-04-20,72874.0,Utility Carts
142,2021-04-21,72874.0,Utility Carts
143,2021-04-22,72874.0,Utility Carts
144,2021-04-23,139972.0,Utility Carts
145,2021-04-24,139972.0,Utility Carts
146,2021-04-25,130956.0,Utility Carts
147,2021-04-26,130956.0,Utility Carts
148,2021-04-27,130956.0,Utility Carts
149,2021-04-28,44307.0,Utility Carts
150,2021-04-29,44307.0,Utility Carts
151,2021-04-30,44307.0,Utility Carts
152,2021-05-01,44307.0,Utility Carts
153,2021-05-02,44307.0,Utility Carts
154,2021-05-03,32810.0,Utility Carts
155,2021-05-04,32810.0,Utility Carts
156,2021-05-05,32810.0,Utility Carts
157,2021-05-06,15010.0,Utility Carts
158,2021-05-07,15010.0,Utility Carts
159,2021-05-08,15010.0,Utility Carts
160,2021-05-09,6788.0,Utility Carts
161,2021-05-10,6788.0,Utility Carts
162,2021-05-11,5701.0,Utility Carts
163,2021-05-12,5701.0,Utility Carts
164,2021-05-13,5625.0,Utility Carts
165,2021-05-14,5625.0,Utility Carts
166,2021-05-15,3595.0,Utility Carts
167,2021-05-16,2835.0,Utility Carts
168,2021-05-17,2835.0,Utility Carts
169,2021-05-18,2835.0,Utility Carts
170,2021-05-19,2923.0,Utility Carts
171,2021-05-20,2458.0,Utility Carts
172,2021-05-21,2458.0,Utility Carts
173,2021-05-22,2887.0,Utility Carts
174,2021-05-23,2887.0,Utility Carts
175,2021-05-24,2191.0,Utility Carts
176,2021-05-25,2870.0,Utility Carts
177,2021-05-26,2870.0,Utility Carts
178,2021-05-27,1975.0,Utility Carts
179,2021-05-28,1828.0,Utility Carts
180,2021-05-29,1828.0,Utility Carts
181,2021-05-30,1828.0,Utility Carts
182,2021-05-31,1585.0,Utility Carts
183,2021-06-01,1585.0,Utility Carts
184,2021-06-02,2179.0,Utility Carts
185,2021-06-03,2179.0,Utility Carts
186,2021-06-04,2295.0,Utility Carts
187,2021-06-05,2295.0,Utility Carts
188,2021-06-06,2254.0,Utility Carts
189,2021-06-07,2966.0,Utility Carts
190,2021-06-08,2966.0,Utility Carts
191,2021-06-09,3965.0,Utility Carts
192,2021-06-10,3869.0,Utility Carts
193,2021-06-11,2929.0,Utility Carts
194,2021-06-12,2929.0,Utility Carts
195,2021-06-13,2858.0,Utility Carts
196,2021-06-14,2858.0,Utility Carts
197,2021-06-15,4247.0,Utility Carts
198,2021-06-16,4569.0,Utility Carts
199,2021-06-17,5949.0,Utility Carts
200,2021-06-18,5949.0,Utility Carts
201,2021-06-19,4374.0,Utility Carts
202,2021-06-20,4374.0,Utility Carts
203,2021-06-21,3588.0,Utility Carts
204,2021-06-22,3788.0,Utility Carts
205,2021-06-23,4453.0,Utility Carts
206,2021-06-24,4453.0,Utility Carts
207,2021-06-25,4453.0,Utility Carts
208,2021-06-26,3205.0,Utility Carts
209,2021-06-27,3772.0,Utility Carts
210,2021-06-28,3772.0,Utility Carts
211,2021-06-29,3477.0,Utility Carts
212,2021-06-30,3477.0,Utility Carts
213,2021-07-01,3477.0,Utility Carts
214,2021-07-02,3962.0,Utility Carts
215,2021-07-03,3962.0,Utility Carts
216,2021-07-04,3426.0,Utility Carts
217,2021-07-05,3031.0,Utility Carts
218,2021-07-06,2926.0,Utility Carts
219,2021-07-07,2926.0,Utility Carts
220,2021-07-08,3230.0,Utility Carts
221,2021-07-09,3230.0,Utility Carts
222,2021-07-10,2984.0,Utility Carts
223,2021-07-11,2976.0,Utility Carts
