,date,value,name_B07ZYGJT6V
92,2020-11-05,518.0,Inkjet Printer Paper
93,2020-11-06,518.0,Inkjet Printer Paper
94,2020-11-07,417.0,Inkjet Printer Paper
95,2020-11-08,417.0,Inkjet Printer Paper
96,2020-11-09,432.0,Inkjet Printer Paper
97,2020-11-10,432.0,Inkjet Printer Paper
98,2020-11-11,432.0,Inkjet Printer Paper
99,2020-11-12,455.0,Inkjet Printer Paper
100,2020-11-13,455.0,Inkjet Printer Paper
101,2020-11-14,474.0,Inkjet Printer Paper
102,2020-11-15,474.0,Inkjet Printer Paper
103,2020-11-16,937.0,Inkjet Printer Paper
104,2020-11-17,937.0,Inkjet Printer Paper
105,2020-11-18,1041.0,Inkjet Printer Paper
106,2020-11-19,1041.0,Inkjet Printer Paper
107,2020-11-20,1252.0,Inkjet Printer Paper
108,2020-11-21,1342.0,Inkjet Printer Paper
109,2020-11-22,1481.0,Inkjet Printer Paper
110,2020-11-23,1481.0,Inkjet Printer Paper
111,2020-11-24,1814.0,Inkjet Printer Paper
112,2020-11-25,1814.0,Inkjet Printer Paper
113,2020-11-26,1814.0,Inkjet Printer Paper
114,2020-11-27,1404.0,Inkjet Printer Paper
115,2020-11-28,1404.0,Inkjet Printer Paper
116,2020-11-29,1404.0,Inkjet Printer Paper
117,2020-11-30,1879.0,Inkjet Printer Paper
118,2020-12-01,1879.0,Inkjet Printer Paper
119,2020-12-02,1879.0,Inkjet Printer Paper
120,2020-12-03,2473.0,Inkjet Printer Paper
121,2020-12-04,2473.0,Inkjet Printer Paper
122,2020-12-05,2473.0,Inkjet Printer Paper
123,2020-12-06,2554.0,Inkjet Printer Paper
124,2020-12-07,2554.0,Inkjet Printer Paper
125,2020-12-08,2554.0,Inkjet Printer Paper
126,2020-12-09,2554.0,Inkjet Printer Paper
127,2020-12-10,2509.0,Inkjet Printer Paper
128,2020-12-11,2509.0,Inkjet Printer Paper
129,2020-12-12,2644.0,Inkjet Printer Paper
130,2020-12-13,2644.0,Inkjet Printer Paper
131,2020-12-14,2644.0,Inkjet Printer Paper
132,2020-12-15,3826.0,Inkjet Printer Paper
133,2020-12-16,3826.0,Inkjet Printer Paper
134,2020-12-17,3826.0,Inkjet Printer Paper
135,2020-12-18,3826.0,Inkjet Printer Paper
136,2020-12-19,3517.0,Inkjet Printer Paper
137,2020-12-20,3756.0,Inkjet Printer Paper
138,2020-12-21,3395.0,Inkjet Printer Paper
139,2020-12-22,3395.0,Inkjet Printer Paper
140,2020-12-23,3357.0,Inkjet Printer Paper
141,2020-12-24,1766.0,Inkjet Printer Paper
142,2020-12-25,1766.0,Inkjet Printer Paper
143,2020-12-26,1080.0,Inkjet Printer Paper
144,2020-12-27,1080.0,Inkjet Printer Paper
145,2020-12-28,1080.0,Inkjet Printer Paper
146,2020-12-29,1492.0,Inkjet Printer Paper
147,2020-12-30,1217.0,Inkjet Printer Paper
148,2020-12-31,1217.0,Inkjet Printer Paper
149,2021-01-01,1217.0,Inkjet Printer Paper
150,2021-01-02,518.0,Inkjet Printer Paper
151,2021-01-03,518.0,Inkjet Printer Paper
152,2021-01-04,781.0,Inkjet Printer Paper
153,2021-01-05,781.0,Inkjet Printer Paper
154,2021-01-06,563.0,Inkjet Printer Paper
155,2021-01-07,563.0,Inkjet Printer Paper
156,2021-01-08,563.0,Inkjet Printer Paper
157,2021-01-09,339.0,Inkjet Printer Paper
158,2021-01-10,339.0,Inkjet Printer Paper
159,2021-01-11,286.0,Inkjet Printer Paper
160,2021-01-12,286.0,Inkjet Printer Paper
161,2021-01-13,422.0,Inkjet Printer Paper
162,2021-01-14,271.0,Inkjet Printer Paper
163,2021-01-15,271.0,Inkjet Printer Paper
164,2021-01-16,795.0,Inkjet Printer Paper
165,2021-01-17,795.0,Inkjet Printer Paper
166,2021-01-18,795.0,Inkjet Printer Paper
167,2021-01-19,1470.0,Inkjet Printer Paper
168,2021-01-20,1470.0,Inkjet Printer Paper
169,2021-01-21,1327.0,Inkjet Printer Paper
170,2021-01-22,1327.0,Inkjet Printer Paper
171,2021-01-23,1327.0,Inkjet Printer Paper
172,2021-01-24,1045.0,Inkjet Printer Paper
173,2021-01-25,1045.0,Inkjet Printer Paper
174,2021-01-26,834.0,Inkjet Printer Paper
175,2021-01-27,698.0,Inkjet Printer Paper
176,2021-01-28,598.0,Inkjet Printer Paper
177,2021-01-29,313.0,Inkjet Printer Paper
178,2021-01-30,249.0,Inkjet Printer Paper
179,2021-01-31,249.0,Inkjet Printer Paper
180,2021-02-01,249.0,Inkjet Printer Paper
181,2021-02-02,184.0,Inkjet Printer Paper
182,2021-02-03,184.0,Inkjet Printer Paper
183,2021-02-04,455.0,Inkjet Printer Paper
184,2021-02-05,455.0,Inkjet Printer Paper
185,2021-02-06,455.0,Inkjet Printer Paper
186,2021-02-07,1158.0,Inkjet Printer Paper
187,2021-02-08,1158.0,Inkjet Printer Paper
188,2021-02-09,1158.0,Inkjet Printer Paper
189,2021-02-10,1031.0,Inkjet Printer Paper
190,2021-02-11,1031.0,Inkjet Printer Paper
191,2021-02-12,1194.0,Inkjet Printer Paper
192,2021-02-13,1194.0,Inkjet Printer Paper
193,2021-02-14,564.0,Inkjet Printer Paper
194,2021-02-15,564.0,Inkjet Printer Paper
195,2021-02-16,728.0,Inkjet Printer Paper
196,2021-02-17,728.0,Inkjet Printer Paper
197,2021-02-18,656.0,Inkjet Printer Paper
198,2021-02-19,721.0,Inkjet Printer Paper
199,2021-02-20,441.0,Inkjet Printer Paper
200,2021-02-21,441.0,Inkjet Printer Paper
201,2021-02-22,252.0,Inkjet Printer Paper
202,2021-02-23,252.0,Inkjet Printer Paper
203,2021-02-24,352.0,Inkjet Printer Paper
204,2021-02-25,409.0,Inkjet Printer Paper
205,2021-02-26,409.0,Inkjet Printer Paper
206,2021-02-27,413.0,Inkjet Printer Paper
207,2021-02-28,413.0,Inkjet Printer Paper
208,2021-03-01,372.0,Inkjet Printer Paper
209,2021-03-02,372.0,Inkjet Printer Paper
210,2021-03-03,372.0,Inkjet Printer Paper
211,2021-03-04,949.0,Inkjet Printer Paper
212,2021-03-05,949.0,Inkjet Printer Paper
213,2021-03-06,949.0,Inkjet Printer Paper
214,2021-03-07,355.0,Inkjet Printer Paper
215,2021-03-08,355.0,Inkjet Printer Paper
216,2021-03-09,355.0,Inkjet Printer Paper
217,2021-03-10,931.0,Inkjet Printer Paper
218,2021-03-11,931.0,Inkjet Printer Paper
219,2021-03-12,1150.0,Inkjet Printer Paper
220,2021-03-13,1150.0,Inkjet Printer Paper
221,2021-03-14,1508.0,Inkjet Printer Paper
222,2021-03-15,1714.0,Inkjet Printer Paper
223,2021-03-16,1714.0,Inkjet Printer Paper
224,2021-03-17,577.0,Inkjet Printer Paper
225,2021-03-18,577.0,Inkjet Printer Paper
226,2021-03-19,577.0,Inkjet Printer Paper
227,2021-03-20,279.0,Inkjet Printer Paper
228,2021-03-21,279.0,Inkjet Printer Paper
229,2021-03-22,109.0,Inkjet Printer Paper
230,2021-03-23,240.0,Inkjet Printer Paper
231,2021-03-24,240.0,Inkjet Printer Paper
232,2021-03-25,418.0,Inkjet Printer Paper
233,2021-03-26,665.0,Inkjet Printer Paper
234,2021-03-27,665.0,Inkjet Printer Paper
235,2021-03-28,1000.0,Inkjet Printer Paper
236,2021-03-29,1000.0,Inkjet Printer Paper
237,2021-03-30,1553.0,Inkjet Printer Paper
238,2021-03-31,1553.0,Inkjet Printer Paper
239,2021-04-01,1553.0,Inkjet Printer Paper
240,2021-04-02,1381.0,Inkjet Printer Paper
241,2021-04-03,1381.0,Inkjet Printer Paper
242,2021-04-04,1381.0,Inkjet Printer Paper
243,2021-04-05,735.0,Inkjet Printer Paper
244,2021-04-06,735.0,Inkjet Printer Paper
245,2021-04-07,327.0,Inkjet Printer Paper
246,2021-04-08,327.0,Inkjet Printer Paper
247,2021-04-09,376.0,Inkjet Printer Paper
248,2021-04-10,376.0,Inkjet Printer Paper
249,2021-04-11,376.0,Inkjet Printer Paper
250,2021-04-12,465.0,Inkjet Printer Paper
251,2021-04-13,465.0,Inkjet Printer Paper
252,2021-04-14,667.0,Inkjet Printer Paper
253,2021-04-15,667.0,Inkjet Printer Paper
254,2021-04-16,443.0,Inkjet Printer Paper
255,2021-04-17,443.0,Inkjet Printer Paper
256,2021-04-18,1399.0,Inkjet Printer Paper
257,2021-04-19,1399.0,Inkjet Printer Paper
258,2021-04-20,306.0,Inkjet Printer Paper
259,2021-04-21,306.0,Inkjet Printer Paper
260,2021-04-22,130.0,Inkjet Printer Paper
261,2021-04-23,130.0,Inkjet Printer Paper
262,2021-04-24,184.0,Inkjet Printer Paper
263,2021-04-25,184.0,Inkjet Printer Paper
264,2021-04-26,184.0,Inkjet Printer Paper
265,2021-04-27,316.0,Inkjet Printer Paper
266,2021-04-28,316.0,Inkjet Printer Paper
267,2021-04-29,416.0,Inkjet Printer Paper
268,2021-04-30,420.0,Inkjet Printer Paper
269,2021-05-01,420.0,Inkjet Printer Paper
270,2021-05-02,101.0,Inkjet Printer Paper
271,2021-05-03,101.0,Inkjet Printer Paper
272,2021-05-04,146.0,Inkjet Printer Paper
273,2021-05-05,198.0,Inkjet Printer Paper
274,2021-05-06,221.0,Inkjet Printer Paper
275,2021-05-07,221.0,Inkjet Printer Paper
276,2021-05-08,221.0,Inkjet Printer Paper
277,2021-05-09,219.0,Inkjet Printer Paper
278,2021-05-10,244.0,Inkjet Printer Paper
279,2021-05-11,244.0,Inkjet Printer Paper
280,2021-05-12,244.0,Inkjet Printer Paper
281,2021-05-13,275.0,Inkjet Printer Paper
282,2021-05-14,275.0,Inkjet Printer Paper
283,2021-05-15,240.0,Inkjet Printer Paper
284,2021-05-16,240.0,Inkjet Printer Paper
285,2021-05-17,212.0,Inkjet Printer Paper
286,2021-05-18,288.0,Inkjet Printer Paper
287,2021-05-19,288.0,Inkjet Printer Paper
288,2021-05-20,171.0,Inkjet Printer Paper
289,2021-05-21,202.0,Inkjet Printer Paper
290,2021-05-22,202.0,Inkjet Printer Paper
291,2021-05-23,202.0,Inkjet Printer Paper
292,2021-05-24,201.0,Inkjet Printer Paper
293,2021-05-25,201.0,Inkjet Printer Paper
294,2021-05-26,238.0,Inkjet Printer Paper
295,2021-05-27,238.0,Inkjet Printer Paper
296,2021-05-28,276.0,Inkjet Printer Paper
297,2021-05-29,263.0,Inkjet Printer Paper
298,2021-05-30,263.0,Inkjet Printer Paper
299,2021-05-31,292.0,Inkjet Printer Paper
300,2021-06-01,292.0,Inkjet Printer Paper
301,2021-06-02,529.0,Inkjet Printer Paper
302,2021-06-03,529.0,Inkjet Printer Paper
303,2021-06-04,413.0,Inkjet Printer Paper
304,2021-06-05,413.0,Inkjet Printer Paper
305,2021-06-06,413.0,Inkjet Printer Paper
306,2021-06-07,263.0,Inkjet Printer Paper
307,2021-06-08,263.0,Inkjet Printer Paper
308,2021-06-09,289.0,Inkjet Printer Paper
309,2021-06-10,289.0,Inkjet Printer Paper
310,2021-06-11,265.0,Inkjet Printer Paper
311,2021-06-12,265.0,Inkjet Printer Paper
312,2021-06-13,253.0,Inkjet Printer Paper
313,2021-06-14,253.0,Inkjet Printer Paper
314,2021-06-15,290.0,Inkjet Printer Paper
315,2021-06-16,308.0,Inkjet Printer Paper
316,2021-06-17,328.0,Inkjet Printer Paper
317,2021-06-18,303.0,Inkjet Printer Paper
318,2021-06-19,326.0,Inkjet Printer Paper
319,2021-06-20,326.0,Inkjet Printer Paper
320,2021-06-21,326.0,Inkjet Printer Paper
321,2021-06-22,124.0,Inkjet Printer Paper
322,2021-06-23,124.0,Inkjet Printer Paper
323,2021-06-24,163.0,Inkjet Printer Paper
324,2021-06-25,199.0,Inkjet Printer Paper
325,2021-06-26,199.0,Inkjet Printer Paper
326,2021-06-27,274.0,Inkjet Printer Paper
327,2021-06-28,274.0,Inkjet Printer Paper
328,2021-06-29,451.0,Inkjet Printer Paper
329,2021-06-30,407.0,Inkjet Printer Paper
330,2021-07-01,407.0,Inkjet Printer Paper
331,2021-07-02,517.0,Inkjet Printer Paper
332,2021-07-03,406.0,Inkjet Printer Paper
333,2021-07-04,448.0,Inkjet Printer Paper
334,2021-07-05,441.0,Inkjet Printer Paper
335,2021-07-06,441.0,Inkjet Printer Paper
336,2021-07-07,661.0,Inkjet Printer Paper
337,2021-07-08,553.0,Inkjet Printer Paper
338,2021-07-09,507.0,Inkjet Printer Paper
339,2021-07-10,507.0,Inkjet Printer Paper
340,2021-07-11,566.0,Inkjet Printer Paper
