,date,value,name_B072L3GPLQ
268,2019-02-23,3585.0,Test Strips
269,2019-02-24,3762.0,Test Strips
270,2019-02-25,3762.0,Test Strips
271,2019-02-26,4699.0,Test Strips
272,2019-02-27,4699.0,Test Strips
273,2019-02-28,4699.0,Test Strips
274,2019-03-01,4699.0,Test Strips
275,2019-03-02,4875.0,Test Strips
276,2019-03-03,5153.0,Test Strips
277,2019-03-04,4448.0,Test Strips
278,2019-03-05,4690.0,Test Strips
279,2019-03-06,4690.0,Test Strips
280,2019-03-07,4844.0,Test Strips
281,2019-03-08,4844.0,Test Strips
282,2019-03-09,4249.0,Test Strips
283,2019-03-10,4607.0,Test Strips
284,2019-03-11,4337.0,Test Strips
285,2019-03-12,5007.0,Test Strips
286,2019-03-13,5007.0,Test Strips
287,2019-03-14,5007.0,Test Strips
288,2019-03-15,4557.0,Test Strips
289,2019-03-16,4954.0,Test Strips
290,2019-03-17,3964.0,Test Strips
291,2019-03-18,2551.0,Test Strips
292,2019-03-19,5622.0,Test Strips
293,2019-03-20,4606.0,Test Strips
294,2019-03-21,4645.0,Test Strips
295,2019-03-22,6635.0,Test Strips
296,2019-03-23,7005.0,Test Strips
297,2019-03-24,6316.0,Test Strips
298,2019-03-25,4020.0,Test Strips
299,2019-03-26,4020.0,Test Strips
300,2019-03-27,4464.0,Test Strips
301,2019-03-28,5312.0,Test Strips
302,2019-03-29,5312.0,Test Strips
303,2019-03-30,4972.0,Test Strips
304,2019-03-31,4972.0,Test Strips
305,2019-04-01,3631.0,Test Strips
306,2019-04-02,4408.0,Test Strips
307,2019-04-03,4969.0,Test Strips
308,2019-04-04,4987.0,Test Strips
309,2019-04-05,6208.0,Test Strips
310,2019-04-06,4756.0,Test Strips
311,2019-04-07,5306.0,Test Strips
312,2019-04-08,5573.0,Test Strips
313,2019-04-09,5331.0,Test Strips
314,2019-04-10,5545.0,Test Strips
315,2019-04-11,5155.0,Test Strips
316,2019-04-12,6218.0,Test Strips
317,2019-04-13,3419.0,Test Strips
318,2019-04-14,4442.0,Test Strips
319,2019-04-15,3808.0,Test Strips
320,2019-04-16,3808.0,Test Strips
321,2019-04-17,4717.0,Test Strips
322,2019-04-18,4436.0,Test Strips
323,2019-04-19,5047.0,Test Strips
324,2019-04-20,4688.0,Test Strips
325,2019-04-21,4688.0,Test Strips
326,2019-04-22,5080.0,Test Strips
327,2019-04-23,4640.0,Test Strips
328,2019-04-24,3332.0,Test Strips
329,2019-04-25,4596.0,Test Strips
330,2019-04-26,4372.0,Test Strips
331,2019-04-27,3335.0,Test Strips
332,2019-04-28,3303.0,Test Strips
333,2019-04-29,3356.0,Test Strips
334,2019-04-30,3356.0,Test Strips
335,2019-05-01,3356.0,Test Strips
336,2019-05-02,5443.0,Test Strips
337,2019-05-03,4477.0,Test Strips
338,2019-05-04,3259.0,Test Strips
339,2019-05-05,2625.0,Test Strips
340,2019-05-06,4315.0,Test Strips
341,2019-05-07,3939.0,Test Strips
342,2019-05-08,4160.0,Test Strips
