,date,value,name_B08J7T7Z29
184,2021-03-23,7492.0,Electric Clippers
185,2021-03-24,6168.0,Electric Clippers
186,2021-03-25,6202.0,Electric Clippers
187,2021-03-26,6416.0,Electric Clippers
188,2021-03-27,6346.0,Electric Clippers
189,2021-03-28,6346.0,Electric Clippers
190,2021-03-29,6346.0,Electric Clippers
191,2021-03-30,5605.0,Electric Clippers
192,2021-03-31,5605.0,Electric Clippers
193,2021-04-01,6839.0,Electric Clippers
194,2021-04-02,6839.0,Electric Clippers
195,2021-04-03,6839.0,Electric Clippers
196,2021-04-04,6839.0,Electric Clippers
197,2021-04-05,4550.0,Electric Clippers
198,2021-04-06,5216.0,Electric Clippers
199,2021-04-07,5216.0,Electric Clippers
200,2021-04-08,5216.0,Electric Clippers
201,2021-04-09,4686.0,Electric Clippers
202,2021-04-10,5160.0,Electric Clippers
203,2021-04-11,5160.0,Electric Clippers
204,2021-04-12,5160.0,Electric Clippers
205,2021-04-13,4892.0,Electric Clippers
206,2021-04-14,5764.0,Electric Clippers
207,2021-04-15,5764.0,Electric Clippers
208,2021-04-16,4966.0,Electric Clippers
209,2021-04-17,4966.0,Electric Clippers
210,2021-04-18,4966.0,Electric Clippers
211,2021-04-19,4787.0,Electric Clippers
212,2021-04-20,4787.0,Electric Clippers
213,2021-04-21,4787.0,Electric Clippers
214,2021-04-22,6976.0,Electric Clippers
215,2021-04-23,6976.0,Electric Clippers
216,2021-04-24,6976.0,Electric Clippers
217,2021-04-25,5272.0,Electric Clippers
218,2021-04-26,5272.0,Electric Clippers
219,2021-04-27,5272.0,Electric Clippers
220,2021-04-28,5623.0,Electric Clippers
221,2021-04-29,5623.0,Electric Clippers
222,2021-04-30,4887.0,Electric Clippers
223,2021-05-01,4887.0,Electric Clippers
224,2021-05-02,4887.0,Electric Clippers
225,2021-05-03,4051.0,Electric Clippers
226,2021-05-04,4051.0,Electric Clippers
227,2021-05-05,4299.0,Electric Clippers
228,2021-05-06,4556.0,Electric Clippers
229,2021-05-07,4556.0,Electric Clippers
230,2021-05-08,4379.0,Electric Clippers
231,2021-05-09,4379.0,Electric Clippers
232,2021-05-10,4379.0,Electric Clippers
233,2021-05-11,5532.0,Electric Clippers
234,2021-05-12,5532.0,Electric Clippers
235,2021-05-13,4800.0,Electric Clippers
236,2021-05-14,4602.0,Electric Clippers
237,2021-05-15,4602.0,Electric Clippers
238,2021-05-16,6551.0,Electric Clippers
239,2021-05-17,6551.0,Electric Clippers
240,2021-05-18,6551.0,Electric Clippers
241,2021-05-19,6551.0,Electric Clippers
242,2021-05-20,6072.0,Electric Clippers
243,2021-05-21,6072.0,Electric Clippers
244,2021-05-22,6072.0,Electric Clippers
245,2021-05-23,6275.0,Electric Clippers
246,2021-05-24,6275.0,Electric Clippers
247,2021-05-25,6275.0,Electric Clippers
248,2021-05-26,6275.0,Electric Clippers
249,2021-05-27,6179.0,Electric Clippers
250,2021-05-28,6179.0,Electric Clippers
251,2021-05-29,6179.0,Electric Clippers
252,2021-05-30,6179.0,Electric Clippers
253,2021-05-31,6201.0,Electric Clippers
254,2021-06-01,5549.0,Electric Clippers
255,2021-06-02,5549.0,Electric Clippers
256,2021-06-03,5061.0,Electric Clippers
257,2021-06-04,5421.0,Electric Clippers
258,2021-06-05,5374.0,Electric Clippers
259,2021-06-06,5374.0,Electric Clippers
260,2021-06-07,6258.0,Electric Clippers
261,2021-06-08,6258.0,Electric Clippers
262,2021-06-09,5719.0,Electric Clippers
263,2021-06-10,5550.0,Electric Clippers
264,2021-06-11,5550.0,Electric Clippers
265,2021-06-12,5941.0,Electric Clippers
266,2021-06-13,5941.0,Electric Clippers
267,2021-06-14,5952.0,Electric Clippers
268,2021-06-15,5952.0,Electric Clippers
269,2021-06-16,6679.0,Electric Clippers
270,2021-06-17,5852.0,Electric Clippers
271,2021-06-18,5852.0,Electric Clippers
272,2021-06-19,6431.0,Electric Clippers
273,2021-06-20,6431.0,Electric Clippers
274,2021-06-21,5505.0,Electric Clippers
275,2021-06-22,1757.0,Electric Clippers
276,2021-06-23,1757.0,Electric Clippers
277,2021-06-24,2168.0,Electric Clippers
278,2021-06-25,2168.0,Electric Clippers
279,2021-06-26,3867.0,Electric Clippers
280,2021-06-27,3867.0,Electric Clippers
281,2021-06-28,4505.0,Electric Clippers
282,2021-06-29,4505.0,Electric Clippers
283,2021-06-30,5884.0,Electric Clippers
284,2021-07-01,5884.0,Electric Clippers
285,2021-07-02,5640.0,Electric Clippers
286,2021-07-03,5640.0,Electric Clippers
287,2021-07-04,5640.0,Electric Clippers
288,2021-07-05,5404.0,Electric Clippers
289,2021-07-06,5404.0,Electric Clippers
290,2021-07-07,5918.0,Electric Clippers
291,2021-07-08,5918.0,Electric Clippers
292,2021-07-09,6164.0,Electric Clippers
293,2021-07-10,7251.0,Electric Clippers
