,date,value,name_B08HL1Y9RG
69,2020-11-18,1497.0,Decorative Stones
70,2020-11-19,1497.0,Decorative Stones
71,2020-11-20,1497.0,Decorative Stones
72,2020-11-21,1497.0,Decorative Stones
73,2020-11-22,1497.0,Decorative Stones
74,2020-11-23,1812.0,Decorative Stones
75,2020-11-24,1812.0,Decorative Stones
76,2020-11-25,1643.0,Decorative Stones
77,2020-11-26,1643.0,Decorative Stones
78,2020-11-27,2710.0,Decorative Stones
79,2020-11-28,2710.0,Decorative Stones
80,2020-11-29,2661.0,Decorative Stones
81,2020-11-30,2661.0,Decorative Stones
82,2020-12-01,3122.0,Decorative Stones
83,2020-12-02,3122.0,Decorative Stones
84,2020-12-03,3122.0,Decorative Stones
85,2020-12-04,2567.0,Decorative Stones
86,2020-12-05,2567.0,Decorative Stones
87,2020-12-06,2567.0,Decorative Stones
88,2020-12-07,1989.0,Decorative Stones
89,2020-12-08,1758.0,Decorative Stones
90,2020-12-09,2281.0,Decorative Stones
91,2020-12-10,2384.0,Decorative Stones
92,2020-12-11,2033.0,Decorative Stones
93,2020-12-12,2299.0,Decorative Stones
94,2020-12-13,2533.0,Decorative Stones
95,2020-12-14,2726.0,Decorative Stones
96,2020-12-15,2430.0,Decorative Stones
97,2020-12-16,2487.0,Decorative Stones
98,2020-12-17,2226.0,Decorative Stones
99,2020-12-18,2083.0,Decorative Stones
100,2020-12-19,2083.0,Decorative Stones
101,2020-12-20,2080.0,Decorative Stones
102,2020-12-21,2252.0,Decorative Stones
103,2020-12-22,2252.0,Decorative Stones
104,2020-12-23,3363.0,Decorative Stones
105,2020-12-24,2123.0,Decorative Stones
106,2020-12-25,2640.0,Decorative Stones
107,2020-12-26,2226.0,Decorative Stones
108,2020-12-27,1805.0,Decorative Stones
109,2020-12-28,1447.0,Decorative Stones
110,2020-12-29,1470.0,Decorative Stones
111,2020-12-30,1644.0,Decorative Stones
112,2020-12-31,1728.0,Decorative Stones
113,2021-01-01,1355.0,Decorative Stones
114,2021-01-02,1555.0,Decorative Stones
115,2021-01-03,1290.0,Decorative Stones
116,2021-01-04,1145.0,Decorative Stones
117,2021-01-05,1387.0,Decorative Stones
118,2021-01-06,1112.0,Decorative Stones
119,2021-01-07,1426.0,Decorative Stones
120,2021-01-08,1493.0,Decorative Stones
121,2021-01-09,1116.0,Decorative Stones
122,2021-01-10,1116.0,Decorative Stones
123,2021-01-11,1116.0,Decorative Stones
124,2021-01-12,1302.0,Decorative Stones
125,2021-01-13,1302.0,Decorative Stones
126,2021-01-14,1302.0,Decorative Stones
127,2021-01-15,1709.0,Decorative Stones
128,2021-01-16,1709.0,Decorative Stones
129,2021-01-17,1709.0,Decorative Stones
130,2021-01-18,1709.0,Decorative Stones
131,2021-01-19,2321.0,Decorative Stones
132,2021-01-20,2321.0,Decorative Stones
133,2021-01-21,1939.0,Decorative Stones
134,2021-01-22,1939.0,Decorative Stones
135,2021-01-23,1939.0,Decorative Stones
136,2021-01-24,1780.0,Decorative Stones
137,2021-01-25,1780.0,Decorative Stones
138,2021-01-26,2388.0,Decorative Stones
139,2021-01-27,2388.0,Decorative Stones
140,2021-01-28,2388.0,Decorative Stones
141,2021-01-29,1673.0,Decorative Stones
142,2021-01-30,1673.0,Decorative Stones
143,2021-01-31,2413.0,Decorative Stones
144,2021-02-01,2413.0,Decorative Stones
145,2021-02-02,2413.0,Decorative Stones
146,2021-02-03,1752.0,Decorative Stones
147,2021-02-04,1752.0,Decorative Stones
148,2021-02-05,1463.0,Decorative Stones
149,2021-02-06,1463.0,Decorative Stones
150,2021-02-07,1463.0,Decorative Stones
151,2021-02-08,1437.0,Decorative Stones
152,2021-02-09,1437.0,Decorative Stones
153,2021-02-10,1437.0,Decorative Stones
154,2021-02-11,2373.0,Decorative Stones
155,2021-02-12,2373.0,Decorative Stones
156,2021-02-13,1973.0,Decorative Stones
157,2021-02-14,1973.0,Decorative Stones
158,2021-02-15,1973.0,Decorative Stones
159,2021-02-16,1296.0,Decorative Stones
160,2021-02-17,1296.0,Decorative Stones
161,2021-02-18,1296.0,Decorative Stones
162,2021-02-19,1699.0,Decorative Stones
163,2021-02-20,1765.0,Decorative Stones
164,2021-02-21,1765.0,Decorative Stones
165,2021-02-22,1765.0,Decorative Stones
166,2021-02-23,2042.0,Decorative Stones
167,2021-02-24,2042.0,Decorative Stones
168,2021-02-25,2769.0,Decorative Stones
169,2021-02-26,2769.0,Decorative Stones
170,2021-02-27,2396.0,Decorative Stones
171,2021-02-28,2396.0,Decorative Stones
172,2021-03-01,3210.0,Decorative Stones
173,2021-03-02,3210.0,Decorative Stones
174,2021-03-03,3210.0,Decorative Stones
175,2021-03-04,2768.0,Decorative Stones
176,2021-03-05,2768.0,Decorative Stones
177,2021-03-06,2768.0,Decorative Stones
178,2021-03-07,3661.0,Decorative Stones
179,2021-03-08,2742.0,Decorative Stones
180,2021-03-09,2892.0,Decorative Stones
181,2021-03-10,2892.0,Decorative Stones
182,2021-03-11,2892.0,Decorative Stones
183,2021-03-12,3037.0,Decorative Stones
184,2021-03-13,3037.0,Decorative Stones
185,2021-03-14,3469.0,Decorative Stones
186,2021-03-15,3469.0,Decorative Stones
187,2021-03-16,3469.0,Decorative Stones
188,2021-03-17,4402.0,Decorative Stones
189,2021-03-18,5403.0,Decorative Stones
190,2021-03-19,5403.0,Decorative Stones
191,2021-03-20,5403.0,Decorative Stones
192,2021-03-21,5820.0,Decorative Stones
193,2021-03-22,5820.0,Decorative Stones
194,2021-03-23,5820.0,Decorative Stones
195,2021-03-24,5741.0,Decorative Stones
196,2021-03-25,4676.0,Decorative Stones
197,2021-03-26,4676.0,Decorative Stones
198,2021-03-27,4676.0,Decorative Stones
199,2021-03-28,4676.0,Decorative Stones
200,2021-03-29,5511.0,Decorative Stones
201,2021-03-30,5511.0,Decorative Stones
202,2021-03-31,4717.0,Decorative Stones
203,2021-04-01,4717.0,Decorative Stones
204,2021-04-02,4717.0,Decorative Stones
205,2021-04-03,6601.0,Decorative Stones
206,2021-04-04,6601.0,Decorative Stones
207,2021-04-05,6601.0,Decorative Stones
208,2021-04-06,5405.0,Decorative Stones
209,2021-04-07,5405.0,Decorative Stones
210,2021-04-08,5607.0,Decorative Stones
211,2021-04-09,5607.0,Decorative Stones
212,2021-04-10,5607.0,Decorative Stones
213,2021-04-11,5607.0,Decorative Stones
214,2021-04-12,4499.0,Decorative Stones
215,2021-04-13,4499.0,Decorative Stones
216,2021-04-14,4780.0,Decorative Stones
217,2021-04-15,4780.0,Decorative Stones
218,2021-04-16,4780.0,Decorative Stones
219,2021-04-17,3405.0,Decorative Stones
220,2021-04-18,3405.0,Decorative Stones
221,2021-04-19,3364.0,Decorative Stones
222,2021-04-20,3364.0,Decorative Stones
223,2021-04-21,3364.0,Decorative Stones
224,2021-04-22,3327.0,Decorative Stones
225,2021-04-23,3327.0,Decorative Stones
226,2021-04-24,3091.0,Decorative Stones
227,2021-04-25,3091.0,Decorative Stones
228,2021-04-26,3091.0,Decorative Stones
229,2021-04-27,3061.0,Decorative Stones
230,2021-04-28,3061.0,Decorative Stones
231,2021-04-29,3765.0,Decorative Stones
232,2021-04-30,3765.0,Decorative Stones
233,2021-05-01,3723.0,Decorative Stones
234,2021-05-02,3723.0,Decorative Stones
235,2021-05-03,4006.0,Decorative Stones
236,2021-05-04,3794.0,Decorative Stones
237,2021-05-05,3794.0,Decorative Stones
238,2021-05-06,3327.0,Decorative Stones
239,2021-05-07,3327.0,Decorative Stones
240,2021-05-08,2675.0,Decorative Stones
241,2021-05-09,2675.0,Decorative Stones
242,2021-05-10,2675.0,Decorative Stones
243,2021-05-11,2665.0,Decorative Stones
244,2021-05-12,2665.0,Decorative Stones
245,2021-05-13,2379.0,Decorative Stones
246,2021-05-14,2746.0,Decorative Stones
247,2021-05-15,2746.0,Decorative Stones
248,2021-05-16,5026.0,Decorative Stones
249,2021-05-17,5026.0,Decorative Stones
250,2021-05-18,3685.0,Decorative Stones
251,2021-05-19,3997.0,Decorative Stones
252,2021-05-20,3878.0,Decorative Stones
253,2021-05-21,3878.0,Decorative Stones
254,2021-05-22,3224.0,Decorative Stones
255,2021-05-23,3224.0,Decorative Stones
256,2021-05-24,3851.0,Decorative Stones
257,2021-05-25,3851.0,Decorative Stones
258,2021-05-26,3560.0,Decorative Stones
259,2021-05-27,3560.0,Decorative Stones
260,2021-05-28,3848.0,Decorative Stones
261,2021-05-29,3848.0,Decorative Stones
262,2021-05-30,3834.0,Decorative Stones
263,2021-05-31,3834.0,Decorative Stones
264,2021-06-01,3380.0,Decorative Stones
265,2021-06-02,3380.0,Decorative Stones
266,2021-06-03,3938.0,Decorative Stones
267,2021-06-04,3938.0,Decorative Stones
268,2021-06-05,3888.0,Decorative Stones
269,2021-06-06,3888.0,Decorative Stones
270,2021-06-07,3888.0,Decorative Stones
271,2021-06-08,4141.0,Decorative Stones
272,2021-06-09,4141.0,Decorative Stones
273,2021-06-10,3787.0,Decorative Stones
274,2021-06-11,3787.0,Decorative Stones
275,2021-06-12,3787.0,Decorative Stones
276,2021-06-13,3375.0,Decorative Stones
277,2021-06-14,3375.0,Decorative Stones
278,2021-06-15,3928.0,Decorative Stones
279,2021-06-16,3928.0,Decorative Stones
280,2021-06-17,3822.0,Decorative Stones
281,2021-06-18,3822.0,Decorative Stones
282,2021-06-19,3822.0,Decorative Stones
283,2021-06-20,4979.0,Decorative Stones
284,2021-06-21,4979.0,Decorative Stones
285,2021-06-22,4979.0,Decorative Stones
286,2021-06-23,4979.0,Decorative Stones
287,2021-06-24,4736.0,Decorative Stones
288,2021-06-25,4736.0,Decorative Stones
289,2021-06-26,4805.0,Decorative Stones
290,2021-06-27,4805.0,Decorative Stones
291,2021-06-28,3967.0,Decorative Stones
292,2021-06-29,3943.0,Decorative Stones
293,2021-06-30,4386.0,Decorative Stones
294,2021-07-01,4386.0,Decorative Stones
295,2021-07-02,4386.0,Decorative Stones
296,2021-07-03,3789.0,Decorative Stones
297,2021-07-04,3789.0,Decorative Stones
298,2021-07-05,2876.0,Decorative Stones
299,2021-07-06,2876.0,Decorative Stones
300,2021-07-07,3218.0,Decorative Stones
301,2021-07-08,3218.0,Decorative Stones
302,2021-07-09,3128.0,Decorative Stones
303,2021-07-10,2755.0,Decorative Stones
