,date,value,name_B07NSL512K
43,2019-05-12,6231.0,Hanging Decorative Tiles
44,2019-05-13,8043.0,Hanging Decorative Tiles
45,2019-05-14,7051.0,Hanging Decorative Tiles
46,2019-05-15,7428.0,Hanging Decorative Tiles
47,2019-05-16,6236.0,Hanging Decorative Tiles
48,2019-05-17,6902.0,Hanging Decorative Tiles
49,2019-05-18,8556.0,Hanging Decorative Tiles
50,2019-05-19,7551.0,Hanging Decorative Tiles
51,2019-05-20,7363.0,Hanging Decorative Tiles
52,2019-05-21,6930.0,Hanging Decorative Tiles
53,2019-05-22,7231.0,Hanging Decorative Tiles
54,2019-05-23,6637.0,Hanging Decorative Tiles
55,2019-05-24,5039.0,Hanging Decorative Tiles
56,2019-05-25,3945.0,Hanging Decorative Tiles
57,2019-05-26,6628.0,Hanging Decorative Tiles
58,2019-05-27,6628.0,Hanging Decorative Tiles
59,2019-05-28,7506.0,Hanging Decorative Tiles
60,2019-05-29,5945.0,Hanging Decorative Tiles
61,2019-05-30,7022.0,Hanging Decorative Tiles
62,2019-05-31,6603.0,Hanging Decorative Tiles
63,2019-06-01,6912.0,Hanging Decorative Tiles
64,2019-06-02,7457.0,Hanging Decorative Tiles
65,2019-06-03,8344.0,Hanging Decorative Tiles
66,2019-06-04,7171.0,Hanging Decorative Tiles
67,2019-06-05,7575.0,Hanging Decorative Tiles
68,2019-06-06,8152.0,Hanging Decorative Tiles
69,2019-06-07,8152.0,Hanging Decorative Tiles
70,2019-06-08,5672.0,Hanging Decorative Tiles
71,2019-06-09,5672.0,Hanging Decorative Tiles
72,2019-06-10,6640.0,Hanging Decorative Tiles
73,2019-06-11,4952.0,Hanging Decorative Tiles
74,2019-06-12,5915.0,Hanging Decorative Tiles
75,2019-06-13,6721.0,Hanging Decorative Tiles
76,2019-06-14,6721.0,Hanging Decorative Tiles
77,2019-06-15,6179.0,Hanging Decorative Tiles
78,2019-06-16,6179.0,Hanging Decorative Tiles
79,2019-06-17,6179.0,Hanging Decorative Tiles
80,2019-06-18,5074.0,Hanging Decorative Tiles
81,2019-06-19,4832.0,Hanging Decorative Tiles
82,2019-06-20,5486.0,Hanging Decorative Tiles
83,2019-06-21,4740.0,Hanging Decorative Tiles
84,2019-06-22,5203.0,Hanging Decorative Tiles
85,2019-06-23,5916.0,Hanging Decorative Tiles
86,2019-06-24,7171.0,Hanging Decorative Tiles
87,2019-06-25,10154.0,Hanging Decorative Tiles
88,2019-06-26,9083.0,Hanging Decorative Tiles
89,2019-06-27,11311.0,Hanging Decorative Tiles
90,2019-06-28,11311.0,Hanging Decorative Tiles
91,2019-06-29,12681.0,Hanging Decorative Tiles
92,2019-06-30,8373.0,Hanging Decorative Tiles
93,2019-07-01,7579.0,Hanging Decorative Tiles
94,2019-07-02,6492.0,Hanging Decorative Tiles
95,2019-07-03,9834.0,Hanging Decorative Tiles
96,2019-07-04,7439.0,Hanging Decorative Tiles
97,2019-07-05,7439.0,Hanging Decorative Tiles
98,2019-07-06,4910.0,Hanging Decorative Tiles
99,2019-07-07,4428.0,Hanging Decorative Tiles
100,2019-07-08,5132.0,Hanging Decorative Tiles
101,2019-07-09,5744.0,Hanging Decorative Tiles
102,2019-07-10,5225.0,Hanging Decorative Tiles
103,2019-07-11,4594.0,Hanging Decorative Tiles
104,2019-07-12,4594.0,Hanging Decorative Tiles
105,2019-07-13,5661.0,Hanging Decorative Tiles
106,2019-07-14,4548.0,Hanging Decorative Tiles
107,2019-07-15,8793.0,Hanging Decorative Tiles
108,2019-07-16,9474.0,Hanging Decorative Tiles
109,2019-07-17,10738.0,Hanging Decorative Tiles
110,2019-07-18,9422.0,Hanging Decorative Tiles
111,2019-07-19,9265.0,Hanging Decorative Tiles
112,2019-07-20,9580.0,Hanging Decorative Tiles
113,2019-07-21,7795.0,Hanging Decorative Tiles
114,2019-07-22,8343.0,Hanging Decorative Tiles
115,2019-07-23,6770.0,Hanging Decorative Tiles
116,2019-07-24,6880.0,Hanging Decorative Tiles
117,2019-07-25,6071.0,Hanging Decorative Tiles
118,2019-07-26,6800.0,Hanging Decorative Tiles
119,2019-07-27,6668.0,Hanging Decorative Tiles
120,2019-07-28,6368.0,Hanging Decorative Tiles
121,2019-07-29,8313.0,Hanging Decorative Tiles
122,2019-07-30,6534.0,Hanging Decorative Tiles
123,2019-07-31,6534.0,Hanging Decorative Tiles
124,2019-08-01,5216.0,Hanging Decorative Tiles
125,2019-08-02,5385.0,Hanging Decorative Tiles
126,2019-08-03,6009.0,Hanging Decorative Tiles
127,2019-08-04,6009.0,Hanging Decorative Tiles
128,2019-08-05,6509.0,Hanging Decorative Tiles
129,2019-08-06,7032.0,Hanging Decorative Tiles
130,2019-08-07,7440.0,Hanging Decorative Tiles
131,2019-08-08,6577.0,Hanging Decorative Tiles
132,2019-08-09,4190.0,Hanging Decorative Tiles
133,2019-08-10,5424.0,Hanging Decorative Tiles
134,2019-08-11,5424.0,Hanging Decorative Tiles
135,2019-08-12,5424.0,Hanging Decorative Tiles
136,2019-08-13,7253.0,Hanging Decorative Tiles
137,2019-08-14,5160.0,Hanging Decorative Tiles
138,2019-08-15,5160.0,Hanging Decorative Tiles
139,2019-08-16,5254.0,Hanging Decorative Tiles
140,2019-08-17,6034.0,Hanging Decorative Tiles
141,2019-08-18,6034.0,Hanging Decorative Tiles
142,2019-08-19,6428.0,Hanging Decorative Tiles
143,2019-08-20,6638.0,Hanging Decorative Tiles
144,2019-08-21,6638.0,Hanging Decorative Tiles
145,2019-08-22,5725.0,Hanging Decorative Tiles
146,2019-08-23,4733.0,Hanging Decorative Tiles
147,2019-08-24,4455.0,Hanging Decorative Tiles
148,2019-08-25,4397.0,Hanging Decorative Tiles
149,2019-08-26,4578.0,Hanging Decorative Tiles
150,2019-08-27,4578.0,Hanging Decorative Tiles
151,2019-08-28,5932.0,Hanging Decorative Tiles
152,2019-08-29,5331.0,Hanging Decorative Tiles
153,2019-08-30,4276.0,Hanging Decorative Tiles
154,2019-08-31,5897.0,Hanging Decorative Tiles
155,2019-09-01,5441.0,Hanging Decorative Tiles
156,2019-09-02,5441.0,Hanging Decorative Tiles
157,2019-09-03,8520.0,Hanging Decorative Tiles
158,2019-09-04,6512.0,Hanging Decorative Tiles
159,2019-09-05,6463.0,Hanging Decorative Tiles
160,2019-09-06,5803.0,Hanging Decorative Tiles
161,2019-09-07,4859.0,Hanging Decorative Tiles
162,2019-09-08,4621.0,Hanging Decorative Tiles
163,2019-09-09,6428.0,Hanging Decorative Tiles
164,2019-09-10,5207.0,Hanging Decorative Tiles
165,2019-09-11,4991.0,Hanging Decorative Tiles
166,2019-09-12,6421.0,Hanging Decorative Tiles
167,2019-09-13,4965.0,Hanging Decorative Tiles
168,2019-09-14,5024.0,Hanging Decorative Tiles
169,2019-09-15,6286.0,Hanging Decorative Tiles
170,2019-09-16,5489.0,Hanging Decorative Tiles
171,2019-09-17,4725.0,Hanging Decorative Tiles
172,2019-09-18,4294.0,Hanging Decorative Tiles
173,2019-09-19,4689.0,Hanging Decorative Tiles
174,2019-09-20,4194.0,Hanging Decorative Tiles
175,2019-09-21,3896.0,Hanging Decorative Tiles
176,2019-09-22,4681.0,Hanging Decorative Tiles
177,2019-09-23,3511.0,Hanging Decorative Tiles
178,2019-09-24,3925.0,Hanging Decorative Tiles
179,2019-09-25,3713.0,Hanging Decorative Tiles
180,2019-09-26,4262.0,Hanging Decorative Tiles
181,2019-09-27,2775.0,Hanging Decorative Tiles
182,2019-09-28,4112.0,Hanging Decorative Tiles
183,2019-09-29,4529.0,Hanging Decorative Tiles
184,2019-09-30,4529.0,Hanging Decorative Tiles
185,2019-10-01,5356.0,Hanging Decorative Tiles
186,2019-10-02,4193.0,Hanging Decorative Tiles
187,2019-10-03,4193.0,Hanging Decorative Tiles
188,2019-10-04,4580.0,Hanging Decorative Tiles
189,2019-10-05,4580.0,Hanging Decorative Tiles
190,2019-10-06,4661.0,Hanging Decorative Tiles
191,2019-10-07,4466.0,Hanging Decorative Tiles
192,2019-10-08,5148.0,Hanging Decorative Tiles
193,2019-10-09,5229.0,Hanging Decorative Tiles
194,2019-10-10,4731.0,Hanging Decorative Tiles
195,2019-10-11,3010.0,Hanging Decorative Tiles
196,2019-10-12,3671.0,Hanging Decorative Tiles
197,2019-10-13,3253.0,Hanging Decorative Tiles
198,2019-10-14,3463.0,Hanging Decorative Tiles
199,2019-10-15,4032.0,Hanging Decorative Tiles
200,2019-10-16,3800.0,Hanging Decorative Tiles
201,2019-10-17,4394.0,Hanging Decorative Tiles
202,2019-10-18,4394.0,Hanging Decorative Tiles
203,2019-10-19,4394.0,Hanging Decorative Tiles
204,2019-10-20,3420.0,Hanging Decorative Tiles
205,2019-10-21,5012.0,Hanging Decorative Tiles
206,2019-10-22,5251.0,Hanging Decorative Tiles
207,2019-10-23,5796.0,Hanging Decorative Tiles
208,2019-10-24,4051.0,Hanging Decorative Tiles
209,2019-10-25,5301.0,Hanging Decorative Tiles
210,2019-10-26,5301.0,Hanging Decorative Tiles
211,2019-10-27,5301.0,Hanging Decorative Tiles
212,2019-10-28,5039.0,Hanging Decorative Tiles
213,2019-10-29,4915.0,Hanging Decorative Tiles
214,2019-10-30,5458.0,Hanging Decorative Tiles
215,2019-10-31,5243.0,Hanging Decorative Tiles
216,2019-11-01,6404.0,Hanging Decorative Tiles
217,2019-11-02,6404.0,Hanging Decorative Tiles
218,2019-11-03,6404.0,Hanging Decorative Tiles
219,2019-11-04,5882.0,Hanging Decorative Tiles
220,2019-11-05,5882.0,Hanging Decorative Tiles
221,2019-11-06,6432.0,Hanging Decorative Tiles
222,2019-11-07,5709.0,Hanging Decorative Tiles
223,2019-11-08,5537.0,Hanging Decorative Tiles
224,2019-11-09,5812.0,Hanging Decorative Tiles
225,2019-11-10,6884.0,Hanging Decorative Tiles
226,2019-11-11,6884.0,Hanging Decorative Tiles
227,2019-11-12,8645.0,Hanging Decorative Tiles
228,2019-11-13,8645.0,Hanging Decorative Tiles
229,2019-11-14,8645.0,Hanging Decorative Tiles
230,2019-11-15,5350.0,Hanging Decorative Tiles
231,2019-11-16,7170.0,Hanging Decorative Tiles
232,2019-11-17,7170.0,Hanging Decorative Tiles
233,2019-11-18,7170.0,Hanging Decorative Tiles
234,2019-11-19,7073.0,Hanging Decorative Tiles
235,2019-11-20,7073.0,Hanging Decorative Tiles
236,2019-11-21,7250.0,Hanging Decorative Tiles
237,2019-11-22,7182.0,Hanging Decorative Tiles
238,2019-11-23,7182.0,Hanging Decorative Tiles
239,2019-11-24,8814.0,Hanging Decorative Tiles
240,2019-11-25,8765.0,Hanging Decorative Tiles
241,2019-11-26,8256.0,Hanging Decorative Tiles
242,2019-11-27,9125.0,Hanging Decorative Tiles
243,2019-11-28,10059.0,Hanging Decorative Tiles
244,2019-11-29,10059.0,Hanging Decorative Tiles
245,2019-11-30,10059.0,Hanging Decorative Tiles
246,2019-12-01,10059.0,Hanging Decorative Tiles
247,2019-12-02,10048.0,Hanging Decorative Tiles
248,2019-12-03,10048.0,Hanging Decorative Tiles
249,2019-12-04,10048.0,Hanging Decorative Tiles
250,2019-12-05,10048.0,Hanging Decorative Tiles
251,2019-12-06,14529.0,Hanging Decorative Tiles
252,2019-12-07,14529.0,Hanging Decorative Tiles
253,2019-12-08,14529.0,Hanging Decorative Tiles
254,2019-12-09,13137.0,Hanging Decorative Tiles
255,2019-12-10,13969.0,Hanging Decorative Tiles
256,2019-12-11,13969.0,Hanging Decorative Tiles
257,2019-12-12,14477.0,Hanging Decorative Tiles
258,2019-12-13,14477.0,Hanging Decorative Tiles
259,2019-12-14,15411.0,Hanging Decorative Tiles
260,2019-12-15,15411.0,Hanging Decorative Tiles
261,2019-12-16,14105.0,Hanging Decorative Tiles
262,2019-12-17,13135.0,Hanging Decorative Tiles
263,2019-12-18,12750.0,Hanging Decorative Tiles
264,2019-12-19,12750.0,Hanging Decorative Tiles
265,2019-12-20,13085.0,Hanging Decorative Tiles
266,2019-12-21,13729.0,Hanging Decorative Tiles
267,2019-12-22,15332.0,Hanging Decorative Tiles
268,2019-12-23,15332.0,Hanging Decorative Tiles
269,2019-12-24,12367.0,Hanging Decorative Tiles
270,2019-12-25,12367.0,Hanging Decorative Tiles
271,2019-12-26,9998.0,Hanging Decorative Tiles
272,2019-12-27,8275.0,Hanging Decorative Tiles
273,2019-12-28,8275.0,Hanging Decorative Tiles
274,2019-12-29,8275.0,Hanging Decorative Tiles
275,2019-12-30,5511.0,Hanging Decorative Tiles
276,2019-12-31,5511.0,Hanging Decorative Tiles
277,2020-01-01,5511.0,Hanging Decorative Tiles
278,2020-01-02,5511.0,Hanging Decorative Tiles
279,2020-01-03,5476.0,Hanging Decorative Tiles
280,2020-01-04,5300.0,Hanging Decorative Tiles
281,2020-01-05,6984.0,Hanging Decorative Tiles
282,2020-01-06,5582.0,Hanging Decorative Tiles
283,2020-01-07,4116.0,Hanging Decorative Tiles
284,2020-01-08,1128.0,Hanging Decorative Tiles
285,2020-01-09,5273.0,Hanging Decorative Tiles
286,2020-01-10,1899.0,Hanging Decorative Tiles
287,2020-01-11,1234.0,Hanging Decorative Tiles
288,2020-01-12,1723.0,Hanging Decorative Tiles
289,2020-01-13,2311.0,Hanging Decorative Tiles
290,2020-01-14,2091.0,Hanging Decorative Tiles
291,2020-01-15,1775.0,Hanging Decorative Tiles
292,2020-01-16,1776.0,Hanging Decorative Tiles
293,2020-01-17,1776.0,Hanging Decorative Tiles
294,2020-01-18,1437.0,Hanging Decorative Tiles
295,2020-01-19,1437.0,Hanging Decorative Tiles
296,2020-01-20,1676.0,Hanging Decorative Tiles
297,2020-01-21,1623.0,Hanging Decorative Tiles
298,2020-01-22,2173.0,Hanging Decorative Tiles
299,2020-01-23,2530.0,Hanging Decorative Tiles
300,2020-01-24,2530.0,Hanging Decorative Tiles
301,2020-01-25,2530.0,Hanging Decorative Tiles
302,2020-01-26,1678.0,Hanging Decorative Tiles
303,2020-01-27,1292.0,Hanging Decorative Tiles
304,2020-01-28,1292.0,Hanging Decorative Tiles
305,2020-01-29,1292.0,Hanging Decorative Tiles
306,2020-01-30,1871.0,Hanging Decorative Tiles
307,2020-01-31,1642.0,Hanging Decorative Tiles
308,2020-02-01,1796.0,Hanging Decorative Tiles
309,2020-02-02,1796.0,Hanging Decorative Tiles
310,2020-02-03,1796.0,Hanging Decorative Tiles
311,2020-02-04,1367.0,Hanging Decorative Tiles
312,2020-02-05,1364.0,Hanging Decorative Tiles
313,2020-02-06,1364.0,Hanging Decorative Tiles
314,2020-02-07,1364.0,Hanging Decorative Tiles
315,2020-02-08,1445.0,Hanging Decorative Tiles
316,2020-02-09,1445.0,Hanging Decorative Tiles
317,2020-02-10,1445.0,Hanging Decorative Tiles
318,2020-02-11,1570.0,Hanging Decorative Tiles
319,2020-02-12,1460.0,Hanging Decorative Tiles
320,2020-02-13,1853.0,Hanging Decorative Tiles
321,2020-02-14,1397.0,Hanging Decorative Tiles
322,2020-02-15,437.0,Hanging Decorative Tiles
323,2020-02-16,437.0,Hanging Decorative Tiles
324,2020-02-17,811.0,Hanging Decorative Tiles
325,2020-02-18,811.0,Hanging Decorative Tiles
326,2020-02-19,1015.0,Hanging Decorative Tiles
327,2020-02-20,732.0,Hanging Decorative Tiles
328,2020-02-21,4230.0,Hanging Decorative Tiles
329,2020-02-22,4053.0,Hanging Decorative Tiles
330,2020-02-23,4053.0,Hanging Decorative Tiles
331,2020-02-24,4053.0,Hanging Decorative Tiles
332,2020-02-25,4902.0,Hanging Decorative Tiles
333,2020-02-26,4902.0,Hanging Decorative Tiles
334,2020-02-27,4902.0,Hanging Decorative Tiles
335,2020-02-28,991.0,Hanging Decorative Tiles
336,2020-02-29,991.0,Hanging Decorative Tiles
337,2020-03-01,991.0,Hanging Decorative Tiles
338,2020-03-02,1007.0,Hanging Decorative Tiles
339,2020-03-03,1095.0,Hanging Decorative Tiles
340,2020-03-04,1044.0,Hanging Decorative Tiles
341,2020-03-05,1107.0,Hanging Decorative Tiles
342,2020-03-06,1039.0,Hanging Decorative Tiles
343,2020-03-07,1039.0,Hanging Decorative Tiles
344,2020-03-08,-1.0,Hanging Decorative Tiles
