,date,value,name_B08F7L22LW
55,2021-01-06,7511.0,Sonic
56,2021-01-07,182878.0,Sonic
57,2021-01-08,8563.0,Sonic
58,2021-01-09,7355.0,Sonic
59,2021-01-10,9471.0,Sonic
60,2021-01-11,10790.0,Sonic
61,2021-01-12,11034.0,Sonic
62,2021-01-13,11034.0,Sonic
63,2021-01-14,18453.0,Sonic
64,2021-01-15,21184.0,Sonic
65,2021-01-16,25062.0,Sonic
66,2021-01-17,39684.0,Sonic
67,2021-01-18,52089.0,Sonic
68,2021-01-19,62589.0,Sonic
69,2021-01-20,62959.0,Sonic
70,2021-01-21,71764.0,Sonic
71,2021-01-22,237428.0,Sonic
72,2021-01-23,244675.0,Sonic
73,2021-01-24,244675.0,Sonic
74,2021-01-25,26846.0,Sonic
75,2021-01-26,22168.0,Sonic
76,2021-01-27,22168.0,Sonic
77,2021-01-28,15938.0,Sonic
78,2021-01-29,14436.0,Sonic
79,2021-01-30,14436.0,Sonic
80,2021-01-31,14436.0,Sonic
81,2021-02-01,13580.0,Sonic
82,2021-02-02,11446.0,Sonic
83,2021-02-03,11446.0,Sonic
84,2021-02-04,9687.0,Sonic
85,2021-02-05,8131.0,Sonic
86,2021-02-06,9473.0,Sonic
87,2021-02-07,9473.0,Sonic
88,2021-02-08,9473.0,Sonic
89,2021-02-09,6379.0,Sonic
90,2021-02-10,6379.0,Sonic
91,2021-02-11,6379.0,Sonic
92,2021-02-12,2952.0,Sonic
93,2021-02-13,2915.0,Sonic
94,2021-02-14,2529.0,Sonic
95,2021-02-15,2269.0,Sonic
96,2021-02-16,3108.0,Sonic
97,2021-02-17,3038.0,Sonic
98,2021-02-18,2753.0,Sonic
99,2021-02-19,2339.0,Sonic
100,2021-02-20,2339.0,Sonic
101,2021-02-21,2339.0,Sonic
102,2021-02-22,2823.0,Sonic
103,2021-02-23,2989.0,Sonic
104,2021-02-24,3454.0,Sonic
105,2021-02-25,3454.0,Sonic
106,2021-02-26,2737.0,Sonic
107,2021-02-27,2058.0,Sonic
108,2021-02-28,2636.0,Sonic
109,2021-03-01,2445.0,Sonic
110,2021-03-02,2591.0,Sonic
111,2021-03-03,2712.0,Sonic
112,2021-03-04,2436.0,Sonic
113,2021-03-05,2610.0,Sonic
114,2021-03-06,2560.0,Sonic
115,2021-03-07,2560.0,Sonic
116,2021-03-08,2878.0,Sonic
117,2021-03-09,2906.0,Sonic
118,2021-03-10,2860.0,Sonic
119,2021-03-11,2860.0,Sonic
120,2021-03-12,2860.0,Sonic
121,2021-03-13,2823.0,Sonic
122,2021-03-14,2823.0,Sonic
123,2021-03-15,2678.0,Sonic
124,2021-03-16,2678.0,Sonic
125,2021-03-17,2678.0,Sonic
126,2021-03-18,2581.0,Sonic
127,2021-03-19,4522.0,Sonic
128,2021-03-20,7822.0,Sonic
129,2021-03-21,4562.0,Sonic
130,2021-03-22,4523.0,Sonic
131,2021-03-23,3968.0,Sonic
132,2021-03-24,4211.0,Sonic
133,2021-03-25,4343.0,Sonic
134,2021-03-26,4388.0,Sonic
135,2021-03-27,3998.0,Sonic
136,2021-03-28,4328.0,Sonic
137,2021-03-29,4494.0,Sonic
138,2021-03-30,4681.0,Sonic
139,2021-03-31,4712.0,Sonic
140,2021-04-01,5130.0,Sonic
141,2021-04-02,5030.0,Sonic
142,2021-04-03,5238.0,Sonic
143,2021-04-04,5854.0,Sonic
144,2021-04-05,6160.0,Sonic
145,2021-04-06,6658.0,Sonic
146,2021-04-07,7457.0,Sonic
147,2021-04-08,7297.0,Sonic
148,2021-04-09,7749.0,Sonic
149,2021-04-10,6753.0,Sonic
150,2021-04-11,7758.0,Sonic
151,2021-04-12,5352.0,Sonic
152,2021-04-13,7435.0,Sonic
153,2021-04-14,7082.0,Sonic
154,2021-04-15,11753.0,Sonic
155,2021-04-16,10974.0,Sonic
156,2021-04-17,11080.0,Sonic
157,2021-04-18,11754.0,Sonic
158,2021-04-19,12673.0,Sonic
159,2021-04-20,12733.0,Sonic
160,2021-04-21,12969.0,Sonic
161,2021-04-22,12318.0,Sonic
162,2021-04-23,15216.0,Sonic
163,2021-04-24,14211.0,Sonic
164,2021-04-25,14249.0,Sonic
165,2021-04-26,19455.0,Sonic
166,2021-04-27,17430.0,Sonic
167,2021-04-28,15404.0,Sonic
168,2021-04-29,12711.0,Sonic
169,2021-04-30,12905.0,Sonic
170,2021-05-01,12782.0,Sonic
171,2021-05-02,10692.0,Sonic
172,2021-05-03,11690.0,Sonic
173,2021-05-04,9613.0,Sonic
174,2021-05-05,8988.0,Sonic
175,2021-05-06,8268.0,Sonic
176,2021-05-07,7472.0,Sonic
177,2021-05-08,7808.0,Sonic
178,2021-05-09,6972.0,Sonic
179,2021-05-10,6388.0,Sonic
180,2021-05-11,6625.0,Sonic
181,2021-05-12,7593.0,Sonic
182,2021-05-13,7069.0,Sonic
183,2021-05-14,7300.0,Sonic
184,2021-05-15,6548.0,Sonic
185,2021-05-16,2597.0,Sonic
186,2021-05-17,4205.0,Sonic
187,2021-05-18,4598.0,Sonic
188,2021-05-19,4886.0,Sonic
189,2021-05-20,5215.0,Sonic
190,2021-05-21,4587.0,Sonic
191,2021-05-22,3982.0,Sonic
192,2021-05-23,5130.0,Sonic
193,2021-05-24,5861.0,Sonic
194,2021-05-25,6007.0,Sonic
195,2021-05-26,5922.0,Sonic
196,2021-05-27,5163.0,Sonic
197,2021-05-28,5783.0,Sonic
198,2021-05-29,5799.0,Sonic
199,2021-05-30,6108.0,Sonic
200,2021-05-31,4934.0,Sonic
201,2021-06-01,4887.0,Sonic
202,2021-06-02,6490.0,Sonic
203,2021-06-03,4807.0,Sonic
204,2021-06-04,2639.0,Sonic
205,2021-06-05,3350.0,Sonic
206,2021-06-06,2058.0,Sonic
207,2021-06-07,3408.0,Sonic
208,2021-06-08,3392.0,Sonic
209,2021-06-09,3500.0,Sonic
210,2021-06-10,3684.0,Sonic
211,2021-06-11,2616.0,Sonic
212,2021-06-12,1596.0,Sonic
213,2021-06-13,3346.0,Sonic
214,2021-06-14,3716.0,Sonic
215,2021-06-15,4202.0,Sonic
216,2021-06-16,3198.0,Sonic
217,2021-06-17,3435.0,Sonic
218,2021-06-18,4255.0,Sonic
219,2021-06-19,3487.0,Sonic
220,2021-06-20,3707.0,Sonic
221,2021-06-21,3155.0,Sonic
222,2021-06-22,956.0,Sonic
223,2021-06-23,251.0,Sonic
224,2021-06-24,505.0,Sonic
225,2021-06-25,1027.0,Sonic
226,2021-06-26,1405.0,Sonic
227,2021-06-27,1504.0,Sonic
228,2021-06-28,2541.0,Sonic
229,2021-06-29,35532.0,Sonic
230,2021-06-30,43433.0,Sonic
231,2021-07-01,63705.0,Sonic
232,2021-07-02,75004.0,Sonic
233,2021-07-03,87961.0,Sonic
234,2021-07-04,89806.0,Sonic
235,2021-07-05,95838.0,Sonic
236,2021-07-06,118746.0,Sonic
237,2021-07-07,129382.0,Sonic
238,2021-07-08,105501.0,Sonic
