,date,value,name_B08J8DB19D
79,2020-12-06,7661.0,Kitchen Linen Sets
80,2020-12-07,7661.0,Kitchen Linen Sets
81,2020-12-08,5894.0,Kitchen Linen Sets
82,2020-12-09,7401.0,Kitchen Linen Sets
83,2020-12-10,9122.0,Kitchen Linen Sets
84,2020-12-11,9122.0,Kitchen Linen Sets
85,2020-12-12,9546.0,Kitchen Linen Sets
86,2020-12-13,10065.0,Kitchen Linen Sets
87,2020-12-14,10065.0,Kitchen Linen Sets
88,2020-12-15,10136.0,Kitchen Linen Sets
89,2020-12-16,10136.0,Kitchen Linen Sets
90,2020-12-17,8466.0,Kitchen Linen Sets
91,2020-12-18,13940.0,Kitchen Linen Sets
92,2020-12-19,13940.0,Kitchen Linen Sets
93,2020-12-20,29897.0,Kitchen Linen Sets
94,2020-12-21,29897.0,Kitchen Linen Sets
95,2020-12-22,33559.0,Kitchen Linen Sets
96,2020-12-23,31919.0,Kitchen Linen Sets
97,2020-12-24,31919.0,Kitchen Linen Sets
98,2020-12-25,31919.0,Kitchen Linen Sets
99,2020-12-26,17005.0,Kitchen Linen Sets
100,2020-12-27,17005.0,Kitchen Linen Sets
101,2020-12-28,22241.0,Kitchen Linen Sets
102,2020-12-29,16640.0,Kitchen Linen Sets
103,2020-12-30,20697.0,Kitchen Linen Sets
104,2020-12-31,14949.0,Kitchen Linen Sets
105,2021-01-01,11553.0,Kitchen Linen Sets
106,2021-01-02,11553.0,Kitchen Linen Sets
107,2021-01-03,11553.0,Kitchen Linen Sets
108,2021-01-04,12849.0,Kitchen Linen Sets
109,2021-01-05,11111.0,Kitchen Linen Sets
110,2021-01-06,7676.0,Kitchen Linen Sets
111,2021-01-07,8686.0,Kitchen Linen Sets
112,2021-01-08,6647.0,Kitchen Linen Sets
113,2021-01-09,9015.0,Kitchen Linen Sets
114,2021-01-10,9015.0,Kitchen Linen Sets
115,2021-01-11,6829.0,Kitchen Linen Sets
116,2021-01-12,8163.0,Kitchen Linen Sets
117,2021-01-13,7368.0,Kitchen Linen Sets
118,2021-01-14,8140.0,Kitchen Linen Sets
119,2021-01-15,8125.0,Kitchen Linen Sets
120,2021-01-16,10205.0,Kitchen Linen Sets
121,2021-01-17,8299.0,Kitchen Linen Sets
122,2021-01-18,8569.0,Kitchen Linen Sets
123,2021-01-19,10035.0,Kitchen Linen Sets
124,2021-01-20,7878.0,Kitchen Linen Sets
125,2021-01-21,6677.0,Kitchen Linen Sets
126,2021-01-22,7143.0,Kitchen Linen Sets
127,2021-01-23,7528.0,Kitchen Linen Sets
128,2021-01-24,7528.0,Kitchen Linen Sets
129,2021-01-25,6392.0,Kitchen Linen Sets
130,2021-01-26,9537.0,Kitchen Linen Sets
131,2021-01-27,8609.0,Kitchen Linen Sets
132,2021-01-28,4868.0,Kitchen Linen Sets
133,2021-01-29,6511.0,Kitchen Linen Sets
134,2021-01-30,6511.0,Kitchen Linen Sets
135,2021-01-31,8063.0,Kitchen Linen Sets
136,2021-02-01,9621.0,Kitchen Linen Sets
137,2021-02-02,7503.0,Kitchen Linen Sets
138,2021-02-03,9098.0,Kitchen Linen Sets
139,2021-02-04,8050.0,Kitchen Linen Sets
140,2021-02-05,7314.0,Kitchen Linen Sets
141,2021-02-06,7685.0,Kitchen Linen Sets
142,2021-02-07,7685.0,Kitchen Linen Sets
143,2021-02-08,9472.0,Kitchen Linen Sets
144,2021-02-09,8582.0,Kitchen Linen Sets
145,2021-02-10,9071.0,Kitchen Linen Sets
146,2021-02-11,8521.0,Kitchen Linen Sets
147,2021-02-12,8691.0,Kitchen Linen Sets
148,2021-02-13,7777.0,Kitchen Linen Sets
149,2021-02-14,7770.0,Kitchen Linen Sets
150,2021-02-15,7155.0,Kitchen Linen Sets
151,2021-02-16,10984.0,Kitchen Linen Sets
152,2021-02-17,12298.0,Kitchen Linen Sets
153,2021-02-18,12424.0,Kitchen Linen Sets
154,2021-02-19,15414.0,Kitchen Linen Sets
155,2021-02-20,14572.0,Kitchen Linen Sets
156,2021-02-21,16940.0,Kitchen Linen Sets
157,2021-02-22,10167.0,Kitchen Linen Sets
158,2021-02-23,10167.0,Kitchen Linen Sets
159,2021-02-24,9197.0,Kitchen Linen Sets
160,2021-02-25,9197.0,Kitchen Linen Sets
161,2021-02-26,5871.0,Kitchen Linen Sets
162,2021-02-27,6750.0,Kitchen Linen Sets
163,2021-02-28,8366.0,Kitchen Linen Sets
164,2021-03-01,7783.0,Kitchen Linen Sets
165,2021-03-02,10158.0,Kitchen Linen Sets
166,2021-03-03,8775.0,Kitchen Linen Sets
167,2021-03-04,11132.0,Kitchen Linen Sets
168,2021-03-05,7447.0,Kitchen Linen Sets
169,2021-03-06,9179.0,Kitchen Linen Sets
170,2021-03-07,9161.0,Kitchen Linen Sets
171,2021-03-08,9076.0,Kitchen Linen Sets
172,2021-03-09,9066.0,Kitchen Linen Sets
173,2021-03-10,7610.0,Kitchen Linen Sets
174,2021-03-11,10907.0,Kitchen Linen Sets
175,2021-03-12,7249.0,Kitchen Linen Sets
176,2021-03-13,8428.0,Kitchen Linen Sets
177,2021-03-14,6857.0,Kitchen Linen Sets
178,2021-03-15,7124.0,Kitchen Linen Sets
179,2021-03-16,6998.0,Kitchen Linen Sets
180,2021-03-17,8486.0,Kitchen Linen Sets
181,2021-03-18,6229.0,Kitchen Linen Sets
182,2021-03-19,5610.0,Kitchen Linen Sets
183,2021-03-20,7090.0,Kitchen Linen Sets
184,2021-03-21,7090.0,Kitchen Linen Sets
185,2021-03-22,5889.0,Kitchen Linen Sets
186,2021-03-23,6389.0,Kitchen Linen Sets
187,2021-03-24,6384.0,Kitchen Linen Sets
188,2021-03-25,7071.0,Kitchen Linen Sets
189,2021-03-26,5498.0,Kitchen Linen Sets
190,2021-03-27,7613.0,Kitchen Linen Sets
191,2021-03-28,8199.0,Kitchen Linen Sets
192,2021-03-29,6751.0,Kitchen Linen Sets
193,2021-03-30,7843.0,Kitchen Linen Sets
194,2021-03-31,5931.0,Kitchen Linen Sets
195,2021-04-01,6358.0,Kitchen Linen Sets
196,2021-04-02,3991.0,Kitchen Linen Sets
197,2021-04-03,6027.0,Kitchen Linen Sets
198,2021-04-04,6027.0,Kitchen Linen Sets
199,2021-04-05,5406.0,Kitchen Linen Sets
200,2021-04-06,5083.0,Kitchen Linen Sets
201,2021-04-07,6163.0,Kitchen Linen Sets
202,2021-04-08,5357.0,Kitchen Linen Sets
203,2021-04-09,5934.0,Kitchen Linen Sets
204,2021-04-10,5406.0,Kitchen Linen Sets
205,2021-04-11,5406.0,Kitchen Linen Sets
206,2021-04-12,5846.0,Kitchen Linen Sets
207,2021-04-13,5846.0,Kitchen Linen Sets
208,2021-04-14,5846.0,Kitchen Linen Sets
209,2021-04-15,6421.0,Kitchen Linen Sets
210,2021-04-16,5888.0,Kitchen Linen Sets
211,2021-04-17,5888.0,Kitchen Linen Sets
212,2021-04-18,4311.0,Kitchen Linen Sets
213,2021-04-19,4311.0,Kitchen Linen Sets
214,2021-04-20,6319.0,Kitchen Linen Sets
215,2021-04-21,6319.0,Kitchen Linen Sets
216,2021-04-22,6486.0,Kitchen Linen Sets
217,2021-04-23,6486.0,Kitchen Linen Sets
218,2021-04-24,4511.0,Kitchen Linen Sets
219,2021-04-25,5334.0,Kitchen Linen Sets
220,2021-04-26,6355.0,Kitchen Linen Sets
221,2021-04-27,5289.0,Kitchen Linen Sets
222,2021-04-28,5289.0,Kitchen Linen Sets
223,2021-04-29,6397.0,Kitchen Linen Sets
224,2021-04-30,5243.0,Kitchen Linen Sets
225,2021-05-01,6145.0,Kitchen Linen Sets
226,2021-05-02,6145.0,Kitchen Linen Sets
227,2021-05-03,6088.0,Kitchen Linen Sets
228,2021-05-04,7191.0,Kitchen Linen Sets
229,2021-05-05,4890.0,Kitchen Linen Sets
230,2021-05-06,3984.0,Kitchen Linen Sets
231,2021-05-07,5390.0,Kitchen Linen Sets
232,2021-05-08,6314.0,Kitchen Linen Sets
233,2021-05-09,4238.0,Kitchen Linen Sets
234,2021-05-10,4982.0,Kitchen Linen Sets
235,2021-05-11,6143.0,Kitchen Linen Sets
236,2021-05-12,6944.0,Kitchen Linen Sets
237,2021-05-13,6545.0,Kitchen Linen Sets
238,2021-05-14,6545.0,Kitchen Linen Sets
239,2021-05-15,5458.0,Kitchen Linen Sets
240,2021-05-16,6952.0,Kitchen Linen Sets
241,2021-05-17,6952.0,Kitchen Linen Sets
242,2021-05-18,6952.0,Kitchen Linen Sets
243,2021-05-19,6952.0,Kitchen Linen Sets
244,2021-05-20,8055.0,Kitchen Linen Sets
245,2021-05-21,9965.0,Kitchen Linen Sets
246,2021-05-22,7558.0,Kitchen Linen Sets
247,2021-05-23,7558.0,Kitchen Linen Sets
248,2021-05-24,8801.0,Kitchen Linen Sets
249,2021-05-25,8129.0,Kitchen Linen Sets
250,2021-05-26,7061.0,Kitchen Linen Sets
251,2021-05-27,7061.0,Kitchen Linen Sets
252,2021-05-28,4427.0,Kitchen Linen Sets
253,2021-05-29,4093.0,Kitchen Linen Sets
254,2021-05-30,4093.0,Kitchen Linen Sets
255,2021-05-31,5419.0,Kitchen Linen Sets
256,2021-06-01,5895.0,Kitchen Linen Sets
257,2021-06-02,6239.0,Kitchen Linen Sets
258,2021-06-03,5828.0,Kitchen Linen Sets
259,2021-06-04,5945.0,Kitchen Linen Sets
260,2021-06-05,6650.0,Kitchen Linen Sets
261,2021-06-06,7457.0,Kitchen Linen Sets
262,2021-06-07,8257.0,Kitchen Linen Sets
263,2021-06-08,9411.0,Kitchen Linen Sets
264,2021-06-09,8741.0,Kitchen Linen Sets
265,2021-06-10,8741.0,Kitchen Linen Sets
266,2021-06-11,10616.0,Kitchen Linen Sets
267,2021-06-12,10616.0,Kitchen Linen Sets
268,2021-06-13,6964.0,Kitchen Linen Sets
269,2021-06-14,8505.0,Kitchen Linen Sets
270,2021-06-15,8505.0,Kitchen Linen Sets
271,2021-06-16,9123.0,Kitchen Linen Sets
272,2021-06-17,8524.0,Kitchen Linen Sets
273,2021-06-18,8097.0,Kitchen Linen Sets
274,2021-06-19,7214.0,Kitchen Linen Sets
275,2021-06-20,7214.0,Kitchen Linen Sets
276,2021-06-21,7567.0,Kitchen Linen Sets
277,2021-06-22,3567.0,Kitchen Linen Sets
278,2021-06-23,3773.0,Kitchen Linen Sets
279,2021-06-24,4847.0,Kitchen Linen Sets
280,2021-06-25,5315.0,Kitchen Linen Sets
281,2021-06-26,7030.0,Kitchen Linen Sets
282,2021-06-27,8580.0,Kitchen Linen Sets
283,2021-06-28,8192.0,Kitchen Linen Sets
284,2021-06-29,8308.0,Kitchen Linen Sets
285,2021-06-30,8264.0,Kitchen Linen Sets
286,2021-07-01,9468.0,Kitchen Linen Sets
287,2021-07-02,9539.0,Kitchen Linen Sets
288,2021-07-03,12190.0,Kitchen Linen Sets
289,2021-07-04,12190.0,Kitchen Linen Sets
290,2021-07-05,11058.0,Kitchen Linen Sets
291,2021-07-06,12907.0,Kitchen Linen Sets
292,2021-07-07,13472.0,Kitchen Linen Sets
293,2021-07-08,7380.0,Kitchen Linen Sets
294,2021-07-09,7380.0,Kitchen Linen Sets
295,2021-07-10,6974.0,Kitchen Linen Sets
296,2021-07-11,8673.0,Kitchen Linen Sets
