,date,value,name_B071K4ZR9M
185,2020-12-04,6793.0,Adhesive Vinyl
186,2020-12-05,6793.0,Adhesive Vinyl
187,2020-12-06,6793.0,Adhesive Vinyl
188,2020-12-07,6163.0,Adhesive Vinyl
189,2020-12-08,6163.0,Adhesive Vinyl
190,2020-12-09,6163.0,Adhesive Vinyl
191,2020-12-10,5378.0,Adhesive Vinyl
192,2020-12-11,6851.0,Adhesive Vinyl
193,2020-12-12,6851.0,Adhesive Vinyl
194,2020-12-13,6851.0,Adhesive Vinyl
195,2020-12-14,6851.0,Adhesive Vinyl
196,2020-12-15,6851.0,Adhesive Vinyl
197,2020-12-16,5434.0,Adhesive Vinyl
198,2020-12-17,6754.0,Adhesive Vinyl
199,2020-12-18,6754.0,Adhesive Vinyl
200,2020-12-19,6754.0,Adhesive Vinyl
201,2020-12-20,6754.0,Adhesive Vinyl
202,2020-12-21,7908.0,Adhesive Vinyl
203,2020-12-22,7908.0,Adhesive Vinyl
204,2020-12-23,7908.0,Adhesive Vinyl
205,2020-12-24,3407.0,Adhesive Vinyl
206,2020-12-25,3407.0,Adhesive Vinyl
207,2020-12-26,3407.0,Adhesive Vinyl
208,2020-12-27,9591.0,Adhesive Vinyl
209,2020-12-28,9591.0,Adhesive Vinyl
210,2020-12-29,9591.0,Adhesive Vinyl
211,2020-12-30,9591.0,Adhesive Vinyl
212,2020-12-31,9591.0,Adhesive Vinyl
213,2021-01-01,9591.0,Adhesive Vinyl
214,2021-01-02,4399.0,Adhesive Vinyl
215,2021-01-03,4399.0,Adhesive Vinyl
216,2021-01-04,4399.0,Adhesive Vinyl
217,2021-01-05,4399.0,Adhesive Vinyl
218,2021-01-06,6421.0,Adhesive Vinyl
219,2021-01-07,6421.0,Adhesive Vinyl
220,2021-01-08,6421.0,Adhesive Vinyl
221,2021-01-09,4236.0,Adhesive Vinyl
222,2021-01-10,4236.0,Adhesive Vinyl
223,2021-01-11,3917.0,Adhesive Vinyl
224,2021-01-12,3994.0,Adhesive Vinyl
225,2021-01-13,3994.0,Adhesive Vinyl
226,2021-01-14,4264.0,Adhesive Vinyl
227,2021-01-15,4264.0,Adhesive Vinyl
228,2021-01-16,4264.0,Adhesive Vinyl
229,2021-01-17,4264.0,Adhesive Vinyl
230,2021-01-18,4264.0,Adhesive Vinyl
231,2021-01-19,5246.0,Adhesive Vinyl
232,2021-01-20,5246.0,Adhesive Vinyl
233,2021-01-21,5246.0,Adhesive Vinyl
234,2021-01-22,5246.0,Adhesive Vinyl
235,2021-01-23,2319.0,Adhesive Vinyl
236,2021-01-24,2319.0,Adhesive Vinyl
237,2021-01-25,2603.0,Adhesive Vinyl
238,2021-01-26,2126.0,Adhesive Vinyl
239,2021-01-27,2126.0,Adhesive Vinyl
240,2021-01-28,2126.0,Adhesive Vinyl
241,2021-01-29,2174.0,Adhesive Vinyl
242,2021-01-30,2174.0,Adhesive Vinyl
243,2021-01-31,2174.0,Adhesive Vinyl
244,2021-02-01,3442.0,Adhesive Vinyl
245,2021-02-02,2388.0,Adhesive Vinyl
246,2021-02-03,2388.0,Adhesive Vinyl
247,2021-02-04,3272.0,Adhesive Vinyl
248,2021-02-05,3272.0,Adhesive Vinyl
249,2021-02-06,3272.0,Adhesive Vinyl
250,2021-02-07,3218.0,Adhesive Vinyl
251,2021-02-08,3218.0,Adhesive Vinyl
252,2021-02-09,3218.0,Adhesive Vinyl
253,2021-02-10,2949.0,Adhesive Vinyl
254,2021-02-11,2949.0,Adhesive Vinyl
255,2021-02-12,2949.0,Adhesive Vinyl
256,2021-02-13,2895.0,Adhesive Vinyl
257,2021-02-14,3576.0,Adhesive Vinyl
258,2021-02-15,3576.0,Adhesive Vinyl
259,2021-02-16,3576.0,Adhesive Vinyl
260,2021-02-17,3276.0,Adhesive Vinyl
261,2021-02-18,3276.0,Adhesive Vinyl
262,2021-02-19,2781.0,Adhesive Vinyl
263,2021-02-20,2781.0,Adhesive Vinyl
264,2021-02-21,2781.0,Adhesive Vinyl
265,2021-02-22,2781.0,Adhesive Vinyl
266,2021-02-23,2781.0,Adhesive Vinyl
267,2021-02-24,3850.0,Adhesive Vinyl
268,2021-02-25,3067.0,Adhesive Vinyl
269,2021-02-26,3567.0,Adhesive Vinyl
270,2021-02-27,3567.0,Adhesive Vinyl
271,2021-02-28,3567.0,Adhesive Vinyl
272,2021-03-01,2442.0,Adhesive Vinyl
273,2021-03-02,2442.0,Adhesive Vinyl
274,2021-03-03,2442.0,Adhesive Vinyl
275,2021-03-04,3474.0,Adhesive Vinyl
276,2021-03-05,3474.0,Adhesive Vinyl
277,2021-03-06,3970.0,Adhesive Vinyl
278,2021-03-07,3970.0,Adhesive Vinyl
279,2021-03-08,3970.0,Adhesive Vinyl
280,2021-03-09,2479.0,Adhesive Vinyl
281,2021-03-10,2479.0,Adhesive Vinyl
282,2021-03-11,2479.0,Adhesive Vinyl
283,2021-03-12,2723.0,Adhesive Vinyl
284,2021-03-13,2723.0,Adhesive Vinyl
285,2021-03-14,2723.0,Adhesive Vinyl
286,2021-03-15,1855.0,Adhesive Vinyl
287,2021-03-16,1855.0,Adhesive Vinyl
288,2021-03-17,1855.0,Adhesive Vinyl
289,2021-03-18,2216.0,Adhesive Vinyl
290,2021-03-19,2488.0,Adhesive Vinyl
291,2021-03-20,2488.0,Adhesive Vinyl
292,2021-03-21,3097.0,Adhesive Vinyl
293,2021-03-22,3097.0,Adhesive Vinyl
294,2021-03-23,3097.0,Adhesive Vinyl
295,2021-03-24,2852.0,Adhesive Vinyl
296,2021-03-25,2852.0,Adhesive Vinyl
297,2021-03-26,2059.0,Adhesive Vinyl
298,2021-03-27,2059.0,Adhesive Vinyl
299,2021-03-28,3617.0,Adhesive Vinyl
300,2021-03-29,3617.0,Adhesive Vinyl
301,2021-03-30,3617.0,Adhesive Vinyl
302,2021-03-31,1601.0,Adhesive Vinyl
303,2021-04-01,1601.0,Adhesive Vinyl
304,2021-04-02,1601.0,Adhesive Vinyl
305,2021-04-03,2956.0,Adhesive Vinyl
306,2021-04-04,2956.0,Adhesive Vinyl
307,2021-04-05,2956.0,Adhesive Vinyl
308,2021-04-06,3891.0,Adhesive Vinyl
309,2021-04-07,3891.0,Adhesive Vinyl
310,2021-04-08,3891.0,Adhesive Vinyl
311,2021-04-09,2818.0,Adhesive Vinyl
312,2021-04-10,2818.0,Adhesive Vinyl
313,2021-04-11,2527.0,Adhesive Vinyl
314,2021-04-12,2527.0,Adhesive Vinyl
315,2021-04-13,2527.0,Adhesive Vinyl
316,2021-04-14,2191.0,Adhesive Vinyl
317,2021-04-15,2191.0,Adhesive Vinyl
318,2021-04-16,2020.0,Adhesive Vinyl
319,2021-04-17,2020.0,Adhesive Vinyl
320,2021-04-18,2020.0,Adhesive Vinyl
321,2021-04-19,2068.0,Adhesive Vinyl
322,2021-04-20,2068.0,Adhesive Vinyl
323,2021-04-21,3388.0,Adhesive Vinyl
324,2021-04-22,3388.0,Adhesive Vinyl
325,2021-04-23,3388.0,Adhesive Vinyl
326,2021-04-24,2718.0,Adhesive Vinyl
327,2021-04-25,2718.0,Adhesive Vinyl
328,2021-04-26,2612.0,Adhesive Vinyl
329,2021-04-27,2612.0,Adhesive Vinyl
330,2021-04-28,2170.0,Adhesive Vinyl
331,2021-04-29,2170.0,Adhesive Vinyl
332,2021-04-30,4963.0,Adhesive Vinyl
333,2021-05-01,4963.0,Adhesive Vinyl
334,2021-05-02,4963.0,Adhesive Vinyl
335,2021-05-03,5047.0,Adhesive Vinyl
336,2021-05-04,5047.0,Adhesive Vinyl
337,2021-05-05,5047.0,Adhesive Vinyl
338,2021-05-06,3442.0,Adhesive Vinyl
339,2021-05-07,3442.0,Adhesive Vinyl
340,2021-05-08,3442.0,Adhesive Vinyl
341,2021-05-09,1106.0,Adhesive Vinyl
342,2021-05-10,2658.0,Adhesive Vinyl
343,2021-05-11,2658.0,Adhesive Vinyl
344,2021-05-12,2658.0,Adhesive Vinyl
345,2021-05-13,2991.0,Adhesive Vinyl
346,2021-05-14,2991.0,Adhesive Vinyl
347,2021-05-15,3194.0,Adhesive Vinyl
348,2021-05-16,3194.0,Adhesive Vinyl
349,2021-05-17,2838.0,Adhesive Vinyl
350,2021-05-18,2838.0,Adhesive Vinyl
351,2021-05-19,2838.0,Adhesive Vinyl
352,2021-05-20,3415.0,Adhesive Vinyl
353,2021-05-21,3080.0,Adhesive Vinyl
354,2021-05-22,3080.0,Adhesive Vinyl
355,2021-05-23,3684.0,Adhesive Vinyl
356,2021-05-24,3684.0,Adhesive Vinyl
357,2021-05-25,4079.0,Adhesive Vinyl
358,2021-05-26,4079.0,Adhesive Vinyl
359,2021-05-27,3707.0,Adhesive Vinyl
360,2021-05-28,3707.0,Adhesive Vinyl
361,2021-05-29,3707.0,Adhesive Vinyl
362,2021-05-30,8222.0,Adhesive Vinyl
363,2021-05-31,8222.0,Adhesive Vinyl
364,2021-06-01,6021.0,Adhesive Vinyl
365,2021-06-02,6021.0,Adhesive Vinyl
366,2021-06-03,3982.0,Adhesive Vinyl
367,2021-06-04,3982.0,Adhesive Vinyl
368,2021-06-05,3982.0,Adhesive Vinyl
369,2021-06-06,4394.0,Adhesive Vinyl
370,2021-06-07,3481.0,Adhesive Vinyl
371,2021-06-08,3481.0,Adhesive Vinyl
372,2021-06-09,4125.0,Adhesive Vinyl
373,2021-06-10,4125.0,Adhesive Vinyl
374,2021-06-11,4125.0,Adhesive Vinyl
375,2021-06-12,4125.0,Adhesive Vinyl
376,2021-06-13,3429.0,Adhesive Vinyl
377,2021-06-14,3429.0,Adhesive Vinyl
378,2021-06-15,3429.0,Adhesive Vinyl
379,2021-06-16,3429.0,Adhesive Vinyl
380,2021-06-17,5061.0,Adhesive Vinyl
381,2021-06-18,5061.0,Adhesive Vinyl
382,2021-06-19,5174.0,Adhesive Vinyl
383,2021-06-20,7418.0,Adhesive Vinyl
384,2021-06-21,7418.0,Adhesive Vinyl
385,2021-06-22,6338.0,Adhesive Vinyl
386,2021-06-23,6109.0,Adhesive Vinyl
387,2021-06-24,6109.0,Adhesive Vinyl
388,2021-06-25,6043.0,Adhesive Vinyl
389,2021-06-26,4304.0,Adhesive Vinyl
390,2021-06-27,4304.0,Adhesive Vinyl
391,2021-06-28,9059.0,Adhesive Vinyl
392,2021-06-29,9059.0,Adhesive Vinyl
393,2021-06-30,8277.0,Adhesive Vinyl
394,2021-07-01,8277.0,Adhesive Vinyl
395,2021-07-02,8277.0,Adhesive Vinyl
396,2021-07-03,8277.0,Adhesive Vinyl
397,2021-07-04,6392.0,Adhesive Vinyl
398,2021-07-05,6392.0,Adhesive Vinyl
399,2021-07-06,6392.0,Adhesive Vinyl
400,2021-07-07,5869.0,Adhesive Vinyl
401,2021-07-08,5869.0,Adhesive Vinyl
402,2021-07-09,5869.0,Adhesive Vinyl
403,2021-07-10,6131.0,Adhesive Vinyl
