,date,value,name_B07NH7NWYW
186,2020-11-29,45312.0,Easels
187,2020-11-30,45312.0,Easels
188,2020-12-01,45312.0,Easels
189,2020-12-02,45312.0,Easels
190,2020-12-03,45312.0,Easels
191,2020-12-04,45312.0,Easels
192,2020-12-05,45312.0,Easels
193,2020-12-06,45312.0,Easels
194,2020-12-07,45312.0,Easels
195,2020-12-08,45312.0,Easels
196,2020-12-09,45312.0,Easels
197,2020-12-10,45312.0,Easels
198,2020-12-11,45312.0,Easels
199,2020-12-12,45312.0,Easels
200,2020-12-13,45312.0,Easels
201,2020-12-14,45312.0,Easels
202,2020-12-15,45312.0,Easels
203,2020-12-16,45312.0,Easels
204,2020-12-17,45312.0,Easels
205,2020-12-18,45312.0,Easels
206,2020-12-19,45312.0,Easels
207,2020-12-20,45312.0,Easels
208,2020-12-21,45312.0,Easels
209,2020-12-22,45312.0,Easels
210,2020-12-23,45312.0,Easels
211,2020-12-24,45312.0,Easels
212,2020-12-25,45312.0,Easels
213,2020-12-26,45312.0,Easels
214,2020-12-27,45312.0,Easels
215,2020-12-28,45312.0,Easels
216,2020-12-29,45312.0,Easels
217,2020-12-30,26763.0,Easels
218,2020-12-31,26763.0,Easels
219,2021-01-01,26763.0,Easels
220,2021-01-02,26763.0,Easels
221,2021-01-03,26763.0,Easels
222,2021-01-04,26448.0,Easels
223,2021-01-05,26448.0,Easels
224,2021-01-06,26448.0,Easels
225,2021-01-07,15006.0,Easels
226,2021-01-08,15006.0,Easels
227,2021-01-09,15006.0,Easels
228,2021-01-10,30379.0,Easels
229,2021-01-11,30379.0,Easels
230,2021-01-12,30379.0,Easels
231,2021-01-13,30379.0,Easels
232,2021-01-14,30379.0,Easels
233,2021-01-15,30379.0,Easels
234,2021-01-16,30379.0,Easels
235,2021-01-17,30379.0,Easels
236,2021-01-18,30379.0,Easels
237,2021-01-19,30379.0,Easels
238,2021-01-20,22577.0,Easels
239,2021-01-21,22577.0,Easels
240,2021-01-22,22577.0,Easels
241,2021-01-23,22577.0,Easels
242,2021-01-24,10450.0,Easels
243,2021-01-25,10450.0,Easels
244,2021-01-26,10450.0,Easels
245,2021-01-27,10450.0,Easels
246,2021-01-28,10450.0,Easels
247,2021-01-29,12824.0,Easels
248,2021-01-30,12824.0,Easels
249,2021-01-31,12824.0,Easels
250,2021-02-01,12824.0,Easels
251,2021-02-02,11943.0,Easels
252,2021-02-03,11943.0,Easels
253,2021-02-04,11943.0,Easels
254,2021-02-05,11943.0,Easels
255,2021-02-06,11943.0,Easels
256,2021-02-07,11943.0,Easels
257,2021-02-08,43495.0,Easels
258,2021-02-09,43495.0,Easels
259,2021-02-10,43495.0,Easels
260,2021-02-11,43495.0,Easels
261,2021-02-12,43495.0,Easels
262,2021-02-13,43495.0,Easels
263,2021-02-14,43495.0,Easels
264,2021-02-15,34228.0,Easels
265,2021-02-16,34228.0,Easels
266,2021-02-17,34228.0,Easels
267,2021-02-18,10313.0,Easels
268,2021-02-19,11079.0,Easels
269,2021-02-20,11079.0,Easels
270,2021-02-21,11079.0,Easels
271,2021-02-22,19812.0,Easels
272,2021-02-23,19812.0,Easels
273,2021-02-24,12124.0,Easels
274,2021-02-25,12124.0,Easels
275,2021-02-26,12124.0,Easels
276,2021-02-27,12124.0,Easels
277,2021-02-28,12124.0,Easels
278,2021-03-01,20150.0,Easels
279,2021-03-02,20150.0,Easels
280,2021-03-03,13922.0,Easels
281,2021-03-04,13922.0,Easels
282,2021-03-05,13922.0,Easels
283,2021-03-06,13922.0,Easels
284,2021-03-07,13922.0,Easels
285,2021-03-08,7941.0,Easels
286,2021-03-09,7941.0,Easels
287,2021-03-10,7941.0,Easels
288,2021-03-11,4326.0,Easels
289,2021-03-12,5779.0,Easels
290,2021-03-13,7285.0,Easels
291,2021-03-14,7285.0,Easels
292,2021-03-15,5070.0,Easels
293,2021-03-16,5070.0,Easels
294,2021-03-17,5070.0,Easels
295,2021-03-18,5070.0,Easels
296,2021-03-19,5250.0,Easels
297,2021-03-20,5250.0,Easels
298,2021-03-21,5250.0,Easels
299,2021-03-22,5917.0,Easels
300,2021-03-23,5917.0,Easels
301,2021-03-24,5917.0,Easels
302,2021-03-25,5917.0,Easels
303,2021-03-26,4409.0,Easels
304,2021-03-27,4409.0,Easels
305,2021-03-28,4409.0,Easels
306,2021-03-29,4409.0,Easels
307,2021-03-30,5572.0,Easels
308,2021-03-31,5572.0,Easels
309,2021-04-01,5572.0,Easels
310,2021-04-02,4757.0,Easels
311,2021-04-03,4757.0,Easels
312,2021-04-04,6537.0,Easels
313,2021-04-05,6537.0,Easels
314,2021-04-06,4184.0,Easels
315,2021-04-07,2267.0,Easels
316,2021-04-08,1377.0,Easels
317,2021-04-09,1377.0,Easels
318,2021-04-10,2199.0,Easels
319,2021-04-11,2199.0,Easels
320,2021-04-12,2199.0,Easels
321,2021-04-13,2201.0,Easels
322,2021-04-14,2565.0,Easels
323,2021-04-15,2565.0,Easels
324,2021-04-16,2565.0,Easels
325,2021-04-17,7827.0,Easels
326,2021-04-18,7827.0,Easels
327,2021-04-19,7827.0,Easels
328,2021-04-20,5517.0,Easels
329,2021-04-21,5517.0,Easels
330,2021-04-22,5517.0,Easels
331,2021-04-23,5586.0,Easels
332,2021-04-24,5586.0,Easels
333,2021-04-25,5586.0,Easels
334,2021-04-26,7621.0,Easels
335,2021-04-27,7621.0,Easels
336,2021-04-28,2915.0,Easels
337,2021-04-29,2915.0,Easels
338,2021-04-30,2915.0,Easels
339,2021-05-01,3594.0,Easels
340,2021-05-02,3594.0,Easels
341,2021-05-03,3594.0,Easels
342,2021-05-04,2689.0,Easels
343,2021-05-05,2085.0,Easels
344,2021-05-06,2085.0,Easels
345,2021-05-07,2085.0,Easels
346,2021-05-08,1910.0,Easels
347,2021-05-09,1910.0,Easels
348,2021-05-10,2831.0,Easels
349,2021-05-11,1481.0,Easels
350,2021-05-12,1481.0,Easels
351,2021-05-13,1730.0,Easels
352,2021-05-14,1730.0,Easels
353,2021-05-15,1867.0,Easels
354,2021-05-16,1867.0,Easels
355,2021-05-17,1808.0,Easels
356,2021-05-18,1808.0,Easels
357,2021-05-19,1438.0,Easels
358,2021-05-20,1438.0,Easels
359,2021-05-21,1444.0,Easels
360,2021-05-22,2676.0,Easels
361,2021-05-23,2676.0,Easels
362,2021-05-24,2676.0,Easels
363,2021-05-25,2013.0,Easels
364,2021-05-26,2013.0,Easels
365,2021-05-27,2013.0,Easels
366,2021-05-28,1643.0,Easels
