,date,value,name_B07D6XVS2M
134,2020-10-17,34026.0,Cold Packs
135,2020-10-18,34026.0,Cold Packs
136,2020-10-19,34026.0,Cold Packs
137,2020-10-20,34026.0,Cold Packs
138,2020-10-21,34026.0,Cold Packs
139,2020-10-22,34026.0,Cold Packs
140,2020-10-23,34026.0,Cold Packs
141,2020-10-24,34026.0,Cold Packs
142,2020-10-25,24819.0,Cold Packs
143,2020-10-26,24819.0,Cold Packs
144,2020-10-27,24819.0,Cold Packs
145,2020-10-28,24819.0,Cold Packs
146,2020-10-29,24819.0,Cold Packs
147,2020-10-30,24819.0,Cold Packs
148,2020-10-31,24819.0,Cold Packs
149,2020-11-01,24819.0,Cold Packs
150,2020-11-02,24819.0,Cold Packs
151,2020-11-03,37816.0,Cold Packs
152,2020-11-04,37816.0,Cold Packs
153,2020-11-05,37816.0,Cold Packs
154,2020-11-06,35618.0,Cold Packs
155,2020-11-07,35618.0,Cold Packs
156,2020-11-08,35618.0,Cold Packs
157,2020-11-09,35183.0,Cold Packs
158,2020-11-10,35183.0,Cold Packs
159,2020-11-11,35183.0,Cold Packs
160,2020-11-12,35183.0,Cold Packs
161,2020-11-13,35183.0,Cold Packs
162,2020-11-14,35183.0,Cold Packs
163,2020-11-15,28937.0,Cold Packs
164,2020-11-16,28937.0,Cold Packs
165,2020-11-17,28937.0,Cold Packs
166,2020-11-18,28937.0,Cold Packs
167,2020-11-19,34424.0,Cold Packs
168,2020-11-20,34424.0,Cold Packs
169,2020-11-21,34424.0,Cold Packs
170,2020-11-22,34424.0,Cold Packs
171,2020-11-23,29265.0,Cold Packs
172,2020-11-24,29265.0,Cold Packs
173,2020-11-25,29265.0,Cold Packs
174,2020-11-26,30334.0,Cold Packs
175,2020-11-27,30334.0,Cold Packs
176,2020-11-28,30334.0,Cold Packs
177,2020-11-29,30334.0,Cold Packs
178,2020-11-30,30334.0,Cold Packs
179,2020-12-01,30334.0,Cold Packs
180,2020-12-02,43181.0,Cold Packs
181,2020-12-03,43181.0,Cold Packs
182,2020-12-04,43181.0,Cold Packs
183,2020-12-05,43181.0,Cold Packs
184,2020-12-06,27591.0,Cold Packs
185,2020-12-07,27591.0,Cold Packs
186,2020-12-08,27591.0,Cold Packs
187,2020-12-09,27237.0,Cold Packs
188,2020-12-10,27237.0,Cold Packs
189,2020-12-11,27237.0,Cold Packs
190,2020-12-12,36699.0,Cold Packs
191,2020-12-13,36699.0,Cold Packs
192,2020-12-14,36699.0,Cold Packs
193,2020-12-15,36699.0,Cold Packs
194,2020-12-16,36699.0,Cold Packs
195,2020-12-17,36217.0,Cold Packs
196,2020-12-18,36217.0,Cold Packs
197,2020-12-19,36217.0,Cold Packs
198,2020-12-20,31486.0,Cold Packs
199,2020-12-21,31486.0,Cold Packs
200,2020-12-22,31486.0,Cold Packs
201,2020-12-23,23828.0,Cold Packs
202,2020-12-24,23902.0,Cold Packs
203,2020-12-25,23902.0,Cold Packs
204,2020-12-26,38559.0,Cold Packs
205,2020-12-27,38559.0,Cold Packs
206,2020-12-28,38559.0,Cold Packs
207,2020-12-29,32413.0,Cold Packs
208,2020-12-30,32413.0,Cold Packs
209,2020-12-31,32413.0,Cold Packs
210,2021-01-01,32413.0,Cold Packs
211,2021-01-02,32413.0,Cold Packs
212,2021-01-03,32413.0,Cold Packs
213,2021-01-04,29981.0,Cold Packs
214,2021-01-05,29981.0,Cold Packs
215,2021-01-06,29981.0,Cold Packs
216,2021-01-07,29981.0,Cold Packs
217,2021-01-08,29981.0,Cold Packs
218,2021-01-09,29981.0,Cold Packs
219,2021-01-10,29981.0,Cold Packs
220,2021-01-11,33201.0,Cold Packs
221,2021-01-12,37151.0,Cold Packs
222,2021-01-13,37151.0,Cold Packs
223,2021-01-14,37151.0,Cold Packs
224,2021-01-15,34214.0,Cold Packs
225,2021-01-16,34214.0,Cold Packs
226,2021-01-17,34214.0,Cold Packs
227,2021-01-18,30919.0,Cold Packs
228,2021-01-19,30919.0,Cold Packs
229,2021-01-20,30919.0,Cold Packs
230,2021-01-21,31168.0,Cold Packs
231,2021-01-22,31168.0,Cold Packs
232,2021-01-23,31168.0,Cold Packs
233,2021-01-24,31168.0,Cold Packs
234,2021-01-25,25597.0,Cold Packs
235,2021-01-26,25597.0,Cold Packs
236,2021-01-27,25597.0,Cold Packs
237,2021-01-28,25597.0,Cold Packs
238,2021-01-29,25597.0,Cold Packs
239,2021-01-30,23879.0,Cold Packs
240,2021-01-31,23879.0,Cold Packs
241,2021-02-01,23879.0,Cold Packs
242,2021-02-02,23879.0,Cold Packs
243,2021-02-03,23879.0,Cold Packs
244,2021-02-04,23879.0,Cold Packs
245,2021-02-05,23879.0,Cold Packs
246,2021-02-06,18151.0,Cold Packs
247,2021-02-07,18151.0,Cold Packs
248,2021-02-08,18151.0,Cold Packs
249,2021-02-09,20141.0,Cold Packs
250,2021-02-10,20141.0,Cold Packs
251,2021-02-11,20141.0,Cold Packs
252,2021-02-12,20141.0,Cold Packs
253,2021-02-13,20141.0,Cold Packs
254,2021-02-14,20141.0,Cold Packs
255,2021-02-15,20141.0,Cold Packs
256,2021-02-16,25645.0,Cold Packs
257,2021-02-17,25645.0,Cold Packs
258,2021-02-18,25645.0,Cold Packs
259,2021-02-19,25645.0,Cold Packs
260,2021-02-20,26245.0,Cold Packs
261,2021-02-21,26245.0,Cold Packs
262,2021-02-22,22094.0,Cold Packs
263,2021-02-23,22094.0,Cold Packs
264,2021-02-24,23011.0,Cold Packs
265,2021-02-25,19763.0,Cold Packs
266,2021-02-26,19763.0,Cold Packs
267,2021-02-27,19763.0,Cold Packs
268,2021-02-28,19763.0,Cold Packs
269,2021-03-01,24503.0,Cold Packs
270,2021-03-02,24503.0,Cold Packs
271,2021-03-03,24503.0,Cold Packs
272,2021-03-04,24503.0,Cold Packs
273,2021-03-05,20041.0,Cold Packs
274,2021-03-06,20041.0,Cold Packs
275,2021-03-07,20041.0,Cold Packs
276,2021-03-08,20669.0,Cold Packs
277,2021-03-09,17837.0,Cold Packs
278,2021-03-10,17837.0,Cold Packs
279,2021-03-11,17837.0,Cold Packs
280,2021-03-12,23864.0,Cold Packs
281,2021-03-13,23864.0,Cold Packs
282,2021-03-14,23864.0,Cold Packs
283,2021-03-15,23864.0,Cold Packs
284,2021-03-16,23864.0,Cold Packs
285,2021-03-17,18930.0,Cold Packs
286,2021-03-18,16466.0,Cold Packs
287,2021-03-19,16466.0,Cold Packs
288,2021-03-20,16466.0,Cold Packs
289,2021-03-21,16466.0,Cold Packs
290,2021-03-22,24915.0,Cold Packs
291,2021-03-23,24915.0,Cold Packs
292,2021-03-24,24915.0,Cold Packs
293,2021-03-25,24915.0,Cold Packs
294,2021-03-26,24915.0,Cold Packs
295,2021-03-27,24915.0,Cold Packs
296,2021-03-28,24915.0,Cold Packs
297,2021-03-29,24915.0,Cold Packs
298,2021-03-30,18654.0,Cold Packs
299,2021-03-31,18654.0,Cold Packs
300,2021-04-01,20395.0,Cold Packs
301,2021-04-02,20395.0,Cold Packs
302,2021-04-03,20395.0,Cold Packs
303,2021-04-04,17420.0,Cold Packs
304,2021-04-05,17420.0,Cold Packs
305,2021-04-06,20067.0,Cold Packs
306,2021-04-07,20067.0,Cold Packs
307,2021-04-08,15153.0,Cold Packs
308,2021-04-09,15153.0,Cold Packs
309,2021-04-10,15153.0,Cold Packs
310,2021-04-11,15153.0,Cold Packs
311,2021-04-12,20536.0,Cold Packs
312,2021-04-13,20536.0,Cold Packs
313,2021-04-14,20536.0,Cold Packs
314,2021-04-15,20536.0,Cold Packs
315,2021-04-16,18520.0,Cold Packs
316,2021-04-17,18520.0,Cold Packs
317,2021-04-18,18520.0,Cold Packs
318,2021-04-19,18520.0,Cold Packs
319,2021-04-20,18520.0,Cold Packs
320,2021-04-21,21379.0,Cold Packs
321,2021-04-22,21379.0,Cold Packs
322,2021-04-23,15999.0,Cold Packs
323,2021-04-24,15999.0,Cold Packs
324,2021-04-25,15999.0,Cold Packs
325,2021-04-26,15999.0,Cold Packs
326,2021-04-27,15999.0,Cold Packs
327,2021-04-28,15999.0,Cold Packs
328,2021-04-29,15999.0,Cold Packs
329,2021-04-30,24614.0,Cold Packs
330,2021-05-01,24614.0,Cold Packs
331,2021-05-02,24614.0,Cold Packs
332,2021-05-03,24614.0,Cold Packs
333,2021-05-04,24614.0,Cold Packs
334,2021-05-05,17178.0,Cold Packs
335,2021-05-06,18047.0,Cold Packs
336,2021-05-07,19415.0,Cold Packs
337,2021-05-08,19415.0,Cold Packs
338,2021-05-09,19415.0,Cold Packs
339,2021-05-10,23777.0,Cold Packs
340,2021-05-11,23777.0,Cold Packs
341,2021-05-12,23777.0,Cold Packs
342,2021-05-13,23777.0,Cold Packs
343,2021-05-14,23777.0,Cold Packs
344,2021-05-15,21102.0,Cold Packs
345,2021-05-16,21102.0,Cold Packs
346,2021-05-17,21102.0,Cold Packs
347,2021-05-18,21102.0,Cold Packs
348,2021-05-19,25717.0,Cold Packs
349,2021-05-20,21980.0,Cold Packs
350,2021-05-21,29590.0,Cold Packs
351,2021-05-22,29590.0,Cold Packs
352,2021-05-23,29590.0,Cold Packs
353,2021-05-24,32290.0,Cold Packs
354,2021-05-25,32290.0,Cold Packs
355,2021-05-26,32290.0,Cold Packs
356,2021-05-27,32290.0,Cold Packs
357,2021-05-28,32290.0,Cold Packs
358,2021-05-29,32290.0,Cold Packs
359,2021-05-30,32290.0,Cold Packs
360,2021-05-31,32290.0,Cold Packs
361,2021-06-01,31246.0,Cold Packs
362,2021-06-02,31246.0,Cold Packs
363,2021-06-03,31246.0,Cold Packs
364,2021-06-04,31246.0,Cold Packs
365,2021-06-05,31246.0,Cold Packs
366,2021-06-06,31091.0,Cold Packs
367,2021-06-07,31091.0,Cold Packs
368,2021-06-08,31091.0,Cold Packs
369,2021-06-09,31091.0,Cold Packs
370,2021-06-10,31091.0,Cold Packs
371,2021-06-11,31091.0,Cold Packs
372,2021-06-12,31091.0,Cold Packs
373,2021-06-13,31091.0,Cold Packs
374,2021-06-14,32064.0,Cold Packs
375,2021-06-15,32064.0,Cold Packs
376,2021-06-16,47770.0,Cold Packs
377,2021-06-17,37524.0,Cold Packs
378,2021-06-18,37524.0,Cold Packs
379,2021-06-19,37524.0,Cold Packs
380,2021-06-20,34904.0,Cold Packs
381,2021-06-21,29993.0,Cold Packs
382,2021-06-22,36809.0,Cold Packs
383,2021-06-23,36809.0,Cold Packs
384,2021-06-24,36809.0,Cold Packs
385,2021-06-25,36809.0,Cold Packs
386,2021-06-26,36809.0,Cold Packs
387,2021-06-27,36809.0,Cold Packs
388,2021-06-28,36809.0,Cold Packs
389,2021-06-29,36809.0,Cold Packs
390,2021-06-30,39709.0,Cold Packs
391,2021-07-01,39709.0,Cold Packs
392,2021-07-02,39709.0,Cold Packs
393,2021-07-03,39709.0,Cold Packs
394,2021-07-04,39709.0,Cold Packs
395,2021-07-05,39709.0,Cold Packs
396,2021-07-06,39709.0,Cold Packs
397,2021-07-07,39709.0,Cold Packs
398,2021-07-08,30539.0,Cold Packs
399,2021-07-09,30539.0,Cold Packs
400,2021-07-10,41022.0,Cold Packs
