,date,value,name_B00PKM0LIY
158,2021-01-28,1314.0,Knitting Needles
159,2021-01-29,1508.0,Knitting Needles
160,2021-01-30,1508.0,Knitting Needles
161,2021-01-31,1554.0,Knitting Needles
162,2021-02-01,1631.0,Knitting Needles
163,2021-02-02,1141.0,Knitting Needles
164,2021-02-03,1460.0,Knitting Needles
165,2021-02-04,1204.0,Knitting Needles
166,2021-02-05,1499.0,Knitting Needles
167,2021-02-06,1499.0,Knitting Needles
168,2021-02-07,1388.0,Knitting Needles
169,2021-02-08,1388.0,Knitting Needles
170,2021-02-09,1388.0,Knitting Needles
171,2021-02-10,1156.0,Knitting Needles
172,2021-02-11,1156.0,Knitting Needles
173,2021-02-12,1156.0,Knitting Needles
174,2021-02-13,967.0,Knitting Needles
175,2021-02-14,967.0,Knitting Needles
176,2021-02-15,884.0,Knitting Needles
177,2021-02-16,999.0,Knitting Needles
178,2021-02-17,999.0,Knitting Needles
179,2021-02-18,897.0,Knitting Needles
180,2021-02-19,897.0,Knitting Needles
181,2021-02-20,897.0,Knitting Needles
182,2021-02-21,1160.0,Knitting Needles
183,2021-02-22,1160.0,Knitting Needles
184,2021-02-23,1213.0,Knitting Needles
185,2021-02-24,1213.0,Knitting Needles
186,2021-02-25,1953.0,Knitting Needles
187,2021-02-26,1160.0,Knitting Needles
188,2021-02-27,1515.0,Knitting Needles
189,2021-02-28,1292.0,Knitting Needles
190,2021-03-01,1318.0,Knitting Needles
191,2021-03-02,1159.0,Knitting Needles
192,2021-03-03,1159.0,Knitting Needles
193,2021-03-04,1554.0,Knitting Needles
194,2021-03-05,1703.0,Knitting Needles
195,2021-03-06,1663.0,Knitting Needles
196,2021-03-07,1663.0,Knitting Needles
197,2021-03-08,1345.0,Knitting Needles
198,2021-03-09,1428.0,Knitting Needles
199,2021-03-10,1390.0,Knitting Needles
200,2021-03-11,1562.0,Knitting Needles
201,2021-03-12,1562.0,Knitting Needles
202,2021-03-13,1562.0,Knitting Needles
203,2021-03-14,1645.0,Knitting Needles
204,2021-03-15,1645.0,Knitting Needles
205,2021-03-16,1516.0,Knitting Needles
206,2021-03-17,1516.0,Knitting Needles
207,2021-03-18,1516.0,Knitting Needles
208,2021-03-19,2282.0,Knitting Needles
209,2021-03-20,2282.0,Knitting Needles
210,2021-03-21,1786.0,Knitting Needles
211,2021-03-22,1640.0,Knitting Needles
212,2021-03-23,1640.0,Knitting Needles
213,2021-03-24,1995.0,Knitting Needles
214,2021-03-25,2049.0,Knitting Needles
215,2021-03-26,2049.0,Knitting Needles
216,2021-03-27,2049.0,Knitting Needles
217,2021-03-28,1625.0,Knitting Needles
218,2021-03-29,1625.0,Knitting Needles
219,2021-03-30,1944.0,Knitting Needles
220,2021-03-31,1734.0,Knitting Needles
221,2021-04-01,1734.0,Knitting Needles
222,2021-04-02,1734.0,Knitting Needles
223,2021-04-03,2145.0,Knitting Needles
224,2021-04-04,1668.0,Knitting Needles
225,2021-04-05,1668.0,Knitting Needles
226,2021-04-06,1668.0,Knitting Needles
227,2021-04-07,2169.0,Knitting Needles
228,2021-04-08,2169.0,Knitting Needles
229,2021-04-09,2262.0,Knitting Needles
230,2021-04-10,1907.0,Knitting Needles
231,2021-04-11,1907.0,Knitting Needles
232,2021-04-12,1931.0,Knitting Needles
233,2021-04-13,1931.0,Knitting Needles
234,2021-04-14,1848.0,Knitting Needles
235,2021-04-15,1848.0,Knitting Needles
236,2021-04-16,1848.0,Knitting Needles
237,2021-04-17,2327.0,Knitting Needles
238,2021-04-18,2327.0,Knitting Needles
239,2021-04-19,2055.0,Knitting Needles
240,2021-04-20,1926.0,Knitting Needles
241,2021-04-21,2473.0,Knitting Needles
242,2021-04-22,2473.0,Knitting Needles
243,2021-04-23,2473.0,Knitting Needles
244,2021-04-24,1984.0,Knitting Needles
245,2021-04-25,1984.0,Knitting Needles
246,2021-04-26,2168.0,Knitting Needles
247,2021-04-27,2168.0,Knitting Needles
248,2021-04-28,2630.0,Knitting Needles
249,2021-04-29,2630.0,Knitting Needles
250,2021-04-30,3224.0,Knitting Needles
251,2021-05-01,3224.0,Knitting Needles
252,2021-05-02,3224.0,Knitting Needles
253,2021-05-03,2429.0,Knitting Needles
254,2021-05-04,2154.0,Knitting Needles
255,2021-05-05,3321.0,Knitting Needles
256,2021-05-06,3321.0,Knitting Needles
257,2021-05-07,3262.0,Knitting Needles
258,2021-05-08,3262.0,Knitting Needles
259,2021-05-09,3262.0,Knitting Needles
260,2021-05-10,1938.0,Knitting Needles
261,2021-05-11,2683.0,Knitting Needles
262,2021-05-12,3405.0,Knitting Needles
263,2021-05-13,2816.0,Knitting Needles
264,2021-05-14,2816.0,Knitting Needles
265,2021-05-15,2816.0,Knitting Needles
266,2021-05-16,2740.0,Knitting Needles
267,2021-05-17,2740.0,Knitting Needles
268,2021-05-18,2740.0,Knitting Needles
269,2021-05-19,2678.0,Knitting Needles
270,2021-05-20,2678.0,Knitting Needles
271,2021-05-21,2690.0,Knitting Needles
272,2021-05-22,1968.0,Knitting Needles
273,2021-05-23,1968.0,Knitting Needles
274,2021-05-24,1917.0,Knitting Needles
275,2021-05-25,1917.0,Knitting Needles
276,2021-05-26,2724.0,Knitting Needles
277,2021-05-27,2724.0,Knitting Needles
278,2021-05-28,3147.0,Knitting Needles
279,2021-05-29,3147.0,Knitting Needles
280,2021-05-30,2540.0,Knitting Needles
281,2021-05-31,2540.0,Knitting Needles
282,2021-06-01,2540.0,Knitting Needles
283,2021-06-02,2538.0,Knitting Needles
284,2021-06-03,2538.0,Knitting Needles
285,2021-06-04,2538.0,Knitting Needles
286,2021-06-05,2037.0,Knitting Needles
287,2021-06-06,2435.0,Knitting Needles
288,2021-06-07,2435.0,Knitting Needles
289,2021-06-08,2963.0,Knitting Needles
290,2021-06-09,2963.0,Knitting Needles
291,2021-06-10,3266.0,Knitting Needles
292,2021-06-11,3266.0,Knitting Needles
293,2021-06-12,3266.0,Knitting Needles
294,2021-06-13,2159.0,Knitting Needles
295,2021-06-14,2159.0,Knitting Needles
296,2021-06-15,2769.0,Knitting Needles
297,2021-06-16,2769.0,Knitting Needles
298,2021-06-17,2466.0,Knitting Needles
299,2021-06-18,2466.0,Knitting Needles
300,2021-06-19,2466.0,Knitting Needles
301,2021-06-20,1807.0,Knitting Needles
302,2021-06-21,1807.0,Knitting Needles
303,2021-06-22,4096.0,Knitting Needles
304,2021-06-23,3845.0,Knitting Needles
305,2021-06-24,3918.0,Knitting Needles
306,2021-06-25,4219.0,Knitting Needles
307,2021-06-26,2724.0,Knitting Needles
308,2021-06-27,2724.0,Knitting Needles
309,2021-06-28,3118.0,Knitting Needles
310,2021-06-29,2431.0,Knitting Needles
311,2021-06-30,3320.0,Knitting Needles
312,2021-07-01,3320.0,Knitting Needles
313,2021-07-02,3047.0,Knitting Needles
314,2021-07-03,2310.0,Knitting Needles
315,2021-07-04,2310.0,Knitting Needles
316,2021-07-05,2432.0,Knitting Needles
317,2021-07-06,2526.0,Knitting Needles
318,2021-07-07,2947.0,Knitting Needles
319,2021-07-08,2699.0,Knitting Needles
320,2021-07-09,2888.0,Knitting Needles
321,2021-07-10,3042.0,Knitting Needles
