,date,value,name_B084SJR15R
179,2020-11-21,39445.0,Ready to Drink
180,2020-11-22,39445.0,Ready to Drink
181,2020-11-23,39445.0,Ready to Drink
182,2020-11-24,39445.0,Ready to Drink
183,2020-11-25,39445.0,Ready to Drink
184,2020-11-26,39445.0,Ready to Drink
185,2020-11-27,55774.0,Ready to Drink
186,2020-11-28,55774.0,Ready to Drink
187,2020-11-29,55774.0,Ready to Drink
188,2020-11-30,55774.0,Ready to Drink
189,2020-12-01,38395.0,Ready to Drink
190,2020-12-02,38395.0,Ready to Drink
191,2020-12-03,38395.0,Ready to Drink
192,2020-12-04,63380.0,Ready to Drink
193,2020-12-05,63380.0,Ready to Drink
194,2020-12-06,63380.0,Ready to Drink
195,2020-12-07,47718.0,Ready to Drink
196,2020-12-08,47718.0,Ready to Drink
197,2020-12-09,47718.0,Ready to Drink
198,2020-12-10,38989.0,Ready to Drink
199,2020-12-11,38989.0,Ready to Drink
200,2020-12-12,38989.0,Ready to Drink
201,2020-12-13,48860.0,Ready to Drink
202,2020-12-14,48860.0,Ready to Drink
203,2020-12-15,48860.0,Ready to Drink
204,2020-12-16,48860.0,Ready to Drink
205,2020-12-17,38053.0,Ready to Drink
206,2020-12-18,38053.0,Ready to Drink
207,2020-12-19,38053.0,Ready to Drink
208,2020-12-20,48317.0,Ready to Drink
209,2020-12-21,48317.0,Ready to Drink
210,2020-12-22,48317.0,Ready to Drink
211,2020-12-23,45374.0,Ready to Drink
212,2020-12-24,45374.0,Ready to Drink
213,2020-12-25,45374.0,Ready to Drink
214,2020-12-26,45374.0,Ready to Drink
215,2020-12-27,45374.0,Ready to Drink
216,2020-12-28,45374.0,Ready to Drink
217,2020-12-29,63289.0,Ready to Drink
218,2020-12-30,55042.0,Ready to Drink
219,2020-12-31,55042.0,Ready to Drink
220,2021-01-01,55042.0,Ready to Drink
221,2021-01-02,55042.0,Ready to Drink
222,2021-01-03,55042.0,Ready to Drink
223,2021-01-04,55042.0,Ready to Drink
224,2021-01-05,29258.0,Ready to Drink
225,2021-01-06,29258.0,Ready to Drink
226,2021-01-07,36648.0,Ready to Drink
227,2021-01-08,36648.0,Ready to Drink
228,2021-01-09,36648.0,Ready to Drink
229,2021-01-10,36648.0,Ready to Drink
230,2021-01-11,36648.0,Ready to Drink
231,2021-01-12,36648.0,Ready to Drink
232,2021-01-13,36648.0,Ready to Drink
233,2021-01-14,24425.0,Ready to Drink
234,2021-01-15,24425.0,Ready to Drink
235,2021-01-16,24425.0,Ready to Drink
236,2021-01-17,24425.0,Ready to Drink
237,2021-01-18,24425.0,Ready to Drink
238,2021-01-19,24425.0,Ready to Drink
239,2021-01-20,24425.0,Ready to Drink
240,2021-01-21,33459.0,Ready to Drink
241,2021-01-22,40045.0,Ready to Drink
242,2021-01-23,40045.0,Ready to Drink
243,2021-01-24,40045.0,Ready to Drink
244,2021-01-25,32415.0,Ready to Drink
245,2021-01-26,32415.0,Ready to Drink
246,2021-01-27,32415.0,Ready to Drink
247,2021-01-28,32415.0,Ready to Drink
248,2021-01-29,32415.0,Ready to Drink
249,2021-01-30,32415.0,Ready to Drink
250,2021-01-31,32415.0,Ready to Drink
251,2021-02-01,45299.0,Ready to Drink
252,2021-02-02,45299.0,Ready to Drink
253,2021-02-03,45299.0,Ready to Drink
254,2021-02-04,45299.0,Ready to Drink
255,2021-02-05,46040.0,Ready to Drink
256,2021-02-06,46040.0,Ready to Drink
257,2021-02-07,46040.0,Ready to Drink
258,2021-02-08,46040.0,Ready to Drink
259,2021-02-09,32851.0,Ready to Drink
260,2021-02-10,32851.0,Ready to Drink
261,2021-02-11,32936.0,Ready to Drink
262,2021-02-12,35749.0,Ready to Drink
263,2021-02-13,35749.0,Ready to Drink
264,2021-02-14,35678.0,Ready to Drink
265,2021-02-15,35678.0,Ready to Drink
266,2021-02-16,35678.0,Ready to Drink
267,2021-02-17,35678.0,Ready to Drink
268,2021-02-18,27118.0,Ready to Drink
269,2021-02-19,29282.0,Ready to Drink
270,2021-02-20,35162.0,Ready to Drink
271,2021-02-21,40439.0,Ready to Drink
272,2021-02-22,40439.0,Ready to Drink
273,2021-02-23,40439.0,Ready to Drink
274,2021-02-24,36278.0,Ready to Drink
275,2021-02-25,36278.0,Ready to Drink
276,2021-02-26,29272.0,Ready to Drink
277,2021-02-27,29272.0,Ready to Drink
278,2021-02-28,29272.0,Ready to Drink
279,2021-03-01,32231.0,Ready to Drink
280,2021-03-02,32231.0,Ready to Drink
281,2021-03-03,32231.0,Ready to Drink
282,2021-03-04,24116.0,Ready to Drink
283,2021-03-05,24116.0,Ready to Drink
284,2021-03-06,24116.0,Ready to Drink
285,2021-03-07,24116.0,Ready to Drink
286,2021-03-08,24116.0,Ready to Drink
287,2021-03-09,30030.0,Ready to Drink
288,2021-03-10,30030.0,Ready to Drink
289,2021-03-11,30030.0,Ready to Drink
290,2021-03-12,28964.0,Ready to Drink
291,2021-03-13,28964.0,Ready to Drink
292,2021-03-14,28964.0,Ready to Drink
293,2021-03-15,32937.0,Ready to Drink
294,2021-03-16,32937.0,Ready to Drink
295,2021-03-17,25374.0,Ready to Drink
296,2021-03-18,30131.0,Ready to Drink
297,2021-03-19,30131.0,Ready to Drink
298,2021-03-20,30131.0,Ready to Drink
299,2021-03-21,30131.0,Ready to Drink
300,2021-03-22,37089.0,Ready to Drink
301,2021-03-23,29113.0,Ready to Drink
302,2021-03-24,22314.0,Ready to Drink
303,2021-03-25,22314.0,Ready to Drink
304,2021-03-26,23766.0,Ready to Drink
305,2021-03-27,23766.0,Ready to Drink
306,2021-03-28,27363.0,Ready to Drink
307,2021-03-29,27363.0,Ready to Drink
308,2021-03-30,27363.0,Ready to Drink
309,2021-03-31,27363.0,Ready to Drink
310,2021-04-01,30408.0,Ready to Drink
311,2021-04-02,30408.0,Ready to Drink
312,2021-04-03,30408.0,Ready to Drink
313,2021-04-04,24209.0,Ready to Drink
314,2021-04-05,24209.0,Ready to Drink
315,2021-04-06,24209.0,Ready to Drink
316,2021-04-07,28909.0,Ready to Drink
317,2021-04-08,34205.0,Ready to Drink
318,2021-04-09,34205.0,Ready to Drink
319,2021-04-10,34205.0,Ready to Drink
320,2021-04-11,27981.0,Ready to Drink
321,2021-04-12,25703.0,Ready to Drink
322,2021-04-13,25703.0,Ready to Drink
323,2021-04-14,25703.0,Ready to Drink
324,2021-04-15,17964.0,Ready to Drink
325,2021-04-16,17964.0,Ready to Drink
326,2021-04-17,17964.0,Ready to Drink
327,2021-04-18,26919.0,Ready to Drink
328,2021-04-19,26919.0,Ready to Drink
329,2021-04-20,26919.0,Ready to Drink
330,2021-04-21,19317.0,Ready to Drink
331,2021-04-22,19317.0,Ready to Drink
332,2021-04-23,23558.0,Ready to Drink
333,2021-04-24,23558.0,Ready to Drink
334,2021-04-25,23558.0,Ready to Drink
335,2021-04-26,23854.0,Ready to Drink
336,2021-04-27,33328.0,Ready to Drink
337,2021-04-28,33328.0,Ready to Drink
338,2021-04-29,33328.0,Ready to Drink
339,2021-04-30,21577.0,Ready to Drink
340,2021-05-01,21577.0,Ready to Drink
341,2021-05-02,24045.0,Ready to Drink
342,2021-05-03,24045.0,Ready to Drink
343,2021-05-04,24206.0,Ready to Drink
344,2021-05-05,24206.0,Ready to Drink
345,2021-05-06,26013.0,Ready to Drink
346,2021-05-07,30182.0,Ready to Drink
347,2021-05-08,30182.0,Ready to Drink
348,2021-05-09,30182.0,Ready to Drink
349,2021-05-10,27191.0,Ready to Drink
350,2021-05-11,27191.0,Ready to Drink
351,2021-05-12,27191.0,Ready to Drink
352,2021-05-13,27191.0,Ready to Drink
353,2021-05-14,27644.0,Ready to Drink
354,2021-05-15,27644.0,Ready to Drink
355,2021-05-16,29139.0,Ready to Drink
356,2021-05-17,29139.0,Ready to Drink
357,2021-05-18,29139.0,Ready to Drink
358,2021-05-19,31219.0,Ready to Drink
359,2021-05-20,22374.0,Ready to Drink
360,2021-05-21,23569.0,Ready to Drink
361,2021-05-22,23569.0,Ready to Drink
362,2021-05-23,24930.0,Ready to Drink
363,2021-05-24,24930.0,Ready to Drink
364,2021-05-25,26649.0,Ready to Drink
365,2021-05-26,26967.0,Ready to Drink
366,2021-05-27,26967.0,Ready to Drink
367,2021-05-28,24149.0,Ready to Drink
368,2021-05-29,24149.0,Ready to Drink
369,2021-05-30,24149.0,Ready to Drink
370,2021-05-31,25173.0,Ready to Drink
371,2021-06-01,25173.0,Ready to Drink
372,2021-06-02,23878.0,Ready to Drink
373,2021-06-03,23878.0,Ready to Drink
374,2021-06-04,23878.0,Ready to Drink
375,2021-06-05,22148.0,Ready to Drink
376,2021-06-06,22148.0,Ready to Drink
377,2021-06-07,22148.0,Ready to Drink
378,2021-06-08,20360.0,Ready to Drink
379,2021-06-09,26163.0,Ready to Drink
380,2021-06-10,26163.0,Ready to Drink
381,2021-06-11,26163.0,Ready to Drink
382,2021-06-12,25127.0,Ready to Drink
383,2021-06-13,25127.0,Ready to Drink
384,2021-06-14,25712.0,Ready to Drink
385,2021-06-15,25712.0,Ready to Drink
386,2021-06-16,25712.0,Ready to Drink
387,2021-06-17,29412.0,Ready to Drink
388,2021-06-18,29412.0,Ready to Drink
389,2021-06-19,29412.0,Ready to Drink
390,2021-06-20,29412.0,Ready to Drink
391,2021-06-21,25620.0,Ready to Drink
392,2021-06-22,22763.0,Ready to Drink
393,2021-06-23,22763.0,Ready to Drink
394,2021-06-24,22763.0,Ready to Drink
395,2021-06-25,23306.0,Ready to Drink
396,2021-06-26,23306.0,Ready to Drink
397,2021-06-27,23306.0,Ready to Drink
398,2021-06-28,28413.0,Ready to Drink
399,2021-06-29,28413.0,Ready to Drink
400,2021-06-30,32705.0,Ready to Drink
401,2021-07-01,32705.0,Ready to Drink
402,2021-07-02,32705.0,Ready to Drink
403,2021-07-03,32705.0,Ready to Drink
404,2021-07-04,32705.0,Ready to Drink
405,2021-07-05,26077.0,Ready to Drink
406,2021-07-06,26077.0,Ready to Drink
407,2021-07-07,24374.0,Ready to Drink
408,2021-07-08,24374.0,Ready to Drink
409,2021-07-09,24374.0,Ready to Drink
410,2021-07-10,24949.0,Ready to Drink
