,date,value,name_B0714R5SXN
195,2020-12-14,10269.0,Copy & Multipurpose Paper
196,2020-12-15,18392.0,Copy & Multipurpose Paper
197,2020-12-16,18392.0,Copy & Multipurpose Paper
198,2020-12-17,14401.0,Copy & Multipurpose Paper
199,2020-12-18,14401.0,Copy & Multipurpose Paper
200,2020-12-19,14401.0,Copy & Multipurpose Paper
201,2020-12-20,14401.0,Copy & Multipurpose Paper
202,2020-12-21,14401.0,Copy & Multipurpose Paper
203,2020-12-22,13466.0,Copy & Multipurpose Paper
204,2020-12-23,13466.0,Copy & Multipurpose Paper
205,2020-12-24,10811.0,Copy & Multipurpose Paper
206,2020-12-25,10811.0,Copy & Multipurpose Paper
207,2020-12-26,14968.0,Copy & Multipurpose Paper
208,2020-12-27,14968.0,Copy & Multipurpose Paper
209,2020-12-28,14968.0,Copy & Multipurpose Paper
210,2020-12-29,9054.0,Copy & Multipurpose Paper
211,2020-12-30,9054.0,Copy & Multipurpose Paper
212,2020-12-31,9054.0,Copy & Multipurpose Paper
213,2021-01-01,9868.0,Copy & Multipurpose Paper
214,2021-01-02,9868.0,Copy & Multipurpose Paper
215,2021-01-03,9868.0,Copy & Multipurpose Paper
216,2021-01-04,9868.0,Copy & Multipurpose Paper
217,2021-01-05,9868.0,Copy & Multipurpose Paper
218,2021-01-06,7823.0,Copy & Multipurpose Paper
219,2021-01-07,7823.0,Copy & Multipurpose Paper
220,2021-01-08,7823.0,Copy & Multipurpose Paper
221,2021-01-09,11400.0,Copy & Multipurpose Paper
222,2021-01-10,11400.0,Copy & Multipurpose Paper
223,2021-01-11,11951.0,Copy & Multipurpose Paper
224,2021-01-12,11951.0,Copy & Multipurpose Paper
225,2021-01-13,11951.0,Copy & Multipurpose Paper
226,2021-01-14,11951.0,Copy & Multipurpose Paper
227,2021-01-15,9547.0,Copy & Multipurpose Paper
228,2021-01-16,9547.0,Copy & Multipurpose Paper
229,2021-01-17,9547.0,Copy & Multipurpose Paper
230,2021-01-18,9547.0,Copy & Multipurpose Paper
231,2021-01-19,11615.0,Copy & Multipurpose Paper
