,date,value,name_B08LP8VG8F
59,2021-03-12,362752.0,Mattress Protectors
60,2021-03-13,362752.0,Mattress Protectors
61,2021-03-14,439059.0,Mattress Protectors
62,2021-03-15,439059.0,Mattress Protectors
63,2021-03-16,439059.0,Mattress Protectors
64,2021-03-17,439059.0,Mattress Protectors
65,2021-03-18,439059.0,Mattress Protectors
66,2021-03-19,439059.0,Mattress Protectors
67,2021-03-20,707063.0,Mattress Protectors
68,2021-03-21,707063.0,Mattress Protectors
69,2021-03-22,707063.0,Mattress Protectors
70,2021-03-23,707063.0,Mattress Protectors
71,2021-03-24,233152.0,Mattress Protectors
72,2021-03-25,107968.0,Mattress Protectors
73,2021-03-26,57547.0,Mattress Protectors
74,2021-03-27,33993.0,Mattress Protectors
75,2021-03-28,33993.0,Mattress Protectors
76,2021-03-29,26684.0,Mattress Protectors
77,2021-03-30,28444.0,Mattress Protectors
78,2021-03-31,17045.0,Mattress Protectors
79,2021-04-01,20920.0,Mattress Protectors
80,2021-04-02,24393.0,Mattress Protectors
81,2021-04-03,18871.0,Mattress Protectors
82,2021-04-04,18871.0,Mattress Protectors
83,2021-04-05,17318.0,Mattress Protectors
84,2021-04-06,13166.0,Mattress Protectors
85,2021-04-07,16797.0,Mattress Protectors
86,2021-04-08,17343.0,Mattress Protectors
87,2021-04-09,17736.0,Mattress Protectors
88,2021-04-10,14834.0,Mattress Protectors
89,2021-04-11,18791.0,Mattress Protectors
90,2021-04-12,13164.0,Mattress Protectors
91,2021-04-13,11738.0,Mattress Protectors
92,2021-04-14,11411.0,Mattress Protectors
93,2021-04-15,11928.0,Mattress Protectors
94,2021-04-16,11928.0,Mattress Protectors
95,2021-04-17,12748.0,Mattress Protectors
96,2021-04-18,12748.0,Mattress Protectors
97,2021-04-19,11162.0,Mattress Protectors
98,2021-04-20,11687.0,Mattress Protectors
99,2021-04-21,11687.0,Mattress Protectors
100,2021-04-22,11860.0,Mattress Protectors
101,2021-04-23,14257.0,Mattress Protectors
102,2021-04-24,14257.0,Mattress Protectors
103,2021-04-25,12268.0,Mattress Protectors
104,2021-04-26,12268.0,Mattress Protectors
105,2021-04-27,12281.0,Mattress Protectors
106,2021-04-28,24595.0,Mattress Protectors
107,2021-04-29,19582.0,Mattress Protectors
108,2021-04-30,25436.0,Mattress Protectors
109,2021-05-01,27745.0,Mattress Protectors
110,2021-05-02,25611.0,Mattress Protectors
111,2021-05-03,22343.0,Mattress Protectors
112,2021-05-04,15874.0,Mattress Protectors
113,2021-05-05,16876.0,Mattress Protectors
114,2021-05-06,14640.0,Mattress Protectors
115,2021-05-07,17104.0,Mattress Protectors
116,2021-05-08,12748.0,Mattress Protectors
117,2021-05-09,12748.0,Mattress Protectors
118,2021-05-10,8496.0,Mattress Protectors
119,2021-05-11,7370.0,Mattress Protectors
120,2021-05-12,6780.0,Mattress Protectors
121,2021-05-13,8053.0,Mattress Protectors
122,2021-05-14,7507.0,Mattress Protectors
123,2021-05-15,7420.0,Mattress Protectors
124,2021-05-16,7420.0,Mattress Protectors
125,2021-05-17,7962.0,Mattress Protectors
126,2021-05-18,3764.0,Mattress Protectors
127,2021-05-19,6429.0,Mattress Protectors
128,2021-05-20,6167.0,Mattress Protectors
129,2021-05-21,6656.0,Mattress Protectors
130,2021-05-22,5949.0,Mattress Protectors
131,2021-05-23,6626.0,Mattress Protectors
132,2021-05-24,8419.0,Mattress Protectors
133,2021-05-25,6867.0,Mattress Protectors
134,2021-05-26,6189.0,Mattress Protectors
135,2021-05-27,7844.0,Mattress Protectors
136,2021-05-28,7774.0,Mattress Protectors
137,2021-05-29,9213.0,Mattress Protectors
138,2021-05-30,9213.0,Mattress Protectors
139,2021-05-31,13947.0,Mattress Protectors
140,2021-06-01,11508.0,Mattress Protectors
141,2021-06-02,11593.0,Mattress Protectors
142,2021-06-03,9799.0,Mattress Protectors
143,2021-06-04,11633.0,Mattress Protectors
144,2021-06-05,10068.0,Mattress Protectors
145,2021-06-06,10088.0,Mattress Protectors
146,2021-06-07,13898.0,Mattress Protectors
147,2021-06-08,12379.0,Mattress Protectors
148,2021-06-09,9498.0,Mattress Protectors
149,2021-06-10,9024.0,Mattress Protectors
150,2021-06-11,10619.0,Mattress Protectors
151,2021-06-12,10171.0,Mattress Protectors
152,2021-06-13,10171.0,Mattress Protectors
153,2021-06-14,13736.0,Mattress Protectors
154,2021-06-15,7219.0,Mattress Protectors
155,2021-06-16,8535.0,Mattress Protectors
156,2021-06-17,10148.0,Mattress Protectors
157,2021-06-18,10336.0,Mattress Protectors
158,2021-06-19,10587.0,Mattress Protectors
159,2021-06-20,10587.0,Mattress Protectors
160,2021-06-21,8871.0,Mattress Protectors
161,2021-06-22,4445.0,Mattress Protectors
162,2021-06-23,3661.0,Mattress Protectors
163,2021-06-24,4588.0,Mattress Protectors
164,2021-06-25,4933.0,Mattress Protectors
165,2021-06-26,5033.0,Mattress Protectors
166,2021-06-27,4847.0,Mattress Protectors
167,2021-06-28,6351.0,Mattress Protectors
168,2021-06-29,8591.0,Mattress Protectors
169,2021-06-30,8037.0,Mattress Protectors
170,2021-07-01,7029.0,Mattress Protectors
171,2021-07-02,7282.0,Mattress Protectors
172,2021-07-03,7571.0,Mattress Protectors
173,2021-07-04,6030.0,Mattress Protectors
174,2021-07-05,8197.0,Mattress Protectors
175,2021-07-06,9750.0,Mattress Protectors
176,2021-07-07,9750.0,Mattress Protectors
177,2021-07-08,13112.0,Mattress Protectors
178,2021-07-09,11537.0,Mattress Protectors
179,2021-07-10,11997.0,Mattress Protectors
