,date,value,name_B087LZD4NC
121,2020-09-02,49791.0,Bird Seed
122,2020-09-03,49791.0,Bird Seed
123,2020-09-04,45751.0,Bird Seed
124,2020-09-05,45751.0,Bird Seed
125,2020-09-06,45751.0,Bird Seed
126,2020-09-07,30255.0,Bird Seed
127,2020-09-08,51452.0,Bird Seed
128,2020-09-09,38974.0,Bird Seed
129,2020-09-10,38974.0,Bird Seed
130,2020-09-11,38974.0,Bird Seed
131,2020-09-12,17635.0,Bird Seed
132,2020-09-13,17721.0,Bird Seed
133,2020-09-14,29226.0,Bird Seed
134,2020-09-15,29226.0,Bird Seed
135,2020-09-16,29226.0,Bird Seed
136,2020-09-17,28735.0,Bird Seed
137,2020-09-18,29960.0,Bird Seed
138,2020-09-19,29960.0,Bird Seed
139,2020-09-20,41275.0,Bird Seed
140,2020-09-21,35837.0,Bird Seed
141,2020-09-22,35837.0,Bird Seed
142,2020-09-23,21316.0,Bird Seed
143,2020-09-24,21316.0,Bird Seed
144,2020-09-25,11945.0,Bird Seed
145,2020-09-26,12599.0,Bird Seed
146,2020-09-27,12393.0,Bird Seed
147,2020-09-28,12393.0,Bird Seed
148,2020-09-29,12393.0,Bird Seed
149,2020-09-30,12917.0,Bird Seed
150,2020-10-01,12917.0,Bird Seed
151,2020-10-02,12917.0,Bird Seed
152,2020-10-03,26392.0,Bird Seed
153,2020-10-04,26392.0,Bird Seed
154,2020-10-05,26392.0,Bird Seed
155,2020-10-06,26392.0,Bird Seed
156,2020-10-07,12601.0,Bird Seed
157,2020-10-08,12601.0,Bird Seed
158,2020-10-09,12601.0,Bird Seed
159,2020-10-10,12601.0,Bird Seed
160,2020-10-11,12601.0,Bird Seed
161,2020-10-12,4413.0,Bird Seed
162,2020-10-13,4413.0,Bird Seed
163,2020-10-14,4413.0,Bird Seed
164,2020-10-15,8891.0,Bird Seed
165,2020-10-16,8891.0,Bird Seed
166,2020-10-17,7628.0,Bird Seed
167,2020-10-18,7628.0,Bird Seed
168,2020-10-19,7628.0,Bird Seed
169,2020-10-20,4046.0,Bird Seed
170,2020-10-21,4019.0,Bird Seed
171,2020-10-22,4019.0,Bird Seed
172,2020-10-23,4019.0,Bird Seed
173,2020-10-24,3802.0,Bird Seed
174,2020-10-25,3802.0,Bird Seed
175,2020-10-26,3802.0,Bird Seed
176,2020-10-27,2954.0,Bird Seed
177,2020-10-28,2911.0,Bird Seed
178,2020-10-29,2911.0,Bird Seed
179,2020-10-30,3835.0,Bird Seed
180,2020-10-31,3835.0,Bird Seed
181,2020-11-01,3835.0,Bird Seed
182,2020-11-02,4205.0,Bird Seed
183,2020-11-03,4252.0,Bird Seed
184,2020-11-04,3833.0,Bird Seed
185,2020-11-05,3833.0,Bird Seed
186,2020-11-06,5775.0,Bird Seed
187,2020-11-07,6303.0,Bird Seed
188,2020-11-08,6303.0,Bird Seed
189,2020-11-09,6303.0,Bird Seed
190,2020-11-10,6818.0,Bird Seed
191,2020-11-11,6893.0,Bird Seed
192,2020-11-12,6893.0,Bird Seed
193,2020-11-13,6893.0,Bird Seed
194,2020-11-14,4751.0,Bird Seed
195,2020-11-15,4751.0,Bird Seed
196,2020-11-16,4751.0,Bird Seed
197,2020-11-17,4871.0,Bird Seed
198,2020-11-18,5178.0,Bird Seed
199,2020-11-19,4638.0,Bird Seed
200,2020-11-20,6705.0,Bird Seed
201,2020-11-21,6705.0,Bird Seed
202,2020-11-22,6705.0,Bird Seed
203,2020-11-23,2945.0,Bird Seed
204,2020-11-24,2921.0,Bird Seed
205,2020-11-25,3023.0,Bird Seed
206,2020-11-26,3023.0,Bird Seed
207,2020-11-27,2146.0,Bird Seed
208,2020-11-28,2146.0,Bird Seed
209,2020-11-29,2146.0,Bird Seed
210,2020-11-30,3909.0,Bird Seed
211,2020-12-01,3909.0,Bird Seed
212,2020-12-02,3033.0,Bird Seed
213,2020-12-03,3033.0,Bird Seed
214,2020-12-04,2422.0,Bird Seed
215,2020-12-05,2422.0,Bird Seed
216,2020-12-06,2422.0,Bird Seed
217,2020-12-07,1812.0,Bird Seed
218,2020-12-08,1812.0,Bird Seed
219,2020-12-09,1812.0,Bird Seed
220,2020-12-10,1955.0,Bird Seed
221,2020-12-11,1955.0,Bird Seed
222,2020-12-12,1955.0,Bird Seed
223,2020-12-13,2101.0,Bird Seed
224,2020-12-14,2557.0,Bird Seed
225,2020-12-15,2557.0,Bird Seed
226,2020-12-16,1619.0,Bird Seed
227,2020-12-17,1619.0,Bird Seed
228,2020-12-18,1685.0,Bird Seed
229,2020-12-19,1685.0,Bird Seed
230,2020-12-20,1417.0,Bird Seed
231,2020-12-21,1417.0,Bird Seed
232,2020-12-22,1417.0,Bird Seed
233,2020-12-23,1464.0,Bird Seed
234,2020-12-24,1464.0,Bird Seed
235,2020-12-25,1464.0,Bird Seed
236,2020-12-26,1483.0,Bird Seed
237,2020-12-27,1483.0,Bird Seed
238,2020-12-28,900.0,Bird Seed
239,2020-12-29,900.0,Bird Seed
240,2020-12-30,827.0,Bird Seed
241,2020-12-31,731.0,Bird Seed
242,2021-01-01,731.0,Bird Seed
243,2021-01-02,908.0,Bird Seed
244,2021-01-03,908.0,Bird Seed
245,2021-01-04,744.0,Bird Seed
246,2021-01-05,744.0,Bird Seed
247,2021-01-06,654.0,Bird Seed
248,2021-01-07,780.0,Bird Seed
249,2021-01-08,842.0,Bird Seed
250,2021-01-09,651.0,Bird Seed
251,2021-01-10,792.0,Bird Seed
252,2021-01-11,661.0,Bird Seed
253,2021-01-12,810.0,Bird Seed
254,2021-01-13,838.0,Bird Seed
255,2021-01-14,921.0,Bird Seed
256,2021-01-15,921.0,Bird Seed
257,2021-01-16,921.0,Bird Seed
258,2021-01-17,876.0,Bird Seed
259,2021-01-18,876.0,Bird Seed
260,2021-01-19,956.0,Bird Seed
261,2021-01-20,956.0,Bird Seed
262,2021-01-21,840.0,Bird Seed
263,2021-01-22,835.0,Bird Seed
264,2021-01-23,848.0,Bird Seed
265,2021-01-24,848.0,Bird Seed
266,2021-01-25,790.0,Bird Seed
267,2021-01-26,790.0,Bird Seed
268,2021-01-27,790.0,Bird Seed
269,2021-01-28,782.0,Bird Seed
270,2021-01-29,782.0,Bird Seed
271,2021-01-30,1030.0,Bird Seed
272,2021-01-31,1030.0,Bird Seed
273,2021-02-01,1030.0,Bird Seed
274,2021-02-02,1480.0,Bird Seed
275,2021-02-03,1856.0,Bird Seed
276,2021-02-04,1856.0,Bird Seed
277,2021-02-05,1245.0,Bird Seed
278,2021-02-06,1245.0,Bird Seed
279,2021-02-07,1245.0,Bird Seed
280,2021-02-08,745.0,Bird Seed
281,2021-02-09,818.0,Bird Seed
282,2021-02-10,785.0,Bird Seed
283,2021-02-11,561.0,Bird Seed
284,2021-02-12,709.0,Bird Seed
285,2021-02-13,568.0,Bird Seed
286,2021-02-14,446.0,Bird Seed
287,2021-02-15,470.0,Bird Seed
288,2021-02-16,506.0,Bird Seed
289,2021-02-17,469.0,Bird Seed
290,2021-02-18,469.0,Bird Seed
291,2021-02-19,326.0,Bird Seed
292,2021-02-20,326.0,Bird Seed
293,2021-02-21,305.0,Bird Seed
294,2021-02-22,305.0,Bird Seed
295,2021-02-23,508.0,Bird Seed
296,2021-02-24,508.0,Bird Seed
297,2021-02-25,508.0,Bird Seed
298,2021-02-26,628.0,Bird Seed
299,2021-02-27,850.0,Bird Seed
300,2021-02-28,850.0,Bird Seed
301,2021-03-01,837.0,Bird Seed
302,2021-03-02,1005.0,Bird Seed
303,2021-03-03,1005.0,Bird Seed
304,2021-03-04,821.0,Bird Seed
305,2021-03-05,664.0,Bird Seed
306,2021-03-06,814.0,Bird Seed
307,2021-03-07,814.0,Bird Seed
308,2021-03-08,814.0,Bird Seed
309,2021-03-09,855.0,Bird Seed
310,2021-03-10,855.0,Bird Seed
311,2021-03-11,855.0,Bird Seed
312,2021-03-12,1233.0,Bird Seed
313,2021-03-13,1233.0,Bird Seed
314,2021-03-14,1337.0,Bird Seed
315,2021-03-15,1379.0,Bird Seed
316,2021-03-16,1265.0,Bird Seed
317,2021-03-17,1503.0,Bird Seed
318,2021-03-18,1418.0,Bird Seed
319,2021-03-19,1088.0,Bird Seed
320,2021-03-20,1088.0,Bird Seed
321,2021-03-21,1088.0,Bird Seed
322,2021-03-22,801.0,Bird Seed
323,2021-03-23,1364.0,Bird Seed
324,2021-03-24,1446.0,Bird Seed
325,2021-03-25,1446.0,Bird Seed
326,2021-03-26,925.0,Bird Seed
327,2021-03-27,925.0,Bird Seed
328,2021-03-28,925.0,Bird Seed
329,2021-03-29,980.0,Bird Seed
330,2021-03-30,1284.0,Bird Seed
331,2021-03-31,999.0,Bird Seed
332,2021-04-01,999.0,Bird Seed
333,2021-04-02,2431.0,Bird Seed
334,2021-04-03,2382.0,Bird Seed
335,2021-04-04,2548.0,Bird Seed
336,2021-04-05,2548.0,Bird Seed
337,2021-04-06,3706.0,Bird Seed
338,2021-04-07,2769.0,Bird Seed
339,2021-04-08,2769.0,Bird Seed
340,2021-04-09,3671.0,Bird Seed
341,2021-04-10,3671.0,Bird Seed
342,2021-04-11,2545.0,Bird Seed
343,2021-04-12,2545.0,Bird Seed
344,2021-04-13,2545.0,Bird Seed
345,2021-04-14,4202.0,Bird Seed
346,2021-04-15,4202.0,Bird Seed
347,2021-04-16,2126.0,Bird Seed
348,2021-04-17,2126.0,Bird Seed
349,2021-04-18,1735.0,Bird Seed
350,2021-04-19,1735.0,Bird Seed
351,2021-04-20,1850.0,Bird Seed
352,2021-04-21,1813.0,Bird Seed
353,2021-04-22,1813.0,Bird Seed
354,2021-04-23,1443.0,Bird Seed
355,2021-04-24,1738.0,Bird Seed
356,2021-04-25,1738.0,Bird Seed
357,2021-04-26,1705.0,Bird Seed
358,2021-04-27,1705.0,Bird Seed
359,2021-04-28,1987.0,Bird Seed
360,2021-04-29,1987.0,Bird Seed
361,2021-04-30,1746.0,Bird Seed
362,2021-05-01,1746.0,Bird Seed
363,2021-05-02,1816.0,Bird Seed
364,2021-05-03,1816.0,Bird Seed
365,2021-05-04,2279.0,Bird Seed
366,2021-05-05,2279.0,Bird Seed
367,2021-05-06,1840.0,Bird Seed
368,2021-05-07,1840.0,Bird Seed
369,2021-05-08,1744.0,Bird Seed
370,2021-05-09,1744.0,Bird Seed
371,2021-05-10,1345.0,Bird Seed
372,2021-05-11,1345.0,Bird Seed
373,2021-05-12,1345.0,Bird Seed
374,2021-05-13,1124.0,Bird Seed
375,2021-05-14,1451.0,Bird Seed
376,2021-05-15,1451.0,Bird Seed
377,2021-05-16,1780.0,Bird Seed
378,2021-05-17,1245.0,Bird Seed
379,2021-05-18,1245.0,Bird Seed
380,2021-05-19,1245.0,Bird Seed
381,2021-05-20,1759.0,Bird Seed
382,2021-05-21,1759.0,Bird Seed
383,2021-05-22,2495.0,Bird Seed
384,2021-05-23,2495.0,Bird Seed
385,2021-05-24,2434.0,Bird Seed
386,2021-05-25,2301.0,Bird Seed
387,2021-05-26,2301.0,Bird Seed
388,2021-05-27,2233.0,Bird Seed
389,2021-05-28,2233.0,Bird Seed
390,2021-05-29,2735.0,Bird Seed
391,2021-05-30,2735.0,Bird Seed
392,2021-05-31,2276.0,Bird Seed
393,2021-06-01,1993.0,Bird Seed
394,2021-06-02,2539.0,Bird Seed
395,2021-06-03,2539.0,Bird Seed
396,2021-06-04,2610.0,Bird Seed
397,2021-06-05,2660.0,Bird Seed
398,2021-06-06,2640.0,Bird Seed
399,2021-06-07,2640.0,Bird Seed
400,2021-06-08,3031.0,Bird Seed
401,2021-06-09,2387.0,Bird Seed
402,2021-06-10,2423.0,Bird Seed
403,2021-06-11,3028.0,Bird Seed
404,2021-06-12,3028.0,Bird Seed
405,2021-06-13,3028.0,Bird Seed
406,2021-06-14,2497.0,Bird Seed
407,2021-06-15,2497.0,Bird Seed
408,2021-06-16,2790.0,Bird Seed
409,2021-06-17,2790.0,Bird Seed
410,2021-06-18,3647.0,Bird Seed
411,2021-06-19,3647.0,Bird Seed
412,2021-06-20,3299.0,Bird Seed
413,2021-06-21,3675.0,Bird Seed
414,2021-06-22,3675.0,Bird Seed
415,2021-06-23,4803.0,Bird Seed
416,2021-06-24,4803.0,Bird Seed
417,2021-06-25,4803.0,Bird Seed
418,2021-06-26,2789.0,Bird Seed
419,2021-06-27,2789.0,Bird Seed
420,2021-06-28,3595.0,Bird Seed
421,2021-06-29,3595.0,Bird Seed
422,2021-06-30,3588.0,Bird Seed
423,2021-07-01,3588.0,Bird Seed
424,2021-07-02,2946.0,Bird Seed
425,2021-07-03,3493.0,Bird Seed
426,2021-07-04,2939.0,Bird Seed
427,2021-07-05,2939.0,Bird Seed
428,2021-07-06,2809.0,Bird Seed
429,2021-07-07,2440.0,Bird Seed
430,2021-07-08,3066.0,Bird Seed
431,2021-07-09,3066.0,Bird Seed
432,2021-07-10,1784.0,Bird Seed
433,2021-07-11,2282.0,Bird Seed
