,date,value,name_B08D9HDGXQ
68,2020-10-05,1695133.0,Home & Kitchen Features
69,2020-10-06,1695133.0,Home & Kitchen Features
70,2020-10-07,1695133.0,Home & Kitchen Features
71,2020-10-08,1695133.0,Home & Kitchen Features
72,2020-10-09,1695133.0,Home & Kitchen Features
73,2020-10-10,1695133.0,Home & Kitchen Features
74,2020-10-11,1695133.0,Home & Kitchen Features
75,2020-10-12,1695133.0,Home & Kitchen Features
76,2020-10-13,1695133.0,Home & Kitchen Features
77,2020-10-14,1695133.0,Home & Kitchen Features
78,2020-10-15,1695133.0,Home & Kitchen Features
79,2020-10-16,1695133.0,Home & Kitchen Features
80,2020-10-17,1695133.0,Home & Kitchen Features
81,2020-10-18,1695133.0,Home & Kitchen Features
82,2020-10-19,1695133.0,Home & Kitchen Features
83,2020-10-20,1695133.0,Home & Kitchen Features
84,2020-10-21,1695133.0,Home & Kitchen Features
85,2020-10-22,230880.0,Home & Kitchen Features
86,2020-10-23,230880.0,Home & Kitchen Features
87,2020-10-24,230880.0,Home & Kitchen Features
88,2020-10-25,230880.0,Home & Kitchen Features
89,2020-10-26,230880.0,Home & Kitchen Features
90,2020-10-27,238469.0,Home & Kitchen Features
91,2020-10-28,238469.0,Home & Kitchen Features
92,2020-10-29,238469.0,Home & Kitchen Features
93,2020-10-30,238469.0,Home & Kitchen Features
94,2020-10-31,238469.0,Home & Kitchen Features
95,2020-11-01,238469.0,Home & Kitchen Features
96,2020-11-02,238469.0,Home & Kitchen Features
97,2020-11-03,238469.0,Home & Kitchen Features
98,2020-11-04,461061.0,Home & Kitchen Features
99,2020-11-05,461061.0,Home & Kitchen Features
100,2020-11-06,461061.0,Home & Kitchen Features
101,2020-11-07,461061.0,Home & Kitchen Features
102,2020-11-08,461061.0,Home & Kitchen Features
103,2020-11-09,461061.0,Home & Kitchen Features
104,2020-11-10,461061.0,Home & Kitchen Features
105,2020-11-11,207122.0,Home & Kitchen Features
106,2020-11-12,207122.0,Home & Kitchen Features
107,2020-11-13,207122.0,Home & Kitchen Features
108,2020-11-14,207122.0,Home & Kitchen Features
109,2020-11-15,207122.0,Home & Kitchen Features
110,2020-11-16,299042.0,Home & Kitchen Features
111,2020-11-17,299042.0,Home & Kitchen Features
112,2020-11-18,299042.0,Home & Kitchen Features
113,2020-11-19,238353.0,Home & Kitchen Features
114,2020-11-20,316720.0,Home & Kitchen Features
115,2020-11-21,321914.0,Home & Kitchen Features
116,2020-11-22,321914.0,Home & Kitchen Features
117,2020-11-23,321914.0,Home & Kitchen Features
118,2020-11-24,321914.0,Home & Kitchen Features
119,2020-11-25,321914.0,Home & Kitchen Features
120,2020-11-26,321914.0,Home & Kitchen Features
121,2020-11-27,258852.0,Home & Kitchen Features
122,2020-11-28,258852.0,Home & Kitchen Features
123,2020-11-29,258852.0,Home & Kitchen Features
124,2020-11-30,258852.0,Home & Kitchen Features
125,2020-12-01,258852.0,Home & Kitchen Features
126,2020-12-02,258852.0,Home & Kitchen Features
127,2020-12-03,258852.0,Home & Kitchen Features
128,2020-12-04,258852.0,Home & Kitchen Features
129,2020-12-05,258852.0,Home & Kitchen Features
130,2020-12-06,258852.0,Home & Kitchen Features
131,2020-12-07,258852.0,Home & Kitchen Features
132,2020-12-08,258852.0,Home & Kitchen Features
133,2020-12-09,258852.0,Home & Kitchen Features
134,2020-12-10,258852.0,Home & Kitchen Features
135,2020-12-11,388819.0,Home & Kitchen Features
136,2020-12-12,388819.0,Home & Kitchen Features
137,2020-12-13,388819.0,Home & Kitchen Features
138,2020-12-14,388819.0,Home & Kitchen Features
139,2020-12-15,388819.0,Home & Kitchen Features
140,2020-12-16,388819.0,Home & Kitchen Features
