,date,value,name_B07VLDL855
90,2020-08-26,6462.0,Seat Covers
91,2020-08-27,6462.0,Seat Covers
92,2020-08-28,6462.0,Seat Covers
93,2020-08-29,6462.0,Seat Covers
94,2020-08-30,6462.0,Seat Covers
95,2020-08-31,5852.0,Seat Covers
96,2020-09-01,5852.0,Seat Covers
97,2020-09-02,5852.0,Seat Covers
98,2020-09-03,6569.0,Seat Covers
99,2020-09-04,6569.0,Seat Covers
100,2020-09-05,7382.0,Seat Covers
101,2020-09-06,7382.0,Seat Covers
102,2020-09-07,7382.0,Seat Covers
103,2020-09-08,7382.0,Seat Covers
104,2020-09-09,6917.0,Seat Covers
105,2020-09-10,6917.0,Seat Covers
106,2020-09-11,6917.0,Seat Covers
107,2020-09-12,7871.0,Seat Covers
108,2020-09-13,7871.0,Seat Covers
109,2020-09-14,7871.0,Seat Covers
110,2020-09-15,7871.0,Seat Covers
111,2020-09-16,10822.0,Seat Covers
112,2020-09-17,10822.0,Seat Covers
113,2020-09-18,10822.0,Seat Covers
114,2020-09-19,9952.0,Seat Covers
115,2020-09-20,15404.0,Seat Covers
116,2020-09-21,15404.0,Seat Covers
117,2020-09-22,15404.0,Seat Covers
118,2020-09-23,15404.0,Seat Covers
119,2020-09-24,9773.0,Seat Covers
120,2020-09-25,9773.0,Seat Covers
121,2020-09-26,9773.0,Seat Covers
122,2020-09-27,21662.0,Seat Covers
123,2020-09-28,21662.0,Seat Covers
124,2020-09-29,18653.0,Seat Covers
125,2020-09-30,18653.0,Seat Covers
126,2020-10-01,9906.0,Seat Covers
127,2020-10-02,9906.0,Seat Covers
128,2020-10-03,9906.0,Seat Covers
129,2020-10-04,7180.0,Seat Covers
130,2020-10-05,7180.0,Seat Covers
131,2020-10-06,7180.0,Seat Covers
132,2020-10-07,7180.0,Seat Covers
133,2020-10-08,9087.0,Seat Covers
134,2020-10-09,9087.0,Seat Covers
135,2020-10-10,9087.0,Seat Covers
136,2020-10-11,6467.0,Seat Covers
137,2020-10-12,6467.0,Seat Covers
138,2020-10-13,6467.0,Seat Covers
139,2020-10-14,6873.0,Seat Covers
140,2020-10-15,6873.0,Seat Covers
141,2020-10-16,6873.0,Seat Covers
142,2020-10-17,6873.0,Seat Covers
143,2020-10-18,6873.0,Seat Covers
144,2020-10-19,6873.0,Seat Covers
145,2020-10-20,7655.0,Seat Covers
146,2020-10-21,7655.0,Seat Covers
147,2020-10-22,25992.0,Seat Covers
148,2020-10-23,25992.0,Seat Covers
149,2020-10-24,25992.0,Seat Covers
150,2020-10-25,25992.0,Seat Covers
151,2020-10-26,42998.0,Seat Covers
152,2020-10-27,42998.0,Seat Covers
153,2020-10-28,42998.0,Seat Covers
154,2020-10-29,42998.0,Seat Covers
155,2020-10-30,42998.0,Seat Covers
156,2020-10-31,42998.0,Seat Covers
157,2020-11-01,7684.0,Seat Covers
158,2020-11-02,7204.0,Seat Covers
159,2020-11-03,7204.0,Seat Covers
160,2020-11-04,7204.0,Seat Covers
161,2020-11-05,8781.0,Seat Covers
162,2020-11-06,8781.0,Seat Covers
163,2020-11-07,8781.0,Seat Covers
164,2020-11-08,8781.0,Seat Covers
165,2020-11-09,5468.0,Seat Covers
166,2020-11-10,7040.0,Seat Covers
167,2020-11-11,7040.0,Seat Covers
168,2020-11-12,7656.0,Seat Covers
169,2020-11-13,7656.0,Seat Covers
170,2020-11-14,7656.0,Seat Covers
171,2020-11-15,7656.0,Seat Covers
172,2020-11-16,7656.0,Seat Covers
173,2020-11-17,7295.0,Seat Covers
174,2020-11-18,7295.0,Seat Covers
175,2020-11-19,7295.0,Seat Covers
176,2020-11-20,7295.0,Seat Covers
177,2020-11-21,7295.0,Seat Covers
178,2020-11-22,7295.0,Seat Covers
179,2020-11-23,10453.0,Seat Covers
180,2020-11-24,10453.0,Seat Covers
181,2020-11-25,10453.0,Seat Covers
182,2020-11-26,10453.0,Seat Covers
183,2020-11-27,10453.0,Seat Covers
184,2020-11-28,10453.0,Seat Covers
185,2020-11-29,10453.0,Seat Covers
186,2020-11-30,10453.0,Seat Covers
187,2020-12-01,10453.0,Seat Covers
188,2020-12-02,6891.0,Seat Covers
189,2020-12-03,6891.0,Seat Covers
190,2020-12-04,8141.0,Seat Covers
191,2020-12-05,8141.0,Seat Covers
192,2020-12-06,8141.0,Seat Covers
193,2020-12-07,8141.0,Seat Covers
194,2020-12-08,7670.0,Seat Covers
195,2020-12-09,7670.0,Seat Covers
196,2020-12-10,7952.0,Seat Covers
197,2020-12-11,6662.0,Seat Covers
198,2020-12-12,6662.0,Seat Covers
199,2020-12-13,6662.0,Seat Covers
200,2020-12-14,6442.0,Seat Covers
201,2020-12-15,6442.0,Seat Covers
202,2020-12-16,6442.0,Seat Covers
203,2020-12-17,6778.0,Seat Covers
204,2020-12-18,6778.0,Seat Covers
205,2020-12-19,6778.0,Seat Covers
206,2020-12-20,6778.0,Seat Covers
207,2020-12-21,6778.0,Seat Covers
208,2020-12-22,9104.0,Seat Covers
209,2020-12-23,9104.0,Seat Covers
210,2020-12-24,9104.0,Seat Covers
211,2020-12-25,6023.0,Seat Covers
212,2020-12-26,6023.0,Seat Covers
213,2020-12-27,6023.0,Seat Covers
214,2020-12-28,5446.0,Seat Covers
215,2020-12-29,5446.0,Seat Covers
216,2020-12-30,5446.0,Seat Covers
217,2020-12-31,7941.0,Seat Covers
218,2021-01-01,7941.0,Seat Covers
219,2021-01-02,7941.0,Seat Covers
220,2021-01-03,7941.0,Seat Covers
221,2021-01-04,6840.0,Seat Covers
222,2021-01-05,6840.0,Seat Covers
223,2021-01-06,6840.0,Seat Covers
224,2021-01-07,6840.0,Seat Covers
225,2021-01-08,6840.0,Seat Covers
226,2021-01-09,6840.0,Seat Covers
227,2021-01-10,6672.0,Seat Covers
228,2021-01-11,6672.0,Seat Covers
229,2021-01-12,6672.0,Seat Covers
230,2021-01-13,6672.0,Seat Covers
231,2021-01-14,6672.0,Seat Covers
232,2021-01-15,6672.0,Seat Covers
233,2021-01-16,6672.0,Seat Covers
234,2021-01-17,6672.0,Seat Covers
235,2021-01-18,5662.0,Seat Covers
236,2021-01-19,6106.0,Seat Covers
237,2021-01-20,6106.0,Seat Covers
238,2021-01-21,6106.0,Seat Covers
239,2021-01-22,5514.0,Seat Covers
240,2021-01-23,5514.0,Seat Covers
241,2021-01-24,4984.0,Seat Covers
242,2021-01-25,4560.0,Seat Covers
243,2021-01-26,4560.0,Seat Covers
244,2021-01-27,4560.0,Seat Covers
245,2021-01-28,4560.0,Seat Covers
246,2021-01-29,4560.0,Seat Covers
247,2021-01-30,4560.0,Seat Covers
248,2021-01-31,4560.0,Seat Covers
249,2021-02-01,5637.0,Seat Covers
250,2021-02-02,5500.0,Seat Covers
251,2021-02-03,5500.0,Seat Covers
252,2021-02-04,5500.0,Seat Covers
253,2021-02-05,5500.0,Seat Covers
254,2021-02-06,6321.0,Seat Covers
255,2021-02-07,6321.0,Seat Covers
256,2021-02-08,6321.0,Seat Covers
257,2021-02-09,6321.0,Seat Covers
258,2021-02-10,7989.0,Seat Covers
259,2021-02-11,7989.0,Seat Covers
260,2021-02-12,7989.0,Seat Covers
261,2021-02-13,7989.0,Seat Covers
262,2021-02-14,7989.0,Seat Covers
263,2021-02-15,7989.0,Seat Covers
264,2021-02-16,8219.0,Seat Covers
265,2021-02-17,8219.0,Seat Covers
266,2021-02-18,8219.0,Seat Covers
267,2021-02-19,8369.0,Seat Covers
268,2021-02-20,8369.0,Seat Covers
269,2021-02-21,8369.0,Seat Covers
270,2021-02-22,5315.0,Seat Covers
271,2021-02-23,4982.0,Seat Covers
272,2021-02-24,4982.0,Seat Covers
273,2021-02-25,4982.0,Seat Covers
274,2021-02-26,4982.0,Seat Covers
275,2021-02-27,4982.0,Seat Covers
276,2021-02-28,4982.0,Seat Covers
277,2021-03-01,4677.0,Seat Covers
278,2021-03-02,4677.0,Seat Covers
279,2021-03-03,4133.0,Seat Covers
280,2021-03-04,4133.0,Seat Covers
281,2021-03-05,4133.0,Seat Covers
282,2021-03-06,4752.0,Seat Covers
283,2021-03-07,4784.0,Seat Covers
284,2021-03-08,4784.0,Seat Covers
285,2021-03-09,5986.0,Seat Covers
286,2021-03-10,5986.0,Seat Covers
287,2021-03-11,5986.0,Seat Covers
288,2021-03-12,5986.0,Seat Covers
289,2021-03-13,5986.0,Seat Covers
290,2021-03-14,5986.0,Seat Covers
291,2021-03-15,5986.0,Seat Covers
292,2021-03-16,6150.0,Seat Covers
293,2021-03-17,6150.0,Seat Covers
294,2021-03-18,6150.0,Seat Covers
295,2021-03-19,7133.0,Seat Covers
296,2021-03-20,7133.0,Seat Covers
297,2021-03-21,7133.0,Seat Covers
298,2021-03-22,7133.0,Seat Covers
299,2021-03-23,7133.0,Seat Covers
300,2021-03-24,4535.0,Seat Covers
301,2021-03-25,4535.0,Seat Covers
302,2021-03-26,4535.0,Seat Covers
303,2021-03-27,5524.0,Seat Covers
304,2021-03-28,4664.0,Seat Covers
305,2021-03-29,4085.0,Seat Covers
306,2021-03-30,4085.0,Seat Covers
307,2021-03-31,4085.0,Seat Covers
308,2021-04-01,5096.0,Seat Covers
309,2021-04-02,5096.0,Seat Covers
310,2021-04-03,5096.0,Seat Covers
311,2021-04-04,4344.0,Seat Covers
312,2021-04-05,5685.0,Seat Covers
313,2021-04-06,5685.0,Seat Covers
314,2021-04-07,5685.0,Seat Covers
315,2021-04-08,5685.0,Seat Covers
316,2021-04-09,4220.0,Seat Covers
317,2021-04-10,3096.0,Seat Covers
318,2021-04-11,3096.0,Seat Covers
319,2021-04-12,3502.0,Seat Covers
320,2021-04-13,3502.0,Seat Covers
321,2021-04-14,3502.0,Seat Covers
322,2021-04-15,4320.0,Seat Covers
323,2021-04-16,4320.0,Seat Covers
324,2021-04-17,4871.0,Seat Covers
325,2021-04-18,4871.0,Seat Covers
326,2021-04-19,3828.0,Seat Covers
327,2021-04-20,3828.0,Seat Covers
328,2021-04-21,3830.0,Seat Covers
329,2021-04-22,4442.0,Seat Covers
330,2021-04-23,4442.0,Seat Covers
331,2021-04-24,4442.0,Seat Covers
332,2021-04-25,4442.0,Seat Covers
333,2021-04-26,4442.0,Seat Covers
334,2021-04-27,4442.0,Seat Covers
335,2021-04-28,4872.0,Seat Covers
336,2021-04-29,4872.0,Seat Covers
337,2021-04-30,4624.0,Seat Covers
338,2021-05-01,4624.0,Seat Covers
339,2021-05-02,4624.0,Seat Covers
340,2021-05-03,4159.0,Seat Covers
341,2021-05-04,4527.0,Seat Covers
342,2021-05-05,4527.0,Seat Covers
343,2021-05-06,4517.0,Seat Covers
344,2021-05-07,4517.0,Seat Covers
345,2021-05-08,5096.0,Seat Covers
346,2021-05-09,5096.0,Seat Covers
347,2021-05-10,5096.0,Seat Covers
348,2021-05-11,4476.0,Seat Covers
349,2021-05-12,4476.0,Seat Covers
350,2021-05-13,6212.0,Seat Covers
351,2021-05-14,6212.0,Seat Covers
352,2021-05-15,6212.0,Seat Covers
353,2021-05-16,6212.0,Seat Covers
354,2021-05-17,5210.0,Seat Covers
355,2021-05-18,5581.0,Seat Covers
356,2021-05-19,5581.0,Seat Covers
357,2021-05-20,4619.0,Seat Covers
358,2021-05-21,4619.0,Seat Covers
359,2021-05-22,4619.0,Seat Covers
360,2021-05-23,5019.0,Seat Covers
361,2021-05-24,4398.0,Seat Covers
362,2021-05-25,4398.0,Seat Covers
363,2021-05-26,5709.0,Seat Covers
364,2021-05-27,5709.0,Seat Covers
365,2021-05-28,4789.0,Seat Covers
366,2021-05-29,4789.0,Seat Covers
367,2021-05-30,4789.0,Seat Covers
368,2021-05-31,5140.0,Seat Covers
369,2021-06-01,5140.0,Seat Covers
370,2021-06-02,4210.0,Seat Covers
371,2021-06-03,3844.0,Seat Covers
372,2021-06-04,4840.0,Seat Covers
373,2021-06-05,4556.0,Seat Covers
374,2021-06-06,4556.0,Seat Covers
375,2021-06-07,4556.0,Seat Covers
376,2021-06-08,4867.0,Seat Covers
377,2021-06-09,4867.0,Seat Covers
378,2021-06-10,4701.0,Seat Covers
379,2021-06-11,4701.0,Seat Covers
380,2021-06-12,4701.0,Seat Covers
381,2021-06-13,4064.0,Seat Covers
382,2021-06-14,4064.0,Seat Covers
383,2021-06-15,4726.0,Seat Covers
384,2021-06-16,4726.0,Seat Covers
385,2021-06-17,4726.0,Seat Covers
386,2021-06-18,4594.0,Seat Covers
387,2021-06-19,4594.0,Seat Covers
388,2021-06-20,4518.0,Seat Covers
389,2021-06-21,4518.0,Seat Covers
390,2021-06-22,4518.0,Seat Covers
391,2021-06-23,4944.0,Seat Covers
392,2021-06-24,4944.0,Seat Covers
393,2021-06-25,4944.0,Seat Covers
394,2021-06-26,4944.0,Seat Covers
395,2021-06-27,4335.0,Seat Covers
396,2021-06-28,4725.0,Seat Covers
397,2021-06-29,4725.0,Seat Covers
398,2021-06-30,4725.0,Seat Covers
399,2021-07-01,3372.0,Seat Covers
400,2021-07-02,3372.0,Seat Covers
401,2021-07-03,4010.0,Seat Covers
402,2021-07-04,4010.0,Seat Covers
403,2021-07-05,4010.0,Seat Covers
404,2021-07-06,4259.0,Seat Covers
405,2021-07-07,4259.0,Seat Covers
406,2021-07-08,4408.0,Seat Covers
407,2021-07-09,4408.0,Seat Covers
408,2021-07-10,4408.0,Seat Covers
409,2021-07-11,3990.0,Seat Covers
