,date,value,name_B08KPQYNJ8
84,2020-12-30,39676.0,All-Purpose Cleaners
85,2020-12-31,39676.0,All-Purpose Cleaners
86,2021-01-01,40987.0,All-Purpose Cleaners
87,2021-01-02,40987.0,All-Purpose Cleaners
88,2021-01-03,40987.0,All-Purpose Cleaners
89,2021-01-04,36378.0,All-Purpose Cleaners
90,2021-01-05,36378.0,All-Purpose Cleaners
91,2021-01-06,36378.0,All-Purpose Cleaners
92,2021-01-07,35804.0,All-Purpose Cleaners
93,2021-01-08,35804.0,All-Purpose Cleaners
94,2021-01-09,35804.0,All-Purpose Cleaners
95,2021-01-10,35804.0,All-Purpose Cleaners
96,2021-01-11,26948.0,All-Purpose Cleaners
97,2021-01-12,26948.0,All-Purpose Cleaners
98,2021-01-13,26948.0,All-Purpose Cleaners
99,2021-01-14,26948.0,All-Purpose Cleaners
100,2021-01-15,16021.0,All-Purpose Cleaners
101,2021-01-16,16021.0,All-Purpose Cleaners
102,2021-01-17,21221.0,All-Purpose Cleaners
103,2021-01-18,19151.0,All-Purpose Cleaners
104,2021-01-19,19151.0,All-Purpose Cleaners
105,2021-01-20,16274.0,All-Purpose Cleaners
106,2021-01-21,19163.0,All-Purpose Cleaners
107,2021-01-22,19163.0,All-Purpose Cleaners
108,2021-01-23,19163.0,All-Purpose Cleaners
109,2021-01-24,22588.0,All-Purpose Cleaners
110,2021-01-25,22588.0,All-Purpose Cleaners
111,2021-01-26,21633.0,All-Purpose Cleaners
112,2021-01-27,21633.0,All-Purpose Cleaners
113,2021-01-28,21633.0,All-Purpose Cleaners
114,2021-01-29,23186.0,All-Purpose Cleaners
115,2021-01-30,23186.0,All-Purpose Cleaners
116,2021-01-31,23186.0,All-Purpose Cleaners
117,2021-02-01,23186.0,All-Purpose Cleaners
118,2021-02-02,20252.0,All-Purpose Cleaners
119,2021-02-03,20252.0,All-Purpose Cleaners
120,2021-02-04,25440.0,All-Purpose Cleaners
121,2021-02-05,25440.0,All-Purpose Cleaners
122,2021-02-06,25440.0,All-Purpose Cleaners
123,2021-02-07,25440.0,All-Purpose Cleaners
124,2021-02-08,19235.0,All-Purpose Cleaners
125,2021-02-09,19235.0,All-Purpose Cleaners
126,2021-02-10,19235.0,All-Purpose Cleaners
127,2021-02-11,19235.0,All-Purpose Cleaners
128,2021-02-12,22725.0,All-Purpose Cleaners
129,2021-02-13,22725.0,All-Purpose Cleaners
130,2021-02-14,22725.0,All-Purpose Cleaners
131,2021-02-15,22725.0,All-Purpose Cleaners
132,2021-02-16,18015.0,All-Purpose Cleaners
133,2021-02-17,18015.0,All-Purpose Cleaners
134,2021-02-18,19042.0,All-Purpose Cleaners
135,2021-02-19,20166.0,All-Purpose Cleaners
136,2021-02-20,21847.0,All-Purpose Cleaners
137,2021-02-21,21847.0,All-Purpose Cleaners
138,2021-02-22,21847.0,All-Purpose Cleaners
139,2021-02-23,15203.0,All-Purpose Cleaners
140,2021-02-24,15203.0,All-Purpose Cleaners
141,2021-02-25,15203.0,All-Purpose Cleaners
142,2021-02-26,13701.0,All-Purpose Cleaners
143,2021-02-27,13701.0,All-Purpose Cleaners
144,2021-02-28,13701.0,All-Purpose Cleaners
145,2021-03-01,13701.0,All-Purpose Cleaners
146,2021-03-02,13701.0,All-Purpose Cleaners
147,2021-03-03,13701.0,All-Purpose Cleaners
148,2021-03-04,13168.0,All-Purpose Cleaners
149,2021-03-05,14826.0,All-Purpose Cleaners
150,2021-03-06,14826.0,All-Purpose Cleaners
151,2021-03-07,12723.0,All-Purpose Cleaners
152,2021-03-08,12723.0,All-Purpose Cleaners
153,2021-03-09,12723.0,All-Purpose Cleaners
154,2021-03-10,12723.0,All-Purpose Cleaners
155,2021-03-11,10271.0,All-Purpose Cleaners
156,2021-03-12,10271.0,All-Purpose Cleaners
157,2021-03-13,10271.0,All-Purpose Cleaners
158,2021-03-14,10271.0,All-Purpose Cleaners
159,2021-03-15,10271.0,All-Purpose Cleaners
160,2021-03-16,9355.0,All-Purpose Cleaners
161,2021-03-17,9355.0,All-Purpose Cleaners
162,2021-03-18,7708.0,All-Purpose Cleaners
163,2021-03-19,7708.0,All-Purpose Cleaners
164,2021-03-20,7708.0,All-Purpose Cleaners
165,2021-03-21,7708.0,All-Purpose Cleaners
166,2021-03-22,7708.0,All-Purpose Cleaners
167,2021-03-23,6991.0,All-Purpose Cleaners
168,2021-03-24,6991.0,All-Purpose Cleaners
169,2021-03-25,7209.0,All-Purpose Cleaners
170,2021-03-26,7209.0,All-Purpose Cleaners
171,2021-03-27,7209.0,All-Purpose Cleaners
172,2021-03-28,7209.0,All-Purpose Cleaners
173,2021-03-29,6357.0,All-Purpose Cleaners
174,2021-03-30,6357.0,All-Purpose Cleaners
175,2021-03-31,6357.0,All-Purpose Cleaners
176,2021-04-01,7427.0,All-Purpose Cleaners
177,2021-04-02,7427.0,All-Purpose Cleaners
178,2021-04-03,7427.0,All-Purpose Cleaners
179,2021-04-04,5015.0,All-Purpose Cleaners
180,2021-04-05,5015.0,All-Purpose Cleaners
181,2021-04-06,5015.0,All-Purpose Cleaners
182,2021-04-07,4091.0,All-Purpose Cleaners
183,2021-04-08,4091.0,All-Purpose Cleaners
184,2021-04-09,5146.0,All-Purpose Cleaners
185,2021-04-10,14587.0,All-Purpose Cleaners
186,2021-04-11,14587.0,All-Purpose Cleaners
187,2021-04-12,14587.0,All-Purpose Cleaners
188,2021-04-13,15947.0,All-Purpose Cleaners
189,2021-04-14,15947.0,All-Purpose Cleaners
190,2021-04-15,15947.0,All-Purpose Cleaners
191,2021-04-16,16688.0,All-Purpose Cleaners
192,2021-04-17,16688.0,All-Purpose Cleaners
193,2021-04-18,16688.0,All-Purpose Cleaners
194,2021-04-19,19008.0,All-Purpose Cleaners
195,2021-04-20,19008.0,All-Purpose Cleaners
196,2021-04-21,8601.0,All-Purpose Cleaners
197,2021-04-22,8601.0,All-Purpose Cleaners
198,2021-04-23,9609.0,All-Purpose Cleaners
199,2021-04-24,9609.0,All-Purpose Cleaners
200,2021-04-25,9609.0,All-Purpose Cleaners
201,2021-04-26,9658.0,All-Purpose Cleaners
202,2021-04-27,8545.0,All-Purpose Cleaners
203,2021-04-28,8545.0,All-Purpose Cleaners
204,2021-04-29,8545.0,All-Purpose Cleaners
205,2021-04-30,8649.0,All-Purpose Cleaners
206,2021-05-01,8649.0,All-Purpose Cleaners
207,2021-05-02,8649.0,All-Purpose Cleaners
208,2021-05-03,5259.0,All-Purpose Cleaners
209,2021-05-04,5259.0,All-Purpose Cleaners
210,2021-05-05,4575.0,All-Purpose Cleaners
211,2021-05-06,4575.0,All-Purpose Cleaners
212,2021-05-07,3786.0,All-Purpose Cleaners
213,2021-05-08,3786.0,All-Purpose Cleaners
214,2021-05-09,4086.0,All-Purpose Cleaners
215,2021-05-10,4086.0,All-Purpose Cleaners
216,2021-05-11,4086.0,All-Purpose Cleaners
217,2021-05-12,5879.0,All-Purpose Cleaners
218,2021-05-13,5879.0,All-Purpose Cleaners
219,2021-05-14,5025.0,All-Purpose Cleaners
220,2021-05-15,5255.0,All-Purpose Cleaners
221,2021-05-16,5255.0,All-Purpose Cleaners
222,2021-05-17,5255.0,All-Purpose Cleaners
223,2021-05-18,8372.0,All-Purpose Cleaners
224,2021-05-19,8372.0,All-Purpose Cleaners
225,2021-05-20,7020.0,All-Purpose Cleaners
226,2021-05-21,4851.0,All-Purpose Cleaners
227,2021-05-22,4851.0,All-Purpose Cleaners
228,2021-05-23,9302.0,All-Purpose Cleaners
229,2021-05-24,10447.0,All-Purpose Cleaners
230,2021-05-25,10447.0,All-Purpose Cleaners
231,2021-05-26,10890.0,All-Purpose Cleaners
232,2021-05-27,6441.0,All-Purpose Cleaners
233,2021-05-28,6441.0,All-Purpose Cleaners
234,2021-05-29,6746.0,All-Purpose Cleaners
235,2021-05-30,6746.0,All-Purpose Cleaners
236,2021-05-31,6746.0,All-Purpose Cleaners
237,2021-06-01,5973.0,All-Purpose Cleaners
238,2021-06-02,5973.0,All-Purpose Cleaners
239,2021-06-03,5578.0,All-Purpose Cleaners
240,2021-06-04,5578.0,All-Purpose Cleaners
241,2021-06-05,5578.0,All-Purpose Cleaners
242,2021-06-06,5578.0,All-Purpose Cleaners
243,2021-06-07,5547.0,All-Purpose Cleaners
244,2021-06-08,5547.0,All-Purpose Cleaners
245,2021-06-09,5378.0,All-Purpose Cleaners
246,2021-06-10,5378.0,All-Purpose Cleaners
247,2021-06-11,5845.0,All-Purpose Cleaners
248,2021-06-12,5845.0,All-Purpose Cleaners
249,2021-06-13,5845.0,All-Purpose Cleaners
250,2021-06-14,5177.0,All-Purpose Cleaners
251,2021-06-15,5177.0,All-Purpose Cleaners
252,2021-06-16,5388.0,All-Purpose Cleaners
253,2021-06-17,5388.0,All-Purpose Cleaners
254,2021-06-18,5388.0,All-Purpose Cleaners
255,2021-06-19,5041.0,All-Purpose Cleaners
256,2021-06-20,5041.0,All-Purpose Cleaners
257,2021-06-21,5507.0,All-Purpose Cleaners
258,2021-06-22,9010.0,All-Purpose Cleaners
259,2021-06-23,9010.0,All-Purpose Cleaners
260,2021-06-24,9010.0,All-Purpose Cleaners
261,2021-06-25,5743.0,All-Purpose Cleaners
262,2021-06-26,5743.0,All-Purpose Cleaners
263,2021-06-27,5743.0,All-Purpose Cleaners
264,2021-06-28,5929.0,All-Purpose Cleaners
265,2021-06-29,5929.0,All-Purpose Cleaners
266,2021-06-30,6867.0,All-Purpose Cleaners
267,2021-07-01,6867.0,All-Purpose Cleaners
268,2021-07-02,6145.0,All-Purpose Cleaners
269,2021-07-03,6145.0,All-Purpose Cleaners
270,2021-07-04,5576.0,All-Purpose Cleaners
271,2021-07-05,5576.0,All-Purpose Cleaners
272,2021-07-06,5277.0,All-Purpose Cleaners
273,2021-07-07,5277.0,All-Purpose Cleaners
274,2021-07-08,5277.0,All-Purpose Cleaners
275,2021-07-09,8229.0,All-Purpose Cleaners
276,2021-07-10,7638.0,All-Purpose Cleaners
