,date,value,name_B08GFJWLTX
131,2021-03-04,6607.0,Decorative Pillows
132,2021-03-05,6607.0,Decorative Pillows
133,2021-03-06,4182.0,Decorative Pillows
134,2021-03-07,4182.0,Decorative Pillows
135,2021-03-08,4182.0,Decorative Pillows
136,2021-03-09,4182.0,Decorative Pillows
137,2021-03-10,6406.0,Decorative Pillows
138,2021-03-11,6406.0,Decorative Pillows
139,2021-03-12,4540.0,Decorative Pillows
140,2021-03-13,4540.0,Decorative Pillows
141,2021-03-14,4540.0,Decorative Pillows
142,2021-03-15,5003.0,Decorative Pillows
143,2021-03-16,5003.0,Decorative Pillows
144,2021-03-17,5003.0,Decorative Pillows
145,2021-03-18,5983.0,Decorative Pillows
146,2021-03-19,5983.0,Decorative Pillows
147,2021-03-20,5983.0,Decorative Pillows
148,2021-03-21,5696.0,Decorative Pillows
149,2021-03-22,4901.0,Decorative Pillows
150,2021-03-23,5186.0,Decorative Pillows
151,2021-03-24,5186.0,Decorative Pillows
152,2021-03-25,5186.0,Decorative Pillows
153,2021-03-26,7652.0,Decorative Pillows
154,2021-03-27,7652.0,Decorative Pillows
155,2021-03-28,7652.0,Decorative Pillows
156,2021-03-29,7993.0,Decorative Pillows
157,2021-03-30,7993.0,Decorative Pillows
158,2021-03-31,7739.0,Decorative Pillows
159,2021-04-01,7739.0,Decorative Pillows
160,2021-04-02,7739.0,Decorative Pillows
161,2021-04-03,7739.0,Decorative Pillows
162,2021-04-04,10195.0,Decorative Pillows
163,2021-04-05,10195.0,Decorative Pillows
164,2021-04-06,10195.0,Decorative Pillows
165,2021-04-07,10195.0,Decorative Pillows
166,2021-04-08,10195.0,Decorative Pillows
167,2021-04-09,10920.0,Decorative Pillows
168,2021-04-10,10920.0,Decorative Pillows
169,2021-04-11,10920.0,Decorative Pillows
170,2021-04-12,10920.0,Decorative Pillows
171,2021-04-13,10038.0,Decorative Pillows
172,2021-04-14,12143.0,Decorative Pillows
173,2021-04-15,15346.0,Decorative Pillows
174,2021-04-16,15346.0,Decorative Pillows
175,2021-04-17,15346.0,Decorative Pillows
176,2021-04-18,15346.0,Decorative Pillows
177,2021-04-19,15346.0,Decorative Pillows
178,2021-04-20,15346.0,Decorative Pillows
179,2021-04-21,30395.0,Decorative Pillows
180,2021-04-22,30395.0,Decorative Pillows
181,2021-04-23,30038.0,Decorative Pillows
182,2021-04-24,30038.0,Decorative Pillows
183,2021-04-25,30038.0,Decorative Pillows
184,2021-04-26,30038.0,Decorative Pillows
185,2021-04-27,26538.0,Decorative Pillows
186,2021-04-28,26538.0,Decorative Pillows
187,2021-04-29,26538.0,Decorative Pillows
188,2021-04-30,30052.0,Decorative Pillows
189,2021-05-01,30052.0,Decorative Pillows
190,2021-05-02,30052.0,Decorative Pillows
191,2021-05-03,61475.0,Decorative Pillows
192,2021-05-04,46725.0,Decorative Pillows
193,2021-05-05,46725.0,Decorative Pillows
194,2021-05-06,46725.0,Decorative Pillows
195,2021-05-07,78467.0,Decorative Pillows
196,2021-05-08,78467.0,Decorative Pillows
197,2021-05-09,78467.0,Decorative Pillows
198,2021-05-10,53776.0,Decorative Pillows
199,2021-05-11,53776.0,Decorative Pillows
200,2021-05-12,53776.0,Decorative Pillows
201,2021-05-13,53776.0,Decorative Pillows
202,2021-05-14,58607.0,Decorative Pillows
203,2021-05-15,58607.0,Decorative Pillows
204,2021-05-16,58607.0,Decorative Pillows
205,2021-05-17,58607.0,Decorative Pillows
206,2021-05-18,25403.0,Decorative Pillows
207,2021-05-19,25403.0,Decorative Pillows
208,2021-05-20,19575.0,Decorative Pillows
209,2021-05-21,19575.0,Decorative Pillows
210,2021-05-22,19575.0,Decorative Pillows
211,2021-05-23,19575.0,Decorative Pillows
212,2021-05-24,19575.0,Decorative Pillows
213,2021-05-25,19575.0,Decorative Pillows
214,2021-05-26,19575.0,Decorative Pillows
215,2021-05-27,19575.0,Decorative Pillows
216,2021-05-28,30824.0,Decorative Pillows
217,2021-05-29,30824.0,Decorative Pillows
218,2021-05-30,30824.0,Decorative Pillows
219,2021-05-31,30824.0,Decorative Pillows
220,2021-06-01,29002.0,Decorative Pillows
221,2021-06-02,29002.0,Decorative Pillows
222,2021-06-03,14532.0,Decorative Pillows
223,2021-06-04,13074.0,Decorative Pillows
224,2021-06-05,13076.0,Decorative Pillows
225,2021-06-06,9892.0,Decorative Pillows
226,2021-06-07,9892.0,Decorative Pillows
227,2021-06-08,9892.0,Decorative Pillows
228,2021-06-09,10729.0,Decorative Pillows
229,2021-06-10,10729.0,Decorative Pillows
230,2021-06-11,9477.0,Decorative Pillows
231,2021-06-12,9477.0,Decorative Pillows
232,2021-06-13,10985.0,Decorative Pillows
233,2021-06-14,10985.0,Decorative Pillows
234,2021-06-15,10985.0,Decorative Pillows
235,2021-06-16,7589.0,Decorative Pillows
236,2021-06-17,7589.0,Decorative Pillows
237,2021-06-18,7589.0,Decorative Pillows
238,2021-06-19,6314.0,Decorative Pillows
239,2021-06-20,6375.0,Decorative Pillows
240,2021-06-21,6375.0,Decorative Pillows
241,2021-06-22,6375.0,Decorative Pillows
242,2021-06-23,6375.0,Decorative Pillows
243,2021-06-24,5519.0,Decorative Pillows
244,2021-06-25,5519.0,Decorative Pillows
245,2021-06-26,5040.0,Decorative Pillows
246,2021-06-27,5040.0,Decorative Pillows
247,2021-06-28,7560.0,Decorative Pillows
248,2021-06-29,7560.0,Decorative Pillows
249,2021-06-30,6349.0,Decorative Pillows
250,2021-07-01,6349.0,Decorative Pillows
251,2021-07-02,4577.0,Decorative Pillows
252,2021-07-03,4577.0,Decorative Pillows
253,2021-07-04,4577.0,Decorative Pillows
254,2021-07-05,6789.0,Decorative Pillows
255,2021-07-06,6789.0,Decorative Pillows
256,2021-07-07,7278.0,Decorative Pillows
257,2021-07-08,7278.0,Decorative Pillows
258,2021-07-09,7936.0,Decorative Pillows
259,2021-07-10,7936.0,Decorative Pillows
260,2021-07-11,9397.0,Decorative Pillows
