,date,value,name_B08KF2XD2B
81,2020-12-24,5691.0,Lines & Spools
82,2020-12-25,7287.0,Lines & Spools
83,2020-12-26,8196.0,Lines & Spools
84,2020-12-27,8465.0,Lines & Spools
85,2020-12-28,7711.0,Lines & Spools
86,2020-12-29,8018.0,Lines & Spools
87,2020-12-30,8078.0,Lines & Spools
88,2020-12-31,7468.0,Lines & Spools
89,2021-01-01,7430.0,Lines & Spools
90,2021-01-02,6060.0,Lines & Spools
91,2021-01-03,7216.0,Lines & Spools
92,2021-01-04,6946.0,Lines & Spools
93,2021-01-05,6182.0,Lines & Spools
94,2021-01-06,4919.0,Lines & Spools
95,2021-01-07,5752.0,Lines & Spools
96,2021-01-08,6727.0,Lines & Spools
97,2021-01-09,7026.0,Lines & Spools
98,2021-01-10,7026.0,Lines & Spools
99,2021-01-11,7026.0,Lines & Spools
100,2021-01-12,4086.0,Lines & Spools
101,2021-01-13,7338.0,Lines & Spools
102,2021-01-14,7338.0,Lines & Spools
103,2021-01-15,7338.0,Lines & Spools
104,2021-01-16,7387.0,Lines & Spools
105,2021-01-17,7652.0,Lines & Spools
106,2021-01-18,7652.0,Lines & Spools
107,2021-01-19,8294.0,Lines & Spools
108,2021-01-20,9518.0,Lines & Spools
109,2021-01-21,9518.0,Lines & Spools
110,2021-01-22,9518.0,Lines & Spools
111,2021-01-23,9518.0,Lines & Spools
112,2021-01-24,9518.0,Lines & Spools
113,2021-01-25,11897.0,Lines & Spools
114,2021-01-26,11897.0,Lines & Spools
115,2021-01-27,11897.0,Lines & Spools
116,2021-01-28,4091.0,Lines & Spools
117,2021-01-29,4091.0,Lines & Spools
118,2021-01-30,4091.0,Lines & Spools
119,2021-01-31,11105.0,Lines & Spools
120,2021-02-01,11105.0,Lines & Spools
121,2021-02-02,11105.0,Lines & Spools
122,2021-02-03,4747.0,Lines & Spools
123,2021-02-04,4747.0,Lines & Spools
124,2021-02-05,4747.0,Lines & Spools
125,2021-02-06,4689.0,Lines & Spools
126,2021-02-07,4689.0,Lines & Spools
127,2021-02-08,4858.0,Lines & Spools
128,2021-02-09,4858.0,Lines & Spools
129,2021-02-10,4393.0,Lines & Spools
130,2021-02-11,4393.0,Lines & Spools
131,2021-02-12,4393.0,Lines & Spools
132,2021-02-13,6705.0,Lines & Spools
133,2021-02-14,6705.0,Lines & Spools
134,2021-02-15,5907.0,Lines & Spools
135,2021-02-16,5907.0,Lines & Spools
136,2021-02-17,5324.0,Lines & Spools
137,2021-02-18,5324.0,Lines & Spools
138,2021-02-19,5324.0,Lines & Spools
139,2021-02-20,5366.0,Lines & Spools
140,2021-02-21,5860.0,Lines & Spools
141,2021-02-22,5860.0,Lines & Spools
142,2021-02-23,4387.0,Lines & Spools
143,2021-02-24,4387.0,Lines & Spools
144,2021-02-25,4387.0,Lines & Spools
145,2021-02-26,5526.0,Lines & Spools
146,2021-02-27,5526.0,Lines & Spools
147,2021-02-28,5526.0,Lines & Spools
148,2021-03-01,6447.0,Lines & Spools
149,2021-03-02,6754.0,Lines & Spools
150,2021-03-03,6754.0,Lines & Spools
151,2021-03-04,4555.0,Lines & Spools
152,2021-03-05,4834.0,Lines & Spools
153,2021-03-06,4834.0,Lines & Spools
154,2021-03-07,6373.0,Lines & Spools
155,2021-03-08,6373.0,Lines & Spools
156,2021-03-09,3041.0,Lines & Spools
157,2021-03-10,3532.0,Lines & Spools
158,2021-03-11,3532.0,Lines & Spools
159,2021-03-12,5035.0,Lines & Spools
160,2021-03-13,5035.0,Lines & Spools
161,2021-03-14,4509.0,Lines & Spools
162,2021-03-15,4509.0,Lines & Spools
163,2021-03-16,4155.0,Lines & Spools
164,2021-03-17,4155.0,Lines & Spools
165,2021-03-18,4155.0,Lines & Spools
166,2021-03-19,2770.0,Lines & Spools
167,2021-03-20,2770.0,Lines & Spools
168,2021-03-21,2770.0,Lines & Spools
169,2021-03-22,2517.0,Lines & Spools
170,2021-03-23,2517.0,Lines & Spools
171,2021-03-24,2517.0,Lines & Spools
172,2021-03-25,1917.0,Lines & Spools
173,2021-03-26,3040.0,Lines & Spools
174,2021-03-27,3040.0,Lines & Spools
175,2021-03-28,2110.0,Lines & Spools
176,2021-03-29,2603.0,Lines & Spools
177,2021-03-30,1821.0,Lines & Spools
178,2021-03-31,1658.0,Lines & Spools
179,2021-04-01,1824.0,Lines & Spools
180,2021-04-02,1824.0,Lines & Spools
181,2021-04-03,1824.0,Lines & Spools
182,2021-04-04,1201.0,Lines & Spools
183,2021-04-05,1378.0,Lines & Spools
184,2021-04-06,1378.0,Lines & Spools
185,2021-04-07,1360.0,Lines & Spools
186,2021-04-08,1376.0,Lines & Spools
187,2021-04-09,1376.0,Lines & Spools
188,2021-04-10,1705.0,Lines & Spools
189,2021-04-11,1705.0,Lines & Spools
190,2021-04-12,1302.0,Lines & Spools
191,2021-04-13,1453.0,Lines & Spools
192,2021-04-14,1290.0,Lines & Spools
193,2021-04-15,1290.0,Lines & Spools
194,2021-04-16,1636.0,Lines & Spools
195,2021-04-17,1554.0,Lines & Spools
196,2021-04-18,1159.0,Lines & Spools
197,2021-04-19,1030.0,Lines & Spools
198,2021-04-20,1030.0,Lines & Spools
199,2021-04-21,916.0,Lines & Spools
200,2021-04-22,962.0,Lines & Spools
201,2021-04-23,776.0,Lines & Spools
202,2021-04-24,845.0,Lines & Spools
203,2021-04-25,845.0,Lines & Spools
204,2021-04-26,848.0,Lines & Spools
205,2021-04-27,864.0,Lines & Spools
206,2021-04-28,864.0,Lines & Spools
207,2021-04-29,866.0,Lines & Spools
208,2021-04-30,925.0,Lines & Spools
209,2021-05-01,925.0,Lines & Spools
210,2021-05-02,847.0,Lines & Spools
211,2021-05-03,847.0,Lines & Spools
212,2021-05-04,883.0,Lines & Spools
213,2021-05-05,879.0,Lines & Spools
214,2021-05-06,879.0,Lines & Spools
215,2021-05-07,677.0,Lines & Spools
216,2021-05-08,677.0,Lines & Spools
217,2021-05-09,872.0,Lines & Spools
218,2021-05-10,701.0,Lines & Spools
219,2021-05-11,701.0,Lines & Spools
220,2021-05-12,628.0,Lines & Spools
221,2021-05-13,628.0,Lines & Spools
222,2021-05-14,628.0,Lines & Spools
223,2021-05-15,634.0,Lines & Spools
224,2021-05-16,634.0,Lines & Spools
225,2021-05-17,593.0,Lines & Spools
226,2021-05-18,559.0,Lines & Spools
227,2021-05-19,559.0,Lines & Spools
228,2021-05-20,492.0,Lines & Spools
229,2021-05-21,497.0,Lines & Spools
230,2021-05-22,497.0,Lines & Spools
231,2021-05-23,635.0,Lines & Spools
232,2021-05-24,619.0,Lines & Spools
233,2021-05-25,754.0,Lines & Spools
234,2021-05-26,754.0,Lines & Spools
235,2021-05-27,896.0,Lines & Spools
236,2021-05-28,896.0,Lines & Spools
237,2021-05-29,896.0,Lines & Spools
238,2021-05-30,1226.0,Lines & Spools
239,2021-05-31,1226.0,Lines & Spools
240,2021-06-01,1124.0,Lines & Spools
241,2021-06-02,1124.0,Lines & Spools
242,2021-06-03,921.0,Lines & Spools
243,2021-06-04,1036.0,Lines & Spools
244,2021-06-05,1036.0,Lines & Spools
245,2021-06-06,1282.0,Lines & Spools
246,2021-06-07,1282.0,Lines & Spools
247,2021-06-08,1259.0,Lines & Spools
248,2021-06-09,1252.0,Lines & Spools
249,2021-06-10,1173.0,Lines & Spools
250,2021-06-11,973.0,Lines & Spools
251,2021-06-12,973.0,Lines & Spools
252,2021-06-13,911.0,Lines & Spools
253,2021-06-14,1025.0,Lines & Spools
254,2021-06-15,682.0,Lines & Spools
255,2021-06-16,682.0,Lines & Spools
256,2021-06-17,554.0,Lines & Spools
257,2021-06-18,554.0,Lines & Spools
258,2021-06-19,554.0,Lines & Spools
259,2021-06-20,489.0,Lines & Spools
260,2021-06-21,501.0,Lines & Spools
261,2021-06-22,501.0,Lines & Spools
262,2021-06-23,1035.0,Lines & Spools
263,2021-06-24,777.0,Lines & Spools
264,2021-06-25,777.0,Lines & Spools
265,2021-06-26,652.0,Lines & Spools
266,2021-06-27,652.0,Lines & Spools
267,2021-06-28,865.0,Lines & Spools
268,2021-06-29,899.0,Lines & Spools
269,2021-06-30,919.0,Lines & Spools
270,2021-07-01,919.0,Lines & Spools
271,2021-07-02,813.0,Lines & Spools
272,2021-07-03,820.0,Lines & Spools
273,2021-07-04,820.0,Lines & Spools
274,2021-07-05,820.0,Lines & Spools
275,2021-07-06,668.0,Lines & Spools
276,2021-07-07,631.0,Lines & Spools
277,2021-07-08,606.0,Lines & Spools
278,2021-07-09,572.0,Lines & Spools
279,2021-07-10,688.0,Lines & Spools
280,2021-07-11,600.0,Lines & Spools
