,date,value,name_B01M98YYA9
48,2020-07-13,5690.0,Vest Harnesses
49,2020-07-14,6524.0,Vest Harnesses
50,2020-07-15,6524.0,Vest Harnesses
51,2020-07-16,6524.0,Vest Harnesses
52,2020-07-17,6063.0,Vest Harnesses
53,2020-07-18,6063.0,Vest Harnesses
54,2020-07-19,6063.0,Vest Harnesses
55,2020-07-20,5344.0,Vest Harnesses
56,2020-07-21,5344.0,Vest Harnesses
57,2020-07-22,5344.0,Vest Harnesses
58,2020-07-23,5344.0,Vest Harnesses
59,2020-07-24,5344.0,Vest Harnesses
60,2020-07-25,6822.0,Vest Harnesses
61,2020-07-26,6822.0,Vest Harnesses
62,2020-07-27,6822.0,Vest Harnesses
63,2020-07-28,7148.0,Vest Harnesses
64,2020-07-29,7148.0,Vest Harnesses
65,2020-07-30,4918.0,Vest Harnesses
66,2020-07-31,5627.0,Vest Harnesses
67,2020-08-01,5479.0,Vest Harnesses
68,2020-08-02,5479.0,Vest Harnesses
69,2020-08-03,5479.0,Vest Harnesses
70,2020-08-04,5883.0,Vest Harnesses
71,2020-08-05,5883.0,Vest Harnesses
72,2020-08-06,5883.0,Vest Harnesses
73,2020-08-07,6220.0,Vest Harnesses
74,2020-08-08,6220.0,Vest Harnesses
75,2020-08-09,5930.0,Vest Harnesses
76,2020-08-10,5930.0,Vest Harnesses
77,2020-08-11,6768.0,Vest Harnesses
78,2020-08-12,6768.0,Vest Harnesses
79,2020-08-13,6768.0,Vest Harnesses
80,2020-08-14,6768.0,Vest Harnesses
81,2020-08-15,6768.0,Vest Harnesses
82,2020-08-16,6723.0,Vest Harnesses
83,2020-08-17,6723.0,Vest Harnesses
84,2020-08-18,6723.0,Vest Harnesses
85,2020-08-19,6723.0,Vest Harnesses
86,2020-08-20,6723.0,Vest Harnesses
87,2020-08-21,5889.0,Vest Harnesses
88,2020-08-22,5889.0,Vest Harnesses
89,2020-08-23,5889.0,Vest Harnesses
90,2020-08-24,5810.0,Vest Harnesses
91,2020-08-25,5810.0,Vest Harnesses
92,2020-08-26,6027.0,Vest Harnesses
93,2020-08-27,5168.0,Vest Harnesses
94,2020-08-28,5168.0,Vest Harnesses
95,2020-08-29,5168.0,Vest Harnesses
96,2020-08-30,5168.0,Vest Harnesses
97,2020-08-31,5168.0,Vest Harnesses
98,2020-09-01,7284.0,Vest Harnesses
99,2020-09-02,7284.0,Vest Harnesses
100,2020-09-03,7284.0,Vest Harnesses
101,2020-09-04,5585.0,Vest Harnesses
102,2020-09-05,5585.0,Vest Harnesses
103,2020-09-06,5585.0,Vest Harnesses
104,2020-09-07,5959.0,Vest Harnesses
105,2020-09-08,5959.0,Vest Harnesses
106,2020-09-09,5959.0,Vest Harnesses
107,2020-09-10,4866.0,Vest Harnesses
108,2020-09-11,6135.0,Vest Harnesses
109,2020-09-12,6135.0,Vest Harnesses
110,2020-09-13,6135.0,Vest Harnesses
111,2020-09-14,6563.0,Vest Harnesses
112,2020-09-15,6563.0,Vest Harnesses
113,2020-09-16,5434.0,Vest Harnesses
114,2020-09-17,5434.0,Vest Harnesses
115,2020-09-18,5143.0,Vest Harnesses
116,2020-09-19,5143.0,Vest Harnesses
117,2020-09-20,5143.0,Vest Harnesses
118,2020-09-21,5990.0,Vest Harnesses
119,2020-09-22,5990.0,Vest Harnesses
120,2020-09-23,5990.0,Vest Harnesses
121,2020-09-24,5950.0,Vest Harnesses
122,2020-09-25,5950.0,Vest Harnesses
123,2020-09-26,4937.0,Vest Harnesses
124,2020-09-27,6229.0,Vest Harnesses
125,2020-09-28,7562.0,Vest Harnesses
126,2020-09-29,7562.0,Vest Harnesses
127,2020-09-30,7562.0,Vest Harnesses
128,2020-10-01,6136.0,Vest Harnesses
129,2020-10-02,6136.0,Vest Harnesses
130,2020-10-03,6136.0,Vest Harnesses
131,2020-10-04,5100.0,Vest Harnesses
132,2020-10-05,5100.0,Vest Harnesses
133,2020-10-06,5100.0,Vest Harnesses
134,2020-10-07,4390.0,Vest Harnesses
135,2020-10-08,4390.0,Vest Harnesses
136,2020-10-09,4390.0,Vest Harnesses
137,2020-10-10,4390.0,Vest Harnesses
138,2020-10-11,4920.0,Vest Harnesses
139,2020-10-12,4839.0,Vest Harnesses
140,2020-10-13,6559.0,Vest Harnesses
141,2020-10-14,5972.0,Vest Harnesses
142,2020-10-15,5692.0,Vest Harnesses
143,2020-10-16,5692.0,Vest Harnesses
144,2020-10-17,5692.0,Vest Harnesses
145,2020-10-18,5692.0,Vest Harnesses
146,2020-10-19,5692.0,Vest Harnesses
147,2020-10-20,5692.0,Vest Harnesses
148,2020-10-21,6279.0,Vest Harnesses
149,2020-10-22,6279.0,Vest Harnesses
150,2020-10-23,6279.0,Vest Harnesses
151,2020-10-24,6278.0,Vest Harnesses
152,2020-10-25,6278.0,Vest Harnesses
153,2020-10-26,6278.0,Vest Harnesses
154,2020-10-27,6506.0,Vest Harnesses
155,2020-10-28,6506.0,Vest Harnesses
156,2020-10-29,6506.0,Vest Harnesses
157,2020-10-30,6506.0,Vest Harnesses
158,2020-10-31,6506.0,Vest Harnesses
159,2020-11-01,6506.0,Vest Harnesses
160,2020-11-02,6951.0,Vest Harnesses
161,2020-11-03,6951.0,Vest Harnesses
162,2020-11-04,6951.0,Vest Harnesses
163,2020-11-05,6951.0,Vest Harnesses
164,2020-11-06,6626.0,Vest Harnesses
165,2020-11-07,6626.0,Vest Harnesses
166,2020-11-08,6626.0,Vest Harnesses
167,2020-11-09,4264.0,Vest Harnesses
168,2020-11-10,5018.0,Vest Harnesses
169,2020-11-11,6474.0,Vest Harnesses
170,2020-11-12,6282.0,Vest Harnesses
171,2020-11-13,6081.0,Vest Harnesses
172,2020-11-14,6085.0,Vest Harnesses
173,2020-11-15,6085.0,Vest Harnesses
174,2020-11-16,7589.0,Vest Harnesses
175,2020-11-17,7829.0,Vest Harnesses
176,2020-11-18,5474.0,Vest Harnesses
177,2020-11-19,5474.0,Vest Harnesses
178,2020-11-20,5613.0,Vest Harnesses
179,2020-11-21,5613.0,Vest Harnesses
180,2020-11-22,5613.0,Vest Harnesses
181,2020-11-23,5544.0,Vest Harnesses
182,2020-11-24,7672.0,Vest Harnesses
183,2020-11-25,7672.0,Vest Harnesses
184,2020-11-26,7672.0,Vest Harnesses
185,2020-11-27,7672.0,Vest Harnesses
186,2020-11-28,7672.0,Vest Harnesses
187,2020-11-29,8201.0,Vest Harnesses
188,2020-11-30,8201.0,Vest Harnesses
189,2020-12-01,7224.0,Vest Harnesses
190,2020-12-02,7224.0,Vest Harnesses
191,2020-12-03,7224.0,Vest Harnesses
192,2020-12-04,7224.0,Vest Harnesses
193,2020-12-05,7224.0,Vest Harnesses
194,2020-12-06,7693.0,Vest Harnesses
195,2020-12-07,7693.0,Vest Harnesses
196,2020-12-08,8174.0,Vest Harnesses
197,2020-12-09,8174.0,Vest Harnesses
198,2020-12-10,6611.0,Vest Harnesses
199,2020-12-11,6611.0,Vest Harnesses
200,2020-12-12,6611.0,Vest Harnesses
201,2020-12-13,6611.0,Vest Harnesses
202,2020-12-14,6611.0,Vest Harnesses
203,2020-12-15,6208.0,Vest Harnesses
204,2020-12-16,6208.0,Vest Harnesses
205,2020-12-17,6208.0,Vest Harnesses
206,2020-12-18,6021.0,Vest Harnesses
207,2020-12-19,6021.0,Vest Harnesses
208,2020-12-20,6021.0,Vest Harnesses
209,2020-12-21,6610.0,Vest Harnesses
210,2020-12-22,6610.0,Vest Harnesses
211,2020-12-23,6610.0,Vest Harnesses
212,2020-12-24,6095.0,Vest Harnesses
213,2020-12-25,6095.0,Vest Harnesses
214,2020-12-26,6095.0,Vest Harnesses
215,2020-12-27,7083.0,Vest Harnesses
216,2020-12-28,7083.0,Vest Harnesses
217,2020-12-29,7083.0,Vest Harnesses
218,2020-12-30,5677.0,Vest Harnesses
219,2020-12-31,5677.0,Vest Harnesses
220,2021-01-01,5677.0,Vest Harnesses
221,2021-01-02,5677.0,Vest Harnesses
222,2021-01-03,5677.0,Vest Harnesses
223,2021-01-04,5592.0,Vest Harnesses
224,2021-01-05,5592.0,Vest Harnesses
225,2021-01-06,5592.0,Vest Harnesses
226,2021-01-07,5337.0,Vest Harnesses
227,2021-01-08,5225.0,Vest Harnesses
228,2021-01-09,5225.0,Vest Harnesses
229,2021-01-10,7047.0,Vest Harnesses
