,date,value,name_B08HQYLL71
129,2021-01-18,135867.0,Wall Calendars
130,2021-01-19,135867.0,Wall Calendars
131,2021-01-20,135867.0,Wall Calendars
132,2021-01-21,135867.0,Wall Calendars
133,2021-01-22,135867.0,Wall Calendars
134,2021-01-23,161889.0,Wall Calendars
135,2021-01-24,161889.0,Wall Calendars
136,2021-01-25,161889.0,Wall Calendars
137,2021-01-26,144564.0,Wall Calendars
138,2021-01-27,105131.0,Wall Calendars
139,2021-01-28,105131.0,Wall Calendars
140,2021-01-29,105131.0,Wall Calendars
141,2021-01-30,105131.0,Wall Calendars
142,2021-01-31,157722.0,Wall Calendars
143,2021-02-01,157127.0,Wall Calendars
144,2021-02-02,157127.0,Wall Calendars
145,2021-02-03,157127.0,Wall Calendars
146,2021-02-04,176161.0,Wall Calendars
147,2021-02-05,180625.0,Wall Calendars
148,2021-02-06,180625.0,Wall Calendars
149,2021-02-07,180625.0,Wall Calendars
150,2021-02-08,168841.0,Wall Calendars
151,2021-02-09,174667.0,Wall Calendars
152,2021-02-10,174667.0,Wall Calendars
153,2021-02-11,174667.0,Wall Calendars
154,2021-02-12,174667.0,Wall Calendars
155,2021-02-13,174667.0,Wall Calendars
156,2021-02-14,174667.0,Wall Calendars
157,2021-02-15,174667.0,Wall Calendars
158,2021-02-16,174667.0,Wall Calendars
159,2021-02-17,167450.0,Wall Calendars
160,2021-02-18,167450.0,Wall Calendars
161,2021-02-19,173906.0,Wall Calendars
162,2021-02-20,173906.0,Wall Calendars
163,2021-02-21,173906.0,Wall Calendars
164,2021-02-22,173906.0,Wall Calendars
165,2021-02-23,176507.0,Wall Calendars
166,2021-02-24,176507.0,Wall Calendars
167,2021-02-25,188385.0,Wall Calendars
168,2021-02-26,189179.0,Wall Calendars
169,2021-02-27,189179.0,Wall Calendars
170,2021-02-28,189179.0,Wall Calendars
171,2021-03-01,189179.0,Wall Calendars
172,2021-03-02,189179.0,Wall Calendars
173,2021-03-03,189179.0,Wall Calendars
174,2021-03-04,189179.0,Wall Calendars
175,2021-03-05,189179.0,Wall Calendars
176,2021-03-06,189179.0,Wall Calendars
177,2021-03-07,189179.0,Wall Calendars
178,2021-03-08,189179.0,Wall Calendars
179,2021-03-09,189179.0,Wall Calendars
180,2021-03-10,189179.0,Wall Calendars
181,2021-03-11,189179.0,Wall Calendars
182,2021-03-12,189179.0,Wall Calendars
183,2021-03-13,189179.0,Wall Calendars
184,2021-03-14,189179.0,Wall Calendars
185,2021-03-15,189179.0,Wall Calendars
186,2021-03-16,189179.0,Wall Calendars
187,2021-03-17,189179.0,Wall Calendars
188,2021-03-18,189179.0,Wall Calendars
189,2021-03-19,189179.0,Wall Calendars
190,2021-03-20,189179.0,Wall Calendars
191,2021-03-21,188606.0,Wall Calendars
192,2021-03-22,187519.0,Wall Calendars
193,2021-03-23,190070.0,Wall Calendars
194,2021-03-24,194795.0,Wall Calendars
195,2021-03-25,200218.0,Wall Calendars
196,2021-03-26,97994.0,Wall Calendars
197,2021-03-27,97994.0,Wall Calendars
198,2021-03-28,97994.0,Wall Calendars
199,2021-03-29,97994.0,Wall Calendars
200,2021-03-30,97994.0,Wall Calendars
201,2021-03-31,97994.0,Wall Calendars
202,2021-04-01,97994.0,Wall Calendars
203,2021-04-02,193112.0,Wall Calendars
204,2021-04-03,193112.0,Wall Calendars
205,2021-04-04,193112.0,Wall Calendars
206,2021-04-05,193112.0,Wall Calendars
207,2021-04-06,193112.0,Wall Calendars
208,2021-04-07,193112.0,Wall Calendars
209,2021-04-08,193112.0,Wall Calendars
210,2021-04-09,193112.0,Wall Calendars
211,2021-04-10,193112.0,Wall Calendars
212,2021-04-11,193112.0,Wall Calendars
213,2021-04-12,193112.0,Wall Calendars
214,2021-04-13,193112.0,Wall Calendars
215,2021-04-14,193112.0,Wall Calendars
216,2021-04-15,193112.0,Wall Calendars
217,2021-04-16,193112.0,Wall Calendars
218,2021-04-17,193112.0,Wall Calendars
219,2021-04-18,193112.0,Wall Calendars
220,2021-04-19,193112.0,Wall Calendars
221,2021-04-20,193112.0,Wall Calendars
222,2021-04-21,193112.0,Wall Calendars
223,2021-04-22,193112.0,Wall Calendars
224,2021-04-23,193112.0,Wall Calendars
225,2021-04-24,193112.0,Wall Calendars
226,2021-04-25,200062.0,Wall Calendars
227,2021-04-26,200062.0,Wall Calendars
228,2021-04-27,200062.0,Wall Calendars
229,2021-04-28,198439.0,Wall Calendars
230,2021-04-29,198439.0,Wall Calendars
231,2021-04-30,205948.0,Wall Calendars
232,2021-05-01,204898.0,Wall Calendars
233,2021-05-02,200089.0,Wall Calendars
234,2021-05-03,200089.0,Wall Calendars
235,2021-05-04,200089.0,Wall Calendars
236,2021-05-05,200089.0,Wall Calendars
237,2021-05-06,200089.0,Wall Calendars
238,2021-05-07,200089.0,Wall Calendars
239,2021-05-08,200089.0,Wall Calendars
240,2021-05-09,200089.0,Wall Calendars
241,2021-05-10,190562.0,Wall Calendars
242,2021-05-11,190897.0,Wall Calendars
243,2021-05-12,196212.0,Wall Calendars
244,2021-05-13,202651.0,Wall Calendars
245,2021-05-14,202651.0,Wall Calendars
246,2021-05-15,202651.0,Wall Calendars
247,2021-05-16,202651.0,Wall Calendars
248,2021-05-17,202651.0,Wall Calendars
249,2021-05-18,197623.0,Wall Calendars
250,2021-05-19,197623.0,Wall Calendars
251,2021-05-20,203061.0,Wall Calendars
252,2021-05-21,203061.0,Wall Calendars
253,2021-05-22,203061.0,Wall Calendars
254,2021-05-23,196465.0,Wall Calendars
255,2021-05-24,196465.0,Wall Calendars
256,2021-05-25,196465.0,Wall Calendars
257,2021-05-26,196465.0,Wall Calendars
258,2021-05-27,196465.0,Wall Calendars
259,2021-05-28,196465.0,Wall Calendars
260,2021-05-29,196465.0,Wall Calendars
261,2021-05-30,195862.0,Wall Calendars
262,2021-05-31,195862.0,Wall Calendars
263,2021-06-01,195862.0,Wall Calendars
264,2021-06-02,195862.0,Wall Calendars
265,2021-06-03,195862.0,Wall Calendars
266,2021-06-04,195862.0,Wall Calendars
267,2021-06-05,195862.0,Wall Calendars
268,2021-06-06,195862.0,Wall Calendars
269,2021-06-07,195862.0,Wall Calendars
270,2021-06-08,195862.0,Wall Calendars
271,2021-06-09,195862.0,Wall Calendars
272,2021-06-10,204603.0,Wall Calendars
273,2021-06-11,204603.0,Wall Calendars
274,2021-06-12,204603.0,Wall Calendars
275,2021-06-13,204603.0,Wall Calendars
276,2021-06-14,204603.0,Wall Calendars
277,2021-06-15,204603.0,Wall Calendars
278,2021-06-16,204603.0,Wall Calendars
279,2021-06-17,204603.0,Wall Calendars
280,2021-06-18,205867.0,Wall Calendars
281,2021-06-19,205867.0,Wall Calendars
282,2021-06-20,205867.0,Wall Calendars
283,2021-06-21,189205.0,Wall Calendars
284,2021-06-22,189205.0,Wall Calendars
285,2021-06-23,189205.0,Wall Calendars
286,2021-06-24,189205.0,Wall Calendars
287,2021-06-25,189205.0,Wall Calendars
288,2021-06-26,189205.0,Wall Calendars
289,2021-06-27,189205.0,Wall Calendars
290,2021-06-28,189205.0,Wall Calendars
291,2021-06-29,189205.0,Wall Calendars
292,2021-06-30,189205.0,Wall Calendars
293,2021-07-01,204594.0,Wall Calendars
294,2021-07-02,204594.0,Wall Calendars
295,2021-07-03,204594.0,Wall Calendars
296,2021-07-04,204594.0,Wall Calendars
297,2021-07-05,204594.0,Wall Calendars
298,2021-07-06,204594.0,Wall Calendars
299,2021-07-07,204594.0,Wall Calendars
300,2021-07-08,204594.0,Wall Calendars
301,2021-07-09,204594.0,Wall Calendars
302,2021-07-10,204594.0,Wall Calendars
303,2021-07-11,203510.0,Wall Calendars
