,date,value,name_B08MBYSWJM
90,2021-02-03,8604.0,Throw Pillow Covers
91,2021-02-04,8604.0,Throw Pillow Covers
92,2021-02-05,8604.0,Throw Pillow Covers
93,2021-02-06,8604.0,Throw Pillow Covers
94,2021-02-07,13548.0,Throw Pillow Covers
95,2021-02-08,13548.0,Throw Pillow Covers
96,2021-02-09,15413.0,Throw Pillow Covers
97,2021-02-10,18142.0,Throw Pillow Covers
98,2021-02-11,18142.0,Throw Pillow Covers
99,2021-02-12,21876.0,Throw Pillow Covers
100,2021-02-13,21876.0,Throw Pillow Covers
101,2021-02-14,21876.0,Throw Pillow Covers
102,2021-02-15,21876.0,Throw Pillow Covers
103,2021-02-16,19165.0,Throw Pillow Covers
104,2021-02-17,19165.0,Throw Pillow Covers
105,2021-02-18,17898.0,Throw Pillow Covers
106,2021-02-19,17898.0,Throw Pillow Covers
107,2021-02-20,17898.0,Throw Pillow Covers
108,2021-02-21,22381.0,Throw Pillow Covers
109,2021-02-22,22381.0,Throw Pillow Covers
110,2021-02-23,22381.0,Throw Pillow Covers
111,2021-02-24,22104.0,Throw Pillow Covers
112,2021-02-25,18485.0,Throw Pillow Covers
113,2021-02-26,18485.0,Throw Pillow Covers
114,2021-02-27,18106.0,Throw Pillow Covers
115,2021-02-28,18106.0,Throw Pillow Covers
116,2021-03-01,18106.0,Throw Pillow Covers
117,2021-03-02,14311.0,Throw Pillow Covers
118,2021-03-03,14804.0,Throw Pillow Covers
119,2021-03-04,14636.0,Throw Pillow Covers
120,2021-03-05,13905.0,Throw Pillow Covers
121,2021-03-06,14090.0,Throw Pillow Covers
122,2021-03-07,13596.0,Throw Pillow Covers
123,2021-03-08,12294.0,Throw Pillow Covers
124,2021-03-09,14702.0,Throw Pillow Covers
125,2021-03-10,20121.0,Throw Pillow Covers
126,2021-03-11,21405.0,Throw Pillow Covers
127,2021-03-12,21405.0,Throw Pillow Covers
128,2021-03-13,21405.0,Throw Pillow Covers
129,2021-03-14,18569.0,Throw Pillow Covers
130,2021-03-15,18569.0,Throw Pillow Covers
131,2021-03-16,21704.0,Throw Pillow Covers
132,2021-03-17,20361.0,Throw Pillow Covers
133,2021-03-18,20361.0,Throw Pillow Covers
134,2021-03-19,19542.0,Throw Pillow Covers
135,2021-03-20,20150.0,Throw Pillow Covers
136,2021-03-21,21371.0,Throw Pillow Covers
137,2021-03-22,21709.0,Throw Pillow Covers
138,2021-03-23,22603.0,Throw Pillow Covers
139,2021-03-24,22603.0,Throw Pillow Covers
140,2021-03-25,22603.0,Throw Pillow Covers
141,2021-03-26,22603.0,Throw Pillow Covers
142,2021-03-27,18605.0,Throw Pillow Covers
143,2021-03-28,18684.0,Throw Pillow Covers
144,2021-03-29,18684.0,Throw Pillow Covers
145,2021-03-30,18684.0,Throw Pillow Covers
146,2021-03-31,20897.0,Throw Pillow Covers
147,2021-04-01,20897.0,Throw Pillow Covers
148,2021-04-02,20897.0,Throw Pillow Covers
149,2021-04-03,20897.0,Throw Pillow Covers
150,2021-04-04,18938.0,Throw Pillow Covers
151,2021-04-05,18938.0,Throw Pillow Covers
152,2021-04-06,18938.0,Throw Pillow Covers
153,2021-04-07,18938.0,Throw Pillow Covers
154,2021-04-08,19596.0,Throw Pillow Covers
155,2021-04-09,19596.0,Throw Pillow Covers
156,2021-04-10,21309.0,Throw Pillow Covers
157,2021-04-11,19954.0,Throw Pillow Covers
158,2021-04-12,19954.0,Throw Pillow Covers
159,2021-04-13,19954.0,Throw Pillow Covers
160,2021-04-14,19954.0,Throw Pillow Covers
161,2021-04-15,21598.0,Throw Pillow Covers
162,2021-04-16,21598.0,Throw Pillow Covers
163,2021-04-17,22520.0,Throw Pillow Covers
164,2021-04-18,22187.0,Throw Pillow Covers
165,2021-04-19,22187.0,Throw Pillow Covers
166,2021-04-20,21204.0,Throw Pillow Covers
167,2021-04-21,20718.0,Throw Pillow Covers
168,2021-04-22,18805.0,Throw Pillow Covers
169,2021-04-23,18805.0,Throw Pillow Covers
170,2021-04-24,18805.0,Throw Pillow Covers
171,2021-04-25,19089.0,Throw Pillow Covers
172,2021-04-26,19089.0,Throw Pillow Covers
173,2021-04-27,21538.0,Throw Pillow Covers
174,2021-04-28,24828.0,Throw Pillow Covers
175,2021-04-29,24828.0,Throw Pillow Covers
176,2021-04-30,24828.0,Throw Pillow Covers
177,2021-05-01,24828.0,Throw Pillow Covers
178,2021-05-02,24828.0,Throw Pillow Covers
179,2021-05-03,19264.0,Throw Pillow Covers
180,2021-05-04,19264.0,Throw Pillow Covers
181,2021-05-05,19264.0,Throw Pillow Covers
182,2021-05-06,19264.0,Throw Pillow Covers
183,2021-05-07,16632.0,Throw Pillow Covers
184,2021-05-08,16632.0,Throw Pillow Covers
185,2021-05-09,16632.0,Throw Pillow Covers
186,2021-05-10,13500.0,Throw Pillow Covers
187,2021-05-11,13500.0,Throw Pillow Covers
188,2021-05-12,13500.0,Throw Pillow Covers
189,2021-05-13,14589.0,Throw Pillow Covers
190,2021-05-14,13392.0,Throw Pillow Covers
191,2021-05-15,13392.0,Throw Pillow Covers
192,2021-05-16,13392.0,Throw Pillow Covers
193,2021-05-17,6503.0,Throw Pillow Covers
194,2021-05-18,6503.0,Throw Pillow Covers
195,2021-05-19,10134.0,Throw Pillow Covers
196,2021-05-20,12626.0,Throw Pillow Covers
197,2021-05-21,12626.0,Throw Pillow Covers
198,2021-05-22,10407.0,Throw Pillow Covers
199,2021-05-23,10407.0,Throw Pillow Covers
200,2021-05-24,11101.0,Throw Pillow Covers
201,2021-05-25,11101.0,Throw Pillow Covers
202,2021-05-26,11101.0,Throw Pillow Covers
203,2021-05-27,14303.0,Throw Pillow Covers
204,2021-05-28,14303.0,Throw Pillow Covers
205,2021-05-29,12910.0,Throw Pillow Covers
206,2021-05-30,12910.0,Throw Pillow Covers
207,2021-05-31,11928.0,Throw Pillow Covers
208,2021-06-01,13058.0,Throw Pillow Covers
209,2021-06-02,13058.0,Throw Pillow Covers
210,2021-06-03,13058.0,Throw Pillow Covers
211,2021-06-04,12074.0,Throw Pillow Covers
212,2021-06-05,12074.0,Throw Pillow Covers
213,2021-06-06,12074.0,Throw Pillow Covers
214,2021-06-07,10368.0,Throw Pillow Covers
215,2021-06-08,9143.0,Throw Pillow Covers
216,2021-06-09,10007.0,Throw Pillow Covers
217,2021-06-10,10007.0,Throw Pillow Covers
218,2021-06-11,10256.0,Throw Pillow Covers
219,2021-06-12,10256.0,Throw Pillow Covers
220,2021-06-13,8251.0,Throw Pillow Covers
221,2021-06-14,8251.0,Throw Pillow Covers
222,2021-06-15,8251.0,Throw Pillow Covers
223,2021-06-16,12704.0,Throw Pillow Covers
224,2021-06-17,12704.0,Throw Pillow Covers
225,2021-06-18,10731.0,Throw Pillow Covers
226,2021-06-19,9547.0,Throw Pillow Covers
227,2021-06-20,9547.0,Throw Pillow Covers
228,2021-06-21,7912.0,Throw Pillow Covers
229,2021-06-22,7912.0,Throw Pillow Covers
230,2021-06-23,7912.0,Throw Pillow Covers
231,2021-06-24,8556.0,Throw Pillow Covers
232,2021-06-25,9077.0,Throw Pillow Covers
233,2021-06-26,9077.0,Throw Pillow Covers
234,2021-06-27,7588.0,Throw Pillow Covers
235,2021-06-28,7588.0,Throw Pillow Covers
236,2021-06-29,8762.0,Throw Pillow Covers
237,2021-06-30,8762.0,Throw Pillow Covers
238,2021-07-01,11489.0,Throw Pillow Covers
239,2021-07-02,11489.0,Throw Pillow Covers
240,2021-07-03,9121.0,Throw Pillow Covers
241,2021-07-04,9121.0,Throw Pillow Covers
242,2021-07-05,9121.0,Throw Pillow Covers
243,2021-07-06,6107.0,Throw Pillow Covers
244,2021-07-07,6107.0,Throw Pillow Covers
245,2021-07-08,6366.0,Throw Pillow Covers
246,2021-07-09,7119.0,Throw Pillow Covers
247,2021-07-10,7470.0,Throw Pillow Covers
