,date,value,name_B08HZ9NYD6
56,2020-12-25,8682.0,Throw Pillow Covers
57,2020-12-26,8682.0,Throw Pillow Covers
58,2020-12-27,8682.0,Throw Pillow Covers
59,2020-12-28,3457.0,Throw Pillow Covers
60,2020-12-29,3457.0,Throw Pillow Covers
61,2020-12-30,2625.0,Throw Pillow Covers
62,2020-12-31,2625.0,Throw Pillow Covers
63,2021-01-01,2184.0,Throw Pillow Covers
64,2021-01-02,1999.0,Throw Pillow Covers
65,2021-01-03,2041.0,Throw Pillow Covers
66,2021-01-04,2004.0,Throw Pillow Covers
67,2021-01-05,2702.0,Throw Pillow Covers
68,2021-01-06,3136.0,Throw Pillow Covers
69,2021-01-07,2547.0,Throw Pillow Covers
70,2021-01-08,2133.0,Throw Pillow Covers
71,2021-01-09,2133.0,Throw Pillow Covers
72,2021-01-10,1838.0,Throw Pillow Covers
73,2021-01-11,1572.0,Throw Pillow Covers
74,2021-01-12,1572.0,Throw Pillow Covers
75,2021-01-13,2955.0,Throw Pillow Covers
76,2021-01-14,2685.0,Throw Pillow Covers
77,2021-01-15,3023.0,Throw Pillow Covers
78,2021-01-16,2292.0,Throw Pillow Covers
79,2021-01-17,2292.0,Throw Pillow Covers
80,2021-01-18,2499.0,Throw Pillow Covers
81,2021-01-19,2499.0,Throw Pillow Covers
82,2021-01-20,2201.0,Throw Pillow Covers
83,2021-01-21,2201.0,Throw Pillow Covers
84,2021-01-22,1910.0,Throw Pillow Covers
85,2021-01-23,1988.0,Throw Pillow Covers
86,2021-01-24,1988.0,Throw Pillow Covers
87,2021-01-25,1772.0,Throw Pillow Covers
88,2021-01-26,1772.0,Throw Pillow Covers
89,2021-01-27,1774.0,Throw Pillow Covers
90,2021-01-28,2033.0,Throw Pillow Covers
91,2021-01-29,2045.0,Throw Pillow Covers
92,2021-01-30,1881.0,Throw Pillow Covers
93,2021-01-31,1988.0,Throw Pillow Covers
94,2021-02-01,2269.0,Throw Pillow Covers
95,2021-02-02,2216.0,Throw Pillow Covers
96,2021-02-03,2712.0,Throw Pillow Covers
97,2021-02-04,2602.0,Throw Pillow Covers
98,2021-02-05,2602.0,Throw Pillow Covers
99,2021-02-06,2899.0,Throw Pillow Covers
100,2021-02-07,2317.0,Throw Pillow Covers
101,2021-02-08,2689.0,Throw Pillow Covers
102,2021-02-09,2928.0,Throw Pillow Covers
103,2021-02-10,2928.0,Throw Pillow Covers
104,2021-02-11,4358.0,Throw Pillow Covers
105,2021-02-12,4358.0,Throw Pillow Covers
106,2021-02-13,4358.0,Throw Pillow Covers
107,2021-02-14,3118.0,Throw Pillow Covers
108,2021-02-15,3118.0,Throw Pillow Covers
109,2021-02-16,3118.0,Throw Pillow Covers
110,2021-02-17,3156.0,Throw Pillow Covers
111,2021-02-18,2845.0,Throw Pillow Covers
112,2021-02-19,2845.0,Throw Pillow Covers
113,2021-02-20,2661.0,Throw Pillow Covers
114,2021-02-21,2543.0,Throw Pillow Covers
115,2021-02-22,2543.0,Throw Pillow Covers
116,2021-02-23,2574.0,Throw Pillow Covers
117,2021-02-24,2831.0,Throw Pillow Covers
118,2021-02-25,2717.0,Throw Pillow Covers
119,2021-02-26,2584.0,Throw Pillow Covers
120,2021-02-27,2489.0,Throw Pillow Covers
121,2021-02-28,2489.0,Throw Pillow Covers
122,2021-03-01,2258.0,Throw Pillow Covers
123,2021-03-02,2566.0,Throw Pillow Covers
124,2021-03-03,2566.0,Throw Pillow Covers
125,2021-03-04,2842.0,Throw Pillow Covers
126,2021-03-05,2842.0,Throw Pillow Covers
127,2021-03-06,2655.0,Throw Pillow Covers
128,2021-03-07,2332.0,Throw Pillow Covers
129,2021-03-08,2332.0,Throw Pillow Covers
130,2021-03-09,2181.0,Throw Pillow Covers
131,2021-03-10,2958.0,Throw Pillow Covers
132,2021-03-11,2381.0,Throw Pillow Covers
133,2021-03-12,2768.0,Throw Pillow Covers
134,2021-03-13,2768.0,Throw Pillow Covers
135,2021-03-14,2194.0,Throw Pillow Covers
136,2021-03-15,2131.0,Throw Pillow Covers
137,2021-03-16,2442.0,Throw Pillow Covers
138,2021-03-17,2111.0,Throw Pillow Covers
139,2021-03-18,2111.0,Throw Pillow Covers
140,2021-03-19,2650.0,Throw Pillow Covers
141,2021-03-20,2650.0,Throw Pillow Covers
142,2021-03-21,2160.0,Throw Pillow Covers
143,2021-03-22,2320.0,Throw Pillow Covers
144,2021-03-23,2298.0,Throw Pillow Covers
145,2021-03-24,2829.0,Throw Pillow Covers
146,2021-03-25,2829.0,Throw Pillow Covers
147,2021-03-26,2829.0,Throw Pillow Covers
148,2021-03-27,2529.0,Throw Pillow Covers
149,2021-03-28,2529.0,Throw Pillow Covers
150,2021-03-29,2546.0,Throw Pillow Covers
151,2021-03-30,2546.0,Throw Pillow Covers
152,2021-03-31,2546.0,Throw Pillow Covers
153,2021-04-01,3195.0,Throw Pillow Covers
154,2021-04-02,3195.0,Throw Pillow Covers
155,2021-04-03,3195.0,Throw Pillow Covers
156,2021-04-04,2855.0,Throw Pillow Covers
157,2021-04-05,4625.0,Throw Pillow Covers
158,2021-04-06,4625.0,Throw Pillow Covers
159,2021-04-07,4726.0,Throw Pillow Covers
160,2021-04-08,4499.0,Throw Pillow Covers
161,2021-04-09,5269.0,Throw Pillow Covers
162,2021-04-10,4865.0,Throw Pillow Covers
163,2021-04-11,4680.0,Throw Pillow Covers
164,2021-04-12,4642.0,Throw Pillow Covers
165,2021-04-13,5333.0,Throw Pillow Covers
166,2021-04-14,5532.0,Throw Pillow Covers
167,2021-04-15,4833.0,Throw Pillow Covers
168,2021-04-16,4833.0,Throw Pillow Covers
169,2021-04-17,4833.0,Throw Pillow Covers
170,2021-04-18,5004.0,Throw Pillow Covers
171,2021-04-19,5136.0,Throw Pillow Covers
172,2021-04-20,5405.0,Throw Pillow Covers
173,2021-04-21,5405.0,Throw Pillow Covers
174,2021-04-22,4958.0,Throw Pillow Covers
175,2021-04-23,4958.0,Throw Pillow Covers
176,2021-04-24,4487.0,Throw Pillow Covers
177,2021-04-25,4487.0,Throw Pillow Covers
178,2021-04-26,4571.0,Throw Pillow Covers
179,2021-04-27,4571.0,Throw Pillow Covers
180,2021-04-28,6382.0,Throw Pillow Covers
181,2021-04-29,7749.0,Throw Pillow Covers
182,2021-04-30,7749.0,Throw Pillow Covers
183,2021-05-01,6255.0,Throw Pillow Covers
184,2021-05-02,6255.0,Throw Pillow Covers
185,2021-05-03,6255.0,Throw Pillow Covers
186,2021-05-04,8151.0,Throw Pillow Covers
187,2021-05-05,8151.0,Throw Pillow Covers
188,2021-05-06,8297.0,Throw Pillow Covers
189,2021-05-07,8297.0,Throw Pillow Covers
190,2021-05-08,8425.0,Throw Pillow Covers
191,2021-05-09,7941.0,Throw Pillow Covers
192,2021-05-10,7941.0,Throw Pillow Covers
193,2021-05-11,9145.0,Throw Pillow Covers
194,2021-05-12,11103.0,Throw Pillow Covers
195,2021-05-13,8616.0,Throw Pillow Covers
196,2021-05-14,8616.0,Throw Pillow Covers
197,2021-05-15,8928.0,Throw Pillow Covers
198,2021-05-16,8928.0,Throw Pillow Covers
199,2021-05-17,7469.0,Throw Pillow Covers
200,2021-05-18,7469.0,Throw Pillow Covers
201,2021-05-19,9110.0,Throw Pillow Covers
202,2021-05-20,10320.0,Throw Pillow Covers
203,2021-05-21,9306.0,Throw Pillow Covers
204,2021-05-22,9306.0,Throw Pillow Covers
205,2021-05-23,7513.0,Throw Pillow Covers
206,2021-05-24,9188.0,Throw Pillow Covers
207,2021-05-25,9188.0,Throw Pillow Covers
208,2021-05-26,10828.0,Throw Pillow Covers
209,2021-05-27,10828.0,Throw Pillow Covers
210,2021-05-28,10990.0,Throw Pillow Covers
211,2021-05-29,12010.0,Throw Pillow Covers
212,2021-05-30,12010.0,Throw Pillow Covers
213,2021-05-31,12253.0,Throw Pillow Covers
214,2021-06-01,10992.0,Throw Pillow Covers
215,2021-06-02,10992.0,Throw Pillow Covers
216,2021-06-03,13691.0,Throw Pillow Covers
217,2021-06-04,13691.0,Throw Pillow Covers
218,2021-06-05,13185.0,Throw Pillow Covers
219,2021-06-06,13185.0,Throw Pillow Covers
220,2021-06-07,13198.0,Throw Pillow Covers
221,2021-06-08,13198.0,Throw Pillow Covers
222,2021-06-09,14726.0,Throw Pillow Covers
223,2021-06-10,14726.0,Throw Pillow Covers
224,2021-06-11,13289.0,Throw Pillow Covers
225,2021-06-12,13289.0,Throw Pillow Covers
226,2021-06-13,12777.0,Throw Pillow Covers
227,2021-06-14,12777.0,Throw Pillow Covers
228,2021-06-15,15514.0,Throw Pillow Covers
229,2021-06-16,15514.0,Throw Pillow Covers
230,2021-06-17,17450.0,Throw Pillow Covers
231,2021-06-18,17450.0,Throw Pillow Covers
232,2021-06-19,16242.0,Throw Pillow Covers
233,2021-06-20,16242.0,Throw Pillow Covers
234,2021-06-21,13653.0,Throw Pillow Covers
235,2021-06-22,13653.0,Throw Pillow Covers
236,2021-06-23,13653.0,Throw Pillow Covers
237,2021-06-24,12875.0,Throw Pillow Covers
238,2021-06-25,16088.0,Throw Pillow Covers
239,2021-06-26,16088.0,Throw Pillow Covers
240,2021-06-27,15227.0,Throw Pillow Covers
241,2021-06-28,16962.0,Throw Pillow Covers
242,2021-06-29,15915.0,Throw Pillow Covers
243,2021-06-30,14142.0,Throw Pillow Covers
244,2021-07-01,14142.0,Throw Pillow Covers
245,2021-07-02,13459.0,Throw Pillow Covers
246,2021-07-03,16305.0,Throw Pillow Covers
247,2021-07-04,16305.0,Throw Pillow Covers
248,2021-07-05,12946.0,Throw Pillow Covers
249,2021-07-06,13354.0,Throw Pillow Covers
250,2021-07-07,12150.0,Throw Pillow Covers
251,2021-07-08,12150.0,Throw Pillow Covers
252,2021-07-09,13544.0,Throw Pillow Covers
253,2021-07-10,13544.0,Throw Pillow Covers
254,2021-07-11,11416.0,Throw Pillow Covers
