,date,value,name_B08T95RMZ2
75,2021-04-04,16534.0,Toy Vehicles
76,2021-04-05,20067.0,Toy Vehicles
77,2021-04-06,13808.0,Toy Vehicles
78,2021-04-07,12098.0,Toy Vehicles
79,2021-04-08,11785.0,Toy Vehicles
80,2021-04-09,11785.0,Toy Vehicles
81,2021-04-10,11785.0,Toy Vehicles
82,2021-04-11,11785.0,Toy Vehicles
83,2021-04-12,19402.0,Toy Vehicles
84,2021-04-13,19402.0,Toy Vehicles
85,2021-04-14,25223.0,Toy Vehicles
86,2021-04-15,12996.0,Toy Vehicles
87,2021-04-16,10712.0,Toy Vehicles
88,2021-04-17,10712.0,Toy Vehicles
89,2021-04-18,10712.0,Toy Vehicles
90,2021-04-19,10593.0,Toy Vehicles
91,2021-04-20,12093.0,Toy Vehicles
92,2021-04-21,16244.0,Toy Vehicles
93,2021-04-22,14526.0,Toy Vehicles
94,2021-04-23,14526.0,Toy Vehicles
95,2021-04-24,20217.0,Toy Vehicles
96,2021-04-25,17227.0,Toy Vehicles
97,2021-04-26,17227.0,Toy Vehicles
98,2021-04-27,17227.0,Toy Vehicles
99,2021-04-28,13682.0,Toy Vehicles
100,2021-04-29,13682.0,Toy Vehicles
101,2021-04-30,26228.0,Toy Vehicles
102,2021-05-01,14653.0,Toy Vehicles
103,2021-05-02,14653.0,Toy Vehicles
104,2021-05-03,14653.0,Toy Vehicles
105,2021-05-04,13636.0,Toy Vehicles
106,2021-05-05,18748.0,Toy Vehicles
107,2021-05-06,18748.0,Toy Vehicles
108,2021-05-07,15946.0,Toy Vehicles
109,2021-05-08,15946.0,Toy Vehicles
110,2021-05-09,15946.0,Toy Vehicles
111,2021-05-10,51482.0,Toy Vehicles
112,2021-05-11,51482.0,Toy Vehicles
113,2021-05-12,51482.0,Toy Vehicles
114,2021-05-13,115508.0,Toy Vehicles
115,2021-05-14,115508.0,Toy Vehicles
116,2021-05-15,115508.0,Toy Vehicles
117,2021-05-16,115508.0,Toy Vehicles
118,2021-05-17,115508.0,Toy Vehicles
119,2021-05-18,115508.0,Toy Vehicles
120,2021-05-19,155168.0,Toy Vehicles
121,2021-05-20,110693.0,Toy Vehicles
122,2021-05-21,110693.0,Toy Vehicles
123,2021-05-22,110693.0,Toy Vehicles
124,2021-05-23,110693.0,Toy Vehicles
125,2021-05-24,110693.0,Toy Vehicles
126,2021-05-25,110693.0,Toy Vehicles
127,2021-05-26,110693.0,Toy Vehicles
128,2021-05-27,110693.0,Toy Vehicles
129,2021-05-28,110693.0,Toy Vehicles
130,2021-05-29,110693.0,Toy Vehicles
131,2021-05-30,110693.0,Toy Vehicles
132,2021-05-31,110693.0,Toy Vehicles
133,2021-06-01,110693.0,Toy Vehicles
134,2021-06-02,110693.0,Toy Vehicles
135,2021-06-03,194105.0,Toy Vehicles
136,2021-06-04,194105.0,Toy Vehicles
137,2021-06-05,194105.0,Toy Vehicles
138,2021-06-06,194105.0,Toy Vehicles
139,2021-06-07,222337.0,Toy Vehicles
140,2021-06-08,222337.0,Toy Vehicles
141,2021-06-09,109476.0,Toy Vehicles
142,2021-06-10,109476.0,Toy Vehicles
143,2021-06-11,41928.0,Toy Vehicles
144,2021-06-12,56090.0,Toy Vehicles
145,2021-06-13,56090.0,Toy Vehicles
146,2021-06-14,56090.0,Toy Vehicles
147,2021-06-15,56090.0,Toy Vehicles
148,2021-06-16,52661.0,Toy Vehicles
149,2021-06-17,68164.0,Toy Vehicles
150,2021-06-18,55365.0,Toy Vehicles
151,2021-06-19,55365.0,Toy Vehicles
152,2021-06-20,55365.0,Toy Vehicles
153,2021-06-21,55365.0,Toy Vehicles
154,2021-06-22,55365.0,Toy Vehicles
155,2021-06-23,9970.0,Toy Vehicles
156,2021-06-24,14831.0,Toy Vehicles
157,2021-06-25,14831.0,Toy Vehicles
158,2021-06-26,27561.0,Toy Vehicles
159,2021-06-27,27561.0,Toy Vehicles
160,2021-06-28,32130.0,Toy Vehicles
161,2021-06-29,32220.0,Toy Vehicles
162,2021-06-30,37464.0,Toy Vehicles
163,2021-07-01,37464.0,Toy Vehicles
164,2021-07-02,33980.0,Toy Vehicles
165,2021-07-03,33980.0,Toy Vehicles
166,2021-07-04,33980.0,Toy Vehicles
167,2021-07-05,44594.0,Toy Vehicles
168,2021-07-06,49331.0,Toy Vehicles
169,2021-07-07,27404.0,Toy Vehicles
170,2021-07-08,32451.0,Toy Vehicles
171,2021-07-09,20186.0,Toy Vehicles
