,date,value,name_B0857BM9XW
48,2021-01-23,30880.0,Itch Remedies
49,2021-01-24,30880.0,Itch Remedies
50,2021-01-25,30880.0,Itch Remedies
51,2021-01-26,30880.0,Itch Remedies
52,2021-01-27,30880.0,Itch Remedies
53,2021-01-28,30880.0,Itch Remedies
54,2021-01-29,30880.0,Itch Remedies
55,2021-01-30,30880.0,Itch Remedies
56,2021-01-31,30880.0,Itch Remedies
57,2021-02-01,30880.0,Itch Remedies
58,2021-02-02,30880.0,Itch Remedies
59,2021-02-03,30880.0,Itch Remedies
60,2021-02-04,30880.0,Itch Remedies
61,2021-02-05,30880.0,Itch Remedies
62,2021-02-06,30880.0,Itch Remedies
63,2021-02-07,30880.0,Itch Remedies
64,2021-02-08,30880.0,Itch Remedies
65,2021-02-09,30880.0,Itch Remedies
66,2021-02-10,30880.0,Itch Remedies
67,2021-02-11,30880.0,Itch Remedies
68,2021-02-12,30880.0,Itch Remedies
69,2021-02-13,30880.0,Itch Remedies
70,2021-02-14,30880.0,Itch Remedies
71,2021-02-15,30880.0,Itch Remedies
72,2021-02-16,30880.0,Itch Remedies
73,2021-02-17,30880.0,Itch Remedies
74,2021-02-18,30880.0,Itch Remedies
75,2021-02-19,30880.0,Itch Remedies
76,2021-02-20,30880.0,Itch Remedies
77,2021-02-21,30880.0,Itch Remedies
78,2021-02-22,30880.0,Itch Remedies
79,2021-02-23,30880.0,Itch Remedies
80,2021-02-24,30880.0,Itch Remedies
81,2021-02-25,30880.0,Itch Remedies
82,2021-02-26,30880.0,Itch Remedies
83,2021-02-27,30880.0,Itch Remedies
84,2021-02-28,30880.0,Itch Remedies
85,2021-03-01,5164.0,Itch Remedies
86,2021-03-02,5164.0,Itch Remedies
87,2021-03-03,5164.0,Itch Remedies
88,2021-03-04,5164.0,Itch Remedies
89,2021-03-05,5164.0,Itch Remedies
90,2021-03-06,5164.0,Itch Remedies
91,2021-03-07,5164.0,Itch Remedies
92,2021-03-08,5164.0,Itch Remedies
93,2021-03-09,5164.0,Itch Remedies
94,2021-03-10,5164.0,Itch Remedies
95,2021-03-11,5164.0,Itch Remedies
96,2021-03-12,5164.0,Itch Remedies
97,2021-03-13,5164.0,Itch Remedies
98,2021-03-14,5164.0,Itch Remedies
99,2021-03-15,5164.0,Itch Remedies
100,2021-03-16,5164.0,Itch Remedies
101,2021-03-17,5164.0,Itch Remedies
102,2021-03-18,5164.0,Itch Remedies
103,2021-03-19,5164.0,Itch Remedies
104,2021-03-20,5164.0,Itch Remedies
105,2021-03-21,5164.0,Itch Remedies
106,2021-03-22,5164.0,Itch Remedies
107,2021-03-23,5164.0,Itch Remedies
108,2021-03-24,5164.0,Itch Remedies
109,2021-03-25,5164.0,Itch Remedies
110,2021-03-26,5164.0,Itch Remedies
111,2021-03-27,5164.0,Itch Remedies
112,2021-03-28,5164.0,Itch Remedies
113,2021-03-29,5164.0,Itch Remedies
114,2021-03-30,5164.0,Itch Remedies
115,2021-03-31,5164.0,Itch Remedies
116,2021-04-01,5164.0,Itch Remedies
117,2021-04-02,5198.0,Itch Remedies
118,2021-04-03,5206.0,Itch Remedies
119,2021-04-04,5865.0,Itch Remedies
120,2021-04-05,4721.0,Itch Remedies
121,2021-04-06,4871.0,Itch Remedies
122,2021-04-07,4119.0,Itch Remedies
123,2021-04-08,4445.0,Itch Remedies
124,2021-04-09,4016.0,Itch Remedies
125,2021-04-10,4625.0,Itch Remedies
126,2021-04-11,4687.0,Itch Remedies
127,2021-04-12,4723.0,Itch Remedies
128,2021-04-13,4148.0,Itch Remedies
129,2021-04-14,4846.0,Itch Remedies
130,2021-04-15,5182.0,Itch Remedies
131,2021-04-16,5143.0,Itch Remedies
132,2021-04-17,5669.0,Itch Remedies
133,2021-04-18,6236.0,Itch Remedies
134,2021-04-19,7356.0,Itch Remedies
135,2021-04-20,6747.0,Itch Remedies
136,2021-04-21,6053.0,Itch Remedies
137,2021-04-22,9002.0,Itch Remedies
138,2021-04-23,7887.0,Itch Remedies
139,2021-04-24,8621.0,Itch Remedies
140,2021-04-25,7546.0,Itch Remedies
141,2021-04-26,10004.0,Itch Remedies
142,2021-04-27,8008.0,Itch Remedies
143,2021-04-28,8909.0,Itch Remedies
144,2021-04-29,8115.0,Itch Remedies
145,2021-04-30,7785.0,Itch Remedies
146,2021-05-01,8365.0,Itch Remedies
147,2021-05-02,7566.0,Itch Remedies
148,2021-05-03,8515.0,Itch Remedies
149,2021-05-04,8100.0,Itch Remedies
150,2021-05-05,6574.0,Itch Remedies
151,2021-05-06,6501.0,Itch Remedies
152,2021-05-07,7048.0,Itch Remedies
153,2021-05-08,7709.0,Itch Remedies
154,2021-05-09,6659.0,Itch Remedies
155,2021-05-10,7655.0,Itch Remedies
156,2021-05-11,8449.0,Itch Remedies
157,2021-05-12,7899.0,Itch Remedies
158,2021-05-13,8545.0,Itch Remedies
159,2021-05-14,7996.0,Itch Remedies
160,2021-05-15,9473.0,Itch Remedies
161,2021-05-16,7927.0,Itch Remedies
162,2021-05-17,8347.0,Itch Remedies
163,2021-05-18,8539.0,Itch Remedies
164,2021-05-19,8578.0,Itch Remedies
165,2021-05-20,6985.0,Itch Remedies
166,2021-05-21,7851.0,Itch Remedies
167,2021-05-22,7528.0,Itch Remedies
168,2021-05-23,7590.0,Itch Remedies
169,2021-05-24,7270.0,Itch Remedies
170,2021-05-25,7330.0,Itch Remedies
171,2021-05-26,6029.0,Itch Remedies
172,2021-05-27,6998.0,Itch Remedies
173,2021-05-28,7366.0,Itch Remedies
174,2021-05-29,6814.0,Itch Remedies
175,2021-05-30,7989.0,Itch Remedies
176,2021-05-31,6970.0,Itch Remedies
177,2021-06-01,7114.0,Itch Remedies
178,2021-06-02,7095.0,Itch Remedies
179,2021-06-03,6765.0,Itch Remedies
180,2021-06-04,8278.0,Itch Remedies
181,2021-06-05,8312.0,Itch Remedies
182,2021-06-06,6551.0,Itch Remedies
183,2021-06-07,7463.0,Itch Remedies
184,2021-06-08,6997.0,Itch Remedies
185,2021-06-09,7488.0,Itch Remedies
186,2021-06-10,6314.0,Itch Remedies
187,2021-06-11,6500.0,Itch Remedies
188,2021-06-12,5675.0,Itch Remedies
189,2021-06-13,5364.0,Itch Remedies
190,2021-06-14,6141.0,Itch Remedies
191,2021-06-15,6318.0,Itch Remedies
192,2021-06-16,7883.0,Itch Remedies
193,2021-06-17,6143.0,Itch Remedies
194,2021-06-18,6811.0,Itch Remedies
195,2021-06-19,6238.0,Itch Remedies
196,2021-06-20,6819.0,Itch Remedies
197,2021-06-21,6650.0,Itch Remedies
198,2021-06-22,6752.0,Itch Remedies
199,2021-06-23,8444.0,Itch Remedies
200,2021-06-24,7693.0,Itch Remedies
201,2021-06-25,5149.0,Itch Remedies
202,2021-06-26,5239.0,Itch Remedies
203,2021-06-27,7290.0,Itch Remedies
204,2021-06-28,6602.0,Itch Remedies
205,2021-06-29,8255.0,Itch Remedies
206,2021-06-30,6830.0,Itch Remedies
207,2021-07-01,6830.0,Itch Remedies
208,2021-07-02,5441.0,Itch Remedies
209,2021-07-03,5441.0,Itch Remedies
210,2021-07-04,5441.0,Itch Remedies
211,2021-07-05,6238.0,Itch Remedies
212,2021-07-06,6238.0,Itch Remedies
213,2021-07-07,5909.0,Itch Remedies
214,2021-07-08,5909.0,Itch Remedies
215,2021-07-09,5909.0,Itch Remedies
216,2021-07-10,5909.0,Itch Remedies
217,2021-07-11,19260.0,Itch Remedies
