,date,value,name_B07S7R5V72
205,2020-12-17,31434.0,Trace Minerals
206,2020-12-18,23483.0,Trace Minerals
207,2020-12-19,23483.0,Trace Minerals
208,2020-12-20,21650.0,Trace Minerals
209,2020-12-21,24603.0,Trace Minerals
210,2020-12-22,19609.0,Trace Minerals
211,2020-12-23,19326.0,Trace Minerals
212,2020-12-24,17982.0,Trace Minerals
213,2020-12-25,17982.0,Trace Minerals
214,2020-12-26,17982.0,Trace Minerals
215,2020-12-27,16158.0,Trace Minerals
216,2020-12-28,18771.0,Trace Minerals
217,2020-12-29,20529.0,Trace Minerals
218,2020-12-30,20529.0,Trace Minerals
219,2020-12-31,20529.0,Trace Minerals
220,2021-01-01,19431.0,Trace Minerals
221,2021-01-02,25332.0,Trace Minerals
222,2021-01-03,25332.0,Trace Minerals
223,2021-01-04,23742.0,Trace Minerals
224,2021-01-05,24240.0,Trace Minerals
225,2021-01-06,24456.0,Trace Minerals
226,2021-01-07,25778.0,Trace Minerals
227,2021-01-08,25778.0,Trace Minerals
228,2021-01-09,25778.0,Trace Minerals
229,2021-01-10,22443.0,Trace Minerals
230,2021-01-11,22779.0,Trace Minerals
231,2021-01-12,22779.0,Trace Minerals
232,2021-01-13,19791.0,Trace Minerals
233,2021-01-14,19791.0,Trace Minerals
234,2021-01-15,21304.0,Trace Minerals
235,2021-01-16,20665.0,Trace Minerals
236,2021-01-17,20665.0,Trace Minerals
237,2021-01-18,20665.0,Trace Minerals
238,2021-01-19,18183.0,Trace Minerals
239,2021-01-20,23386.0,Trace Minerals
240,2021-01-21,28907.0,Trace Minerals
241,2021-01-22,28907.0,Trace Minerals
242,2021-01-23,23450.0,Trace Minerals
243,2021-01-24,23450.0,Trace Minerals
244,2021-01-25,26299.0,Trace Minerals
245,2021-01-26,23127.0,Trace Minerals
246,2021-01-27,23127.0,Trace Minerals
247,2021-01-28,25843.0,Trace Minerals
248,2021-01-29,26992.0,Trace Minerals
249,2021-01-30,26992.0,Trace Minerals
250,2021-01-31,20886.0,Trace Minerals
251,2021-02-01,24341.0,Trace Minerals
252,2021-02-02,24512.0,Trace Minerals
253,2021-02-03,24512.0,Trace Minerals
254,2021-02-04,19991.0,Trace Minerals
255,2021-02-05,19991.0,Trace Minerals
256,2021-02-06,19991.0,Trace Minerals
257,2021-02-07,19465.0,Trace Minerals
258,2021-02-08,19465.0,Trace Minerals
259,2021-02-09,17096.0,Trace Minerals
260,2021-02-10,17096.0,Trace Minerals
261,2021-02-11,17133.0,Trace Minerals
262,2021-02-12,19521.0,Trace Minerals
263,2021-02-13,19521.0,Trace Minerals
264,2021-02-14,19443.0,Trace Minerals
265,2021-02-15,16657.0,Trace Minerals
266,2021-02-16,20253.0,Trace Minerals
267,2021-02-17,19551.0,Trace Minerals
268,2021-02-18,18485.0,Trace Minerals
269,2021-02-19,18485.0,Trace Minerals
270,2021-02-20,23607.0,Trace Minerals
271,2021-02-21,22521.0,Trace Minerals
272,2021-02-22,24349.0,Trace Minerals
273,2021-02-23,23918.0,Trace Minerals
274,2021-02-24,29962.0,Trace Minerals
275,2021-02-25,29962.0,Trace Minerals
276,2021-02-26,29962.0,Trace Minerals
277,2021-02-27,20835.0,Trace Minerals
278,2021-02-28,20835.0,Trace Minerals
279,2021-03-01,23115.0,Trace Minerals
280,2021-03-02,24650.0,Trace Minerals
281,2021-03-03,18427.0,Trace Minerals
282,2021-03-04,18427.0,Trace Minerals
283,2021-03-05,22487.0,Trace Minerals
284,2021-03-06,22487.0,Trace Minerals
285,2021-03-07,22487.0,Trace Minerals
286,2021-03-08,22760.0,Trace Minerals
287,2021-03-09,23142.0,Trace Minerals
288,2021-03-10,18718.0,Trace Minerals
289,2021-03-11,18960.0,Trace Minerals
290,2021-03-12,22096.0,Trace Minerals
291,2021-03-13,20584.0,Trace Minerals
292,2021-03-14,20584.0,Trace Minerals
293,2021-03-15,26469.0,Trace Minerals
294,2021-03-16,20321.0,Trace Minerals
295,2021-03-17,20321.0,Trace Minerals
