,date,value,name_B085DTRJZR
274,2021-02-24,6001.0,Electric
275,2021-02-25,5037.0,Electric
276,2021-02-26,5037.0,Electric
277,2021-02-27,4567.0,Electric
278,2021-02-28,4567.0,Electric
279,2021-03-01,4702.0,Electric
280,2021-03-02,4702.0,Electric
281,2021-03-03,4702.0,Electric
282,2021-03-04,5042.0,Electric
283,2021-03-05,5344.0,Electric
284,2021-03-06,5308.0,Electric
285,2021-03-07,4935.0,Electric
286,2021-03-08,5117.0,Electric
287,2021-03-09,5597.0,Electric
288,2021-03-10,5573.0,Electric
289,2021-03-11,4638.0,Electric
290,2021-03-12,4638.0,Electric
291,2021-03-13,4638.0,Electric
292,2021-03-14,4574.0,Electric
293,2021-03-15,4262.0,Electric
294,2021-03-16,4005.0,Electric
295,2021-03-17,3488.0,Electric
296,2021-03-18,3194.0,Electric
297,2021-03-19,3511.0,Electric
298,2021-03-20,3717.0,Electric
299,2021-03-21,3717.0,Electric
300,2021-03-22,3717.0,Electric
301,2021-03-23,4300.0,Electric
302,2021-03-24,4300.0,Electric
303,2021-03-25,3705.0,Electric
304,2021-03-26,3705.0,Electric
305,2021-03-27,3705.0,Electric
306,2021-03-28,4084.0,Electric
307,2021-03-29,4084.0,Electric
308,2021-03-30,4084.0,Electric
309,2021-03-31,3824.0,Electric
310,2021-04-01,3824.0,Electric
311,2021-04-02,3908.0,Electric
312,2021-04-03,3908.0,Electric
313,2021-04-04,3629.0,Electric
314,2021-04-05,3629.0,Electric
315,2021-04-06,3629.0,Electric
316,2021-04-07,3603.0,Electric
317,2021-04-08,3603.0,Electric
318,2021-04-09,3266.0,Electric
319,2021-04-10,2909.0,Electric
320,2021-04-11,2683.0,Electric
321,2021-04-12,2683.0,Electric
322,2021-04-13,2683.0,Electric
323,2021-04-14,2805.0,Electric
324,2021-04-15,2918.0,Electric
325,2021-04-16,2844.0,Electric
326,2021-04-17,2844.0,Electric
327,2021-04-18,3631.0,Electric
328,2021-04-19,3631.0,Electric
329,2021-04-20,3276.0,Electric
330,2021-04-21,3322.0,Electric
331,2021-04-22,3116.0,Electric
332,2021-04-23,2871.0,Electric
333,2021-04-24,2871.0,Electric
334,2021-04-25,2871.0,Electric
335,2021-04-26,3743.0,Electric
336,2021-04-27,3743.0,Electric
337,2021-04-28,4307.0,Electric
338,2021-04-29,4493.0,Electric
339,2021-04-30,4493.0,Electric
340,2021-05-01,3485.0,Electric
341,2021-05-02,3633.0,Electric
342,2021-05-03,3633.0,Electric
343,2021-05-04,4904.0,Electric
344,2021-05-05,4904.0,Electric
345,2021-05-06,4302.0,Electric
346,2021-05-07,4302.0,Electric
347,2021-05-08,4302.0,Electric
348,2021-05-09,3866.0,Electric
349,2021-05-10,4114.0,Electric
350,2021-05-11,4114.0,Electric
351,2021-05-12,4130.0,Electric
352,2021-05-13,4130.0,Electric
353,2021-05-14,3037.0,Electric
354,2021-05-15,3037.0,Electric
355,2021-05-16,3813.0,Electric
356,2021-05-17,4546.0,Electric
357,2021-05-18,4546.0,Electric
358,2021-05-19,4683.0,Electric
359,2021-05-20,4271.0,Electric
360,2021-05-21,3963.0,Electric
361,2021-05-22,3963.0,Electric
362,2021-05-23,4075.0,Electric
363,2021-05-24,3952.0,Electric
364,2021-05-25,4047.0,Electric
365,2021-05-26,3804.0,Electric
366,2021-05-27,3297.0,Electric
367,2021-05-28,3297.0,Electric
368,2021-05-29,2898.0,Electric
369,2021-05-30,2898.0,Electric
370,2021-05-31,3012.0,Electric
371,2021-06-01,3132.0,Electric
372,2021-06-02,3132.0,Electric
373,2021-06-03,3132.0,Electric
374,2021-06-04,2724.0,Electric
375,2021-06-05,2724.0,Electric
376,2021-06-06,2724.0,Electric
377,2021-06-07,2853.0,Electric
378,2021-06-08,2853.0,Electric
379,2021-06-09,3416.0,Electric
380,2021-06-10,3522.0,Electric
381,2021-06-11,3522.0,Electric
382,2021-06-12,2853.0,Electric
383,2021-06-13,3064.0,Electric
384,2021-06-14,3064.0,Electric
385,2021-06-15,3167.0,Electric
386,2021-06-16,3568.0,Electric
387,2021-06-17,3568.0,Electric
388,2021-06-18,3034.0,Electric
389,2021-06-19,3034.0,Electric
390,2021-06-20,3034.0,Electric
391,2021-06-21,3448.0,Electric
392,2021-06-22,2828.0,Electric
393,2021-06-23,2828.0,Electric
394,2021-06-24,3104.0,Electric
395,2021-06-25,3579.0,Electric
396,2021-06-26,3579.0,Electric
397,2021-06-27,3579.0,Electric
398,2021-06-28,4419.0,Electric
399,2021-06-29,4678.0,Electric
400,2021-06-30,4678.0,Electric
401,2021-07-01,4855.0,Electric
402,2021-07-02,4855.0,Electric
403,2021-07-03,4855.0,Electric
404,2021-07-04,5138.0,Electric
405,2021-07-05,5138.0,Electric
406,2021-07-06,5261.0,Electric
407,2021-07-07,5477.0,Electric
408,2021-07-08,5477.0,Electric
409,2021-07-09,3884.0,Electric
410,2021-07-10,3884.0,Electric
411,2021-07-11,3398.0,Electric
