,date,value,name_B07S3GJTZ7
387,2020-08-20,6306.0,Chair Pads
388,2020-08-21,6165.0,Chair Pads
389,2020-08-22,6165.0,Chair Pads
390,2020-08-23,6165.0,Chair Pads
391,2020-08-24,4336.0,Chair Pads
392,2020-08-25,4209.0,Chair Pads
393,2020-08-26,4209.0,Chair Pads
394,2020-08-27,4209.0,Chair Pads
395,2020-08-28,4629.0,Chair Pads
396,2020-08-29,4629.0,Chair Pads
397,2020-08-30,4629.0,Chair Pads
398,2020-08-31,6039.0,Chair Pads
399,2020-09-01,6039.0,Chair Pads
400,2020-09-02,6039.0,Chair Pads
401,2020-09-03,5111.0,Chair Pads
402,2020-09-04,5111.0,Chair Pads
403,2020-09-05,4957.0,Chair Pads
404,2020-09-06,4957.0,Chair Pads
405,2020-09-07,4957.0,Chair Pads
406,2020-09-08,5032.0,Chair Pads
407,2020-09-09,3484.0,Chair Pads
408,2020-09-10,3484.0,Chair Pads
409,2020-09-11,2469.0,Chair Pads
410,2020-09-12,2418.0,Chair Pads
411,2020-09-13,2418.0,Chair Pads
412,2020-09-14,1902.0,Chair Pads
413,2020-09-15,1588.0,Chair Pads
414,2020-09-16,1474.0,Chair Pads
415,2020-09-17,1474.0,Chair Pads
416,2020-09-18,1809.0,Chair Pads
417,2020-09-19,1809.0,Chair Pads
418,2020-09-20,1980.0,Chair Pads
419,2020-09-21,1980.0,Chair Pads
420,2020-09-22,1980.0,Chair Pads
421,2020-09-23,4187.0,Chair Pads
422,2020-09-24,2327.0,Chair Pads
423,2020-09-25,2327.0,Chair Pads
424,2020-09-26,2623.0,Chair Pads
425,2020-09-27,2623.0,Chair Pads
426,2020-09-28,4561.0,Chair Pads
427,2020-09-29,4780.0,Chair Pads
428,2020-09-30,4780.0,Chair Pads
429,2020-10-01,8366.0,Chair Pads
430,2020-10-02,8366.0,Chair Pads
431,2020-10-03,8366.0,Chair Pads
432,2020-10-04,8366.0,Chair Pads
433,2020-10-05,11611.0,Chair Pads
434,2020-10-06,10745.0,Chair Pads
435,2020-10-07,10745.0,Chair Pads
436,2020-10-08,10745.0,Chair Pads
437,2020-10-09,15693.0,Chair Pads
438,2020-10-10,15693.0,Chair Pads
439,2020-10-11,15693.0,Chair Pads
440,2020-10-12,18637.0,Chair Pads
441,2020-10-13,18637.0,Chair Pads
442,2020-10-14,18637.0,Chair Pads
443,2020-10-15,18637.0,Chair Pads
444,2020-10-16,18637.0,Chair Pads
445,2020-10-17,18637.0,Chair Pads
446,2020-10-18,19141.0,Chair Pads
