,date,value,name_B08ML2QL52
102,2021-02-17,7173.0,Multivitamins
103,2021-02-18,7173.0,Multivitamins
104,2021-02-19,7173.0,Multivitamins
105,2021-02-20,7173.0,Multivitamins
106,2021-02-21,7173.0,Multivitamins
107,2021-02-22,7173.0,Multivitamins
108,2021-02-23,7173.0,Multivitamins
109,2021-02-24,7173.0,Multivitamins
110,2021-02-25,7173.0,Multivitamins
111,2021-02-26,7173.0,Multivitamins
112,2021-02-27,7173.0,Multivitamins
113,2021-02-28,7173.0,Multivitamins
114,2021-03-01,7173.0,Multivitamins
115,2021-03-02,7173.0,Multivitamins
116,2021-03-03,7173.0,Multivitamins
117,2021-03-04,7173.0,Multivitamins
118,2021-03-05,7173.0,Multivitamins
119,2021-03-06,7173.0,Multivitamins
120,2021-03-07,7173.0,Multivitamins
121,2021-03-08,7173.0,Multivitamins
122,2021-03-09,7173.0,Multivitamins
123,2021-03-10,7173.0,Multivitamins
124,2021-03-11,7173.0,Multivitamins
125,2021-03-12,7173.0,Multivitamins
126,2021-03-13,7173.0,Multivitamins
127,2021-03-14,7173.0,Multivitamins
128,2021-03-15,7173.0,Multivitamins
129,2021-03-16,6227.0,Multivitamins
130,2021-03-17,7224.0,Multivitamins
131,2021-03-18,7224.0,Multivitamins
132,2021-03-19,7224.0,Multivitamins
133,2021-03-20,6071.0,Multivitamins
134,2021-03-21,6071.0,Multivitamins
135,2021-03-22,6301.0,Multivitamins
136,2021-03-23,6301.0,Multivitamins
137,2021-03-24,6301.0,Multivitamins
138,2021-03-25,7182.0,Multivitamins
139,2021-03-26,5898.0,Multivitamins
140,2021-03-27,5898.0,Multivitamins
141,2021-03-28,5898.0,Multivitamins
142,2021-03-29,6229.0,Multivitamins
143,2021-03-30,6229.0,Multivitamins
144,2021-03-31,6229.0,Multivitamins
145,2021-04-01,5774.0,Multivitamins
146,2021-04-02,5774.0,Multivitamins
147,2021-04-03,5330.0,Multivitamins
148,2021-04-04,5330.0,Multivitamins
149,2021-04-05,5330.0,Multivitamins
150,2021-04-06,6292.0,Multivitamins
151,2021-04-07,6292.0,Multivitamins
152,2021-04-08,6030.0,Multivitamins
153,2021-04-09,6030.0,Multivitamins
154,2021-04-10,6030.0,Multivitamins
155,2021-04-11,6122.0,Multivitamins
156,2021-04-12,6122.0,Multivitamins
157,2021-04-13,5974.0,Multivitamins
158,2021-04-14,5974.0,Multivitamins
159,2021-04-15,5536.0,Multivitamins
160,2021-04-16,5536.0,Multivitamins
161,2021-04-17,5536.0,Multivitamins
162,2021-04-18,6066.0,Multivitamins
163,2021-04-19,5260.0,Multivitamins
164,2021-04-20,5195.0,Multivitamins
165,2021-04-21,5954.0,Multivitamins
166,2021-04-22,5954.0,Multivitamins
167,2021-04-23,5760.0,Multivitamins
168,2021-04-24,5760.0,Multivitamins
169,2021-04-25,5760.0,Multivitamins
170,2021-04-26,6874.0,Multivitamins
171,2021-04-27,6874.0,Multivitamins
172,2021-04-28,6096.0,Multivitamins
173,2021-04-29,6096.0,Multivitamins
174,2021-04-30,6116.0,Multivitamins
175,2021-05-01,6116.0,Multivitamins
176,2021-05-02,6116.0,Multivitamins
177,2021-05-03,6143.0,Multivitamins
178,2021-05-04,6143.0,Multivitamins
179,2021-05-05,6200.0,Multivitamins
180,2021-05-06,6772.0,Multivitamins
181,2021-05-07,6772.0,Multivitamins
182,2021-05-08,6772.0,Multivitamins
183,2021-05-09,5709.0,Multivitamins
184,2021-05-10,5709.0,Multivitamins
185,2021-05-11,5617.0,Multivitamins
186,2021-05-12,5617.0,Multivitamins
187,2021-05-13,5617.0,Multivitamins
188,2021-05-14,5287.0,Multivitamins
189,2021-05-15,5484.0,Multivitamins
190,2021-05-16,5484.0,Multivitamins
191,2021-05-17,6245.0,Multivitamins
192,2021-05-18,4885.0,Multivitamins
193,2021-05-19,4885.0,Multivitamins
194,2021-05-20,5844.0,Multivitamins
195,2021-05-21,5835.0,Multivitamins
196,2021-05-22,5835.0,Multivitamins
197,2021-05-23,5182.0,Multivitamins
198,2021-05-24,5182.0,Multivitamins
199,2021-05-25,5925.0,Multivitamins
200,2021-05-26,5925.0,Multivitamins
201,2021-05-27,5757.0,Multivitamins
202,2021-05-28,6150.0,Multivitamins
203,2021-05-29,6150.0,Multivitamins
204,2021-05-30,5827.0,Multivitamins
205,2021-05-31,5827.0,Multivitamins
206,2021-06-01,5827.0,Multivitamins
207,2021-06-02,5918.0,Multivitamins
208,2021-06-03,5918.0,Multivitamins
209,2021-06-04,5493.0,Multivitamins
210,2021-06-05,5493.0,Multivitamins
211,2021-06-06,5493.0,Multivitamins
212,2021-06-07,6838.0,Multivitamins
213,2021-06-08,6393.0,Multivitamins
214,2021-06-09,6393.0,Multivitamins
215,2021-06-10,7635.0,Multivitamins
216,2021-06-11,7635.0,Multivitamins
217,2021-06-12,7635.0,Multivitamins
218,2021-06-13,7202.0,Multivitamins
219,2021-06-14,7202.0,Multivitamins
220,2021-06-15,5734.0,Multivitamins
221,2021-06-16,5734.0,Multivitamins
222,2021-06-17,6428.0,Multivitamins
223,2021-06-18,5894.0,Multivitamins
224,2021-06-19,6108.0,Multivitamins
225,2021-06-20,6112.0,Multivitamins
226,2021-06-21,5775.0,Multivitamins
227,2021-06-22,8415.0,Multivitamins
228,2021-06-23,8186.0,Multivitamins
229,2021-06-24,7770.0,Multivitamins
230,2021-06-25,6666.0,Multivitamins
231,2021-06-26,7935.0,Multivitamins
232,2021-06-27,7587.0,Multivitamins
233,2021-06-28,7983.0,Multivitamins
234,2021-06-29,7111.0,Multivitamins
235,2021-06-30,6686.0,Multivitamins
236,2021-07-01,7101.0,Multivitamins
237,2021-07-02,6826.0,Multivitamins
238,2021-07-03,8291.0,Multivitamins
239,2021-07-04,7605.0,Multivitamins
240,2021-07-05,7120.0,Multivitamins
241,2021-07-06,6857.0,Multivitamins
242,2021-07-07,6727.0,Multivitamins
243,2021-07-08,7859.0,Multivitamins
244,2021-07-09,8528.0,Multivitamins
245,2021-07-10,8259.0,Multivitamins
246,2021-07-11,7498.0,Multivitamins
