,date,value,name_B089SKGFYT
161,2021-05-10,163340.0,Mattress Protectors
162,2021-05-11,163340.0,Mattress Protectors
163,2021-05-12,163340.0,Mattress Protectors
164,2021-05-13,163340.0,Mattress Protectors
165,2021-05-14,78729.0,Mattress Protectors
166,2021-05-15,78729.0,Mattress Protectors
167,2021-05-16,78729.0,Mattress Protectors
168,2021-05-17,78729.0,Mattress Protectors
169,2021-05-18,78729.0,Mattress Protectors
170,2021-05-19,61333.0,Mattress Protectors
171,2021-05-20,61333.0,Mattress Protectors
172,2021-05-21,61333.0,Mattress Protectors
173,2021-05-22,61333.0,Mattress Protectors
174,2021-05-23,61333.0,Mattress Protectors
175,2021-05-24,61333.0,Mattress Protectors
176,2021-05-25,80786.0,Mattress Protectors
177,2021-05-26,80786.0,Mattress Protectors
178,2021-05-27,80786.0,Mattress Protectors
179,2021-05-28,80786.0,Mattress Protectors
180,2021-05-29,80786.0,Mattress Protectors
181,2021-05-30,80786.0,Mattress Protectors
182,2021-05-31,80786.0,Mattress Protectors
183,2021-06-01,80786.0,Mattress Protectors
184,2021-06-02,80786.0,Mattress Protectors
185,2021-06-03,80786.0,Mattress Protectors
186,2021-06-04,80786.0,Mattress Protectors
187,2021-06-05,80786.0,Mattress Protectors
188,2021-06-06,80786.0,Mattress Protectors
189,2021-06-07,80786.0,Mattress Protectors
190,2021-06-08,80786.0,Mattress Protectors
191,2021-06-09,80786.0,Mattress Protectors
192,2021-06-10,174326.0,Mattress Protectors
193,2021-06-11,174326.0,Mattress Protectors
194,2021-06-12,174326.0,Mattress Protectors
195,2021-06-13,174326.0,Mattress Protectors
196,2021-06-14,174326.0,Mattress Protectors
197,2021-06-15,174326.0,Mattress Protectors
198,2021-06-16,116229.0,Mattress Protectors
199,2021-06-17,116229.0,Mattress Protectors
200,2021-06-18,116229.0,Mattress Protectors
201,2021-06-19,116229.0,Mattress Protectors
202,2021-06-20,116229.0,Mattress Protectors
203,2021-06-21,48854.0,Mattress Protectors
204,2021-06-22,43860.0,Mattress Protectors
205,2021-06-23,20513.0,Mattress Protectors
206,2021-06-24,20513.0,Mattress Protectors
207,2021-06-25,20513.0,Mattress Protectors
208,2021-06-26,20513.0,Mattress Protectors
209,2021-06-27,20513.0,Mattress Protectors
210,2021-06-28,20513.0,Mattress Protectors
211,2021-06-29,78390.0,Mattress Protectors
212,2021-06-30,78390.0,Mattress Protectors
213,2021-07-01,78390.0,Mattress Protectors
214,2021-07-02,133330.0,Mattress Protectors
215,2021-07-03,133330.0,Mattress Protectors
216,2021-07-04,133330.0,Mattress Protectors
217,2021-07-05,105049.0,Mattress Protectors
218,2021-07-06,105049.0,Mattress Protectors
219,2021-07-07,105049.0,Mattress Protectors
220,2021-07-08,105049.0,Mattress Protectors
221,2021-07-09,80747.0,Mattress Protectors
222,2021-07-10,80747.0,Mattress Protectors
223,2021-07-11,74772.0,Mattress Protectors
