,date,value,name_B07N6MW8NX
117,2020-09-18,1631.0,Paints
118,2020-09-19,1333.0,Paints
119,2020-09-20,8.0,Paints
120,2020-09-21,87.0,Paints
121,2020-09-22,247.0,Paints
122,2020-09-23,550.0,Paints
123,2020-09-24,746.0,Paints
124,2020-09-25,746.0,Paints
125,2020-09-26,746.0,Paints
126,2020-09-27,694.0,Paints
127,2020-09-28,935.0,Paints
128,2020-09-29,935.0,Paints
129,2020-09-30,1225.0,Paints
130,2020-10-01,1225.0,Paints
131,2020-10-02,1225.0,Paints
132,2020-10-03,1225.0,Paints
133,2020-10-04,1394.0,Paints
134,2020-10-05,1113.0,Paints
135,2020-10-06,1113.0,Paints
136,2020-10-07,1113.0,Paints
137,2020-10-08,1851.0,Paints
138,2020-10-09,1851.0,Paints
139,2020-10-10,1326.0,Paints
140,2020-10-11,1326.0,Paints
141,2020-10-12,1503.0,Paints
142,2020-10-13,1511.0,Paints
143,2020-10-14,1488.0,Paints
144,2020-10-15,1655.0,Paints
145,2020-10-16,490.0,Paints
146,2020-10-17,490.0,Paints
147,2020-10-18,490.0,Paints
148,2020-10-19,1236.0,Paints
149,2020-10-20,1236.0,Paints
150,2020-10-21,1236.0,Paints
151,2020-10-22,1470.0,Paints
152,2020-10-23,1671.0,Paints
153,2020-10-24,1671.0,Paints
154,2020-10-25,1671.0,Paints
155,2020-10-26,1427.0,Paints
156,2020-10-27,953.0,Paints
157,2020-10-28,953.0,Paints
158,2020-10-29,875.0,Paints
159,2020-10-30,550.0,Paints
160,2020-10-31,550.0,Paints
161,2020-11-01,550.0,Paints
162,2020-11-02,550.0,Paints
163,2020-11-03,969.0,Paints
164,2020-11-04,969.0,Paints
165,2020-11-05,1525.0,Paints
166,2020-11-06,1525.0,Paints
167,2020-11-07,1040.0,Paints
168,2020-11-08,1040.0,Paints
169,2020-11-09,1040.0,Paints
170,2020-11-10,1094.0,Paints
171,2020-11-11,1091.0,Paints
172,2020-11-12,1091.0,Paints
173,2020-11-13,1091.0,Paints
174,2020-11-14,1024.0,Paints
175,2020-11-15,1072.0,Paints
176,2020-11-16,1072.0,Paints
177,2020-11-17,1072.0,Paints
178,2020-11-18,1008.0,Paints
179,2020-11-19,1008.0,Paints
180,2020-11-20,1008.0,Paints
181,2020-11-21,974.0,Paints
182,2020-11-22,974.0,Paints
183,2020-11-23,677.0,Paints
184,2020-11-24,799.0,Paints
185,2020-11-25,799.0,Paints
186,2020-11-26,799.0,Paints
187,2020-11-27,799.0,Paints
188,2020-11-28,799.0,Paints
189,2020-11-29,799.0,Paints
190,2020-11-30,799.0,Paints
191,2020-12-01,799.0,Paints
192,2020-12-02,799.0,Paints
193,2020-12-03,799.0,Paints
194,2020-12-04,799.0,Paints
195,2020-12-05,799.0,Paints
196,2020-12-06,799.0,Paints
197,2020-12-07,799.0,Paints
198,2020-12-08,799.0,Paints
199,2020-12-09,799.0,Paints
200,2020-12-10,799.0,Paints
201,2020-12-11,799.0,Paints
202,2020-12-12,799.0,Paints
203,2020-12-13,799.0,Paints
204,2020-12-14,799.0,Paints
205,2020-12-15,799.0,Paints
206,2020-12-16,799.0,Paints
207,2020-12-17,799.0,Paints
208,2020-12-18,799.0,Paints
209,2020-12-19,799.0,Paints
210,2020-12-20,799.0,Paints
211,2020-12-21,799.0,Paints
212,2020-12-22,799.0,Paints
213,2020-12-23,497.0,Paints
214,2020-12-24,497.0,Paints
215,2020-12-25,497.0,Paints
216,2020-12-26,705.0,Paints
217,2020-12-27,705.0,Paints
218,2020-12-28,705.0,Paints
219,2020-12-29,1154.0,Paints
220,2020-12-30,1154.0,Paints
221,2020-12-31,921.0,Paints
222,2021-01-01,921.0,Paints
223,2021-01-02,834.0,Paints
224,2021-01-03,834.0,Paints
225,2021-01-04,834.0,Paints
226,2021-01-05,1028.0,Paints
227,2021-01-06,1028.0,Paints
228,2021-01-07,1028.0,Paints
229,2021-01-08,1012.0,Paints
230,2021-01-09,1012.0,Paints
231,2021-01-10,1012.0,Paints
232,2021-01-11,1081.0,Paints
233,2021-01-12,1070.0,Paints
234,2021-01-13,1070.0,Paints
235,2021-01-14,1070.0,Paints
236,2021-01-15,1135.0,Paints
237,2021-01-16,1372.0,Paints
238,2021-01-17,1372.0,Paints
239,2021-01-18,1372.0,Paints
240,2021-01-19,844.0,Paints
241,2021-01-20,844.0,Paints
242,2021-01-21,399.0,Paints
243,2021-01-22,399.0,Paints
244,2021-01-23,508.0,Paints
245,2021-01-24,508.0,Paints
246,2021-01-25,473.0,Paints
247,2021-01-26,473.0,Paints
248,2021-01-27,1040.0,Paints
249,2021-01-28,1040.0,Paints
250,2021-01-29,1025.0,Paints
251,2021-01-30,1025.0,Paints
252,2021-01-31,1025.0,Paints
253,2021-02-01,874.0,Paints
254,2021-02-02,874.0,Paints
255,2021-02-03,874.0,Paints
256,2021-02-04,1153.0,Paints
257,2021-02-05,1153.0,Paints
258,2021-02-06,1153.0,Paints
259,2021-02-07,1210.0,Paints
260,2021-02-08,1210.0,Paints
261,2021-02-09,1210.0,Paints
262,2021-02-10,1301.0,Paints
263,2021-02-11,1301.0,Paints
264,2021-02-12,1159.0,Paints
265,2021-02-13,1159.0,Paints
266,2021-02-14,1289.0,Paints
267,2021-02-15,1033.0,Paints
268,2021-02-16,1033.0,Paints
269,2021-02-17,1364.0,Paints
270,2021-02-18,1364.0,Paints
271,2021-02-19,1364.0,Paints
272,2021-02-20,1612.0,Paints
273,2021-02-21,1612.0,Paints
274,2021-02-22,1612.0,Paints
275,2021-02-23,1424.0,Paints
276,2021-02-24,1424.0,Paints
277,2021-02-25,1061.0,Paints
278,2021-02-26,1061.0,Paints
279,2021-02-27,1061.0,Paints
280,2021-02-28,1233.0,Paints
281,2021-03-01,1045.0,Paints
282,2021-03-02,1729.0,Paints
283,2021-03-03,2081.0,Paints
284,2021-03-04,2081.0,Paints
285,2021-03-05,2081.0,Paints
286,2021-03-06,1835.0,Paints
287,2021-03-07,1835.0,Paints
288,2021-03-08,1835.0,Paints
289,2021-03-09,1990.0,Paints
290,2021-03-10,1990.0,Paints
291,2021-03-11,1714.0,Paints
292,2021-03-12,1714.0,Paints
293,2021-03-13,1714.0,Paints
294,2021-03-14,1670.0,Paints
295,2021-03-15,1670.0,Paints
296,2021-03-16,1670.0,Paints
297,2021-03-17,2009.0,Paints
298,2021-03-18,2009.0,Paints
299,2021-03-19,2009.0,Paints
300,2021-03-20,2621.0,Paints
301,2021-03-21,2621.0,Paints
302,2021-03-22,2909.0,Paints
303,2021-03-23,2909.0,Paints
304,2021-03-24,2972.0,Paints
305,2021-03-25,2972.0,Paints
306,2021-03-26,2261.0,Paints
307,2021-03-27,2261.0,Paints
308,2021-03-28,2261.0,Paints
309,2021-03-29,2357.0,Paints
310,2021-03-30,2357.0,Paints
311,2021-03-31,2357.0,Paints
312,2021-04-01,1089.0,Paints
313,2021-04-02,1089.0,Paints
314,2021-04-03,1089.0,Paints
315,2021-04-04,1192.0,Paints
316,2021-04-05,1192.0,Paints
317,2021-04-06,1882.0,Paints
318,2021-04-07,1878.0,Paints
319,2021-04-08,1807.0,Paints
320,2021-04-09,1969.0,Paints
321,2021-04-10,1969.0,Paints
322,2021-04-11,1723.0,Paints
323,2021-04-12,1723.0,Paints
324,2021-04-13,1723.0,Paints
325,2021-04-14,2146.0,Paints
326,2021-04-15,2146.0,Paints
327,2021-04-16,1144.0,Paints
328,2021-04-17,1625.0,Paints
329,2021-04-18,1625.0,Paints
330,2021-04-19,2758.0,Paints
331,2021-04-20,2758.0,Paints
332,2021-04-21,2157.0,Paints
333,2021-04-22,2157.0,Paints
334,2021-04-23,2157.0,Paints
335,2021-04-24,2036.0,Paints
336,2021-04-25,2036.0,Paints
337,2021-04-26,2036.0,Paints
338,2021-04-27,2012.0,Paints
339,2021-04-28,2012.0,Paints
340,2021-04-29,2701.0,Paints
341,2021-04-30,2701.0,Paints
342,2021-05-01,2701.0,Paints
343,2021-05-02,2701.0,Paints
344,2021-05-03,3212.0,Paints
345,2021-05-04,2909.0,Paints
346,2021-05-05,2909.0,Paints
347,2021-05-06,1774.0,Paints
348,2021-05-07,1826.0,Paints
349,2021-05-08,1826.0,Paints
350,2021-05-09,1826.0,Paints
351,2021-05-10,2181.0,Paints
352,2021-05-11,3770.0,Paints
353,2021-05-12,3770.0,Paints
354,2021-05-13,2554.0,Paints
355,2021-05-14,2554.0,Paints
356,2021-05-15,2554.0,Paints
357,2021-05-16,2302.0,Paints
358,2021-05-17,2302.0,Paints
359,2021-05-18,3079.0,Paints
360,2021-05-19,3079.0,Paints
361,2021-05-20,3079.0,Paints
362,2021-05-21,3464.0,Paints
363,2021-05-22,3464.0,Paints
364,2021-05-23,2632.0,Paints
365,2021-05-24,2632.0,Paints
366,2021-05-25,2788.0,Paints
367,2021-05-26,2788.0,Paints
368,2021-05-27,2278.0,Paints
369,2021-05-28,2278.0,Paints
370,2021-05-29,2176.0,Paints
371,2021-05-30,2176.0,Paints
372,2021-05-31,2176.0,Paints
373,2021-06-01,2270.0,Paints
374,2021-06-02,2270.0,Paints
375,2021-06-03,2270.0,Paints
376,2021-06-04,2582.0,Paints
377,2021-06-05,2582.0,Paints
378,2021-06-06,1851.0,Paints
379,2021-06-07,1851.0,Paints
380,2021-06-08,1851.0,Paints
381,2021-06-09,2635.0,Paints
382,2021-06-10,2635.0,Paints
383,2021-06-11,2635.0,Paints
384,2021-06-12,3118.0,Paints
385,2021-06-13,3118.0,Paints
386,2021-06-14,2084.0,Paints
387,2021-06-15,2084.0,Paints
388,2021-06-16,2084.0,Paints
389,2021-06-17,1323.0,Paints
390,2021-06-18,1718.0,Paints
391,2021-06-19,1718.0,Paints
392,2021-06-20,2255.0,Paints
393,2021-06-21,2255.0,Paints
394,2021-06-22,2255.0,Paints
395,2021-06-23,1156.0,Paints
396,2021-06-24,458.0,Paints
397,2021-06-25,458.0,Paints
398,2021-06-26,1363.0,Paints
399,2021-06-27,1363.0,Paints
400,2021-06-28,1313.0,Paints
401,2021-06-29,1313.0,Paints
402,2021-06-30,2042.0,Paints
403,2021-07-01,2042.0,Paints
404,2021-07-02,3022.0,Paints
405,2021-07-03,3022.0,Paints
406,2021-07-04,2315.0,Paints
407,2021-07-05,2315.0,Paints
408,2021-07-06,2315.0,Paints
409,2021-07-07,1268.0,Paints
410,2021-07-08,926.0,Paints
411,2021-07-09,926.0,Paints
412,2021-07-10,904.0,Paints
