,date,value,name_B08KZCXH3S
88,2021-01-10,11734.0,Free Standing Shoe Racks
89,2021-01-11,11734.0,Free Standing Shoe Racks
90,2021-01-12,16892.0,Free Standing Shoe Racks
91,2021-01-13,16892.0,Free Standing Shoe Racks
92,2021-01-14,16892.0,Free Standing Shoe Racks
93,2021-01-15,16892.0,Free Standing Shoe Racks
94,2021-01-16,16892.0,Free Standing Shoe Racks
95,2021-01-17,14053.0,Free Standing Shoe Racks
96,2021-01-18,14053.0,Free Standing Shoe Racks
97,2021-01-19,14053.0,Free Standing Shoe Racks
98,2021-01-20,10230.0,Free Standing Shoe Racks
99,2021-01-21,10230.0,Free Standing Shoe Racks
100,2021-01-22,10230.0,Free Standing Shoe Racks
101,2021-01-23,10230.0,Free Standing Shoe Racks
102,2021-01-24,12241.0,Free Standing Shoe Racks
103,2021-01-25,12241.0,Free Standing Shoe Racks
104,2021-01-26,12241.0,Free Standing Shoe Racks
105,2021-01-27,12241.0,Free Standing Shoe Racks
106,2021-01-28,12792.0,Free Standing Shoe Racks
107,2021-01-29,12792.0,Free Standing Shoe Racks
108,2021-01-30,12792.0,Free Standing Shoe Racks
109,2021-01-31,12792.0,Free Standing Shoe Racks
110,2021-02-01,11649.0,Free Standing Shoe Racks
111,2021-02-02,11649.0,Free Standing Shoe Racks
112,2021-02-03,11649.0,Free Standing Shoe Racks
113,2021-02-04,11708.0,Free Standing Shoe Racks
114,2021-02-05,11708.0,Free Standing Shoe Racks
115,2021-02-06,11708.0,Free Standing Shoe Racks
116,2021-02-07,11708.0,Free Standing Shoe Racks
117,2021-02-08,12794.0,Free Standing Shoe Racks
118,2021-02-09,12794.0,Free Standing Shoe Racks
119,2021-02-10,12794.0,Free Standing Shoe Racks
120,2021-02-11,11665.0,Free Standing Shoe Racks
121,2021-02-12,11665.0,Free Standing Shoe Racks
122,2021-02-13,11665.0,Free Standing Shoe Racks
123,2021-02-14,11665.0,Free Standing Shoe Racks
124,2021-02-15,11665.0,Free Standing Shoe Racks
125,2021-02-16,11665.0,Free Standing Shoe Racks
126,2021-02-17,10229.0,Free Standing Shoe Racks
127,2021-02-18,10229.0,Free Standing Shoe Racks
128,2021-02-19,14290.0,Free Standing Shoe Racks
129,2021-02-20,14290.0,Free Standing Shoe Racks
130,2021-02-21,14290.0,Free Standing Shoe Racks
131,2021-02-22,14290.0,Free Standing Shoe Racks
132,2021-02-23,14290.0,Free Standing Shoe Racks
133,2021-02-24,14290.0,Free Standing Shoe Racks
134,2021-02-25,12884.0,Free Standing Shoe Racks
135,2021-02-26,12884.0,Free Standing Shoe Racks
136,2021-02-27,12884.0,Free Standing Shoe Racks
137,2021-02-28,10086.0,Free Standing Shoe Racks
138,2021-03-01,8005.0,Free Standing Shoe Racks
139,2021-03-02,8005.0,Free Standing Shoe Racks
140,2021-03-03,8005.0,Free Standing Shoe Racks
141,2021-03-04,10954.0,Free Standing Shoe Racks
142,2021-03-05,10954.0,Free Standing Shoe Racks
143,2021-03-06,11283.0,Free Standing Shoe Racks
144,2021-03-07,11283.0,Free Standing Shoe Racks
145,2021-03-08,11283.0,Free Standing Shoe Racks
146,2021-03-09,11283.0,Free Standing Shoe Racks
147,2021-03-10,14009.0,Free Standing Shoe Racks
148,2021-03-11,14009.0,Free Standing Shoe Racks
149,2021-03-12,14009.0,Free Standing Shoe Racks
150,2021-03-13,14009.0,Free Standing Shoe Racks
151,2021-03-14,14009.0,Free Standing Shoe Racks
152,2021-03-15,19179.0,Free Standing Shoe Racks
153,2021-03-16,20545.0,Free Standing Shoe Racks
154,2021-03-17,20545.0,Free Standing Shoe Racks
155,2021-03-18,20545.0,Free Standing Shoe Racks
156,2021-03-19,20545.0,Free Standing Shoe Racks
157,2021-03-20,20545.0,Free Standing Shoe Racks
158,2021-03-21,23966.0,Free Standing Shoe Racks
159,2021-03-22,23966.0,Free Standing Shoe Racks
160,2021-03-23,23966.0,Free Standing Shoe Racks
161,2021-03-24,23966.0,Free Standing Shoe Racks
162,2021-03-25,23966.0,Free Standing Shoe Racks
163,2021-03-26,11491.0,Free Standing Shoe Racks
164,2021-03-27,11491.0,Free Standing Shoe Racks
165,2021-03-28,11491.0,Free Standing Shoe Racks
166,2021-03-29,7626.0,Free Standing Shoe Racks
167,2021-03-30,7626.0,Free Standing Shoe Racks
168,2021-03-31,9551.0,Free Standing Shoe Racks
169,2021-04-01,9657.0,Free Standing Shoe Racks
170,2021-04-02,9657.0,Free Standing Shoe Racks
171,2021-04-03,9614.0,Free Standing Shoe Racks
172,2021-04-04,9614.0,Free Standing Shoe Racks
173,2021-04-05,9614.0,Free Standing Shoe Racks
174,2021-04-06,4429.0,Free Standing Shoe Racks
175,2021-04-07,4429.0,Free Standing Shoe Racks
176,2021-04-08,2815.0,Free Standing Shoe Racks
177,2021-04-09,2815.0,Free Standing Shoe Racks
178,2021-04-10,2815.0,Free Standing Shoe Racks
179,2021-04-11,3010.0,Free Standing Shoe Racks
180,2021-04-12,3010.0,Free Standing Shoe Racks
181,2021-04-13,3386.0,Free Standing Shoe Racks
182,2021-04-14,3386.0,Free Standing Shoe Racks
183,2021-04-15,4289.0,Free Standing Shoe Racks
184,2021-04-16,4289.0,Free Standing Shoe Racks
185,2021-04-17,6237.0,Free Standing Shoe Racks
186,2021-04-18,6237.0,Free Standing Shoe Racks
187,2021-04-19,5374.0,Free Standing Shoe Racks
188,2021-04-20,5374.0,Free Standing Shoe Racks
189,2021-04-21,5374.0,Free Standing Shoe Racks
190,2021-04-22,7258.0,Free Standing Shoe Racks
191,2021-04-23,7258.0,Free Standing Shoe Racks
192,2021-04-24,7113.0,Free Standing Shoe Racks
193,2021-04-25,7113.0,Free Standing Shoe Racks
194,2021-04-26,7400.0,Free Standing Shoe Racks
195,2021-04-27,7400.0,Free Standing Shoe Racks
196,2021-04-28,6976.0,Free Standing Shoe Racks
197,2021-04-29,6976.0,Free Standing Shoe Racks
198,2021-04-30,7187.0,Free Standing Shoe Racks
199,2021-05-01,9369.0,Free Standing Shoe Racks
200,2021-05-02,9369.0,Free Standing Shoe Racks
201,2021-05-03,7820.0,Free Standing Shoe Racks
202,2021-05-04,7820.0,Free Standing Shoe Racks
203,2021-05-05,5860.0,Free Standing Shoe Racks
204,2021-05-06,6119.0,Free Standing Shoe Racks
205,2021-05-07,6119.0,Free Standing Shoe Racks
206,2021-05-08,5892.0,Free Standing Shoe Racks
207,2021-05-09,5892.0,Free Standing Shoe Racks
208,2021-05-10,4317.0,Free Standing Shoe Racks
209,2021-05-11,4317.0,Free Standing Shoe Racks
210,2021-05-12,6260.0,Free Standing Shoe Racks
211,2021-05-13,6260.0,Free Standing Shoe Racks
212,2021-05-14,6741.0,Free Standing Shoe Racks
213,2021-05-15,6741.0,Free Standing Shoe Racks
214,2021-05-16,9507.0,Free Standing Shoe Racks
215,2021-05-17,9507.0,Free Standing Shoe Racks
216,2021-05-18,8483.0,Free Standing Shoe Racks
217,2021-05-19,8483.0,Free Standing Shoe Racks
218,2021-05-20,7893.0,Free Standing Shoe Racks
219,2021-05-21,8266.0,Free Standing Shoe Racks
220,2021-05-22,9449.0,Free Standing Shoe Racks
221,2021-05-23,9449.0,Free Standing Shoe Racks
222,2021-05-24,9449.0,Free Standing Shoe Racks
223,2021-05-25,8452.0,Free Standing Shoe Racks
224,2021-05-26,8452.0,Free Standing Shoe Racks
225,2021-05-27,8452.0,Free Standing Shoe Racks
226,2021-05-28,7892.0,Free Standing Shoe Racks
227,2021-05-29,8071.0,Free Standing Shoe Racks
228,2021-05-30,8071.0,Free Standing Shoe Racks
229,2021-05-31,7306.0,Free Standing Shoe Racks
230,2021-06-01,6995.0,Free Standing Shoe Racks
231,2021-06-02,6995.0,Free Standing Shoe Racks
232,2021-06-03,6283.0,Free Standing Shoe Racks
233,2021-06-04,9095.0,Free Standing Shoe Racks
234,2021-06-05,9095.0,Free Standing Shoe Racks
235,2021-06-06,9095.0,Free Standing Shoe Racks
236,2021-06-07,6160.0,Free Standing Shoe Racks
237,2021-06-08,6361.0,Free Standing Shoe Racks
238,2021-06-09,9558.0,Free Standing Shoe Racks
239,2021-06-10,9558.0,Free Standing Shoe Racks
240,2021-06-11,7814.0,Free Standing Shoe Racks
241,2021-06-12,8995.0,Free Standing Shoe Racks
242,2021-06-13,8995.0,Free Standing Shoe Racks
243,2021-06-14,8995.0,Free Standing Shoe Racks
244,2021-06-15,8291.0,Free Standing Shoe Racks
245,2021-06-16,10716.0,Free Standing Shoe Racks
246,2021-06-17,10716.0,Free Standing Shoe Racks
247,2021-06-18,10716.0,Free Standing Shoe Racks
248,2021-06-19,11022.0,Free Standing Shoe Racks
249,2021-06-20,11022.0,Free Standing Shoe Racks
250,2021-06-21,10742.0,Free Standing Shoe Racks
251,2021-06-22,4744.0,Free Standing Shoe Racks
252,2021-06-23,5529.0,Free Standing Shoe Racks
253,2021-06-24,7622.0,Free Standing Shoe Racks
254,2021-06-25,7622.0,Free Standing Shoe Racks
255,2021-06-26,7622.0,Free Standing Shoe Racks
256,2021-06-27,5697.0,Free Standing Shoe Racks
257,2021-06-28,5697.0,Free Standing Shoe Racks
258,2021-06-29,5951.0,Free Standing Shoe Racks
259,2021-06-30,5951.0,Free Standing Shoe Racks
260,2021-07-01,6489.0,Free Standing Shoe Racks
261,2021-07-02,6312.0,Free Standing Shoe Racks
262,2021-07-03,6312.0,Free Standing Shoe Racks
263,2021-07-04,6017.0,Free Standing Shoe Racks
264,2021-07-05,6017.0,Free Standing Shoe Racks
265,2021-07-06,7206.0,Free Standing Shoe Racks
266,2021-07-07,7206.0,Free Standing Shoe Racks
267,2021-07-08,7206.0,Free Standing Shoe Racks
268,2021-07-09,6897.0,Free Standing Shoe Racks
269,2021-07-10,6897.0,Free Standing Shoe Racks
270,2021-07-11,6122.0,Free Standing Shoe Racks
