,date,value,name_B08FGP37Z4
227,2021-05-28,140258.0,Planters
228,2021-05-29,140258.0,Planters
229,2021-05-30,140258.0,Planters
230,2021-05-31,140258.0,Planters
231,2021-06-01,140258.0,Planters
232,2021-06-02,140258.0,Planters
233,2021-06-03,140258.0,Planters
234,2021-06-04,125367.0,Planters
235,2021-06-05,125367.0,Planters
236,2021-06-06,125367.0,Planters
237,2021-06-07,125367.0,Planters
238,2021-06-08,125367.0,Planters
239,2021-06-09,125367.0,Planters
240,2021-06-10,81464.0,Planters
241,2021-06-11,81464.0,Planters
242,2021-06-12,81464.0,Planters
243,2021-06-13,81464.0,Planters
244,2021-06-14,81464.0,Planters
245,2021-06-15,81464.0,Planters
246,2021-06-16,230452.0,Planters
247,2021-06-17,230452.0,Planters
248,2021-06-18,230452.0,Planters
249,2021-06-19,230452.0,Planters
250,2021-06-20,230452.0,Planters
251,2021-06-21,230452.0,Planters
252,2021-06-22,258636.0,Planters
253,2021-06-23,258636.0,Planters
254,2021-06-24,258636.0,Planters
255,2021-06-25,258636.0,Planters
256,2021-06-26,258636.0,Planters
257,2021-06-27,258636.0,Planters
258,2021-06-28,258636.0,Planters
259,2021-06-29,258636.0,Planters
260,2021-06-30,258636.0,Planters
261,2021-07-01,217020.0,Planters
262,2021-07-02,217020.0,Planters
263,2021-07-03,217020.0,Planters
264,2021-07-04,244008.0,Planters
265,2021-07-05,244008.0,Planters
266,2021-07-06,244008.0,Planters
267,2021-07-07,5893.0,Planters
268,2021-07-08,5893.0,Planters
269,2021-07-09,242160.0,Planters
270,2021-07-10,242160.0,Planters
271,2021-07-11,247858.0,Planters
