,date,value,name_B00Q4RRJ1G
222,2020-10-04,16240.0,Ankle Braces
223,2020-10-05,12756.0,Ankle Braces
224,2020-10-06,15037.0,Ankle Braces
225,2020-10-07,15037.0,Ankle Braces
226,2020-10-08,15037.0,Ankle Braces
227,2020-10-09,11672.0,Ankle Braces
228,2020-10-10,13693.0,Ankle Braces
229,2020-10-11,13836.0,Ankle Braces
230,2020-10-12,13028.0,Ankle Braces
231,2020-10-13,12400.0,Ankle Braces
232,2020-10-14,15574.0,Ankle Braces
233,2020-10-15,15574.0,Ankle Braces
234,2020-10-16,13343.0,Ankle Braces
235,2020-10-17,11409.0,Ankle Braces
236,2020-10-18,12419.0,Ankle Braces
237,2020-10-19,11236.0,Ankle Braces
238,2020-10-20,11039.0,Ankle Braces
239,2020-10-21,11039.0,Ankle Braces
240,2020-10-22,12534.0,Ankle Braces
241,2020-10-23,12331.0,Ankle Braces
242,2020-10-24,12331.0,Ankle Braces
243,2020-10-25,14350.0,Ankle Braces
244,2020-10-26,16945.0,Ankle Braces
245,2020-10-27,16945.0,Ankle Braces
246,2020-10-28,18780.0,Ankle Braces
247,2020-10-29,13972.0,Ankle Braces
248,2020-10-30,13818.0,Ankle Braces
249,2020-10-31,15263.0,Ankle Braces
250,2020-11-01,17034.0,Ankle Braces
251,2020-11-02,17938.0,Ankle Braces
252,2020-11-03,18575.0,Ankle Braces
253,2020-11-04,18575.0,Ankle Braces
254,2020-11-05,18575.0,Ankle Braces
255,2020-11-06,14116.0,Ankle Braces
256,2020-11-07,13717.0,Ankle Braces
257,2020-11-08,13717.0,Ankle Braces
258,2020-11-09,15572.0,Ankle Braces
259,2020-11-10,16124.0,Ankle Braces
260,2020-11-11,13978.0,Ankle Braces
261,2020-11-12,16984.0,Ankle Braces
262,2020-11-13,14838.0,Ankle Braces
263,2020-11-14,17121.0,Ankle Braces
264,2020-11-15,17208.0,Ankle Braces
265,2020-11-16,17842.0,Ankle Braces
266,2020-11-17,16928.0,Ankle Braces
267,2020-11-18,16210.0,Ankle Braces
268,2020-11-19,14931.0,Ankle Braces
269,2020-11-20,16519.0,Ankle Braces
270,2020-11-21,16519.0,Ankle Braces
271,2020-11-22,16519.0,Ankle Braces
272,2020-11-23,16377.0,Ankle Braces
273,2020-11-24,16377.0,Ankle Braces
274,2020-11-25,16377.0,Ankle Braces
275,2020-11-26,14941.0,Ankle Braces
276,2020-11-27,17021.0,Ankle Braces
277,2020-11-28,23087.0,Ankle Braces
278,2020-11-29,17892.0,Ankle Braces
279,2020-11-30,16033.0,Ankle Braces
280,2020-12-01,13352.0,Ankle Braces
281,2020-12-02,13352.0,Ankle Braces
282,2020-12-03,13352.0,Ankle Braces
283,2020-12-04,13670.0,Ankle Braces
284,2020-12-05,13670.0,Ankle Braces
285,2020-12-06,13670.0,Ankle Braces
286,2020-12-07,16833.0,Ankle Braces
287,2020-12-08,15758.0,Ankle Braces
288,2020-12-09,14880.0,Ankle Braces
289,2020-12-10,17358.0,Ankle Braces
290,2020-12-11,17358.0,Ankle Braces
291,2020-12-12,15178.0,Ankle Braces
292,2020-12-13,17846.0,Ankle Braces
293,2020-12-14,22860.0,Ankle Braces
294,2020-12-15,21195.0,Ankle Braces
295,2020-12-16,20226.0,Ankle Braces
296,2020-12-17,21583.0,Ankle Braces
297,2020-12-18,21767.0,Ankle Braces
298,2020-12-19,21767.0,Ankle Braces
299,2020-12-20,23084.0,Ankle Braces
300,2020-12-21,17165.0,Ankle Braces
301,2020-12-22,17301.0,Ankle Braces
302,2020-12-23,17301.0,Ankle Braces
303,2020-12-24,15159.0,Ankle Braces
304,2020-12-25,16975.0,Ankle Braces
305,2020-12-26,15172.0,Ankle Braces
306,2020-12-27,17315.0,Ankle Braces
307,2020-12-28,18938.0,Ankle Braces
308,2020-12-29,14762.0,Ankle Braces
309,2020-12-30,14734.0,Ankle Braces
310,2020-12-31,16568.0,Ankle Braces
311,2021-01-01,17396.0,Ankle Braces
312,2021-01-02,19263.0,Ankle Braces
313,2021-01-03,18431.0,Ankle Braces
314,2021-01-04,19549.0,Ankle Braces
315,2021-01-05,18852.0,Ankle Braces
316,2021-01-06,15220.0,Ankle Braces
