,date,value,name_B089B2P67Z
214,2020-12-30,6895.0,Blood Glucose Monitors
215,2020-12-31,7309.0,Blood Glucose Monitors
216,2021-01-01,7309.0,Blood Glucose Monitors
217,2021-01-02,7309.0,Blood Glucose Monitors
218,2021-01-03,6894.0,Blood Glucose Monitors
219,2021-01-04,7542.0,Blood Glucose Monitors
220,2021-01-05,6946.0,Blood Glucose Monitors
221,2021-01-06,8287.0,Blood Glucose Monitors
222,2021-01-07,7748.0,Blood Glucose Monitors
223,2021-01-08,7748.0,Blood Glucose Monitors
224,2021-01-09,7748.0,Blood Glucose Monitors
225,2021-01-10,7748.0,Blood Glucose Monitors
226,2021-01-11,7832.0,Blood Glucose Monitors
227,2021-01-12,6973.0,Blood Glucose Monitors
228,2021-01-13,7460.0,Blood Glucose Monitors
229,2021-01-14,7460.0,Blood Glucose Monitors
230,2021-01-15,7460.0,Blood Glucose Monitors
231,2021-01-16,6988.0,Blood Glucose Monitors
232,2021-01-17,8019.0,Blood Glucose Monitors
233,2021-01-18,8019.0,Blood Glucose Monitors
234,2021-01-19,7388.0,Blood Glucose Monitors
235,2021-01-20,7314.0,Blood Glucose Monitors
236,2021-01-21,6562.0,Blood Glucose Monitors
237,2021-01-22,6562.0,Blood Glucose Monitors
238,2021-01-23,6562.0,Blood Glucose Monitors
239,2021-01-24,6562.0,Blood Glucose Monitors
240,2021-01-25,8187.0,Blood Glucose Monitors
241,2021-01-26,7557.0,Blood Glucose Monitors
242,2021-01-27,7268.0,Blood Glucose Monitors
243,2021-01-28,7268.0,Blood Glucose Monitors
244,2021-01-29,6350.0,Blood Glucose Monitors
245,2021-01-30,6350.0,Blood Glucose Monitors
246,2021-01-31,6350.0,Blood Glucose Monitors
247,2021-02-01,6350.0,Blood Glucose Monitors
248,2021-02-02,6350.0,Blood Glucose Monitors
249,2021-02-03,7567.0,Blood Glucose Monitors
250,2021-02-04,7567.0,Blood Glucose Monitors
251,2021-02-05,7567.0,Blood Glucose Monitors
252,2021-02-06,6678.0,Blood Glucose Monitors
253,2021-02-07,6678.0,Blood Glucose Monitors
254,2021-02-08,6678.0,Blood Glucose Monitors
255,2021-02-09,8058.0,Blood Glucose Monitors
256,2021-02-10,8058.0,Blood Glucose Monitors
257,2021-02-11,8058.0,Blood Glucose Monitors
258,2021-02-12,8058.0,Blood Glucose Monitors
259,2021-02-13,8058.0,Blood Glucose Monitors
260,2021-02-14,8058.0,Blood Glucose Monitors
261,2021-02-15,6931.0,Blood Glucose Monitors
262,2021-02-16,6554.0,Blood Glucose Monitors
263,2021-02-17,6554.0,Blood Glucose Monitors
264,2021-02-18,6554.0,Blood Glucose Monitors
265,2021-02-19,6554.0,Blood Glucose Monitors
266,2021-02-20,6782.0,Blood Glucose Monitors
267,2021-02-21,6782.0,Blood Glucose Monitors
