,date,value,name_B08VRC7FWG
129,2021-06-22,22497.0,Turmeric
130,2021-06-23,22497.0,Turmeric
131,2021-06-24,22497.0,Turmeric
132,2021-06-25,19688.0,Turmeric
133,2021-06-26,15677.0,Turmeric
134,2021-06-27,15677.0,Turmeric
135,2021-06-28,15677.0,Turmeric
136,2021-06-29,14938.0,Turmeric
137,2021-06-30,14938.0,Turmeric
138,2021-07-01,14938.0,Turmeric
139,2021-07-02,15097.0,Turmeric
140,2021-07-03,15097.0,Turmeric
141,2021-07-04,15097.0,Turmeric
142,2021-07-05,12858.0,Turmeric
143,2021-07-06,12858.0,Turmeric
144,2021-07-07,10141.0,Turmeric
145,2021-07-08,10141.0,Turmeric
146,2021-07-09,10396.0,Turmeric
