,date,value,name_B088LWW7JN
215,2020-12-19,63396.0,Bed Pillows
216,2020-12-20,63396.0,Bed Pillows
217,2020-12-21,57608.0,Bed Pillows
218,2020-12-22,57608.0,Bed Pillows
219,2020-12-23,63852.0,Bed Pillows
220,2020-12-24,63852.0,Bed Pillows
221,2020-12-25,63852.0,Bed Pillows
222,2020-12-26,42244.0,Bed Pillows
223,2020-12-27,42244.0,Bed Pillows
224,2020-12-28,85454.0,Bed Pillows
225,2020-12-29,85454.0,Bed Pillows
226,2020-12-30,85454.0,Bed Pillows
227,2020-12-31,85454.0,Bed Pillows
228,2021-01-01,85454.0,Bed Pillows
229,2021-01-02,135619.0,Bed Pillows
230,2021-01-03,149891.0,Bed Pillows
231,2021-01-04,149891.0,Bed Pillows
232,2021-01-05,149891.0,Bed Pillows
233,2021-01-06,136103.0,Bed Pillows
234,2021-01-07,136103.0,Bed Pillows
235,2021-01-08,136103.0,Bed Pillows
236,2021-01-09,136103.0,Bed Pillows
237,2021-01-10,136103.0,Bed Pillows
238,2021-01-11,136103.0,Bed Pillows
239,2021-01-12,44952.0,Bed Pillows
240,2021-01-13,44952.0,Bed Pillows
241,2021-01-14,44952.0,Bed Pillows
242,2021-01-15,44952.0,Bed Pillows
243,2021-01-16,44952.0,Bed Pillows
244,2021-01-17,44952.0,Bed Pillows
245,2021-01-18,44952.0,Bed Pillows
246,2021-01-19,44952.0,Bed Pillows
247,2021-01-20,44952.0,Bed Pillows
248,2021-01-21,44952.0,Bed Pillows
249,2021-01-22,208765.0,Bed Pillows
250,2021-01-23,208765.0,Bed Pillows
251,2021-01-24,208765.0,Bed Pillows
252,2021-01-25,61671.0,Bed Pillows
253,2021-01-26,61671.0,Bed Pillows
254,2021-01-27,79206.0,Bed Pillows
255,2021-01-28,79206.0,Bed Pillows
256,2021-01-29,79206.0,Bed Pillows
257,2021-01-30,79206.0,Bed Pillows
258,2021-01-31,79206.0,Bed Pillows
259,2021-02-01,35409.0,Bed Pillows
260,2021-02-02,38086.0,Bed Pillows
261,2021-02-03,36870.0,Bed Pillows
262,2021-02-04,36870.0,Bed Pillows
263,2021-02-05,36870.0,Bed Pillows
264,2021-02-06,36870.0,Bed Pillows
265,2021-02-07,36870.0,Bed Pillows
266,2021-02-08,36870.0,Bed Pillows
267,2021-02-09,24487.0,Bed Pillows
268,2021-02-10,27101.0,Bed Pillows
269,2021-02-11,20436.0,Bed Pillows
270,2021-02-12,20436.0,Bed Pillows
271,2021-02-13,20436.0,Bed Pillows
272,2021-02-14,20436.0,Bed Pillows
273,2021-02-15,20436.0,Bed Pillows
274,2021-02-16,14940.0,Bed Pillows
275,2021-02-17,14940.0,Bed Pillows
276,2021-02-18,14940.0,Bed Pillows
277,2021-02-19,14940.0,Bed Pillows
278,2021-02-20,14940.0,Bed Pillows
279,2021-02-21,14940.0,Bed Pillows
280,2021-02-22,20962.0,Bed Pillows
281,2021-02-23,20962.0,Bed Pillows
282,2021-02-24,20962.0,Bed Pillows
283,2021-02-25,29312.0,Bed Pillows
284,2021-02-26,29312.0,Bed Pillows
285,2021-02-27,29312.0,Bed Pillows
286,2021-02-28,20551.0,Bed Pillows
287,2021-03-01,19795.0,Bed Pillows
288,2021-03-02,22842.0,Bed Pillows
289,2021-03-03,22842.0,Bed Pillows
290,2021-03-04,22842.0,Bed Pillows
291,2021-03-05,22842.0,Bed Pillows
292,2021-03-06,22842.0,Bed Pillows
293,2021-03-07,22842.0,Bed Pillows
294,2021-03-08,47799.0,Bed Pillows
295,2021-03-09,47799.0,Bed Pillows
296,2021-03-10,47799.0,Bed Pillows
297,2021-03-11,47953.0,Bed Pillows
298,2021-03-12,47953.0,Bed Pillows
299,2021-03-13,47953.0,Bed Pillows
300,2021-03-14,47953.0,Bed Pillows
301,2021-03-15,47953.0,Bed Pillows
302,2021-03-16,83077.0,Bed Pillows
303,2021-03-17,83077.0,Bed Pillows
304,2021-03-18,90778.0,Bed Pillows
305,2021-03-19,90778.0,Bed Pillows
306,2021-03-20,90778.0,Bed Pillows
307,2021-03-21,90778.0,Bed Pillows
308,2021-03-22,90778.0,Bed Pillows
309,2021-03-23,90778.0,Bed Pillows
310,2021-03-24,90778.0,Bed Pillows
311,2021-03-25,90778.0,Bed Pillows
312,2021-03-26,90778.0,Bed Pillows
313,2021-03-27,90778.0,Bed Pillows
314,2021-03-28,90778.0,Bed Pillows
315,2021-03-29,213211.0,Bed Pillows
316,2021-03-30,213211.0,Bed Pillows
317,2021-03-31,213211.0,Bed Pillows
318,2021-04-01,213211.0,Bed Pillows
319,2021-04-02,213211.0,Bed Pillows
320,2021-04-03,213211.0,Bed Pillows
321,2021-04-04,65357.0,Bed Pillows
322,2021-04-05,65357.0,Bed Pillows
323,2021-04-06,63158.0,Bed Pillows
324,2021-04-07,63158.0,Bed Pillows
325,2021-04-08,63158.0,Bed Pillows
326,2021-04-09,63158.0,Bed Pillows
327,2021-04-10,63158.0,Bed Pillows
328,2021-04-11,63158.0,Bed Pillows
329,2021-04-12,47211.0,Bed Pillows
330,2021-04-13,47211.0,Bed Pillows
331,2021-04-14,41897.0,Bed Pillows
332,2021-04-15,41897.0,Bed Pillows
333,2021-04-16,35777.0,Bed Pillows
