,date,value,name_B08VKRTL34
52,2021-04-12,40175.0,Self-Stick Notes
53,2021-04-13,40175.0,Self-Stick Notes
54,2021-04-14,40175.0,Self-Stick Notes
55,2021-04-15,56414.0,Self-Stick Notes
56,2021-04-16,87125.0,Self-Stick Notes
57,2021-04-17,87125.0,Self-Stick Notes
58,2021-04-18,87125.0,Self-Stick Notes
59,2021-04-19,87125.0,Self-Stick Notes
60,2021-04-20,30081.0,Self-Stick Notes
61,2021-04-21,30081.0,Self-Stick Notes
62,2021-04-22,30081.0,Self-Stick Notes
63,2021-04-23,16941.0,Self-Stick Notes
64,2021-04-24,16941.0,Self-Stick Notes
65,2021-04-25,29159.0,Self-Stick Notes
66,2021-04-26,36397.0,Self-Stick Notes
67,2021-04-27,36397.0,Self-Stick Notes
68,2021-04-28,36397.0,Self-Stick Notes
69,2021-04-29,44970.0,Self-Stick Notes
70,2021-04-30,44970.0,Self-Stick Notes
71,2021-05-01,44970.0,Self-Stick Notes
72,2021-05-02,44970.0,Self-Stick Notes
73,2021-05-03,44970.0,Self-Stick Notes
74,2021-05-04,32557.0,Self-Stick Notes
75,2021-05-05,32557.0,Self-Stick Notes
76,2021-05-06,32557.0,Self-Stick Notes
77,2021-05-07,31268.0,Self-Stick Notes
78,2021-05-08,31268.0,Self-Stick Notes
79,2021-05-09,31268.0,Self-Stick Notes
80,2021-05-10,31268.0,Self-Stick Notes
81,2021-05-11,40930.0,Self-Stick Notes
82,2021-05-12,40930.0,Self-Stick Notes
83,2021-05-13,40930.0,Self-Stick Notes
84,2021-05-14,30851.0,Self-Stick Notes
85,2021-05-15,52099.0,Self-Stick Notes
86,2021-05-16,52099.0,Self-Stick Notes
87,2021-05-17,52099.0,Self-Stick Notes
88,2021-05-18,52099.0,Self-Stick Notes
89,2021-05-19,40589.0,Self-Stick Notes
90,2021-05-20,40589.0,Self-Stick Notes
91,2021-05-21,40589.0,Self-Stick Notes
92,2021-05-22,31475.0,Self-Stick Notes
93,2021-05-23,31475.0,Self-Stick Notes
94,2021-05-24,31475.0,Self-Stick Notes
95,2021-05-25,41663.0,Self-Stick Notes
96,2021-05-26,37092.0,Self-Stick Notes
97,2021-05-27,37092.0,Self-Stick Notes
98,2021-05-28,37092.0,Self-Stick Notes
99,2021-05-29,37092.0,Self-Stick Notes
100,2021-05-30,35102.0,Self-Stick Notes
101,2021-05-31,35102.0,Self-Stick Notes
102,2021-06-01,77125.0,Self-Stick Notes
103,2021-06-02,77125.0,Self-Stick Notes
104,2021-06-03,77125.0,Self-Stick Notes
105,2021-06-04,77125.0,Self-Stick Notes
106,2021-06-05,45205.0,Self-Stick Notes
107,2021-06-06,45205.0,Self-Stick Notes
108,2021-06-07,79110.0,Self-Stick Notes
109,2021-06-08,58182.0,Self-Stick Notes
110,2021-06-09,95373.0,Self-Stick Notes
111,2021-06-10,95373.0,Self-Stick Notes
112,2021-06-11,95373.0,Self-Stick Notes
113,2021-06-12,95373.0,Self-Stick Notes
114,2021-06-13,95373.0,Self-Stick Notes
115,2021-06-14,18381.0,Self-Stick Notes
116,2021-06-15,18381.0,Self-Stick Notes
117,2021-06-16,18381.0,Self-Stick Notes
118,2021-06-17,15669.0,Self-Stick Notes
119,2021-06-18,15669.0,Self-Stick Notes
120,2021-06-19,15669.0,Self-Stick Notes
121,2021-06-20,15669.0,Self-Stick Notes
122,2021-06-21,15669.0,Self-Stick Notes
123,2021-06-22,30771.0,Self-Stick Notes
124,2021-06-23,23849.0,Self-Stick Notes
125,2021-06-24,23849.0,Self-Stick Notes
126,2021-06-25,23849.0,Self-Stick Notes
127,2021-06-26,44545.0,Self-Stick Notes
128,2021-06-27,44545.0,Self-Stick Notes
129,2021-06-28,15219.0,Self-Stick Notes
130,2021-06-29,15219.0,Self-Stick Notes
131,2021-06-30,15219.0,Self-Stick Notes
132,2021-07-01,8562.0,Self-Stick Notes
133,2021-07-02,9954.0,Self-Stick Notes
134,2021-07-03,14050.0,Self-Stick Notes
135,2021-07-04,14050.0,Self-Stick Notes
136,2021-07-05,13112.0,Self-Stick Notes
137,2021-07-06,13112.0,Self-Stick Notes
138,2021-07-07,13112.0,Self-Stick Notes
139,2021-07-08,13367.0,Self-Stick Notes
140,2021-07-09,21076.0,Self-Stick Notes
