,date,value,name_B08TC1CX1D
131,2021-06-03,26976.0,Sanitary Napkins
132,2021-06-04,26976.0,Sanitary Napkins
133,2021-06-05,26976.0,Sanitary Napkins
134,2021-06-06,26976.0,Sanitary Napkins
135,2021-06-07,16856.0,Sanitary Napkins
136,2021-06-08,23960.0,Sanitary Napkins
137,2021-06-09,23960.0,Sanitary Napkins
138,2021-06-10,23960.0,Sanitary Napkins
139,2021-06-11,23960.0,Sanitary Napkins
140,2021-06-12,23960.0,Sanitary Napkins
141,2021-06-13,19450.0,Sanitary Napkins
142,2021-06-14,19450.0,Sanitary Napkins
143,2021-06-15,19450.0,Sanitary Napkins
144,2021-06-16,25218.0,Sanitary Napkins
145,2021-06-17,25218.0,Sanitary Napkins
146,2021-06-18,25397.0,Sanitary Napkins
147,2021-06-19,25397.0,Sanitary Napkins
148,2021-06-20,25397.0,Sanitary Napkins
149,2021-06-21,19167.0,Sanitary Napkins
150,2021-06-22,11994.0,Sanitary Napkins
151,2021-06-23,12298.0,Sanitary Napkins
152,2021-06-24,12298.0,Sanitary Napkins
153,2021-06-25,12298.0,Sanitary Napkins
154,2021-06-26,12298.0,Sanitary Napkins
155,2021-06-27,12298.0,Sanitary Napkins
156,2021-06-28,12298.0,Sanitary Napkins
157,2021-06-29,20762.0,Sanitary Napkins
158,2021-06-30,27710.0,Sanitary Napkins
159,2021-07-01,27710.0,Sanitary Napkins
160,2021-07-02,25448.0,Sanitary Napkins
161,2021-07-03,25448.0,Sanitary Napkins
162,2021-07-04,25448.0,Sanitary Napkins
163,2021-07-05,25448.0,Sanitary Napkins
164,2021-07-06,25448.0,Sanitary Napkins
165,2021-07-07,30413.0,Sanitary Napkins
166,2021-07-08,30413.0,Sanitary Napkins
167,2021-07-09,21893.0,Sanitary Napkins
168,2021-07-10,22259.0,Sanitary Napkins
