,date,value,name_B08P73FSGM
67,2021-02-14,143549.0,Comforter Sets
68,2021-02-15,143549.0,Comforter Sets
69,2021-02-16,222656.0,Comforter Sets
70,2021-02-17,222656.0,Comforter Sets
71,2021-02-18,222656.0,Comforter Sets
72,2021-02-19,222656.0,Comforter Sets
73,2021-02-20,222656.0,Comforter Sets
74,2021-02-21,143867.0,Comforter Sets
75,2021-02-22,143867.0,Comforter Sets
76,2021-02-23,215868.0,Comforter Sets
77,2021-02-24,215868.0,Comforter Sets
78,2021-02-25,215868.0,Comforter Sets
79,2021-02-26,98227.0,Comforter Sets
80,2021-02-27,98227.0,Comforter Sets
81,2021-02-28,98227.0,Comforter Sets
82,2021-03-01,98227.0,Comforter Sets
83,2021-03-02,98227.0,Comforter Sets
84,2021-03-03,141999.0,Comforter Sets
85,2021-03-04,141999.0,Comforter Sets
86,2021-03-05,141999.0,Comforter Sets
87,2021-03-06,141999.0,Comforter Sets
88,2021-03-07,141999.0,Comforter Sets
89,2021-03-08,186974.0,Comforter Sets
90,2021-03-09,268442.0,Comforter Sets
91,2021-03-10,268442.0,Comforter Sets
92,2021-03-11,268442.0,Comforter Sets
93,2021-03-12,158992.0,Comforter Sets
94,2021-03-13,158992.0,Comforter Sets
95,2021-03-14,158992.0,Comforter Sets
96,2021-03-15,158992.0,Comforter Sets
97,2021-03-16,200968.0,Comforter Sets
98,2021-03-17,200968.0,Comforter Sets
99,2021-03-18,200968.0,Comforter Sets
100,2021-03-19,200968.0,Comforter Sets
101,2021-03-20,200968.0,Comforter Sets
102,2021-03-21,200968.0,Comforter Sets
103,2021-03-22,154038.0,Comforter Sets
104,2021-03-23,154038.0,Comforter Sets
105,2021-03-24,154038.0,Comforter Sets
106,2021-03-25,154038.0,Comforter Sets
107,2021-03-26,77561.0,Comforter Sets
108,2021-03-27,77561.0,Comforter Sets
109,2021-03-28,77561.0,Comforter Sets
110,2021-03-29,115860.0,Comforter Sets
111,2021-03-30,67694.0,Comforter Sets
112,2021-03-31,92495.0,Comforter Sets
113,2021-04-01,67052.0,Comforter Sets
114,2021-04-02,53107.0,Comforter Sets
115,2021-04-03,55123.0,Comforter Sets
116,2021-04-04,61897.0,Comforter Sets
117,2021-04-05,61897.0,Comforter Sets
118,2021-04-06,37154.0,Comforter Sets
119,2021-04-07,37154.0,Comforter Sets
120,2021-04-08,40487.0,Comforter Sets
121,2021-04-09,40487.0,Comforter Sets
122,2021-04-10,40596.0,Comforter Sets
123,2021-04-11,33745.0,Comforter Sets
124,2021-04-12,35754.0,Comforter Sets
125,2021-04-13,35754.0,Comforter Sets
126,2021-04-14,40378.0,Comforter Sets
127,2021-04-15,30766.0,Comforter Sets
128,2021-04-16,30766.0,Comforter Sets
129,2021-04-17,30766.0,Comforter Sets
130,2021-04-18,40467.0,Comforter Sets
131,2021-04-19,40467.0,Comforter Sets
132,2021-04-20,35936.0,Comforter Sets
133,2021-04-21,35936.0,Comforter Sets
134,2021-04-22,51935.0,Comforter Sets
135,2021-04-23,73524.0,Comforter Sets
136,2021-04-24,73524.0,Comforter Sets
137,2021-04-25,53202.0,Comforter Sets
138,2021-04-26,69812.0,Comforter Sets
139,2021-04-27,69812.0,Comforter Sets
140,2021-04-28,69812.0,Comforter Sets
141,2021-04-29,88566.0,Comforter Sets
142,2021-04-30,88566.0,Comforter Sets
143,2021-05-01,88566.0,Comforter Sets
144,2021-05-02,119248.0,Comforter Sets
145,2021-05-03,140017.0,Comforter Sets
146,2021-05-04,140017.0,Comforter Sets
147,2021-05-05,140017.0,Comforter Sets
148,2021-05-06,140017.0,Comforter Sets
149,2021-05-07,140017.0,Comforter Sets
150,2021-05-08,91683.0,Comforter Sets
151,2021-05-09,91683.0,Comforter Sets
152,2021-05-10,91683.0,Comforter Sets
153,2021-05-11,81311.0,Comforter Sets
154,2021-05-12,81311.0,Comforter Sets
155,2021-05-13,81311.0,Comforter Sets
156,2021-05-14,81311.0,Comforter Sets
157,2021-05-15,81311.0,Comforter Sets
158,2021-05-16,35501.0,Comforter Sets
159,2021-05-17,35501.0,Comforter Sets
160,2021-05-18,37924.0,Comforter Sets
161,2021-05-19,37924.0,Comforter Sets
162,2021-05-20,29550.0,Comforter Sets
163,2021-05-21,29550.0,Comforter Sets
164,2021-05-22,29550.0,Comforter Sets
165,2021-05-23,35100.0,Comforter Sets
166,2021-05-24,35100.0,Comforter Sets
167,2021-05-25,23776.0,Comforter Sets
168,2021-05-26,23776.0,Comforter Sets
169,2021-05-27,23776.0,Comforter Sets
170,2021-05-28,21514.0,Comforter Sets
171,2021-05-29,21514.0,Comforter Sets
172,2021-05-30,17485.0,Comforter Sets
173,2021-05-31,18051.0,Comforter Sets
174,2021-06-01,18051.0,Comforter Sets
175,2021-06-02,15627.0,Comforter Sets
176,2021-06-03,93875.0,Comforter Sets
177,2021-06-04,28206.0,Comforter Sets
178,2021-06-05,28206.0,Comforter Sets
179,2021-06-06,28206.0,Comforter Sets
180,2021-06-07,33497.0,Comforter Sets
181,2021-06-08,25883.0,Comforter Sets
182,2021-06-09,31330.0,Comforter Sets
183,2021-06-10,32037.0,Comforter Sets
184,2021-06-11,32037.0,Comforter Sets
185,2021-06-12,31766.0,Comforter Sets
186,2021-06-13,31766.0,Comforter Sets
187,2021-06-14,31766.0,Comforter Sets
188,2021-06-15,30919.0,Comforter Sets
189,2021-06-16,31118.0,Comforter Sets
190,2021-06-17,31118.0,Comforter Sets
191,2021-06-18,31118.0,Comforter Sets
192,2021-06-19,37571.0,Comforter Sets
193,2021-06-20,27930.0,Comforter Sets
194,2021-06-21,22041.0,Comforter Sets
195,2021-06-22,17352.0,Comforter Sets
196,2021-06-23,16146.0,Comforter Sets
197,2021-06-24,19081.0,Comforter Sets
198,2021-06-25,19081.0,Comforter Sets
199,2021-06-26,23482.0,Comforter Sets
200,2021-06-27,20015.0,Comforter Sets
201,2021-06-28,18801.0,Comforter Sets
202,2021-06-29,20078.0,Comforter Sets
203,2021-06-30,19565.0,Comforter Sets
204,2021-07-01,19565.0,Comforter Sets
205,2021-07-02,17979.0,Comforter Sets
206,2021-07-03,17979.0,Comforter Sets
207,2021-07-04,17979.0,Comforter Sets
208,2021-07-05,17485.0,Comforter Sets
209,2021-07-06,16279.0,Comforter Sets
210,2021-07-07,13132.0,Comforter Sets
211,2021-07-08,13474.0,Comforter Sets
212,2021-07-09,11966.0,Comforter Sets
213,2021-07-10,13471.0,Comforter Sets
