,date,value,name_B01M218O4H
93,2020-05-27,54628.0,Ankle Braces
94,2020-05-28,54628.0,Ankle Braces
95,2020-05-29,54628.0,Ankle Braces
96,2020-05-30,54628.0,Ankle Braces
97,2020-05-31,54628.0,Ankle Braces
98,2020-06-01,54628.0,Ankle Braces
99,2020-06-02,54628.0,Ankle Braces
100,2020-06-03,54628.0,Ankle Braces
101,2020-06-04,54628.0,Ankle Braces
102,2020-06-05,54628.0,Ankle Braces
103,2020-06-06,54628.0,Ankle Braces
104,2020-06-07,54628.0,Ankle Braces
105,2020-06-08,54628.0,Ankle Braces
106,2020-06-09,54628.0,Ankle Braces
107,2020-06-10,45403.0,Ankle Braces
108,2020-06-11,45403.0,Ankle Braces
109,2020-06-12,45403.0,Ankle Braces
110,2020-06-13,45403.0,Ankle Braces
111,2020-06-14,45403.0,Ankle Braces
112,2020-06-15,45403.0,Ankle Braces
113,2020-06-16,60641.0,Ankle Braces
114,2020-06-17,60641.0,Ankle Braces
115,2020-06-18,60641.0,Ankle Braces
116,2020-06-19,32323.0,Ankle Braces
117,2020-06-20,32323.0,Ankle Braces
118,2020-06-21,32323.0,Ankle Braces
119,2020-06-22,32323.0,Ankle Braces
120,2020-06-23,32323.0,Ankle Braces
121,2020-06-24,32323.0,Ankle Braces
122,2020-06-25,32323.0,Ankle Braces
123,2020-06-26,32323.0,Ankle Braces
124,2020-06-27,32323.0,Ankle Braces
125,2020-06-28,32323.0,Ankle Braces
126,2020-06-29,66438.0,Ankle Braces
127,2020-06-30,66438.0,Ankle Braces
128,2020-07-01,50685.0,Ankle Braces
129,2020-07-02,50685.0,Ankle Braces
130,2020-07-03,50685.0,Ankle Braces
131,2020-07-04,50685.0,Ankle Braces
132,2020-07-05,50685.0,Ankle Braces
133,2020-07-06,50685.0,Ankle Braces
134,2020-07-07,50685.0,Ankle Braces
135,2020-07-08,50685.0,Ankle Braces
136,2020-07-09,50685.0,Ankle Braces
137,2020-07-10,50685.0,Ankle Braces
138,2020-07-11,50685.0,Ankle Braces
139,2020-07-12,53557.0,Ankle Braces
140,2020-07-13,53557.0,Ankle Braces
141,2020-07-14,51673.0,Ankle Braces
142,2020-07-15,51673.0,Ankle Braces
143,2020-07-16,51673.0,Ankle Braces
144,2020-07-17,51055.0,Ankle Braces
145,2020-07-18,51055.0,Ankle Braces
146,2020-07-19,51055.0,Ankle Braces
147,2020-07-20,67082.0,Ankle Braces
148,2020-07-21,67082.0,Ankle Braces
149,2020-07-22,67082.0,Ankle Braces
150,2020-07-23,67082.0,Ankle Braces
151,2020-07-24,67082.0,Ankle Braces
152,2020-07-25,56776.0,Ankle Braces
153,2020-07-26,56776.0,Ankle Braces
154,2020-07-27,56776.0,Ankle Braces
155,2020-07-28,38176.0,Ankle Braces
156,2020-07-29,47522.0,Ankle Braces
157,2020-07-30,47522.0,Ankle Braces
158,2020-07-31,47522.0,Ankle Braces
159,2020-08-01,47522.0,Ankle Braces
160,2020-08-02,46677.0,Ankle Braces
161,2020-08-03,46677.0,Ankle Braces
162,2020-08-04,46677.0,Ankle Braces
163,2020-08-05,46677.0,Ankle Braces
164,2020-08-06,46677.0,Ankle Braces
165,2020-08-07,46677.0,Ankle Braces
166,2020-08-08,43321.0,Ankle Braces
167,2020-08-09,43321.0,Ankle Braces
168,2020-08-10,43321.0,Ankle Braces
169,2020-08-11,43321.0,Ankle Braces
170,2020-08-12,43321.0,Ankle Braces
171,2020-08-13,43321.0,Ankle Braces
172,2020-08-14,33527.0,Ankle Braces
173,2020-08-15,33527.0,Ankle Braces
174,2020-08-16,33527.0,Ankle Braces
175,2020-08-17,70128.0,Ankle Braces
176,2020-08-18,70128.0,Ankle Braces
177,2020-08-19,70128.0,Ankle Braces
178,2020-08-20,70128.0,Ankle Braces
179,2020-08-21,70128.0,Ankle Braces
180,2020-08-22,70128.0,Ankle Braces
181,2020-08-23,70128.0,Ankle Braces
182,2020-08-24,56912.0,Ankle Braces
183,2020-08-25,36137.0,Ankle Braces
184,2020-08-26,36137.0,Ankle Braces
185,2020-08-27,36137.0,Ankle Braces
186,2020-08-28,36137.0,Ankle Braces
187,2020-08-29,36137.0,Ankle Braces
188,2020-08-30,36137.0,Ankle Braces
189,2020-08-31,36137.0,Ankle Braces
190,2020-09-01,41944.0,Ankle Braces
191,2020-09-02,41944.0,Ankle Braces
192,2020-09-03,41944.0,Ankle Braces
193,2020-09-04,39606.0,Ankle Braces
194,2020-09-05,39606.0,Ankle Braces
195,2020-09-06,39606.0,Ankle Braces
196,2020-09-07,39606.0,Ankle Braces
197,2020-09-08,39606.0,Ankle Braces
198,2020-09-09,39606.0,Ankle Braces
199,2020-09-10,51307.0,Ankle Braces
200,2020-09-11,51307.0,Ankle Braces
201,2020-09-12,51307.0,Ankle Braces
202,2020-09-13,51307.0,Ankle Braces
203,2020-09-14,51307.0,Ankle Braces
204,2020-09-15,51307.0,Ankle Braces
205,2020-09-16,51307.0,Ankle Braces
206,2020-09-17,33462.0,Ankle Braces
207,2020-09-18,33462.0,Ankle Braces
208,2020-09-19,33462.0,Ankle Braces
209,2020-09-20,33462.0,Ankle Braces
210,2020-09-21,33462.0,Ankle Braces
211,2020-09-22,38949.0,Ankle Braces
212,2020-09-23,38949.0,Ankle Braces
213,2020-09-24,38949.0,Ankle Braces
214,2020-09-25,38949.0,Ankle Braces
215,2020-09-26,38949.0,Ankle Braces
216,2020-09-27,38949.0,Ankle Braces
217,2020-09-28,38949.0,Ankle Braces
218,2020-09-29,38949.0,Ankle Braces
219,2020-09-30,38949.0,Ankle Braces
220,2020-10-01,38949.0,Ankle Braces
221,2020-10-02,38949.0,Ankle Braces
222,2020-10-03,38949.0,Ankle Braces
223,2020-10-04,38949.0,Ankle Braces
224,2020-10-05,38949.0,Ankle Braces
225,2020-10-06,38949.0,Ankle Braces
226,2020-10-07,38949.0,Ankle Braces
227,2020-10-08,38949.0,Ankle Braces
228,2020-10-09,38949.0,Ankle Braces
229,2020-10-10,38949.0,Ankle Braces
230,2020-10-11,41600.0,Ankle Braces
231,2020-10-12,41600.0,Ankle Braces
232,2020-10-13,41600.0,Ankle Braces
233,2020-10-14,41600.0,Ankle Braces
234,2020-10-15,45466.0,Ankle Braces
235,2020-10-16,45466.0,Ankle Braces
236,2020-10-17,45466.0,Ankle Braces
237,2020-10-18,45466.0,Ankle Braces
238,2020-10-19,64109.0,Ankle Braces
239,2020-10-20,64109.0,Ankle Braces
240,2020-10-21,64109.0,Ankle Braces
241,2020-10-22,36765.0,Ankle Braces
242,2020-10-23,36765.0,Ankle Braces
243,2020-10-24,36765.0,Ankle Braces
244,2020-10-25,36765.0,Ankle Braces
245,2020-10-26,36765.0,Ankle Braces
246,2020-10-27,36765.0,Ankle Braces
247,2020-10-28,40889.0,Ankle Braces
248,2020-10-29,43329.0,Ankle Braces
249,2020-10-30,43329.0,Ankle Braces
250,2020-10-31,43329.0,Ankle Braces
251,2020-11-01,43329.0,Ankle Braces
252,2020-11-02,43329.0,Ankle Braces
253,2020-11-03,43329.0,Ankle Braces
254,2020-11-04,43329.0,Ankle Braces
255,2020-11-05,43329.0,Ankle Braces
256,2020-11-06,39680.0,Ankle Braces
257,2020-11-07,39680.0,Ankle Braces
258,2020-11-08,39680.0,Ankle Braces
259,2020-11-09,63115.0,Ankle Braces
260,2020-11-10,54355.0,Ankle Braces
261,2020-11-11,54355.0,Ankle Braces
262,2020-11-12,54355.0,Ankle Braces
263,2020-11-13,54355.0,Ankle Braces
264,2020-11-14,54355.0,Ankle Braces
265,2020-11-15,62284.0,Ankle Braces
266,2020-11-16,62284.0,Ankle Braces
267,2020-11-17,50782.0,Ankle Braces
268,2020-11-18,43981.0,Ankle Braces
269,2020-11-19,43981.0,Ankle Braces
270,2020-11-20,51356.0,Ankle Braces
271,2020-11-21,32799.0,Ankle Braces
272,2020-11-22,52849.0,Ankle Braces
273,2020-11-23,51406.0,Ankle Braces
274,2020-11-24,51406.0,Ankle Braces
275,2020-11-25,51406.0,Ankle Braces
276,2020-11-26,51406.0,Ankle Braces
277,2020-11-27,51406.0,Ankle Braces
278,2020-11-28,51406.0,Ankle Braces
279,2020-11-29,51406.0,Ankle Braces
280,2020-11-30,73729.0,Ankle Braces
281,2020-12-01,51883.0,Ankle Braces
282,2020-12-02,51883.0,Ankle Braces
283,2020-12-03,50769.0,Ankle Braces
284,2020-12-04,53924.0,Ankle Braces
285,2020-12-05,53924.0,Ankle Braces
286,2020-12-06,53924.0,Ankle Braces
287,2020-12-07,57191.0,Ankle Braces
288,2020-12-08,57191.0,Ankle Braces
289,2020-12-09,57191.0,Ankle Braces
290,2020-12-10,40159.0,Ankle Braces
291,2020-12-11,40159.0,Ankle Braces
292,2020-12-12,48070.0,Ankle Braces
293,2020-12-13,48070.0,Ankle Braces
294,2020-12-14,48070.0,Ankle Braces
295,2020-12-15,48070.0,Ankle Braces
296,2020-12-16,45182.0,Ankle Braces
297,2020-12-17,45182.0,Ankle Braces
298,2020-12-18,45182.0,Ankle Braces
299,2020-12-19,45182.0,Ankle Braces
300,2020-12-20,59045.0,Ankle Braces
301,2020-12-21,59045.0,Ankle Braces
302,2020-12-22,59045.0,Ankle Braces
303,2020-12-23,37056.0,Ankle Braces
304,2020-12-24,43805.0,Ankle Braces
305,2020-12-25,43805.0,Ankle Braces
306,2020-12-26,43805.0,Ankle Braces
307,2020-12-27,43805.0,Ankle Braces
308,2020-12-28,84333.0,Ankle Braces
309,2020-12-29,84333.0,Ankle Braces
310,2020-12-30,84333.0,Ankle Braces
311,2020-12-31,45580.0,Ankle Braces
312,2021-01-01,45580.0,Ankle Braces
313,2021-01-02,45580.0,Ankle Braces
314,2021-01-03,45580.0,Ankle Braces
315,2021-01-04,45580.0,Ankle Braces
316,2021-01-05,66486.0,Ankle Braces
317,2021-01-06,74676.0,Ankle Braces
318,2021-01-07,74676.0,Ankle Braces
319,2021-01-08,40123.0,Ankle Braces
320,2021-01-09,40123.0,Ankle Braces
321,2021-01-10,40123.0,Ankle Braces
322,2021-01-11,40123.0,Ankle Braces
323,2021-01-12,41975.0,Ankle Braces
324,2021-01-13,41975.0,Ankle Braces
325,2021-01-14,41975.0,Ankle Braces
326,2021-01-15,41975.0,Ankle Braces
327,2021-01-16,41975.0,Ankle Braces
328,2021-01-17,41975.0,Ankle Braces
329,2021-01-18,41975.0,Ankle Braces
330,2021-01-19,62199.0,Ankle Braces
331,2021-01-20,62199.0,Ankle Braces
332,2021-01-21,45729.0,Ankle Braces
333,2021-01-22,45478.0,Ankle Braces
334,2021-01-23,69298.0,Ankle Braces
335,2021-01-24,51749.0,Ankle Braces
336,2021-01-25,47759.0,Ankle Braces
337,2021-01-26,48085.0,Ankle Braces
338,2021-01-27,48085.0,Ankle Braces
339,2021-01-28,48085.0,Ankle Braces
340,2021-01-29,48085.0,Ankle Braces
341,2021-01-30,34489.0,Ankle Braces
342,2021-01-31,34489.0,Ankle Braces
343,2021-02-01,34489.0,Ankle Braces
344,2021-02-02,61551.0,Ankle Braces
345,2021-02-03,61551.0,Ankle Braces
346,2021-02-04,61551.0,Ankle Braces
347,2021-02-05,61551.0,Ankle Braces
348,2021-02-06,61551.0,Ankle Braces
349,2021-02-07,61551.0,Ankle Braces
350,2021-02-08,61551.0,Ankle Braces
351,2021-02-09,61551.0,Ankle Braces
352,2021-02-10,43203.0,Ankle Braces
353,2021-02-11,43203.0,Ankle Braces
354,2021-02-12,27281.0,Ankle Braces
355,2021-02-13,39342.0,Ankle Braces
356,2021-02-14,47139.0,Ankle Braces
357,2021-02-15,37878.0,Ankle Braces
358,2021-02-16,40699.0,Ankle Braces
359,2021-02-17,40699.0,Ankle Braces
360,2021-02-18,26510.0,Ankle Braces
361,2021-02-19,28624.0,Ankle Braces
362,2021-02-20,36854.0,Ankle Braces
363,2021-02-21,45525.0,Ankle Braces
364,2021-02-22,43149.0,Ankle Braces
365,2021-02-23,43149.0,Ankle Braces
366,2021-02-24,43149.0,Ankle Braces
367,2021-02-25,35655.0,Ankle Braces
368,2021-02-26,42912.0,Ankle Braces
369,2021-02-27,45295.0,Ankle Braces
370,2021-02-28,45397.0,Ankle Braces
371,2021-03-01,78133.0,Ankle Braces
372,2021-03-02,57634.0,Ankle Braces
373,2021-03-03,54660.0,Ankle Braces
374,2021-03-04,49517.0,Ankle Braces
375,2021-03-05,47735.0,Ankle Braces
376,2021-03-06,40473.0,Ankle Braces
377,2021-03-07,40473.0,Ankle Braces
378,2021-03-08,62294.0,Ankle Braces
379,2021-03-09,70467.0,Ankle Braces
380,2021-03-10,51108.0,Ankle Braces
381,2021-03-11,41685.0,Ankle Braces
382,2021-03-12,49909.0,Ankle Braces
383,2021-03-13,46290.0,Ankle Braces
384,2021-03-14,46290.0,Ankle Braces
385,2021-03-15,69261.0,Ankle Braces
386,2021-03-16,50810.0,Ankle Braces
387,2021-03-17,49899.0,Ankle Braces
388,2021-03-18,39262.0,Ankle Braces
389,2021-03-19,49032.0,Ankle Braces
390,2021-03-20,39345.0,Ankle Braces
391,2021-03-21,39345.0,Ankle Braces
392,2021-03-22,65016.0,Ankle Braces
393,2021-03-23,65016.0,Ankle Braces
394,2021-03-24,43230.0,Ankle Braces
395,2021-03-25,46671.0,Ankle Braces
396,2021-03-26,50446.0,Ankle Braces
397,2021-03-27,45578.0,Ankle Braces
398,2021-03-28,45578.0,Ankle Braces
399,2021-03-29,57221.0,Ankle Braces
400,2021-03-30,59528.0,Ankle Braces
401,2021-03-31,51169.0,Ankle Braces
402,2021-04-01,59304.0,Ankle Braces
403,2021-04-02,56691.0,Ankle Braces
404,2021-04-03,55647.0,Ankle Braces
405,2021-04-04,55647.0,Ankle Braces
406,2021-04-05,79968.0,Ankle Braces
407,2021-04-06,79968.0,Ankle Braces
408,2021-04-07,66583.0,Ankle Braces
409,2021-04-08,44704.0,Ankle Braces
410,2021-04-09,45559.0,Ankle Braces
411,2021-04-10,42372.0,Ankle Braces
412,2021-04-11,42372.0,Ankle Braces
413,2021-04-12,62664.0,Ankle Braces
414,2021-04-13,50050.0,Ankle Braces
415,2021-04-14,46709.0,Ankle Braces
416,2021-04-15,46709.0,Ankle Braces
417,2021-04-16,45405.0,Ankle Braces
418,2021-04-17,48940.0,Ankle Braces
419,2021-04-18,56673.0,Ankle Braces
420,2021-04-19,51465.0,Ankle Braces
421,2021-04-20,51465.0,Ankle Braces
422,2021-04-21,44836.0,Ankle Braces
423,2021-04-22,44277.0,Ankle Braces
424,2021-04-23,49906.0,Ankle Braces
425,2021-04-24,37658.0,Ankle Braces
426,2021-04-25,47439.0,Ankle Braces
427,2021-04-26,47439.0,Ankle Braces
428,2021-04-27,47474.0,Ankle Braces
429,2021-04-28,45181.0,Ankle Braces
430,2021-04-29,48754.0,Ankle Braces
431,2021-04-30,39283.0,Ankle Braces
432,2021-05-01,41585.0,Ankle Braces
433,2021-05-02,41585.0,Ankle Braces
434,2021-05-03,40439.0,Ankle Braces
435,2021-05-04,35129.0,Ankle Braces
436,2021-05-05,35129.0,Ankle Braces
437,2021-05-06,39543.0,Ankle Braces
438,2021-05-07,35024.0,Ankle Braces
439,2021-05-08,35024.0,Ankle Braces
440,2021-05-09,35024.0,Ankle Braces
441,2021-05-10,51622.0,Ankle Braces
442,2021-05-11,51622.0,Ankle Braces
443,2021-05-12,33284.0,Ankle Braces
444,2021-05-13,41432.0,Ankle Braces
445,2021-05-14,28520.0,Ankle Braces
446,2021-05-15,28520.0,Ankle Braces
447,2021-05-16,40244.0,Ankle Braces
448,2021-05-17,40244.0,Ankle Braces
449,2021-05-18,40244.0,Ankle Braces
450,2021-05-19,30391.0,Ankle Braces
451,2021-05-20,35667.0,Ankle Braces
452,2021-05-21,27933.0,Ankle Braces
453,2021-05-22,28647.0,Ankle Braces
454,2021-05-23,36543.0,Ankle Braces
455,2021-05-24,36543.0,Ankle Braces
456,2021-05-25,35707.0,Ankle Braces
457,2021-05-26,38197.0,Ankle Braces
458,2021-05-27,38197.0,Ankle Braces
459,2021-05-28,42907.0,Ankle Braces
460,2021-05-29,42907.0,Ankle Braces
461,2021-05-30,27613.0,Ankle Braces
462,2021-05-31,40749.0,Ankle Braces
463,2021-06-01,46844.0,Ankle Braces
464,2021-06-02,20048.0,Ankle Braces
465,2021-06-03,24692.0,Ankle Braces
466,2021-06-04,26767.0,Ankle Braces
467,2021-06-05,26767.0,Ankle Braces
468,2021-06-06,23639.0,Ankle Braces
469,2021-06-07,42861.0,Ankle Braces
470,2021-06-08,47819.0,Ankle Braces
471,2021-06-09,36572.0,Ankle Braces
472,2021-06-10,39516.0,Ankle Braces
473,2021-06-11,39516.0,Ankle Braces
474,2021-06-12,36756.0,Ankle Braces
475,2021-06-13,42685.0,Ankle Braces
476,2021-06-14,44685.0,Ankle Braces
477,2021-06-15,44685.0,Ankle Braces
478,2021-06-16,35324.0,Ankle Braces
479,2021-06-17,33839.0,Ankle Braces
480,2021-06-18,52173.0,Ankle Braces
481,2021-06-19,52173.0,Ankle Braces
482,2021-06-20,35489.0,Ankle Braces
483,2021-06-21,47774.0,Ankle Braces
484,2021-06-22,42840.0,Ankle Braces
485,2021-06-23,32206.0,Ankle Braces
486,2021-06-24,34298.0,Ankle Braces
487,2021-06-25,34298.0,Ankle Braces
488,2021-06-26,36245.0,Ankle Braces
489,2021-06-27,38838.0,Ankle Braces
490,2021-06-28,38838.0,Ankle Braces
491,2021-06-29,49493.0,Ankle Braces
492,2021-06-30,49493.0,Ankle Braces
493,2021-07-01,49493.0,Ankle Braces
494,2021-07-02,26251.0,Ankle Braces
495,2021-07-03,27115.0,Ankle Braces
496,2021-07-04,27106.0,Ankle Braces
497,2021-07-05,32351.0,Ankle Braces
498,2021-07-06,32351.0,Ankle Braces
499,2021-07-07,34120.0,Ankle Braces
500,2021-07-08,29748.0,Ankle Braces
501,2021-07-09,38309.0,Ankle Braces
