,date,value,name_B07MLT3PHY
262,2019-10-06,2050.0,Balance Bikes
263,2019-10-07,1919.0,Balance Bikes
264,2019-10-08,1919.0,Balance Bikes
265,2019-10-09,1768.0,Balance Bikes
266,2019-10-10,2041.0,Balance Bikes
267,2019-10-11,2041.0,Balance Bikes
268,2019-10-12,2386.0,Balance Bikes
269,2019-10-13,2634.0,Balance Bikes
270,2019-10-14,2634.0,Balance Bikes
271,2019-10-15,2634.0,Balance Bikes
272,2019-10-16,3014.0,Balance Bikes
273,2019-10-17,3259.0,Balance Bikes
274,2019-10-18,2523.0,Balance Bikes
275,2019-10-19,3166.0,Balance Bikes
276,2019-10-20,3166.0,Balance Bikes
277,2019-10-21,3124.0,Balance Bikes
278,2019-10-22,2874.0,Balance Bikes
279,2019-10-23,2496.0,Balance Bikes
280,2019-10-24,3152.0,Balance Bikes
281,2019-10-25,3492.0,Balance Bikes
282,2019-10-26,2908.0,Balance Bikes
283,2019-10-27,3914.0,Balance Bikes
284,2019-10-28,4718.0,Balance Bikes
285,2019-10-29,4196.0,Balance Bikes
286,2019-10-30,4113.0,Balance Bikes
287,2019-10-31,3405.0,Balance Bikes
288,2019-11-01,3405.0,Balance Bikes
289,2019-11-02,3405.0,Balance Bikes
290,2019-11-03,2459.0,Balance Bikes
291,2019-11-04,2631.0,Balance Bikes
292,2019-11-05,2698.0,Balance Bikes
293,2019-11-06,3118.0,Balance Bikes
294,2019-11-07,3231.0,Balance Bikes
295,2019-11-08,2865.0,Balance Bikes
296,2019-11-09,2865.0,Balance Bikes
297,2019-11-10,2865.0,Balance Bikes
298,2019-11-11,4883.0,Balance Bikes
299,2019-11-12,3344.0,Balance Bikes
300,2019-11-13,3656.0,Balance Bikes
301,2019-11-14,3656.0,Balance Bikes
302,2019-11-15,3656.0,Balance Bikes
303,2019-11-16,3656.0,Balance Bikes
304,2019-11-17,3656.0,Balance Bikes
305,2019-11-18,1920.0,Balance Bikes
306,2019-11-19,1920.0,Balance Bikes
307,2019-11-20,2802.0,Balance Bikes
308,2019-11-21,2271.0,Balance Bikes
309,2019-11-22,2271.0,Balance Bikes
310,2019-11-23,1838.0,Balance Bikes
311,2019-11-24,1989.0,Balance Bikes
312,2019-11-25,1989.0,Balance Bikes
313,2019-11-26,2384.0,Balance Bikes
314,2019-11-27,2384.0,Balance Bikes
315,2019-11-28,2309.0,Balance Bikes
316,2019-11-29,2309.0,Balance Bikes
317,2019-11-30,2309.0,Balance Bikes
318,2019-12-01,2309.0,Balance Bikes
319,2019-12-02,2180.0,Balance Bikes
320,2019-12-03,2432.0,Balance Bikes
321,2019-12-04,2432.0,Balance Bikes
322,2019-12-05,2432.0,Balance Bikes
323,2019-12-06,2432.0,Balance Bikes
324,2019-12-07,2353.0,Balance Bikes
325,2019-12-08,2353.0,Balance Bikes
326,2019-12-09,2353.0,Balance Bikes
327,2019-12-10,2458.0,Balance Bikes
328,2019-12-11,2265.0,Balance Bikes
329,2019-12-12,2265.0,Balance Bikes
330,2019-12-13,1834.0,Balance Bikes
331,2019-12-14,1834.0,Balance Bikes
332,2019-12-15,1834.0,Balance Bikes
333,2019-12-16,1834.0,Balance Bikes
334,2019-12-17,1882.0,Balance Bikes
335,2019-12-18,1850.0,Balance Bikes
336,2019-12-19,1863.0,Balance Bikes
337,2019-12-20,1863.0,Balance Bikes
338,2019-12-21,1863.0,Balance Bikes
339,2019-12-22,1763.0,Balance Bikes
340,2019-12-23,1763.0,Balance Bikes
341,2019-12-24,2319.0,Balance Bikes
342,2019-12-25,2328.0,Balance Bikes
343,2019-12-26,2328.0,Balance Bikes
344,2019-12-27,3210.0,Balance Bikes
345,2019-12-28,3527.0,Balance Bikes
346,2019-12-29,3527.0,Balance Bikes
347,2019-12-30,3527.0,Balance Bikes
348,2019-12-31,3527.0,Balance Bikes
349,2020-01-01,5368.0,Balance Bikes
350,2020-01-02,5368.0,Balance Bikes
351,2020-01-03,5368.0,Balance Bikes
352,2020-01-04,5368.0,Balance Bikes
353,2020-01-05,5891.0,Balance Bikes
354,2020-01-06,5891.0,Balance Bikes
355,2020-01-07,5667.0,Balance Bikes
356,2020-01-08,4951.0,Balance Bikes
357,2020-01-09,4433.0,Balance Bikes
358,2020-01-10,4433.0,Balance Bikes
359,2020-01-11,8877.0,Balance Bikes
360,2020-01-12,7507.0,Balance Bikes
361,2020-01-13,7507.0,Balance Bikes
362,2020-01-14,7507.0,Balance Bikes
363,2020-01-15,7472.0,Balance Bikes
364,2020-01-16,6467.0,Balance Bikes
365,2020-01-17,5403.0,Balance Bikes
366,2020-01-18,5403.0,Balance Bikes
367,2020-01-19,5403.0,Balance Bikes
368,2020-01-20,13378.0,Balance Bikes
369,2020-01-21,13378.0,Balance Bikes
370,2020-01-22,8358.0,Balance Bikes
371,2020-01-23,8358.0,Balance Bikes
372,2020-01-24,8358.0,Balance Bikes
373,2020-01-25,4440.0,Balance Bikes
374,2020-01-26,4440.0,Balance Bikes
375,2020-01-27,4440.0,Balance Bikes
376,2020-01-28,4440.0,Balance Bikes
377,2020-01-29,4440.0,Balance Bikes
378,2020-01-30,6546.0,Balance Bikes
379,2020-01-31,6546.0,Balance Bikes
380,2020-02-01,6546.0,Balance Bikes
381,2020-02-02,8857.0,Balance Bikes
382,2020-02-03,10516.0,Balance Bikes
383,2020-02-04,10516.0,Balance Bikes
384,2020-02-05,10516.0,Balance Bikes
385,2020-02-06,10516.0,Balance Bikes
386,2020-02-07,10516.0,Balance Bikes
387,2020-02-08,6680.0,Balance Bikes
388,2020-02-09,6680.0,Balance Bikes
389,2020-02-10,6680.0,Balance Bikes
390,2020-02-11,8077.0,Balance Bikes
391,2020-02-12,8077.0,Balance Bikes
392,2020-02-13,8077.0,Balance Bikes
393,2020-02-14,5556.0,Balance Bikes
394,2020-02-15,5556.0,Balance Bikes
395,2020-02-16,6885.0,Balance Bikes
396,2020-02-17,6885.0,Balance Bikes
397,2020-02-18,12646.0,Balance Bikes
398,2020-02-19,5609.0,Balance Bikes
399,2020-02-20,5609.0,Balance Bikes
400,2020-02-21,5609.0,Balance Bikes
401,2020-02-22,5609.0,Balance Bikes
402,2020-02-23,5609.0,Balance Bikes
403,2020-02-24,8025.0,Balance Bikes
404,2020-02-25,8025.0,Balance Bikes
405,2020-02-26,8025.0,Balance Bikes
406,2020-02-27,8025.0,Balance Bikes
407,2020-02-28,8025.0,Balance Bikes
408,2020-02-29,8025.0,Balance Bikes
409,2020-03-01,8239.0,Balance Bikes
410,2020-03-02,8239.0,Balance Bikes
411,2020-03-03,8239.0,Balance Bikes
412,2020-03-04,8239.0,Balance Bikes
413,2020-03-05,5330.0,Balance Bikes
414,2020-03-06,5330.0,Balance Bikes
415,2020-03-07,5330.0,Balance Bikes
416,2020-03-08,5330.0,Balance Bikes
417,2020-03-09,5330.0,Balance Bikes
418,2020-03-10,-1.0,Balance Bikes
419,2020-03-11,-1.0,Balance Bikes
420,2020-03-12,-1.0,Balance Bikes
421,2020-03-13,-1.0,Balance Bikes
422,2020-03-14,-1.0,Balance Bikes
423,2020-03-15,-1.0,Balance Bikes
424,2020-03-16,-1.0,Balance Bikes
425,2020-03-17,-1.0,Balance Bikes
426,2020-03-18,-1.0,Balance Bikes
427,2020-03-19,-1.0,Balance Bikes
428,2020-03-20,-1.0,Balance Bikes
429,2020-03-21,-1.0,Balance Bikes
430,2020-03-22,-1.0,Balance Bikes
431,2020-03-23,-1.0,Balance Bikes
432,2020-03-24,-1.0,Balance Bikes
433,2020-03-25,-1.0,Balance Bikes
434,2020-03-26,-1.0,Balance Bikes
435,2020-03-27,-1.0,Balance Bikes
436,2020-03-28,-1.0,Balance Bikes
437,2020-03-29,-1.0,Balance Bikes
438,2020-03-30,-1.0,Balance Bikes
439,2020-03-31,-1.0,Balance Bikes
440,2020-04-01,-1.0,Balance Bikes
441,2020-04-02,-1.0,Balance Bikes
442,2020-04-03,-1.0,Balance Bikes
443,2020-04-04,-1.0,Balance Bikes
444,2020-04-05,-1.0,Balance Bikes
445,2020-04-06,-1.0,Balance Bikes
446,2020-04-07,-1.0,Balance Bikes
447,2020-04-08,-1.0,Balance Bikes
448,2020-04-09,-1.0,Balance Bikes
449,2020-04-10,-1.0,Balance Bikes
450,2020-04-11,-1.0,Balance Bikes
451,2020-04-12,-1.0,Balance Bikes
452,2020-04-13,-1.0,Balance Bikes
453,2020-04-14,-1.0,Balance Bikes
454,2020-04-15,-1.0,Balance Bikes
455,2020-04-16,-1.0,Balance Bikes
456,2020-04-17,-1.0,Balance Bikes
457,2020-04-18,-1.0,Balance Bikes
458,2020-04-19,-1.0,Balance Bikes
459,2020-04-20,-1.0,Balance Bikes
460,2020-04-21,-1.0,Balance Bikes
461,2020-04-22,-1.0,Balance Bikes
462,2020-04-23,-1.0,Balance Bikes
463,2020-04-24,-1.0,Balance Bikes
464,2020-04-25,-1.0,Balance Bikes
465,2020-04-26,-1.0,Balance Bikes
466,2020-04-27,-1.0,Balance Bikes
467,2020-04-28,-1.0,Balance Bikes
468,2020-04-29,-1.0,Balance Bikes
469,2020-04-30,-1.0,Balance Bikes
470,2020-05-01,-1.0,Balance Bikes
471,2020-05-02,-1.0,Balance Bikes
472,2020-05-03,-1.0,Balance Bikes
473,2020-05-04,-1.0,Balance Bikes
474,2020-05-05,-1.0,Balance Bikes
475,2020-05-06,-1.0,Balance Bikes
476,2020-05-07,-1.0,Balance Bikes
477,2020-05-08,-1.0,Balance Bikes
478,2020-05-09,-1.0,Balance Bikes
479,2020-05-10,-1.0,Balance Bikes
480,2020-05-11,-1.0,Balance Bikes
481,2020-05-12,-1.0,Balance Bikes
482,2020-05-13,-1.0,Balance Bikes
483,2020-05-14,-1.0,Balance Bikes
484,2020-05-15,-1.0,Balance Bikes
485,2020-05-16,-1.0,Balance Bikes
486,2020-05-17,-1.0,Balance Bikes
487,2020-05-18,-1.0,Balance Bikes
488,2020-05-19,-1.0,Balance Bikes
489,2020-05-20,-1.0,Balance Bikes
490,2020-05-21,-1.0,Balance Bikes
491,2020-05-22,-1.0,Balance Bikes
492,2020-05-23,-1.0,Balance Bikes
493,2020-05-24,-1.0,Balance Bikes
494,2020-05-25,-1.0,Balance Bikes
495,2020-05-26,-1.0,Balance Bikes
496,2020-05-27,-1.0,Balance Bikes
497,2020-05-28,-1.0,Balance Bikes
498,2020-05-29,-1.0,Balance Bikes
499,2020-05-30,-1.0,Balance Bikes
500,2020-05-31,-1.0,Balance Bikes
501,2020-06-01,-1.0,Balance Bikes
502,2020-06-02,-1.0,Balance Bikes
503,2020-06-03,-1.0,Balance Bikes
504,2020-06-04,-1.0,Balance Bikes
505,2020-06-05,-1.0,Balance Bikes
506,2020-06-06,-1.0,Balance Bikes
507,2020-06-07,-1.0,Balance Bikes
508,2020-06-08,-1.0,Balance Bikes
509,2020-06-09,-1.0,Balance Bikes
510,2020-06-10,-1.0,Balance Bikes
511,2020-06-11,-1.0,Balance Bikes
512,2020-06-12,-1.0,Balance Bikes
513,2020-06-13,-1.0,Balance Bikes
514,2020-06-14,-1.0,Balance Bikes
515,2020-06-15,-1.0,Balance Bikes
516,2020-06-16,-1.0,Balance Bikes
517,2020-06-17,-1.0,Balance Bikes
518,2020-06-18,-1.0,Balance Bikes
519,2020-06-19,-1.0,Balance Bikes
520,2020-06-20,-1.0,Balance Bikes
521,2020-06-21,-1.0,Balance Bikes
522,2020-06-22,-1.0,Balance Bikes
523,2020-06-23,-1.0,Balance Bikes
524,2020-06-24,-1.0,Balance Bikes
525,2020-06-25,-1.0,Balance Bikes
526,2020-06-26,-1.0,Balance Bikes
527,2020-06-27,-1.0,Balance Bikes
528,2020-06-28,-1.0,Balance Bikes
529,2020-06-29,-1.0,Balance Bikes
530,2020-06-30,-1.0,Balance Bikes
531,2020-07-01,-1.0,Balance Bikes
532,2020-07-02,-1.0,Balance Bikes
533,2020-07-03,-1.0,Balance Bikes
534,2020-07-04,-1.0,Balance Bikes
535,2020-07-05,-1.0,Balance Bikes
536,2020-07-06,-1.0,Balance Bikes
537,2020-07-07,-1.0,Balance Bikes
538,2020-07-08,-1.0,Balance Bikes
539,2020-07-09,-1.0,Balance Bikes
540,2020-07-10,-1.0,Balance Bikes
541,2020-07-11,-1.0,Balance Bikes
542,2020-07-12,-1.0,Balance Bikes
543,2020-07-13,-1.0,Balance Bikes
544,2020-07-14,-1.0,Balance Bikes
545,2020-07-15,-1.0,Balance Bikes
546,2020-07-16,-1.0,Balance Bikes
547,2020-07-17,-1.0,Balance Bikes
548,2020-07-18,-1.0,Balance Bikes
549,2020-07-19,-1.0,Balance Bikes
550,2020-07-20,-1.0,Balance Bikes
551,2020-07-21,-1.0,Balance Bikes
552,2020-07-22,-1.0,Balance Bikes
553,2020-07-23,-1.0,Balance Bikes
554,2020-07-24,-1.0,Balance Bikes
555,2020-07-25,-1.0,Balance Bikes
556,2020-07-26,-1.0,Balance Bikes
557,2020-07-27,-1.0,Balance Bikes
558,2020-07-28,-1.0,Balance Bikes
559,2020-07-29,-1.0,Balance Bikes
560,2020-07-30,-1.0,Balance Bikes
561,2020-07-31,-1.0,Balance Bikes
562,2020-08-01,-1.0,Balance Bikes
563,2020-08-02,-1.0,Balance Bikes
564,2020-08-03,-1.0,Balance Bikes
565,2020-08-04,-1.0,Balance Bikes
566,2020-08-05,-1.0,Balance Bikes
567,2020-08-06,-1.0,Balance Bikes
568,2020-08-07,-1.0,Balance Bikes
569,2020-08-08,-1.0,Balance Bikes
570,2020-08-09,-1.0,Balance Bikes
571,2020-08-10,-1.0,Balance Bikes
572,2020-08-11,-1.0,Balance Bikes
573,2020-08-12,-1.0,Balance Bikes
574,2020-08-13,-1.0,Balance Bikes
575,2020-08-14,-1.0,Balance Bikes
576,2020-08-15,-1.0,Balance Bikes
577,2020-08-16,-1.0,Balance Bikes
578,2020-08-17,-1.0,Balance Bikes
579,2020-08-18,-1.0,Balance Bikes
580,2020-08-19,-1.0,Balance Bikes
581,2020-08-20,-1.0,Balance Bikes
582,2020-08-21,-1.0,Balance Bikes
583,2020-08-22,-1.0,Balance Bikes
584,2020-08-23,-1.0,Balance Bikes
585,2020-08-24,-1.0,Balance Bikes
586,2020-08-25,-1.0,Balance Bikes
587,2020-08-26,-1.0,Balance Bikes
588,2020-08-27,-1.0,Balance Bikes
589,2020-08-28,-1.0,Balance Bikes
590,2020-08-29,-1.0,Balance Bikes
591,2020-08-30,-1.0,Balance Bikes
592,2020-08-31,-1.0,Balance Bikes
593,2020-09-01,-1.0,Balance Bikes
594,2020-09-02,-1.0,Balance Bikes
595,2020-09-03,-1.0,Balance Bikes
596,2020-09-04,-1.0,Balance Bikes
597,2020-09-05,-1.0,Balance Bikes
598,2020-09-06,-1.0,Balance Bikes
599,2020-09-07,-1.0,Balance Bikes
600,2020-09-08,-1.0,Balance Bikes
601,2020-09-09,-1.0,Balance Bikes
602,2020-09-10,-1.0,Balance Bikes
603,2020-09-11,-1.0,Balance Bikes
604,2020-09-12,-1.0,Balance Bikes
605,2020-09-13,-1.0,Balance Bikes
606,2020-09-14,-1.0,Balance Bikes
607,2020-09-15,-1.0,Balance Bikes
608,2020-09-16,-1.0,Balance Bikes
609,2020-09-17,-1.0,Balance Bikes
610,2020-09-18,-1.0,Balance Bikes
611,2020-09-19,-1.0,Balance Bikes
612,2020-09-20,-1.0,Balance Bikes
613,2020-09-21,-1.0,Balance Bikes
614,2020-09-22,-1.0,Balance Bikes
615,2020-09-23,-1.0,Balance Bikes
616,2020-09-24,-1.0,Balance Bikes
617,2020-09-25,-1.0,Balance Bikes
618,2020-09-26,-1.0,Balance Bikes
619,2020-09-27,-1.0,Balance Bikes
620,2020-09-28,-1.0,Balance Bikes
621,2020-09-29,-1.0,Balance Bikes
622,2020-09-30,-1.0,Balance Bikes
623,2020-10-01,-1.0,Balance Bikes
624,2020-10-02,-1.0,Balance Bikes
625,2020-10-03,-1.0,Balance Bikes
626,2020-10-04,-1.0,Balance Bikes
627,2020-10-05,-1.0,Balance Bikes
628,2020-10-06,-1.0,Balance Bikes
629,2020-10-07,-1.0,Balance Bikes
630,2020-10-08,-1.0,Balance Bikes
631,2020-10-09,-1.0,Balance Bikes
632,2020-10-10,-1.0,Balance Bikes
633,2020-10-11,-1.0,Balance Bikes
