,date,value,name_B08D8FXT5N
46,2020-09-05,2971.0,Throw Pillow Covers
47,2020-09-06,3053.0,Throw Pillow Covers
48,2020-09-07,2532.0,Throw Pillow Covers
49,2020-09-08,3580.0,Throw Pillow Covers
50,2020-09-09,3862.0,Throw Pillow Covers
51,2020-09-10,3862.0,Throw Pillow Covers
52,2020-09-11,3862.0,Throw Pillow Covers
53,2020-09-12,2980.0,Throw Pillow Covers
54,2020-09-13,2980.0,Throw Pillow Covers
55,2020-09-14,2782.0,Throw Pillow Covers
56,2020-09-15,3333.0,Throw Pillow Covers
57,2020-09-16,2420.0,Throw Pillow Covers
58,2020-09-17,2985.0,Throw Pillow Covers
59,2020-09-18,2930.0,Throw Pillow Covers
60,2020-09-19,2930.0,Throw Pillow Covers
61,2020-09-20,2900.0,Throw Pillow Covers
62,2020-09-21,3071.0,Throw Pillow Covers
63,2020-09-22,3574.0,Throw Pillow Covers
64,2020-09-23,3574.0,Throw Pillow Covers
65,2020-09-24,3539.0,Throw Pillow Covers
66,2020-09-25,3539.0,Throw Pillow Covers
67,2020-09-26,2520.0,Throw Pillow Covers
68,2020-09-27,2924.0,Throw Pillow Covers
69,2020-09-28,3598.0,Throw Pillow Covers
70,2020-09-29,3596.0,Throw Pillow Covers
71,2020-09-30,3596.0,Throw Pillow Covers
72,2020-10-01,3156.0,Throw Pillow Covers
73,2020-10-02,3156.0,Throw Pillow Covers
74,2020-10-03,3156.0,Throw Pillow Covers
75,2020-10-04,3156.0,Throw Pillow Covers
76,2020-10-05,4250.0,Throw Pillow Covers
77,2020-10-06,4494.0,Throw Pillow Covers
78,2020-10-07,4494.0,Throw Pillow Covers
79,2020-10-08,4494.0,Throw Pillow Covers
80,2020-10-09,4443.0,Throw Pillow Covers
81,2020-10-10,4443.0,Throw Pillow Covers
82,2020-10-11,3702.0,Throw Pillow Covers
83,2020-10-12,3133.0,Throw Pillow Covers
84,2020-10-13,3133.0,Throw Pillow Covers
85,2020-10-14,3133.0,Throw Pillow Covers
86,2020-10-15,2340.0,Throw Pillow Covers
87,2020-10-16,2340.0,Throw Pillow Covers
88,2020-10-17,2467.0,Throw Pillow Covers
89,2020-10-18,2467.0,Throw Pillow Covers
90,2020-10-19,3171.0,Throw Pillow Covers
91,2020-10-20,3475.0,Throw Pillow Covers
92,2020-10-21,3419.0,Throw Pillow Covers
93,2020-10-22,3429.0,Throw Pillow Covers
94,2020-10-23,3376.0,Throw Pillow Covers
95,2020-10-24,3421.0,Throw Pillow Covers
96,2020-10-25,3567.0,Throw Pillow Covers
97,2020-10-26,3922.0,Throw Pillow Covers
98,2020-10-27,4146.0,Throw Pillow Covers
99,2020-10-28,4746.0,Throw Pillow Covers
100,2020-10-29,4746.0,Throw Pillow Covers
101,2020-10-30,3313.0,Throw Pillow Covers
102,2020-10-31,3229.0,Throw Pillow Covers
103,2020-11-01,3229.0,Throw Pillow Covers
104,2020-11-02,4251.0,Throw Pillow Covers
105,2020-11-03,4781.0,Throw Pillow Covers
106,2020-11-04,4781.0,Throw Pillow Covers
107,2020-11-05,4612.0,Throw Pillow Covers
108,2020-11-06,3252.0,Throw Pillow Covers
109,2020-11-07,3475.0,Throw Pillow Covers
110,2020-11-08,3475.0,Throw Pillow Covers
111,2020-11-09,3407.0,Throw Pillow Covers
112,2020-11-10,3407.0,Throw Pillow Covers
113,2020-11-11,3509.0,Throw Pillow Covers
114,2020-11-12,3876.0,Throw Pillow Covers
115,2020-11-13,5739.0,Throw Pillow Covers
116,2020-11-14,4527.0,Throw Pillow Covers
117,2020-11-15,4527.0,Throw Pillow Covers
118,2020-11-16,3582.0,Throw Pillow Covers
119,2020-11-17,3824.0,Throw Pillow Covers
120,2020-11-18,4162.0,Throw Pillow Covers
121,2020-11-19,4162.0,Throw Pillow Covers
122,2020-11-20,3280.0,Throw Pillow Covers
123,2020-11-21,3280.0,Throw Pillow Covers
124,2020-11-22,3983.0,Throw Pillow Covers
125,2020-11-23,4829.0,Throw Pillow Covers
126,2020-11-24,4201.0,Throw Pillow Covers
127,2020-11-25,5128.0,Throw Pillow Covers
128,2020-11-26,4453.0,Throw Pillow Covers
129,2020-11-27,4517.0,Throw Pillow Covers
130,2020-11-28,4517.0,Throw Pillow Covers
131,2020-11-29,5754.0,Throw Pillow Covers
132,2020-11-30,5754.0,Throw Pillow Covers
133,2020-12-01,5754.0,Throw Pillow Covers
134,2020-12-02,6020.0,Throw Pillow Covers
135,2020-12-03,4873.0,Throw Pillow Covers
136,2020-12-04,4576.0,Throw Pillow Covers
137,2020-12-05,4709.0,Throw Pillow Covers
138,2020-12-06,4591.0,Throw Pillow Covers
139,2020-12-07,4591.0,Throw Pillow Covers
140,2020-12-08,5049.0,Throw Pillow Covers
141,2020-12-09,5379.0,Throw Pillow Covers
142,2020-12-10,5379.0,Throw Pillow Covers
143,2020-12-11,5295.0,Throw Pillow Covers
144,2020-12-12,5295.0,Throw Pillow Covers
145,2020-12-13,5556.0,Throw Pillow Covers
146,2020-12-14,5468.0,Throw Pillow Covers
147,2020-12-15,5468.0,Throw Pillow Covers
148,2020-12-16,6168.0,Throw Pillow Covers
149,2020-12-17,6168.0,Throw Pillow Covers
150,2020-12-18,6168.0,Throw Pillow Covers
151,2020-12-19,5387.0,Throw Pillow Covers
152,2020-12-20,5387.0,Throw Pillow Covers
153,2020-12-21,4281.0,Throw Pillow Covers
154,2020-12-22,4919.0,Throw Pillow Covers
155,2020-12-23,3966.0,Throw Pillow Covers
156,2020-12-24,4293.0,Throw Pillow Covers
157,2020-12-25,3973.0,Throw Pillow Covers
158,2020-12-26,3973.0,Throw Pillow Covers
159,2020-12-27,3719.0,Throw Pillow Covers
160,2020-12-28,3079.0,Throw Pillow Covers
161,2020-12-29,3221.0,Throw Pillow Covers
162,2020-12-30,2781.0,Throw Pillow Covers
163,2020-12-31,2879.0,Throw Pillow Covers
164,2021-01-01,2614.0,Throw Pillow Covers
165,2021-01-02,2027.0,Throw Pillow Covers
166,2021-01-03,1881.0,Throw Pillow Covers
167,2021-01-04,2074.0,Throw Pillow Covers
168,2021-01-05,2165.0,Throw Pillow Covers
169,2021-01-06,2155.0,Throw Pillow Covers
170,2021-01-07,2301.0,Throw Pillow Covers
171,2021-01-08,1875.0,Throw Pillow Covers
172,2021-01-09,1810.0,Throw Pillow Covers
173,2021-01-10,1716.0,Throw Pillow Covers
174,2021-01-11,2113.0,Throw Pillow Covers
175,2021-01-12,2064.0,Throw Pillow Covers
176,2021-01-13,2039.0,Throw Pillow Covers
177,2021-01-14,2039.0,Throw Pillow Covers
178,2021-01-15,1918.0,Throw Pillow Covers
179,2021-01-16,1949.0,Throw Pillow Covers
180,2021-01-17,1949.0,Throw Pillow Covers
181,2021-01-18,2002.0,Throw Pillow Covers
182,2021-01-19,2372.0,Throw Pillow Covers
183,2021-01-20,2089.0,Throw Pillow Covers
184,2021-01-21,1876.0,Throw Pillow Covers
185,2021-01-22,1876.0,Throw Pillow Covers
186,2021-01-23,1726.0,Throw Pillow Covers
187,2021-01-24,1726.0,Throw Pillow Covers
188,2021-01-25,1726.0,Throw Pillow Covers
189,2021-01-26,2538.0,Throw Pillow Covers
190,2021-01-27,2331.0,Throw Pillow Covers
191,2021-01-28,2339.0,Throw Pillow Covers
192,2021-01-29,2339.0,Throw Pillow Covers
193,2021-01-30,2059.0,Throw Pillow Covers
194,2021-01-31,2059.0,Throw Pillow Covers
195,2021-02-01,2571.0,Throw Pillow Covers
196,2021-02-02,2400.0,Throw Pillow Covers
197,2021-02-03,2449.0,Throw Pillow Covers
198,2021-02-04,2449.0,Throw Pillow Covers
199,2021-02-05,2449.0,Throw Pillow Covers
200,2021-02-06,1895.0,Throw Pillow Covers
201,2021-02-07,2121.0,Throw Pillow Covers
202,2021-02-08,2549.0,Throw Pillow Covers
203,2021-02-09,2348.0,Throw Pillow Covers
204,2021-02-10,2582.0,Throw Pillow Covers
205,2021-02-11,2542.0,Throw Pillow Covers
206,2021-02-12,2247.0,Throw Pillow Covers
207,2021-02-13,2247.0,Throw Pillow Covers
208,2021-02-14,2482.0,Throw Pillow Covers
209,2021-02-15,2871.0,Throw Pillow Covers
210,2021-02-16,2871.0,Throw Pillow Covers
211,2021-02-17,2653.0,Throw Pillow Covers
212,2021-02-18,2653.0,Throw Pillow Covers
213,2021-02-19,2407.0,Throw Pillow Covers
214,2021-02-20,2278.0,Throw Pillow Covers
215,2021-02-21,2130.0,Throw Pillow Covers
216,2021-02-22,2130.0,Throw Pillow Covers
217,2021-02-23,2752.0,Throw Pillow Covers
218,2021-02-24,2208.0,Throw Pillow Covers
219,2021-02-25,2019.0,Throw Pillow Covers
220,2021-02-26,1800.0,Throw Pillow Covers
221,2021-02-27,1766.0,Throw Pillow Covers
222,2021-02-28,1742.0,Throw Pillow Covers
223,2021-03-01,1835.0,Throw Pillow Covers
224,2021-03-02,2053.0,Throw Pillow Covers
225,2021-03-03,2053.0,Throw Pillow Covers
226,2021-03-04,1694.0,Throw Pillow Covers
227,2021-03-05,1647.0,Throw Pillow Covers
228,2021-03-06,1535.0,Throw Pillow Covers
229,2021-03-07,1535.0,Throw Pillow Covers
230,2021-03-08,1847.0,Throw Pillow Covers
231,2021-03-09,1962.0,Throw Pillow Covers
232,2021-03-10,1962.0,Throw Pillow Covers
233,2021-03-11,1722.0,Throw Pillow Covers
234,2021-03-12,1936.0,Throw Pillow Covers
235,2021-03-13,1936.0,Throw Pillow Covers
236,2021-03-14,1486.0,Throw Pillow Covers
237,2021-03-15,1583.0,Throw Pillow Covers
238,2021-03-16,1507.0,Throw Pillow Covers
239,2021-03-17,1555.0,Throw Pillow Covers
240,2021-03-18,1555.0,Throw Pillow Covers
241,2021-03-19,1318.0,Throw Pillow Covers
242,2021-03-20,1318.0,Throw Pillow Covers
243,2021-03-21,1611.0,Throw Pillow Covers
244,2021-03-22,1809.0,Throw Pillow Covers
245,2021-03-23,1809.0,Throw Pillow Covers
246,2021-03-24,1553.0,Throw Pillow Covers
247,2021-03-25,1649.0,Throw Pillow Covers
248,2021-03-26,1592.0,Throw Pillow Covers
249,2021-03-27,1592.0,Throw Pillow Covers
250,2021-03-28,1592.0,Throw Pillow Covers
251,2021-03-29,1908.0,Throw Pillow Covers
252,2021-03-30,1872.0,Throw Pillow Covers
253,2021-03-31,2027.0,Throw Pillow Covers
254,2021-04-01,2027.0,Throw Pillow Covers
255,2021-04-02,1874.0,Throw Pillow Covers
256,2021-04-03,1874.0,Throw Pillow Covers
257,2021-04-04,1874.0,Throw Pillow Covers
258,2021-04-05,2186.0,Throw Pillow Covers
259,2021-04-06,2348.0,Throw Pillow Covers
260,2021-04-07,2119.0,Throw Pillow Covers
261,2021-04-08,2119.0,Throw Pillow Covers
262,2021-04-09,2110.0,Throw Pillow Covers
263,2021-04-10,1945.0,Throw Pillow Covers
264,2021-04-11,1945.0,Throw Pillow Covers
265,2021-04-12,2631.0,Throw Pillow Covers
266,2021-04-13,2779.0,Throw Pillow Covers
267,2021-04-14,2779.0,Throw Pillow Covers
268,2021-04-15,2668.0,Throw Pillow Covers
269,2021-04-16,2500.0,Throw Pillow Covers
270,2021-04-17,2500.0,Throw Pillow Covers
271,2021-04-18,2289.0,Throw Pillow Covers
272,2021-04-19,2760.0,Throw Pillow Covers
273,2021-04-20,2571.0,Throw Pillow Covers
274,2021-04-21,2662.0,Throw Pillow Covers
275,2021-04-22,2662.0,Throw Pillow Covers
276,2021-04-23,2506.0,Throw Pillow Covers
277,2021-04-24,2531.0,Throw Pillow Covers
278,2021-04-25,2531.0,Throw Pillow Covers
279,2021-04-26,3382.0,Throw Pillow Covers
280,2021-04-27,2976.0,Throw Pillow Covers
281,2021-04-28,2858.0,Throw Pillow Covers
282,2021-04-29,2858.0,Throw Pillow Covers
283,2021-04-30,2766.0,Throw Pillow Covers
284,2021-05-01,2607.0,Throw Pillow Covers
285,2021-05-02,2607.0,Throw Pillow Covers
286,2021-05-03,3414.0,Throw Pillow Covers
287,2021-05-04,3607.0,Throw Pillow Covers
288,2021-05-05,3391.0,Throw Pillow Covers
289,2021-05-06,3048.0,Throw Pillow Covers
290,2021-05-07,2679.0,Throw Pillow Covers
291,2021-05-08,2679.0,Throw Pillow Covers
292,2021-05-09,3103.0,Throw Pillow Covers
293,2021-05-10,3103.0,Throw Pillow Covers
294,2021-05-11,2596.0,Throw Pillow Covers
295,2021-05-12,2602.0,Throw Pillow Covers
296,2021-05-13,2602.0,Throw Pillow Covers
297,2021-05-14,3144.0,Throw Pillow Covers
298,2021-05-15,2535.0,Throw Pillow Covers
299,2021-05-16,2535.0,Throw Pillow Covers
300,2021-05-17,2987.0,Throw Pillow Covers
301,2021-05-18,3068.0,Throw Pillow Covers
302,2021-05-19,2862.0,Throw Pillow Covers
303,2021-05-20,2955.0,Throw Pillow Covers
304,2021-05-21,3042.0,Throw Pillow Covers
305,2021-05-22,2969.0,Throw Pillow Covers
306,2021-05-23,2911.0,Throw Pillow Covers
307,2021-05-24,3381.0,Throw Pillow Covers
308,2021-05-25,3883.0,Throw Pillow Covers
309,2021-05-26,4142.0,Throw Pillow Covers
310,2021-05-27,3534.0,Throw Pillow Covers
311,2021-05-28,3470.0,Throw Pillow Covers
312,2021-05-29,3470.0,Throw Pillow Covers
313,2021-05-30,3258.0,Throw Pillow Covers
314,2021-05-31,3258.0,Throw Pillow Covers
315,2021-06-01,4548.0,Throw Pillow Covers
316,2021-06-02,4548.0,Throw Pillow Covers
317,2021-06-03,4267.0,Throw Pillow Covers
318,2021-06-04,4267.0,Throw Pillow Covers
319,2021-06-05,3823.0,Throw Pillow Covers
320,2021-06-06,4728.0,Throw Pillow Covers
321,2021-06-07,4728.0,Throw Pillow Covers
322,2021-06-08,5412.0,Throw Pillow Covers
323,2021-06-09,4440.0,Throw Pillow Covers
324,2021-06-10,4663.0,Throw Pillow Covers
325,2021-06-11,4663.0,Throw Pillow Covers
326,2021-06-12,4855.0,Throw Pillow Covers
327,2021-06-13,4855.0,Throw Pillow Covers
328,2021-06-14,5164.0,Throw Pillow Covers
329,2021-06-15,5164.0,Throw Pillow Covers
330,2021-06-16,5395.0,Throw Pillow Covers
331,2021-06-17,6047.0,Throw Pillow Covers
332,2021-06-18,4479.0,Throw Pillow Covers
333,2021-06-19,4337.0,Throw Pillow Covers
334,2021-06-20,4337.0,Throw Pillow Covers
335,2021-06-21,3714.0,Throw Pillow Covers
336,2021-06-22,3240.0,Throw Pillow Covers
337,2021-06-23,3331.0,Throw Pillow Covers
338,2021-06-24,2682.0,Throw Pillow Covers
339,2021-06-25,3030.0,Throw Pillow Covers
340,2021-06-26,3030.0,Throw Pillow Covers
341,2021-06-27,2726.0,Throw Pillow Covers
342,2021-06-28,2726.0,Throw Pillow Covers
343,2021-06-29,3125.0,Throw Pillow Covers
344,2021-06-30,3198.0,Throw Pillow Covers
345,2021-07-01,3198.0,Throw Pillow Covers
346,2021-07-02,2964.0,Throw Pillow Covers
347,2021-07-03,2964.0,Throw Pillow Covers
348,2021-07-04,3725.0,Throw Pillow Covers
349,2021-07-05,3725.0,Throw Pillow Covers
350,2021-07-06,4272.0,Throw Pillow Covers
351,2021-07-07,4532.0,Throw Pillow Covers
352,2021-07-08,3602.0,Throw Pillow Covers
353,2021-07-09,5102.0,Throw Pillow Covers
354,2021-07-10,4474.0,Throw Pillow Covers
