,date,value,name_B08CM6F17D
77,2021-01-06,12967.0,Aprons
78,2021-01-07,6390.0,Aprons
79,2021-01-08,7361.0,Aprons
80,2021-01-09,7361.0,Aprons
81,2021-01-10,7361.0,Aprons
82,2021-01-11,9108.0,Aprons
83,2021-01-12,9108.0,Aprons
84,2021-01-13,9108.0,Aprons
85,2021-01-14,9108.0,Aprons
86,2021-01-15,5177.0,Aprons
87,2021-01-16,5177.0,Aprons
88,2021-01-17,5177.0,Aprons
89,2021-01-18,5177.0,Aprons
90,2021-01-19,5177.0,Aprons
91,2021-01-20,5824.0,Aprons
92,2021-01-21,5824.0,Aprons
93,2021-01-22,5824.0,Aprons
94,2021-01-23,5824.0,Aprons
95,2021-01-24,5824.0,Aprons
96,2021-01-25,10390.0,Aprons
97,2021-01-26,10390.0,Aprons
98,2021-01-27,10390.0,Aprons
99,2021-01-28,6846.0,Aprons
100,2021-01-29,6846.0,Aprons
101,2021-01-30,6846.0,Aprons
102,2021-01-31,6846.0,Aprons
103,2021-02-01,6846.0,Aprons
104,2021-02-02,6846.0,Aprons
105,2021-02-03,6458.0,Aprons
106,2021-02-04,6458.0,Aprons
107,2021-02-05,6458.0,Aprons
108,2021-02-06,6458.0,Aprons
109,2021-02-07,6458.0,Aprons
110,2021-02-08,6458.0,Aprons
111,2021-02-09,6458.0,Aprons
112,2021-02-10,4645.0,Aprons
113,2021-02-11,4645.0,Aprons
114,2021-02-12,4645.0,Aprons
115,2021-02-13,4290.0,Aprons
116,2021-02-14,4290.0,Aprons
117,2021-02-15,4290.0,Aprons
118,2021-02-16,4290.0,Aprons
119,2021-02-17,4290.0,Aprons
120,2021-02-18,4290.0,Aprons
121,2021-02-19,4290.0,Aprons
122,2021-02-20,4615.0,Aprons
123,2021-02-21,4615.0,Aprons
124,2021-02-22,4615.0,Aprons
125,2021-02-23,4279.0,Aprons
126,2021-02-24,3731.0,Aprons
127,2021-02-25,3731.0,Aprons
128,2021-02-26,3731.0,Aprons
129,2021-02-27,2305.0,Aprons
130,2021-02-28,2305.0,Aprons
131,2021-03-01,3314.0,Aprons
132,2021-03-02,3314.0,Aprons
133,2021-03-03,3314.0,Aprons
134,2021-03-04,2333.0,Aprons
135,2021-03-05,2333.0,Aprons
136,2021-03-06,2333.0,Aprons
137,2021-03-07,2333.0,Aprons
138,2021-03-08,2369.0,Aprons
139,2021-03-09,2369.0,Aprons
140,2021-03-10,1039.0,Aprons
141,2021-03-11,1345.0,Aprons
142,2021-03-12,1345.0,Aprons
143,2021-03-13,1345.0,Aprons
144,2021-03-14,1843.0,Aprons
145,2021-03-15,1843.0,Aprons
146,2021-03-16,1843.0,Aprons
147,2021-03-17,1843.0,Aprons
148,2021-03-18,1795.0,Aprons
149,2021-03-19,1392.0,Aprons
150,2021-03-20,1392.0,Aprons
151,2021-03-21,1392.0,Aprons
152,2021-03-22,1392.0,Aprons
153,2021-03-23,2038.0,Aprons
154,2021-03-24,2038.0,Aprons
155,2021-03-25,1313.0,Aprons
156,2021-03-26,1313.0,Aprons
157,2021-03-27,883.0,Aprons
158,2021-03-28,883.0,Aprons
159,2021-03-29,883.0,Aprons
160,2021-03-30,1342.0,Aprons
161,2021-03-31,917.0,Aprons
162,2021-04-01,834.0,Aprons
163,2021-04-02,834.0,Aprons
164,2021-04-03,834.0,Aprons
165,2021-04-04,834.0,Aprons
166,2021-04-05,2189.0,Aprons
167,2021-04-06,2311.0,Aprons
168,2021-04-07,2311.0,Aprons
169,2021-04-08,2311.0,Aprons
170,2021-04-09,2219.0,Aprons
171,2021-04-10,2235.0,Aprons
172,2021-04-11,2235.0,Aprons
173,2021-04-12,2235.0,Aprons
174,2021-04-13,1030.0,Aprons
175,2021-04-14,1061.0,Aprons
176,2021-04-15,1061.0,Aprons
177,2021-04-16,1695.0,Aprons
178,2021-04-17,1695.0,Aprons
179,2021-04-18,1691.0,Aprons
180,2021-04-19,1691.0,Aprons
181,2021-04-20,785.0,Aprons
182,2021-04-21,590.0,Aprons
183,2021-04-22,663.0,Aprons
184,2021-04-23,663.0,Aprons
185,2021-04-24,502.0,Aprons
186,2021-04-25,502.0,Aprons
187,2021-04-26,502.0,Aprons
188,2021-04-27,775.0,Aprons
189,2021-04-28,775.0,Aprons
190,2021-04-29,775.0,Aprons
191,2021-04-30,775.0,Aprons
192,2021-05-01,620.0,Aprons
193,2021-05-02,800.0,Aprons
194,2021-05-03,800.0,Aprons
195,2021-05-04,800.0,Aprons
196,2021-05-05,780.0,Aprons
197,2021-05-06,780.0,Aprons
198,2021-05-07,684.0,Aprons
199,2021-05-08,684.0,Aprons
200,2021-05-09,843.0,Aprons
201,2021-05-10,1165.0,Aprons
202,2021-05-11,957.0,Aprons
203,2021-05-12,957.0,Aprons
204,2021-05-13,626.0,Aprons
205,2021-05-14,635.0,Aprons
206,2021-05-15,635.0,Aprons
207,2021-05-16,635.0,Aprons
208,2021-05-17,1054.0,Aprons
209,2021-05-18,1054.0,Aprons
210,2021-05-19,575.0,Aprons
211,2021-05-20,541.0,Aprons
212,2021-05-21,389.0,Aprons
213,2021-05-22,389.0,Aprons
214,2021-05-23,651.0,Aprons
215,2021-05-24,651.0,Aprons
216,2021-05-25,470.0,Aprons
217,2021-05-26,683.0,Aprons
218,2021-05-27,687.0,Aprons
219,2021-05-28,687.0,Aprons
220,2021-05-29,409.0,Aprons
221,2021-05-30,409.0,Aprons
222,2021-05-31,632.0,Aprons
223,2021-06-01,719.0,Aprons
224,2021-06-02,539.0,Aprons
225,2021-06-03,482.0,Aprons
226,2021-06-04,482.0,Aprons
227,2021-06-05,514.0,Aprons
228,2021-06-06,514.0,Aprons
229,2021-06-07,1026.0,Aprons
230,2021-06-08,1026.0,Aprons
231,2021-06-09,607.0,Aprons
232,2021-06-10,546.0,Aprons
233,2021-06-11,546.0,Aprons
234,2021-06-12,546.0,Aprons
235,2021-06-13,546.0,Aprons
236,2021-06-14,671.0,Aprons
237,2021-06-15,671.0,Aprons
238,2021-06-16,542.0,Aprons
239,2021-06-17,542.0,Aprons
240,2021-06-18,366.0,Aprons
241,2021-06-19,366.0,Aprons
242,2021-06-20,366.0,Aprons
243,2021-06-21,1091.0,Aprons
244,2021-06-22,1091.0,Aprons
245,2021-06-23,1598.0,Aprons
246,2021-06-24,1254.0,Aprons
247,2021-06-25,549.0,Aprons
248,2021-06-26,549.0,Aprons
249,2021-06-27,595.0,Aprons
250,2021-06-28,595.0,Aprons
251,2021-06-29,649.0,Aprons
252,2021-06-30,649.0,Aprons
253,2021-07-01,581.0,Aprons
254,2021-07-02,581.0,Aprons
255,2021-07-03,436.0,Aprons
256,2021-07-04,436.0,Aprons
257,2021-07-05,436.0,Aprons
258,2021-07-06,686.0,Aprons
259,2021-07-07,686.0,Aprons
260,2021-07-08,627.0,Aprons
261,2021-07-09,627.0,Aprons
262,2021-07-10,627.0,Aprons
263,2021-07-11,889.0,Aprons
