,date,value,name_B07R3GS29N
141,2020-10-12,3960.0,Quilting
142,2020-10-13,3492.0,Quilting
143,2020-10-14,3492.0,Quilting
144,2020-10-15,1101.0,Quilting
145,2020-10-16,1101.0,Quilting
146,2020-10-17,1101.0,Quilting
147,2020-10-18,3349.0,Quilting
148,2020-10-19,3349.0,Quilting
149,2020-10-20,3349.0,Quilting
150,2020-10-21,3349.0,Quilting
151,2020-10-22,6061.0,Quilting
152,2020-10-23,6061.0,Quilting
153,2020-10-24,4330.0,Quilting
154,2020-10-25,4330.0,Quilting
155,2020-10-26,4330.0,Quilting
156,2020-10-27,4330.0,Quilting
157,2020-10-28,3063.0,Quilting
158,2020-10-29,3583.0,Quilting
159,2020-10-30,3583.0,Quilting
160,2020-10-31,3583.0,Quilting
161,2020-11-01,3583.0,Quilting
162,2020-11-02,3782.0,Quilting
163,2020-11-03,3782.0,Quilting
164,2020-11-04,3782.0,Quilting
165,2020-11-05,3762.0,Quilting
166,2020-11-06,3762.0,Quilting
167,2020-11-07,3762.0,Quilting
168,2020-11-08,1498.0,Quilting
169,2020-11-09,1498.0,Quilting
170,2020-11-10,1498.0,Quilting
171,2020-11-11,2881.0,Quilting
172,2020-11-12,2881.0,Quilting
173,2020-11-13,2881.0,Quilting
174,2020-11-14,2881.0,Quilting
175,2020-11-15,2881.0,Quilting
176,2020-11-16,2881.0,Quilting
177,2020-11-17,2881.0,Quilting
178,2020-11-18,2881.0,Quilting
179,2020-11-19,3583.0,Quilting
180,2020-11-20,3583.0,Quilting
181,2020-11-21,3583.0,Quilting
182,2020-11-22,3520.0,Quilting
183,2020-11-23,1603.0,Quilting
184,2020-11-24,1603.0,Quilting
185,2020-11-25,1603.0,Quilting
186,2020-11-26,1603.0,Quilting
187,2020-11-27,3346.0,Quilting
188,2020-11-28,3346.0,Quilting
189,2020-11-29,3346.0,Quilting
190,2020-11-30,3066.0,Quilting
191,2020-12-01,3066.0,Quilting
192,2020-12-02,3066.0,Quilting
193,2020-12-03,3066.0,Quilting
194,2020-12-04,3066.0,Quilting
195,2020-12-05,3066.0,Quilting
196,2020-12-06,2407.0,Quilting
197,2020-12-07,2407.0,Quilting
198,2020-12-08,2407.0,Quilting
199,2020-12-09,2407.0,Quilting
200,2020-12-10,3384.0,Quilting
201,2020-12-11,3556.0,Quilting
202,2020-12-12,3778.0,Quilting
203,2020-12-13,3778.0,Quilting
204,2020-12-14,3778.0,Quilting
205,2020-12-15,4525.0,Quilting
206,2020-12-16,4402.0,Quilting
207,2020-12-17,4402.0,Quilting
208,2020-12-18,4060.0,Quilting
209,2020-12-19,4060.0,Quilting
210,2020-12-20,4060.0,Quilting
211,2020-12-21,3367.0,Quilting
212,2020-12-22,3415.0,Quilting
213,2020-12-23,3415.0,Quilting
214,2020-12-24,3415.0,Quilting
215,2020-12-25,3162.0,Quilting
216,2020-12-26,3162.0,Quilting
217,2020-12-27,3162.0,Quilting
218,2020-12-28,2512.0,Quilting
219,2020-12-29,2512.0,Quilting
220,2020-12-30,2512.0,Quilting
221,2020-12-31,2512.0,Quilting
222,2021-01-01,2432.0,Quilting
223,2021-01-02,2432.0,Quilting
224,2021-01-03,2432.0,Quilting
225,2021-01-04,2219.0,Quilting
226,2021-01-05,2219.0,Quilting
227,2021-01-06,2219.0,Quilting
228,2021-01-07,1927.0,Quilting
229,2021-01-08,1927.0,Quilting
230,2021-01-09,1808.0,Quilting
231,2021-01-10,1808.0,Quilting
232,2021-01-11,1808.0,Quilting
233,2021-01-12,1742.0,Quilting
234,2021-01-13,1742.0,Quilting
235,2021-01-14,1742.0,Quilting
236,2021-01-15,2093.0,Quilting
237,2021-01-16,2093.0,Quilting
238,2021-01-17,2093.0,Quilting
239,2021-01-18,2093.0,Quilting
240,2021-01-19,2088.0,Quilting
241,2021-01-20,2088.0,Quilting
242,2021-01-21,2088.0,Quilting
243,2021-01-22,2088.0,Quilting
244,2021-01-23,2006.0,Quilting
