,date,value,name_B07CRLFNDG
238,2018-12-26,11517.0,Bath Towels
239,2018-12-27,11517.0,Bath Towels
240,2018-12-28,13811.0,Bath Towels
241,2018-12-29,19258.0,Bath Towels
242,2018-12-30,19258.0,Bath Towels
243,2018-12-31,19258.0,Bath Towels
244,2019-01-01,19258.0,Bath Towels
245,2019-01-02,19258.0,Bath Towels
246,2019-01-03,19258.0,Bath Towels
247,2019-01-04,24166.0,Bath Towels
248,2019-01-05,24166.0,Bath Towels
249,2019-01-06,24166.0,Bath Towels
250,2019-01-07,24166.0,Bath Towels
251,2019-01-08,24166.0,Bath Towels
252,2019-01-09,16279.0,Bath Towels
253,2019-01-10,13700.0,Bath Towels
254,2019-01-11,13700.0,Bath Towels
255,2019-01-12,13700.0,Bath Towels
256,2019-01-13,18321.0,Bath Towels
257,2019-01-14,18321.0,Bath Towels
258,2019-01-15,18321.0,Bath Towels
259,2019-01-16,18321.0,Bath Towels
260,2019-01-17,18321.0,Bath Towels
261,2019-01-18,21804.0,Bath Towels
262,2019-01-19,21804.0,Bath Towels
263,2019-01-20,21804.0,Bath Towels
264,2019-01-21,19565.0,Bath Towels
265,2019-01-22,32200.0,Bath Towels
266,2019-01-23,32200.0,Bath Towels
267,2019-01-24,32200.0,Bath Towels
268,2019-01-25,32200.0,Bath Towels
269,2019-01-26,32200.0,Bath Towels
270,2019-01-27,32200.0,Bath Towels
271,2019-01-28,22219.0,Bath Towels
272,2019-01-29,22219.0,Bath Towels
273,2019-01-30,21663.0,Bath Towels
274,2019-01-31,21663.0,Bath Towels
275,2019-02-01,24553.0,Bath Towels
276,2019-02-02,38468.0,Bath Towels
277,2019-02-03,38468.0,Bath Towels
278,2019-02-04,38468.0,Bath Towels
279,2019-02-05,38468.0,Bath Towels
280,2019-02-06,31136.0,Bath Towels
281,2019-02-07,31136.0,Bath Towels
282,2019-02-08,35867.0,Bath Towels
283,2019-02-09,35867.0,Bath Towels
284,2019-02-10,35867.0,Bath Towels
285,2019-02-11,35867.0,Bath Towels
286,2019-02-12,35867.0,Bath Towels
287,2019-02-13,35867.0,Bath Towels
288,2019-02-14,44655.0,Bath Towels
289,2019-02-15,44655.0,Bath Towels
290,2019-02-16,44655.0,Bath Towels
291,2019-02-17,44655.0,Bath Towels
292,2019-02-18,23314.0,Bath Towels
293,2019-02-19,19552.0,Bath Towels
294,2019-02-20,19552.0,Bath Towels
295,2019-02-21,19552.0,Bath Towels
296,2019-02-22,19552.0,Bath Towels
297,2019-02-23,19552.0,Bath Towels
298,2019-02-24,25041.0,Bath Towels
299,2019-02-25,21467.0,Bath Towels
300,2019-02-26,34789.0,Bath Towels
301,2019-02-27,34789.0,Bath Towels
302,2019-02-28,34789.0,Bath Towels
303,2019-03-01,34789.0,Bath Towels
304,2019-03-02,34789.0,Bath Towels
305,2019-03-03,21253.0,Bath Towels
306,2019-03-04,21253.0,Bath Towels
307,2019-03-05,21253.0,Bath Towels
308,2019-03-06,21253.0,Bath Towels
309,2019-03-07,21253.0,Bath Towels
310,2019-03-08,21253.0,Bath Towels
311,2019-03-09,27906.0,Bath Towels
312,2019-03-10,18246.0,Bath Towels
313,2019-03-11,18246.0,Bath Towels
314,2019-03-12,18246.0,Bath Towels
315,2019-03-13,18246.0,Bath Towels
316,2019-03-14,18246.0,Bath Towels
317,2019-03-15,18246.0,Bath Towels
318,2019-03-16,18246.0,Bath Towels
319,2019-03-17,46031.0,Bath Towels
320,2019-03-18,46031.0,Bath Towels
321,2019-03-19,46031.0,Bath Towels
322,2019-03-20,46031.0,Bath Towels
