,date,value,name_B08P726MXD
116,2021-04-04,7761.0,Aprons
117,2021-04-05,7761.0,Aprons
118,2021-04-06,7761.0,Aprons
119,2021-04-07,7761.0,Aprons
120,2021-04-08,7468.0,Aprons
121,2021-04-09,7468.0,Aprons
122,2021-04-10,7468.0,Aprons
123,2021-04-11,13641.0,Aprons
124,2021-04-12,13641.0,Aprons
125,2021-04-13,13641.0,Aprons
126,2021-04-14,12827.0,Aprons
127,2021-04-15,12827.0,Aprons
128,2021-04-16,12827.0,Aprons
129,2021-04-17,12827.0,Aprons
130,2021-04-18,12827.0,Aprons
131,2021-04-19,12827.0,Aprons
132,2021-04-20,13569.0,Aprons
133,2021-04-21,13569.0,Aprons
134,2021-04-22,13569.0,Aprons
135,2021-04-23,8325.0,Aprons
136,2021-04-24,8325.0,Aprons
137,2021-04-25,8325.0,Aprons
138,2021-04-26,8325.0,Aprons
139,2021-04-27,9047.0,Aprons
140,2021-04-28,9047.0,Aprons
141,2021-04-29,9047.0,Aprons
142,2021-04-30,9047.0,Aprons
143,2021-05-01,7989.0,Aprons
144,2021-05-02,7989.0,Aprons
145,2021-05-03,7989.0,Aprons
146,2021-05-04,8398.0,Aprons
147,2021-05-05,8398.0,Aprons
148,2021-05-06,8398.0,Aprons
149,2021-05-07,8398.0,Aprons
150,2021-05-08,8398.0,Aprons
151,2021-05-09,8398.0,Aprons
152,2021-05-10,8398.0,Aprons
153,2021-05-11,8398.0,Aprons
154,2021-05-12,8398.0,Aprons
155,2021-05-13,10325.0,Aprons
156,2021-05-14,10325.0,Aprons
157,2021-05-15,10325.0,Aprons
158,2021-05-16,10325.0,Aprons
159,2021-05-17,10087.0,Aprons
160,2021-05-18,10087.0,Aprons
161,2021-05-19,10087.0,Aprons
162,2021-05-20,10361.0,Aprons
163,2021-05-21,9548.0,Aprons
164,2021-05-22,9548.0,Aprons
165,2021-05-23,9548.0,Aprons
166,2021-05-24,14445.0,Aprons
167,2021-05-25,7957.0,Aprons
168,2021-05-26,7213.0,Aprons
169,2021-05-27,7213.0,Aprons
170,2021-05-28,7213.0,Aprons
171,2021-05-29,7800.0,Aprons
172,2021-05-30,18770.0,Aprons
173,2021-05-31,18770.0,Aprons
174,2021-06-01,11431.0,Aprons
175,2021-06-02,11431.0,Aprons
176,2021-06-03,11431.0,Aprons
177,2021-06-04,11431.0,Aprons
178,2021-06-05,11431.0,Aprons
179,2021-06-06,7979.0,Aprons
180,2021-06-07,7979.0,Aprons
181,2021-06-08,7979.0,Aprons
182,2021-06-09,5470.0,Aprons
183,2021-06-10,5482.0,Aprons
184,2021-06-11,4000.0,Aprons
185,2021-06-12,4000.0,Aprons
186,2021-06-13,4000.0,Aprons
187,2021-06-14,5132.0,Aprons
188,2021-06-15,5132.0,Aprons
189,2021-06-16,5132.0,Aprons
190,2021-06-17,6282.0,Aprons
191,2021-06-18,6282.0,Aprons
192,2021-06-19,6282.0,Aprons
193,2021-06-20,6282.0,Aprons
194,2021-06-21,13783.0,Aprons
195,2021-06-22,13783.0,Aprons
196,2021-06-23,13783.0,Aprons
197,2021-06-24,15284.0,Aprons
198,2021-06-25,15284.0,Aprons
199,2021-06-26,15284.0,Aprons
200,2021-06-27,14575.0,Aprons
201,2021-06-28,14575.0,Aprons
202,2021-06-29,9375.0,Aprons
203,2021-06-30,9375.0,Aprons
204,2021-07-01,7651.0,Aprons
205,2021-07-02,7651.0,Aprons
206,2021-07-03,7651.0,Aprons
207,2021-07-04,7651.0,Aprons
208,2021-07-05,10784.0,Aprons
209,2021-07-06,10784.0,Aprons
210,2021-07-07,10784.0,Aprons
211,2021-07-08,6967.0,Aprons
212,2021-07-09,6101.0,Aprons
213,2021-07-10,7319.0,Aprons
