,date,value,name_B089298P6H
90,2020-09-25,15620.0,Bath Rugs
91,2020-09-26,15620.0,Bath Rugs
92,2020-09-27,15620.0,Bath Rugs
93,2020-09-28,14309.0,Bath Rugs
94,2020-09-29,12281.0,Bath Rugs
95,2020-09-30,12281.0,Bath Rugs
96,2020-10-01,9405.0,Bath Rugs
97,2020-10-02,9405.0,Bath Rugs
98,2020-10-03,9405.0,Bath Rugs
99,2020-10-04,9405.0,Bath Rugs
100,2020-10-05,12145.0,Bath Rugs
101,2020-10-06,14320.0,Bath Rugs
102,2020-10-07,14320.0,Bath Rugs
103,2020-10-08,12248.0,Bath Rugs
104,2020-10-09,12248.0,Bath Rugs
105,2020-10-10,12046.0,Bath Rugs
106,2020-10-11,12046.0,Bath Rugs
107,2020-10-12,12046.0,Bath Rugs
108,2020-10-13,13664.0,Bath Rugs
109,2020-10-14,7040.0,Bath Rugs
110,2020-10-15,6153.0,Bath Rugs
111,2020-10-16,6153.0,Bath Rugs
112,2020-10-17,6153.0,Bath Rugs
113,2020-10-18,6153.0,Bath Rugs
114,2020-10-19,12910.0,Bath Rugs
115,2020-10-20,14061.0,Bath Rugs
116,2020-10-21,14061.0,Bath Rugs
117,2020-10-22,21322.0,Bath Rugs
118,2020-10-23,21322.0,Bath Rugs
119,2020-10-24,16832.0,Bath Rugs
120,2020-10-25,16527.0,Bath Rugs
121,2020-10-26,17117.0,Bath Rugs
122,2020-10-27,17117.0,Bath Rugs
123,2020-10-28,20453.0,Bath Rugs
124,2020-10-29,20453.0,Bath Rugs
125,2020-10-30,20453.0,Bath Rugs
126,2020-10-31,20453.0,Bath Rugs
127,2020-11-01,20453.0,Bath Rugs
128,2020-11-02,19748.0,Bath Rugs
129,2020-11-03,19748.0,Bath Rugs
130,2020-11-04,19748.0,Bath Rugs
131,2020-11-05,24670.0,Bath Rugs
132,2020-11-06,24670.0,Bath Rugs
133,2020-11-07,24670.0,Bath Rugs
134,2020-11-08,24670.0,Bath Rugs
135,2020-11-09,30346.0,Bath Rugs
136,2020-11-10,30346.0,Bath Rugs
137,2020-11-11,22439.0,Bath Rugs
138,2020-11-12,22439.0,Bath Rugs
139,2020-11-13,22439.0,Bath Rugs
140,2020-11-14,22439.0,Bath Rugs
141,2020-11-15,22439.0,Bath Rugs
142,2020-11-16,35579.0,Bath Rugs
143,2020-11-17,35579.0,Bath Rugs
144,2020-11-18,35579.0,Bath Rugs
145,2020-11-19,35579.0,Bath Rugs
146,2020-11-20,36838.0,Bath Rugs
147,2020-11-21,36838.0,Bath Rugs
148,2020-11-22,36838.0,Bath Rugs
149,2020-11-23,36838.0,Bath Rugs
150,2020-11-24,36838.0,Bath Rugs
151,2020-11-25,36838.0,Bath Rugs
152,2020-11-26,37752.0,Bath Rugs
153,2020-11-27,37752.0,Bath Rugs
154,2020-11-28,37752.0,Bath Rugs
155,2020-11-29,37752.0,Bath Rugs
156,2020-11-30,37752.0,Bath Rugs
157,2020-12-01,37752.0,Bath Rugs
158,2020-12-02,37752.0,Bath Rugs
159,2020-12-03,37752.0,Bath Rugs
160,2020-12-04,37752.0,Bath Rugs
161,2020-12-05,48418.0,Bath Rugs
162,2020-12-06,48418.0,Bath Rugs
163,2020-12-07,48418.0,Bath Rugs
164,2020-12-08,48418.0,Bath Rugs
165,2020-12-09,48418.0,Bath Rugs
166,2020-12-10,48418.0,Bath Rugs
167,2020-12-11,48418.0,Bath Rugs
168,2020-12-12,48418.0,Bath Rugs
169,2020-12-13,48418.0,Bath Rugs
170,2020-12-14,48418.0,Bath Rugs
171,2020-12-15,80283.0,Bath Rugs
172,2020-12-16,80283.0,Bath Rugs
173,2020-12-17,80283.0,Bath Rugs
174,2020-12-18,80283.0,Bath Rugs
175,2020-12-19,80283.0,Bath Rugs
176,2020-12-20,80283.0,Bath Rugs
177,2020-12-21,80283.0,Bath Rugs
178,2020-12-22,80283.0,Bath Rugs
179,2020-12-23,80283.0,Bath Rugs
180,2020-12-24,44497.0,Bath Rugs
181,2020-12-25,51766.0,Bath Rugs
182,2020-12-26,45498.0,Bath Rugs
183,2020-12-27,45498.0,Bath Rugs
184,2020-12-28,45498.0,Bath Rugs
185,2020-12-29,37673.0,Bath Rugs
186,2020-12-30,37673.0,Bath Rugs
187,2020-12-31,37673.0,Bath Rugs
188,2021-01-01,37673.0,Bath Rugs
189,2021-01-02,37673.0,Bath Rugs
190,2021-01-03,37673.0,Bath Rugs
191,2021-01-04,37673.0,Bath Rugs
192,2021-01-05,37673.0,Bath Rugs
193,2021-01-06,31853.0,Bath Rugs
194,2021-01-07,31853.0,Bath Rugs
195,2021-01-08,26715.0,Bath Rugs
196,2021-01-09,26715.0,Bath Rugs
197,2021-01-10,26715.0,Bath Rugs
198,2021-01-11,26715.0,Bath Rugs
199,2021-01-12,26715.0,Bath Rugs
200,2021-01-13,26715.0,Bath Rugs
201,2021-01-14,26715.0,Bath Rugs
202,2021-01-15,26715.0,Bath Rugs
203,2021-01-16,22101.0,Bath Rugs
204,2021-01-17,22101.0,Bath Rugs
205,2021-01-18,22101.0,Bath Rugs
206,2021-01-19,22101.0,Bath Rugs
207,2021-01-20,22101.0,Bath Rugs
208,2021-01-21,16054.0,Bath Rugs
209,2021-01-22,14555.0,Bath Rugs
210,2021-01-23,14555.0,Bath Rugs
211,2021-01-24,14555.0,Bath Rugs
212,2021-01-25,14317.0,Bath Rugs
213,2021-01-26,14533.0,Bath Rugs
214,2021-01-27,14533.0,Bath Rugs
215,2021-01-28,12343.0,Bath Rugs
216,2021-01-29,12343.0,Bath Rugs
217,2021-01-30,12343.0,Bath Rugs
218,2021-01-31,12343.0,Bath Rugs
219,2021-02-01,11250.0,Bath Rugs
220,2021-02-02,10871.0,Bath Rugs
221,2021-02-03,10637.0,Bath Rugs
222,2021-02-04,10637.0,Bath Rugs
223,2021-02-05,10637.0,Bath Rugs
224,2021-02-06,10637.0,Bath Rugs
225,2021-02-07,8691.0,Bath Rugs
226,2021-02-08,8691.0,Bath Rugs
227,2021-02-09,8691.0,Bath Rugs
228,2021-02-10,8691.0,Bath Rugs
229,2021-02-11,8691.0,Bath Rugs
230,2021-02-12,8691.0,Bath Rugs
231,2021-02-13,15696.0,Bath Rugs
232,2021-02-14,15696.0,Bath Rugs
233,2021-02-15,15696.0,Bath Rugs
234,2021-02-16,15696.0,Bath Rugs
235,2021-02-17,15696.0,Bath Rugs
236,2021-02-18,22239.0,Bath Rugs
237,2021-02-19,22239.0,Bath Rugs
238,2021-02-20,22239.0,Bath Rugs
239,2021-02-21,24358.0,Bath Rugs
240,2021-02-22,24358.0,Bath Rugs
241,2021-02-23,24358.0,Bath Rugs
242,2021-02-24,24358.0,Bath Rugs
243,2021-02-25,24358.0,Bath Rugs
244,2021-02-26,33350.0,Bath Rugs
245,2021-02-27,33350.0,Bath Rugs
246,2021-02-28,33350.0,Bath Rugs
247,2021-03-01,20846.0,Bath Rugs
248,2021-03-02,20846.0,Bath Rugs
249,2021-03-03,20846.0,Bath Rugs
250,2021-03-04,35812.0,Bath Rugs
251,2021-03-05,35812.0,Bath Rugs
252,2021-03-06,35812.0,Bath Rugs
253,2021-03-07,35812.0,Bath Rugs
254,2021-03-08,42215.0,Bath Rugs
255,2021-03-09,42215.0,Bath Rugs
256,2021-03-10,42215.0,Bath Rugs
257,2021-03-11,44964.0,Bath Rugs
258,2021-03-12,44964.0,Bath Rugs
259,2021-03-13,44964.0,Bath Rugs
260,2021-03-14,44964.0,Bath Rugs
261,2021-03-15,44913.0,Bath Rugs
262,2021-03-16,44913.0,Bath Rugs
263,2021-03-17,44913.0,Bath Rugs
264,2021-03-18,44913.0,Bath Rugs
265,2021-03-19,44913.0,Bath Rugs
266,2021-03-20,44913.0,Bath Rugs
267,2021-03-21,41801.0,Bath Rugs
268,2021-03-22,41801.0,Bath Rugs
269,2021-03-23,41801.0,Bath Rugs
270,2021-03-24,56455.0,Bath Rugs
271,2021-03-25,56455.0,Bath Rugs
272,2021-03-26,56455.0,Bath Rugs
273,2021-03-27,56455.0,Bath Rugs
274,2021-03-28,56455.0,Bath Rugs
275,2021-03-29,48477.0,Bath Rugs
276,2021-03-30,48477.0,Bath Rugs
277,2021-03-31,48477.0,Bath Rugs
278,2021-04-01,48477.0,Bath Rugs
279,2021-04-02,60507.0,Bath Rugs
280,2021-04-03,60507.0,Bath Rugs
281,2021-04-04,45673.0,Bath Rugs
282,2021-04-05,36831.0,Bath Rugs
283,2021-04-06,36831.0,Bath Rugs
284,2021-04-07,36831.0,Bath Rugs
285,2021-04-08,36831.0,Bath Rugs
286,2021-04-09,36831.0,Bath Rugs
287,2021-04-10,28785.0,Bath Rugs
288,2021-04-11,28785.0,Bath Rugs
289,2021-04-12,45760.0,Bath Rugs
290,2021-04-13,45760.0,Bath Rugs
291,2021-04-14,45760.0,Bath Rugs
292,2021-04-15,44824.0,Bath Rugs
293,2021-04-16,44824.0,Bath Rugs
294,2021-04-17,28973.0,Bath Rugs
295,2021-04-18,28973.0,Bath Rugs
296,2021-04-19,28973.0,Bath Rugs
297,2021-04-20,28973.0,Bath Rugs
298,2021-04-21,28973.0,Bath Rugs
299,2021-04-22,28973.0,Bath Rugs
300,2021-04-23,57845.0,Bath Rugs
301,2021-04-24,57845.0,Bath Rugs
302,2021-04-25,57845.0,Bath Rugs
303,2021-04-26,57845.0,Bath Rugs
304,2021-04-27,76670.0,Bath Rugs
305,2021-04-28,76670.0,Bath Rugs
306,2021-04-29,73207.0,Bath Rugs
307,2021-04-30,73207.0,Bath Rugs
308,2021-05-01,73207.0,Bath Rugs
309,2021-05-02,73207.0,Bath Rugs
310,2021-05-03,73207.0,Bath Rugs
311,2021-05-04,59678.0,Bath Rugs
312,2021-05-05,59678.0,Bath Rugs
313,2021-05-06,59678.0,Bath Rugs
314,2021-05-07,59678.0,Bath Rugs
315,2021-05-08,48255.0,Bath Rugs
316,2021-05-09,48255.0,Bath Rugs
317,2021-05-10,48255.0,Bath Rugs
318,2021-05-11,65138.0,Bath Rugs
319,2021-05-12,65138.0,Bath Rugs
320,2021-05-13,65138.0,Bath Rugs
321,2021-05-14,65138.0,Bath Rugs
322,2021-05-15,65138.0,Bath Rugs
323,2021-05-16,65138.0,Bath Rugs
324,2021-05-17,65138.0,Bath Rugs
325,2021-05-18,65879.0,Bath Rugs
326,2021-05-19,65879.0,Bath Rugs
327,2021-05-20,56325.0,Bath Rugs
328,2021-05-21,56325.0,Bath Rugs
329,2021-05-22,56325.0,Bath Rugs
330,2021-05-23,56325.0,Bath Rugs
331,2021-05-24,69715.0,Bath Rugs
332,2021-05-25,47201.0,Bath Rugs
333,2021-05-26,47201.0,Bath Rugs
334,2021-05-27,47278.0,Bath Rugs
335,2021-05-28,47278.0,Bath Rugs
336,2021-05-29,47278.0,Bath Rugs
337,2021-05-30,47278.0,Bath Rugs
338,2021-05-31,54072.0,Bath Rugs
339,2021-06-01,54072.0,Bath Rugs
340,2021-06-02,54072.0,Bath Rugs
341,2021-06-03,54072.0,Bath Rugs
342,2021-06-04,54072.0,Bath Rugs
343,2021-06-05,54072.0,Bath Rugs
344,2021-06-06,54072.0,Bath Rugs
345,2021-06-07,47171.0,Bath Rugs
346,2021-06-08,47171.0,Bath Rugs
347,2021-06-09,51206.0,Bath Rugs
348,2021-06-10,51206.0,Bath Rugs
349,2021-06-11,51206.0,Bath Rugs
350,2021-06-12,51206.0,Bath Rugs
351,2021-06-13,51206.0,Bath Rugs
352,2021-06-14,51206.0,Bath Rugs
353,2021-06-15,51206.0,Bath Rugs
354,2021-06-16,36516.0,Bath Rugs
355,2021-06-17,36516.0,Bath Rugs
356,2021-06-18,36516.0,Bath Rugs
357,2021-06-19,36516.0,Bath Rugs
358,2021-06-20,29625.0,Bath Rugs
359,2021-06-21,29625.0,Bath Rugs
360,2021-06-22,29625.0,Bath Rugs
361,2021-06-23,16668.0,Bath Rugs
362,2021-06-24,16668.0,Bath Rugs
363,2021-06-25,16668.0,Bath Rugs
364,2021-06-26,24554.0,Bath Rugs
365,2021-06-27,24554.0,Bath Rugs
366,2021-06-28,28969.0,Bath Rugs
367,2021-06-29,28969.0,Bath Rugs
368,2021-06-30,32343.0,Bath Rugs
369,2021-07-01,35344.0,Bath Rugs
370,2021-07-02,35344.0,Bath Rugs
371,2021-07-03,60123.0,Bath Rugs
372,2021-07-04,60123.0,Bath Rugs
373,2021-07-05,60123.0,Bath Rugs
374,2021-07-06,64265.0,Bath Rugs
