,date,value,name_B088B3YDH4
253,2021-01-27,13631.0,Floating Shelves
254,2021-01-28,12060.0,Floating Shelves
255,2021-01-29,13976.0,Floating Shelves
256,2021-01-30,16255.0,Floating Shelves
257,2021-01-31,16255.0,Floating Shelves
258,2021-02-01,16255.0,Floating Shelves
259,2021-02-02,16255.0,Floating Shelves
260,2021-02-03,16255.0,Floating Shelves
261,2021-02-04,16255.0,Floating Shelves
262,2021-02-05,19221.0,Floating Shelves
263,2021-02-06,19221.0,Floating Shelves
264,2021-02-07,19221.0,Floating Shelves
265,2021-02-08,18771.0,Floating Shelves
266,2021-02-09,18771.0,Floating Shelves
267,2021-02-10,18771.0,Floating Shelves
268,2021-02-11,18771.0,Floating Shelves
269,2021-02-12,18771.0,Floating Shelves
270,2021-02-13,17500.0,Floating Shelves
271,2021-02-14,17500.0,Floating Shelves
272,2021-02-15,22496.0,Floating Shelves
273,2021-02-16,22496.0,Floating Shelves
274,2021-02-17,22496.0,Floating Shelves
275,2021-02-18,18809.0,Floating Shelves
276,2021-02-19,19651.0,Floating Shelves
277,2021-02-20,17155.0,Floating Shelves
278,2021-02-21,17155.0,Floating Shelves
279,2021-02-22,17155.0,Floating Shelves
280,2021-02-23,17155.0,Floating Shelves
281,2021-02-24,17155.0,Floating Shelves
282,2021-02-25,17221.0,Floating Shelves
283,2021-02-26,17221.0,Floating Shelves
284,2021-02-27,17221.0,Floating Shelves
285,2021-02-28,17221.0,Floating Shelves
286,2021-03-01,27177.0,Floating Shelves
287,2021-03-02,27177.0,Floating Shelves
288,2021-03-03,19378.0,Floating Shelves
289,2021-03-04,19378.0,Floating Shelves
290,2021-03-05,20545.0,Floating Shelves
291,2021-03-06,20545.0,Floating Shelves
292,2021-03-07,20545.0,Floating Shelves
293,2021-03-08,20545.0,Floating Shelves
294,2021-03-09,20545.0,Floating Shelves
295,2021-03-10,18947.0,Floating Shelves
296,2021-03-11,18947.0,Floating Shelves
297,2021-03-12,18947.0,Floating Shelves
298,2021-03-13,24494.0,Floating Shelves
299,2021-03-14,24494.0,Floating Shelves
300,2021-03-15,24494.0,Floating Shelves
301,2021-03-16,24494.0,Floating Shelves
302,2021-03-17,25039.0,Floating Shelves
303,2021-03-18,21087.0,Floating Shelves
304,2021-03-19,21087.0,Floating Shelves
305,2021-03-20,21087.0,Floating Shelves
306,2021-03-21,21087.0,Floating Shelves
307,2021-03-22,21087.0,Floating Shelves
308,2021-03-23,21142.0,Floating Shelves
309,2021-03-24,23857.0,Floating Shelves
310,2021-03-25,22034.0,Floating Shelves
311,2021-03-26,22034.0,Floating Shelves
312,2021-03-27,22034.0,Floating Shelves
313,2021-03-28,22745.0,Floating Shelves
314,2021-03-29,22745.0,Floating Shelves
315,2021-03-30,22745.0,Floating Shelves
316,2021-03-31,22745.0,Floating Shelves
317,2021-04-01,20166.0,Floating Shelves
318,2021-04-02,20166.0,Floating Shelves
319,2021-04-03,20166.0,Floating Shelves
320,2021-04-04,22700.0,Floating Shelves
321,2021-04-05,22700.0,Floating Shelves
322,2021-04-06,22700.0,Floating Shelves
323,2021-04-07,15914.0,Floating Shelves
324,2021-04-08,11787.0,Floating Shelves
325,2021-04-09,11787.0,Floating Shelves
326,2021-04-10,11787.0,Floating Shelves
327,2021-04-11,10779.0,Floating Shelves
328,2021-04-12,10779.0,Floating Shelves
329,2021-04-13,10779.0,Floating Shelves
330,2021-04-14,10281.0,Floating Shelves
331,2021-04-15,9144.0,Floating Shelves
332,2021-04-16,9144.0,Floating Shelves
333,2021-04-17,7956.0,Floating Shelves
334,2021-04-18,11829.0,Floating Shelves
