,date,value,name_B07N13VVPZ
234,2019-09-17,4342.0,Lids
235,2019-09-18,3615.0,Lids
236,2019-09-19,3262.0,Lids
237,2019-09-20,2880.0,Lids
238,2019-09-21,3215.0,Lids
239,2019-09-22,2512.0,Lids
240,2019-09-23,3329.0,Lids
241,2019-09-24,3498.0,Lids
242,2019-09-25,3335.0,Lids
243,2019-09-26,3691.0,Lids
244,2019-09-27,3086.0,Lids
245,2019-09-28,2783.0,Lids
246,2019-09-29,2783.0,Lids
247,2019-09-30,2783.0,Lids
248,2019-10-01,2783.0,Lids
249,2019-10-02,2783.0,Lids
250,2019-10-03,2783.0,Lids
251,2019-10-04,2783.0,Lids
252,2019-10-05,2783.0,Lids
253,2019-10-06,2783.0,Lids
254,2019-10-07,2783.0,Lids
255,2019-10-08,2783.0,Lids
256,2019-10-09,2783.0,Lids
257,2019-10-10,2783.0,Lids
258,2019-10-11,2783.0,Lids
259,2019-10-12,2783.0,Lids
260,2019-10-13,3044.0,Lids
261,2019-10-14,3281.0,Lids
262,2019-10-15,3405.0,Lids
263,2019-10-16,2946.0,Lids
264,2019-10-17,2752.0,Lids
265,2019-10-18,2909.0,Lids
266,2019-10-19,2151.0,Lids
267,2019-10-20,3213.0,Lids
268,2019-10-21,3687.0,Lids
269,2019-10-22,3626.0,Lids
270,2019-10-23,3047.0,Lids
271,2019-10-24,3244.0,Lids
272,2019-10-25,3665.0,Lids
273,2019-10-26,2982.0,Lids
274,2019-10-27,3150.0,Lids
275,2019-10-28,3689.0,Lids
276,2019-10-29,4059.0,Lids
277,2019-10-30,4025.0,Lids
278,2019-10-31,3648.0,Lids
279,2019-11-01,3335.0,Lids
280,2019-11-02,3768.0,Lids
281,2019-11-03,3768.0,Lids
282,2019-11-04,2442.0,Lids
283,2019-11-05,3840.0,Lids
284,2019-11-06,4492.0,Lids
285,2019-11-07,4492.0,Lids
286,2019-11-08,3530.0,Lids
287,2019-11-09,3530.0,Lids
288,2019-11-10,3530.0,Lids
289,2019-11-11,3530.0,Lids
290,2019-11-12,3530.0,Lids
291,2019-11-13,4414.0,Lids
292,2019-11-14,4414.0,Lids
293,2019-11-15,4414.0,Lids
294,2019-11-16,4414.0,Lids
295,2019-11-17,4414.0,Lids
296,2019-11-18,4916.0,Lids
297,2019-11-19,4916.0,Lids
298,2019-11-20,5955.0,Lids
299,2019-11-21,4069.0,Lids
300,2019-11-22,4686.0,Lids
301,2019-11-23,4686.0,Lids
302,2019-11-24,6517.0,Lids
303,2019-11-25,5262.0,Lids
304,2019-11-26,4898.0,Lids
305,2019-11-27,4668.0,Lids
306,2019-11-28,4668.0,Lids
307,2019-11-29,5726.0,Lids
308,2019-11-30,5726.0,Lids
309,2019-12-01,5726.0,Lids
310,2019-12-02,5726.0,Lids
311,2019-12-03,6644.0,Lids
312,2019-12-04,6198.0,Lids
313,2019-12-05,6198.0,Lids
314,2019-12-06,7347.0,Lids
315,2019-12-07,7347.0,Lids
316,2019-12-08,7347.0,Lids
317,2019-12-09,7347.0,Lids
318,2019-12-10,7347.0,Lids
319,2019-12-11,7347.0,Lids
320,2019-12-12,5651.0,Lids
321,2019-12-13,5744.0,Lids
322,2019-12-14,5648.0,Lids
323,2019-12-15,6527.0,Lids
324,2019-12-16,6527.0,Lids
325,2019-12-17,6527.0,Lids
326,2019-12-18,6527.0,Lids
327,2019-12-19,6527.0,Lids
328,2019-12-20,5798.0,Lids
329,2019-12-21,6203.0,Lids
330,2019-12-22,6203.0,Lids
331,2019-12-23,5541.0,Lids
332,2019-12-24,5541.0,Lids
333,2019-12-25,5541.0,Lids
334,2019-12-26,4977.0,Lids
335,2019-12-27,4977.0,Lids
336,2019-12-28,4977.0,Lids
337,2019-12-29,4977.0,Lids
338,2019-12-30,4457.0,Lids
339,2019-12-31,4457.0,Lids
340,2020-01-01,3113.0,Lids
341,2020-01-02,3068.0,Lids
342,2020-01-03,3068.0,Lids
343,2020-01-04,2870.0,Lids
344,2020-01-05,2923.0,Lids
345,2020-01-06,2923.0,Lids
346,2020-01-07,3715.0,Lids
347,2020-01-08,4102.0,Lids
348,2020-01-09,3363.0,Lids
349,2020-01-10,3363.0,Lids
350,2020-01-11,2722.0,Lids
351,2020-01-12,2722.0,Lids
352,2020-01-13,2042.0,Lids
353,2020-01-14,2113.0,Lids
354,2020-01-15,2225.0,Lids
355,2020-01-16,2225.0,Lids
356,2020-01-17,2485.0,Lids
357,2020-01-18,2485.0,Lids
358,2020-01-19,2485.0,Lids
359,2020-01-20,2579.0,Lids
360,2020-01-21,2579.0,Lids
361,2020-01-22,2579.0,Lids
362,2020-01-23,2813.0,Lids
363,2020-01-24,2813.0,Lids
364,2020-01-25,2813.0,Lids
365,2020-01-26,2813.0,Lids
366,2020-01-27,2742.0,Lids
367,2020-01-28,2742.0,Lids
368,2020-01-29,3200.0,Lids
369,2020-01-30,3200.0,Lids
370,2020-01-31,3200.0,Lids
371,2020-02-01,3360.0,Lids
372,2020-02-02,3360.0,Lids
373,2020-02-03,3360.0,Lids
374,2020-02-04,4521.0,Lids
375,2020-02-05,4277.0,Lids
376,2020-02-06,3719.0,Lids
377,2020-02-07,3388.0,Lids
378,2020-02-08,3200.0,Lids
379,2020-02-09,3200.0,Lids
380,2020-02-10,2610.0,Lids
381,2020-02-11,2610.0,Lids
382,2020-02-12,2610.0,Lids
383,2020-02-13,2845.0,Lids
384,2020-02-14,2845.0,Lids
385,2020-02-15,2882.0,Lids
386,2020-02-16,2352.0,Lids
387,2020-02-17,2447.0,Lids
388,2020-02-18,2622.0,Lids
389,2020-02-19,2622.0,Lids
390,2020-02-20,2622.0,Lids
391,2020-02-21,2504.0,Lids
392,2020-02-22,2685.0,Lids
393,2020-02-23,2355.0,Lids
394,2020-02-24,2229.0,Lids
395,2020-02-25,2316.0,Lids
396,2020-02-26,2464.0,Lids
397,2020-02-27,2576.0,Lids
398,2020-02-28,2576.0,Lids
399,2020-02-29,2874.0,Lids
400,2020-03-01,2052.0,Lids
401,2020-03-02,2560.0,Lids
402,2020-03-03,2560.0,Lids
403,2020-03-04,2736.0,Lids
404,2020-03-05,2736.0,Lids
405,2020-03-06,2736.0,Lids
406,2020-03-07,2736.0,Lids
407,2020-03-08,2736.0,Lids
408,2020-03-09,-1.0,Lids
