,date,value,name_B07P76LNGG
184,2020-11-25,6948.0,Racks & Displays
185,2020-11-26,6451.0,Racks & Displays
186,2020-11-27,6451.0,Racks & Displays
187,2020-11-28,6451.0,Racks & Displays
188,2020-11-29,1706.0,Racks & Displays
189,2020-11-30,1835.0,Racks & Displays
190,2020-12-01,1835.0,Racks & Displays
191,2020-12-02,1835.0,Racks & Displays
192,2020-12-03,1702.0,Racks & Displays
193,2020-12-04,1702.0,Racks & Displays
194,2020-12-05,1702.0,Racks & Displays
195,2020-12-06,1713.0,Racks & Displays
196,2020-12-07,1713.0,Racks & Displays
197,2020-12-08,1713.0,Racks & Displays
198,2020-12-09,1730.0,Racks & Displays
199,2020-12-10,1730.0,Racks & Displays
200,2020-12-11,1442.0,Racks & Displays
201,2020-12-12,1442.0,Racks & Displays
202,2020-12-13,1442.0,Racks & Displays
203,2020-12-14,1676.0,Racks & Displays
204,2020-12-15,1676.0,Racks & Displays
205,2020-12-16,1676.0,Racks & Displays
206,2020-12-17,1676.0,Racks & Displays
207,2020-12-18,1556.0,Racks & Displays
208,2020-12-19,1556.0,Racks & Displays
209,2020-12-20,1485.0,Racks & Displays
210,2020-12-21,1485.0,Racks & Displays
211,2020-12-22,1485.0,Racks & Displays
212,2020-12-23,1876.0,Racks & Displays
