,date,value,name_B0897C8583
193,2020-12-11,81391.0,Weed Barrier Fabric
194,2020-12-12,81391.0,Weed Barrier Fabric
195,2020-12-13,81391.0,Weed Barrier Fabric
196,2020-12-14,103574.0,Weed Barrier Fabric
197,2020-12-15,106162.0,Weed Barrier Fabric
198,2020-12-16,85902.0,Weed Barrier Fabric
199,2020-12-17,96436.0,Weed Barrier Fabric
200,2020-12-18,96436.0,Weed Barrier Fabric
201,2020-12-19,96436.0,Weed Barrier Fabric
202,2020-12-20,107267.0,Weed Barrier Fabric
203,2020-12-21,114376.0,Weed Barrier Fabric
204,2020-12-22,114376.0,Weed Barrier Fabric
205,2020-12-23,114376.0,Weed Barrier Fabric
206,2020-12-24,114376.0,Weed Barrier Fabric
207,2020-12-25,114376.0,Weed Barrier Fabric
208,2020-12-26,114376.0,Weed Barrier Fabric
209,2020-12-27,114630.0,Weed Barrier Fabric
210,2020-12-28,122222.0,Weed Barrier Fabric
211,2020-12-29,122222.0,Weed Barrier Fabric
212,2020-12-30,130032.0,Weed Barrier Fabric
213,2020-12-31,129765.0,Weed Barrier Fabric
214,2021-01-01,129765.0,Weed Barrier Fabric
215,2021-01-02,129765.0,Weed Barrier Fabric
216,2021-01-03,129765.0,Weed Barrier Fabric
217,2021-01-04,142360.0,Weed Barrier Fabric
218,2021-01-05,142360.0,Weed Barrier Fabric
219,2021-01-06,142360.0,Weed Barrier Fabric
220,2021-01-07,142360.0,Weed Barrier Fabric
221,2021-01-08,142360.0,Weed Barrier Fabric
222,2021-01-09,140095.0,Weed Barrier Fabric
223,2021-01-10,140095.0,Weed Barrier Fabric
224,2021-01-11,57519.0,Weed Barrier Fabric
225,2021-01-12,43178.0,Weed Barrier Fabric
226,2021-01-13,43178.0,Weed Barrier Fabric
227,2021-01-14,43178.0,Weed Barrier Fabric
228,2021-01-15,43178.0,Weed Barrier Fabric
229,2021-01-16,43178.0,Weed Barrier Fabric
230,2021-01-17,28880.0,Weed Barrier Fabric
231,2021-01-18,20862.0,Weed Barrier Fabric
232,2021-01-19,20862.0,Weed Barrier Fabric
233,2021-01-20,33687.0,Weed Barrier Fabric
234,2021-01-21,33687.0,Weed Barrier Fabric
235,2021-01-22,33687.0,Weed Barrier Fabric
236,2021-01-23,33687.0,Weed Barrier Fabric
237,2021-01-24,16444.0,Weed Barrier Fabric
238,2021-01-25,12065.0,Weed Barrier Fabric
239,2021-01-26,12065.0,Weed Barrier Fabric
240,2021-01-27,12065.0,Weed Barrier Fabric
241,2021-01-28,12065.0,Weed Barrier Fabric
242,2021-01-29,18440.0,Weed Barrier Fabric
243,2021-01-30,18440.0,Weed Barrier Fabric
244,2021-01-31,18440.0,Weed Barrier Fabric
245,2021-02-01,25939.0,Weed Barrier Fabric
246,2021-02-02,27311.0,Weed Barrier Fabric
247,2021-02-03,27311.0,Weed Barrier Fabric
248,2021-02-04,11322.0,Weed Barrier Fabric
249,2021-02-05,11322.0,Weed Barrier Fabric
250,2021-02-06,11322.0,Weed Barrier Fabric
251,2021-02-07,11322.0,Weed Barrier Fabric
252,2021-02-08,10366.0,Weed Barrier Fabric
253,2021-02-09,10366.0,Weed Barrier Fabric
254,2021-02-10,15368.0,Weed Barrier Fabric
255,2021-02-11,18661.0,Weed Barrier Fabric
256,2021-02-12,23476.0,Weed Barrier Fabric
257,2021-02-13,23476.0,Weed Barrier Fabric
258,2021-02-14,23476.0,Weed Barrier Fabric
259,2021-02-15,16682.0,Weed Barrier Fabric
260,2021-02-16,16682.0,Weed Barrier Fabric
261,2021-02-17,16682.0,Weed Barrier Fabric
262,2021-02-18,57019.0,Weed Barrier Fabric
263,2021-02-19,28950.0,Weed Barrier Fabric
264,2021-02-20,24130.0,Weed Barrier Fabric
265,2021-02-21,24130.0,Weed Barrier Fabric
266,2021-02-22,13838.0,Weed Barrier Fabric
267,2021-02-23,13838.0,Weed Barrier Fabric
268,2021-02-24,10909.0,Weed Barrier Fabric
269,2021-02-25,11035.0,Weed Barrier Fabric
270,2021-02-26,7872.0,Weed Barrier Fabric
271,2021-02-27,7872.0,Weed Barrier Fabric
272,2021-02-28,7872.0,Weed Barrier Fabric
273,2021-03-01,12176.0,Weed Barrier Fabric
274,2021-03-02,12176.0,Weed Barrier Fabric
275,2021-03-03,12956.0,Weed Barrier Fabric
276,2021-03-04,15350.0,Weed Barrier Fabric
277,2021-03-05,19068.0,Weed Barrier Fabric
278,2021-03-06,19068.0,Weed Barrier Fabric
279,2021-03-07,19068.0,Weed Barrier Fabric
280,2021-03-08,19068.0,Weed Barrier Fabric
281,2021-03-09,25872.0,Weed Barrier Fabric
282,2021-03-10,25872.0,Weed Barrier Fabric
283,2021-03-11,51343.0,Weed Barrier Fabric
284,2021-03-12,51343.0,Weed Barrier Fabric
285,2021-03-13,51343.0,Weed Barrier Fabric
286,2021-03-14,51343.0,Weed Barrier Fabric
287,2021-03-15,118477.0,Weed Barrier Fabric
288,2021-03-16,122946.0,Weed Barrier Fabric
289,2021-03-17,122946.0,Weed Barrier Fabric
290,2021-03-18,122946.0,Weed Barrier Fabric
291,2021-03-19,122946.0,Weed Barrier Fabric
292,2021-03-20,122946.0,Weed Barrier Fabric
293,2021-03-21,137004.0,Weed Barrier Fabric
294,2021-03-22,137004.0,Weed Barrier Fabric
295,2021-03-23,137004.0,Weed Barrier Fabric
296,2021-03-24,137004.0,Weed Barrier Fabric
297,2021-03-25,40974.0,Weed Barrier Fabric
298,2021-03-26,40974.0,Weed Barrier Fabric
299,2021-03-27,23369.0,Weed Barrier Fabric
300,2021-03-28,23369.0,Weed Barrier Fabric
301,2021-03-29,23369.0,Weed Barrier Fabric
302,2021-03-30,18321.0,Weed Barrier Fabric
303,2021-03-31,14831.0,Weed Barrier Fabric
304,2021-04-01,10650.0,Weed Barrier Fabric
305,2021-04-02,23095.0,Weed Barrier Fabric
306,2021-04-03,23095.0,Weed Barrier Fabric
307,2021-04-04,23095.0,Weed Barrier Fabric
308,2021-04-05,11922.0,Weed Barrier Fabric
309,2021-04-06,11922.0,Weed Barrier Fabric
310,2021-04-07,11922.0,Weed Barrier Fabric
311,2021-04-08,12578.0,Weed Barrier Fabric
312,2021-04-09,14367.0,Weed Barrier Fabric
313,2021-04-10,14367.0,Weed Barrier Fabric
314,2021-04-11,14367.0,Weed Barrier Fabric
315,2021-04-12,14367.0,Weed Barrier Fabric
316,2021-04-13,16533.0,Weed Barrier Fabric
317,2021-04-14,15247.0,Weed Barrier Fabric
318,2021-04-15,15247.0,Weed Barrier Fabric
319,2021-04-16,13321.0,Weed Barrier Fabric
320,2021-04-17,13321.0,Weed Barrier Fabric
321,2021-04-18,13321.0,Weed Barrier Fabric
322,2021-04-19,26102.0,Weed Barrier Fabric
323,2021-04-20,26102.0,Weed Barrier Fabric
324,2021-04-21,21013.0,Weed Barrier Fabric
325,2021-04-22,21013.0,Weed Barrier Fabric
326,2021-04-23,27334.0,Weed Barrier Fabric
327,2021-04-24,27334.0,Weed Barrier Fabric
328,2021-04-25,27334.0,Weed Barrier Fabric
329,2021-04-26,19121.0,Weed Barrier Fabric
330,2021-04-27,23362.0,Weed Barrier Fabric
331,2021-04-28,23362.0,Weed Barrier Fabric
332,2021-04-29,23362.0,Weed Barrier Fabric
333,2021-04-30,22576.0,Weed Barrier Fabric
334,2021-05-01,22576.0,Weed Barrier Fabric
335,2021-05-02,22576.0,Weed Barrier Fabric
336,2021-05-03,22576.0,Weed Barrier Fabric
337,2021-05-04,29972.0,Weed Barrier Fabric
338,2021-05-05,29972.0,Weed Barrier Fabric
339,2021-05-06,29972.0,Weed Barrier Fabric
340,2021-05-07,18718.0,Weed Barrier Fabric
341,2021-05-08,18718.0,Weed Barrier Fabric
342,2021-05-09,35018.0,Weed Barrier Fabric
343,2021-05-10,35018.0,Weed Barrier Fabric
344,2021-05-11,25404.0,Weed Barrier Fabric
345,2021-05-12,25404.0,Weed Barrier Fabric
346,2021-05-13,25404.0,Weed Barrier Fabric
347,2021-05-14,19094.0,Weed Barrier Fabric
348,2021-05-15,19094.0,Weed Barrier Fabric
349,2021-05-16,19094.0,Weed Barrier Fabric
350,2021-05-17,34975.0,Weed Barrier Fabric
351,2021-05-18,34975.0,Weed Barrier Fabric
352,2021-05-19,34975.0,Weed Barrier Fabric
353,2021-05-20,64833.0,Weed Barrier Fabric
354,2021-05-21,64833.0,Weed Barrier Fabric
355,2021-05-22,64833.0,Weed Barrier Fabric
356,2021-05-23,64833.0,Weed Barrier Fabric
357,2021-05-24,64833.0,Weed Barrier Fabric
358,2021-05-25,27892.0,Weed Barrier Fabric
359,2021-05-26,35244.0,Weed Barrier Fabric
360,2021-05-27,35244.0,Weed Barrier Fabric
361,2021-05-28,35244.0,Weed Barrier Fabric
362,2021-05-29,35244.0,Weed Barrier Fabric
363,2021-05-30,35244.0,Weed Barrier Fabric
364,2021-05-31,35244.0,Weed Barrier Fabric
365,2021-06-01,21591.0,Weed Barrier Fabric
366,2021-06-02,24495.0,Weed Barrier Fabric
367,2021-06-03,24495.0,Weed Barrier Fabric
368,2021-06-04,24495.0,Weed Barrier Fabric
369,2021-06-05,24495.0,Weed Barrier Fabric
370,2021-06-06,24495.0,Weed Barrier Fabric
371,2021-06-07,28892.0,Weed Barrier Fabric
372,2021-06-08,26738.0,Weed Barrier Fabric
373,2021-06-09,22564.0,Weed Barrier Fabric
374,2021-06-10,33156.0,Weed Barrier Fabric
375,2021-06-11,33156.0,Weed Barrier Fabric
376,2021-06-12,33156.0,Weed Barrier Fabric
377,2021-06-13,16362.0,Weed Barrier Fabric
378,2021-06-14,16362.0,Weed Barrier Fabric
379,2021-06-15,16362.0,Weed Barrier Fabric
380,2021-06-16,16362.0,Weed Barrier Fabric
381,2021-06-17,16362.0,Weed Barrier Fabric
382,2021-06-18,20980.0,Weed Barrier Fabric
383,2021-06-19,20980.0,Weed Barrier Fabric
384,2021-06-20,26272.0,Weed Barrier Fabric
385,2021-06-21,24529.0,Weed Barrier Fabric
386,2021-06-22,20346.0,Weed Barrier Fabric
387,2021-06-23,20346.0,Weed Barrier Fabric
388,2021-06-24,20346.0,Weed Barrier Fabric
389,2021-06-25,20346.0,Weed Barrier Fabric
390,2021-06-26,28568.0,Weed Barrier Fabric
391,2021-06-27,28568.0,Weed Barrier Fabric
392,2021-06-28,28568.0,Weed Barrier Fabric
393,2021-06-29,28568.0,Weed Barrier Fabric
394,2021-06-30,24331.0,Weed Barrier Fabric
395,2021-07-01,24331.0,Weed Barrier Fabric
396,2021-07-02,8893.0,Weed Barrier Fabric
397,2021-07-03,8893.0,Weed Barrier Fabric
398,2021-07-04,8893.0,Weed Barrier Fabric
399,2021-07-05,8893.0,Weed Barrier Fabric
400,2021-07-06,8893.0,Weed Barrier Fabric
401,2021-07-07,8893.0,Weed Barrier Fabric
402,2021-07-08,30136.0,Weed Barrier Fabric
403,2021-07-09,30136.0,Weed Barrier Fabric
404,2021-07-10,30136.0,Weed Barrier Fabric
405,2021-07-11,12761.0,Weed Barrier Fabric
